Motif_Nodes	Motif_edges	Num_occ_input_graph	Mean_analytical	Variance_analytical	Pval_analytical
PP,PP,NP	(0,2,activation)(1,2,activation)(2,1,activation)(2,0,activation)	9	0.02280739183509716	0.027892459323811434	4.277900256255407E-11
NP,UP,NP	(0,2,activation)(0,1,activation)(1,0,activation)(2,1,activation)	1	3.749145760247139	42.3672620565731	0.4025503063288478
PP,UP,NP	(0,2,inhibition)(2,1,inhibition)	120	460.26981119665817	256321.58667079898	0.6774094577569792
UP,NP,NP	(0,2,inhibition)(2,1,activation)	21846	7935.363010908681	2974381.6854581833	4.910603035312988E-10
UP,NP,NP	(0,2,inhibition)(2,1,inhibition)	3681	1614.871364247732	1968603.9149198998	0.08797093722117832
UP,NP,NP	(0,2,activation)(1,2,activation)(2,0,activation)	1189	57.66315212979495	1647.7949126852186	2.142730437526552E-14
NP,UP,PP	(0,2,activation)(0,1,inhibition)(1,2,inhibition)	24	0.6592954741866546	1.5772981513394142	7.467843343711422E-9
NP,NP,UP	(2,1,inhibition)(2,0,activation)	962	5893.389013312198	1644904.7785924673	0.9999999653728265
NP,NP,UP	(0,2,activation)(1,2,activation)(2,1,activation)(2,0,activation)	94	1.1077502932327374	9.392757142075238	3.621908328810264E-10
NP,NP,UP	(2,1,inhibition)(2,0,inhibition)	13858	15352.952446010253	8.393659341387841E7	0.5046882773950188
PP,PP,UP	(0,2,activation)(1,2,activation)	2035	1449.3191453418924	689217.5167279188	0.21791180830159806
UP,NP,UP	(0,2,inhibition)(0,1,inhibition)(1,2,inhibition)	28	79.89993472321875	8485.634917323747	0.6112978468302175
PP,NP,UP	(0,2,activation)(2,1,activation)	3397	1065.0263549306337	156195.92047479795	8.337241968803255E-6
UP,UP,NP	(0,2,activation)(0,1,inhibition)(1,2,activation)	15	74.85757819783062	426.7335683133251	0.9999356888005002
PP,NP,UP	(0,2,activation)(2,1,inhibition)	115	301.47783797233603	44295.66330318444	0.8062821341745836
UP,NP,PP	(0,2,activation)(0,1,inhibition)(1,2,activation)	1	28.037198033873388	769.2717511858107	0.8414959804452575
PP,UP,NP	(0,2,activation)(2,1,activation)	2349	1434.0425726978465	129889.3404155646	0.011194874017286582
UP,PP,PP	(0,2,activation)(0,1,activation)(1,2,inhibition)	36	3.1245532648838217	62.49330182155239	0.01150075607703005
NP,UP,NP	(0,2,activation)(0,1,activation)(1,0,inhibition)(2,1,activation)	2	1.0612736039908364	11.880210495230788	0.11537137391526686
NP,UP,NP	(0,2,activation)(0,1,activation)(1,2,inhibition)(1,0,inhibition)	4	0.43278095490650875	5.4628329627779175	0.03332981993870687
PP,PP,UP	(0,2,activation)(1,2,activation)(2,1,inhibition)(2,0,inhibition)	2	0.019960389406403246	0.17575288700808647	0.0025773242268110064
NP,UP,PP	(0,2,inhibition)(1,2,inhibition)(2,0,activation)	45	8.596401815354357	238.01518194252316	0.039132426247691754
NP,NP,UP	(0,2,activation)(0,1,activation)(1,2,activation)	691	1378.7270647044456	621539.4393091328	0.8018527731195159
PP,UP,NP	(0,2,activation)(2,1,activation)(2,0,inhibition)	28	1.2007744675943806	16.348363907468666	0.003439599223923673
NP,UP,PP	(0,2,inhibition)(2,1,inhibition)(2,0,inhibition)	12	45.06669937541705	15034.860698098266	0.22179088185530627
UP,NP,NP	(0,2,activation)(0,1,inhibition)(1,2,inhibition)	3	4.391288372881662	24.413205386290244	0.44958979770967034
NP,NP,UP	(0,2,inhibition)(2,1,activation)(2,0,activation)	15	45.221879367483766	1746.2047403113174	0.7179392407058351
NP,UP,UP	(0,1,activation)(1,2,activation)(2,0,inhibition)	4	1.6376941240306793	4.442362995834182	0.09932401631222187
NP,UP,UP	(0,1,activation)(1,2,activation)(2,0,activation)	17	5.785458112406127	23.969962234184244	0.027793098267639094
NP,UP,NP	(0,2,inhibition)(1,2,inhibition)	4023	9539.749302886707	1.4044519722461239E7	0.9518132826911948
UP,NP,PP	(0,2,inhibition)(2,1,inhibition)	1173	859.7272220742924	1029824.238954194	0.28257756007105717
PP,NP,UP	(0,2,inhibition)(2,1,inhibition)	68	475.482681901687	68031.83935304711	0.9793800054520265
UP,UP,NP	(0,2,activation)(1,2,activation)(2,0,activation)	1429	102.18020849407442	4965.373046571634	0.0
