Motif_Nodes	Motif_edges	Num_occ_input_graph	Mean_analytical	Variance_analytical	Pval_analytical
PP,UP,NP	(0,2,activation)(1,2,inhibition)(2,0,activation)	54	2.3288055912050876	28.51166438524823	1.5913544154411152E-4
PP,UP,NP	(0,2,activation)(1,2,inhibition)(2,0,inhibition)	40	1.169522337141505	17.901140050809285	0.001029711072523587
PP,UP,UP	(2,1,activation)(2,0,inhibition)	664	836.9789067248532	61933.42729070841	0.7434364920932897
PP,UP,NP	(0,2,inhibition)(2,1,activation)	191	683.1309525744998	138850.96701142873	0.9378187137779047
NP,PP,PP	(0,2,inhibition)(2,1,activation)(2,0,activation)	25	0.8574303285711499	3.424623474010037	6.040051704570004E-6
NP,UP,NP	(0,2,inhibition)(1,2,inhibition)(2,0,activation)	47	33.76495725041744	1298.8317620702974	0.2725321957760939
UP,NP,NP	(0,1,activation)(1,0,activation)(2,1,activation)(2,0,activation)	274	17.07982872105521	1039.7737250084783	3.1799084404438016E-4
NP,UP,NP	(0,2,inhibition)(1,2,inhibition)(2,0,inhibition)	71	6.48663752892668	400.38998784114654	0.023444445327457597
PP,PP,NP	(0,1,activation)(1,0,activation)(2,1,activation)(2,0,activation)	132	0.008480711587247365	0.013686210363814249	0.0
PP,PP,UP	(0,2,inhibition)(2,1,inhibition)	35	161.66568292652875	8463.329296934673	0.9514313965294932
PP,PP,NP	(0,2,activation)(1,2,activation)	319	1005.8455638968618	155824.06959857047	0.9818545506105243
NP,UP,NP	(0,2,inhibition)(2,1,inhibition)	381	947.8230839933564	1026785.8945264604	0.624794216362365
NP,UP,NP	(0,2,inhibition)(2,1,activation)	435	1402.8154034885115	353005.94517027936	0.9743773878232541
UP,NP,NP	(0,2,activation)(0,1,activation)(1,2,inhibition)	185	74.00129421189533	3100.449735880634	0.044472769567157955
NP,NP,UP	(0,2,activation)(0,1,activation)(1,2,activation)(1,0,activation)(2,0,inhibition)	2	0.02553810576684786	0.04308644132877166	0.0012996974702643715
UP,NP,UP	(0,2,activation)(1,2,activation)(2,1,inhibition)(2,0,inhibition)	10	0.7926784541354255	132.6202969058159	0.008323599216482847
PP,NP,PP	(0,2,activation)(0,1,activation)(1,2,activation)(1,0,activation)	1	0.05481014403336946	0.06466919919587774	0.005168854674361789
NP,UP,UP	(0,2,activation)(2,1,activation)(2,0,activation)	311	28.294631058005915	568.4609013941999	9.921238275367728E-9
NP,UP,UP	(0,2,activation)(0,1,activation)(1,2,inhibition)	2	8.53955409146632	118.30318050997663	0.5880552832540491
PP,NP,NP	(0,2,activation)(2,1,activation)(2,0,inhibition)	42	2.4478472151231876	79.0574150055801	0.012217428219501891
PP,NP,NP	(0,2,activation)(2,1,activation)(2,0,activation)	1067	28.86254577739308	1675.2737194068127	1.4810375148499588E-13
PP,NP,NP	(0,2,inhibition)(2,1,inhibition)(2,0,inhibition)	7	33.154827367452334	7742.993821860633	0.23382651440746693
PP,NP,NP	(0,2,inhibition)(0,1,inhibition)(1,2,activation)	353	140.42274163888274	11414.768219417783	0.04510812430644884
NP,PP,PP	(0,2,inhibition)(0,1,inhibition)(1,2,activation)	267	8.59583784752909	75.94816159041531	0.0
NP,NP,UP	(0,2,inhibition)(1,2,inhibition)(2,1,activation)(2,0,activation)	1	0.03915694211052221	0.04672066249459865	0.003657257917857204
PP,NP,NP	(0,2,inhibition)(1,2,inhibition)	504	1780.887661241289	1232719.9797008461	0.9004118574545357
PP,NP,PP	(0,2,activation)(0,1,inhibition)(1,0,activation)(2,1,activation)	1	4.493146818424066E-4	4.5820430244902674E-4	4.455164381855781E-6
NP,NP,NP	(0,2,activation)(0,1,activation)(1,2,activation)(1,0,activation)(2,0,activation)	8	0.5396084156470624	3.9197964623426707	0.015623937482951433
UP,NP,PP	(0,2,inhibition)(0,1,inhibition)(1,2,inhibition)	16	53.63448206973975	4337.981069908312	0.6008181071452562
PP,UP,PP	(0,2,inhibition)(1,2,activation)	76	411.68195643953226	56013.50360512425	0.9607940340286979
PP,NP,NP	(0,2,inhibition)(0,1,activation)(1,2,activation)	10	3.648008758466232	26.493777385629663	0.10157810219283958
PP,UP,PP	(0,2,inhibition)(1,2,inhibition)	631	1856.1572661805271	1368728.3562504184	0.8670415171424624
PP,NP,NP	(0,2,inhibition)(0,1,activation)(1,2,inhibition)	4	3.9260450255324675	209.19173795430558	0.11715303897817808
UP,NP,NP	(0,2,inhibition)(0,1,inhibition)(1,2,activation)(1,0,activation)	4	0.46513227621615927	6.1655480712271	0.03523929562890138
UP,NP,NP	(0,2,inhibition)(1,2,activation)(2,1,activation)(2,0,activation)	2	0.12271737232319752	0.2509877307072766	0.010546095948481438
UP,UP,PP	(0,2,inhibition)(2,1,inhibition)	409	1341.1870142786365	2696332.4570071073	0.6032741837949933
NP,NP,UP	(0,2,inhibition)(1,2,inhibition)(2,1,inhibition)(2,0,inhibition)	1	0.012088157504912784	0.017790429891878984	0.0018960702429092757
UP,PP,UP	(0,2,inhibition)(2,1,activation)(2,0,inhibition)	2	0.5387181672090665	1.7590170003413022	0.07690498093707043
NP,NP,UP	(0,2,activation)(0,1,inhibition)(1,2,inhibition)	24	0.6260959799154527	1.8091213513173132	1.1634003549421124E-7
PP,UP,PP	(0,2,activation)(2,1,activation)	234	90.01481544019857	1540.1998362412687	0.001849434271777417
PP,UP,PP	(0,2,activation)(2,1,inhibition)	1096	178.3379325539657	48229.79371257716	0.004692074689591208
UP,NP,NP	(0,2,activation)(1,2,activation)(2,1,activation)(2,0,activation)	124	1.8042172053948864	19.454395943716474	3.441176232854559E-10
NP,PP,UP	(0,2,activation)(2,1,inhibition)(2,0,inhibition)	4	6.913857225014461	1042.0235046856417	0.08280723411040403
NP,PP,UP	(0,2,activation)(0,1,inhibition)(1,2,activation)	2	9.56634063113256	135.4976099970702	0.6248834475211351
PP,PP,NP	(0,2,activation)(2,1,inhibition)	280	184.4021657536118	24034.83539919678	0.22691306629032015
PP,PP,NP	(0,2,activation)(2,1,activation)	484	367.189903945699	9641.237096257159	0.1200861688015864
UP,UP,PP	(0,2,activation)(2,1,activation)	1861	923.2948212294656	75981.06871424499	0.0020166621852392153
UP,UP,PP	(0,2,activation)(2,1,inhibition)	348	1829.2376510535346	2726067.385910875	0.8117913726617153
PP,PP,PP	(0,2,activation)(1,2,activation)(2,0,activation)	1716	0.08774560293830137	0.33184090204601074	3.3306690738754696E-16
UP,NP,UP	(0,2,activation)(0,1,activation)(1,2,activation)(1,0,activation)	14	5.88825581018981	58.42604055568757	0.12535466901380632
PP,PP,NP	(0,2,inhibition)(2,1,activation)	213	206.84600354180714	12919.016505165499	0.42225707733864914
PP,PP,NP	(0,2,inhibition)(2,1,inhibition)	134	103.87772272798973	13303.633308349335	0.30051205095428835
NP,NP,NP	(0,2,inhibition)(2,1,activation)	3675	3398.080661693827	1865386.7761601731	0.3827318249904883
NP,NP,NP	(0,2,inhibition)(2,1,inhibition)	614	652.8104680538484	496080.8994654974	0.40683878766972437
NP,UP,PP	(0,2,activation)(0,1,inhibition)(1,2,activation)	12	2.454748314431495	9.51092418195677	0.013153307277980697
PP,UP,PP	(0,2,inhibition)(1,2,inhibition)(2,1,activation)(2,0,activation)	5	0.0033854597017590866	0.003875532360227875	4.910037931793454E-9
NP,PP,UP	(0,2,activation)(2,1,activation)	1754	670.1444727147318	78065.26737043506	0.0011581869285581803
NP,PP,UP	(0,2,activation)(2,1,inhibition)	1439	491.3462523461358	121011.60709488372	0.0159450361405431
NP,NP,NP	(0,2,activation)(2,1,activation)(2,0,inhibition)	18	12.615254406639577	787.8636116128263	0.20511480651712277
NP,NP,NP	(0,2,activation)(2,1,activation)(2,0,activation)	3424	388.83755192346314	74282.97565132583	5.581848872004969E-9
NP,PP,UP	(0,2,activation)(2,1,activation)(2,0,activation)	10	8.567363744801407	58.61597923144778	0.32347150629447285
NP,PP,UP	(0,2,activation)(1,2,activation)(2,0,inhibition)	4	8.776336307132587	518.5923121413955	0.22548815633963348
NP,PP,UP	(0,2,inhibition)(2,1,activation)	327	452.78829935144825	29078.620403163135	0.7553447005383771
NP,PP,UP	(0,2,inhibition)(2,1,inhibition)	51	331.9818980096523	20551.58199421747	0.9958329696363567
UP,UP,NP	(0,1,activation)(1,2,inhibition)(2,0,activation)	4	1.691984086653318	4.667505770255241	0.10546009485317831
NP,NP,NP	(0,2,inhibition)(0,1,activation)(1,2,inhibition)(1,0,activation)	2	0.02520157890424947	1.254287117723587	9.15677351219446E-4
UP,UP,NP	(0,2,activation)(0,1,inhibition)(1,2,inhibition)	1	6.8869507125902665	13.7624352136176	0.9588946287400225
