Motif_Nodes	Motif_edges	Num_occ_input_graph	Mean_analytical	Variance_analytical	Pval_analytical
NP,UP,PP	(0,2,activation)(2,1,inhibition)(2,0,activation)	6	3.0889662344136064	371.8394188769804	0.04503070633549888
NP,UP,PP	(0,2,activation)(1,2,inhibition)(2,0,inhibition)	18	1.7397286484102574	43.9947174531393	0.032787279984609397
NP,UP,UP	(0,2,activation)(2,1,activation)	5543	2023.3966284740181	731122.8830849952	7.298495315565257E-4
NP,PP,UP	(0,2,activation)(0,1,activation)(1,0,activation)(2,1,activation)	37	0.47119390825070756	1.763263176262624	1.992631615266305E-9
NP,UP,PP	(0,2,activation)(2,1,activation)	2016	1329.8774730884222	245770.51664501498	0.09248024745566452
PP,NP,NP	(0,2,inhibition)(2,1,activation)(2,0,activation)	9	16.98111796447577	1294.714365515177	0.2948415160124228
PP,UP,PP	(0,2,inhibition)(1,2,inhibition)(2,0,activation)	19	2.6875303141774958	59.7283463714029	0.04525993257801275
UP,PP,PP	(0,2,activation)(1,2,activation)(2,1,activation)(2,0,activation)	4	0.06376219984967191	0.16097567366355023	0.001364259988938299
NP,NP,PP	(0,2,activation)(1,2,activation)(2,1,activation)(2,0,activation)	62	0.35734731716502044	2.2577561261771733	6.181574141450596E-10
NP,NP,UP	(0,2,inhibition)(1,2,inhibition)	6027	1853.9269661425985	1477413.803400348	0.005062695627449099
NP,NP,NP	(0,2,activation)(1,2,activation)	20707	17644.151312726626	1.2315061742814422E7	0.18785127698294768
UP,UP,NP	(0,2,activation)(1,2,inhibition)(2,0,activation)	178	7.8222459030345775	110.51262822847947	4.05577693651793E-9
UP,UP,NP	(0,2,activation)(0,1,inhibition)(1,2,inhibition)	1	5.039046326589509	7.256770384573123	0.9294855340678351
PP,UP,PP	(0,2,inhibition)(2,1,inhibition)	71	145.12753461681032	48821.68357166226	0.440775750383974
PP,UP,PP	(0,2,inhibition)(2,1,activation)	55	153.03937307883206	8340.469312196441	0.8724893172635827
UP,PP,PP	(0,2,activation)(1,2,activation)(2,0,activation)	9	6.144103204908296	238.6277814910586	0.1788256871629259
UP,UP,NP	(0,2,activation)(2,1,activation)(2,0,activation)	272	44.5298860909608	1644.7067527722743	3.640308605195042E-4
UP,NP,NP	(0,2,inhibition)(2,1,inhibition)(2,0,activation)	72	1.2022944963697202	124.0387138295369	0.005742794575567811
UP,PP,NP	(0,2,activation)(1,2,activation)(2,1,activation)(2,0,activation)	48	0.24860730160874386	0.4036900550898512	0.0
UP,UP,NP	(0,2,activation)(0,1,inhibition)(1,2,inhibition)(1,0,inhibition)	1	0.020097240082792074	0.023126006383691694	0.0014578160718800026
NP,PP,NP	(0,2,inhibition)(1,2,inhibition)(2,1,inhibition)(2,0,inhibition)	2	0.21600098169309281	1.2016475300413116	0.031676650721835786
UP,PP,PP	(0,2,activation)(1,2,activation)(2,1,inhibition)(2,0,activation)	1	0.0050925210991933974	0.020138082596183916	0.0012254749642414131
UP,PP,PP	(0,2,activation)(1,2,activation)(2,1,inhibition)(2,0,inhibition)	3	0.4092285409602313	29.885676749686578	0.010132344223759082
NP,PP,NP	(0,2,activation)(1,2,activation)(2,1,activation)(2,0,activation)	60	0.6747731578119948	1.665179923532693	0.0
PP,UP,UP	(0,2,activation)(2,1,activation)(2,0,activation)	37	5.8657081158105004	71.38788896384526	0.009353865173138076
PP,UP,UP	(0,2,activation)(0,1,activation)(1,2,inhibition)	2	1.1913073258606761	3.09818876960439	0.17523269878351821
NP,PP,PP	(0,2,activation)(0,1,activation)(1,2,inhibition)	20	6.879193087737854	117.22103440432531	0.10682397876863514
NP,PP,PP	(0,1,activation)(1,2,activation)(2,0,activation)	16	2.262571884045697	5.184235528634635	1.6023729429137656E-4
NP,PP,PP	(0,2,inhibition)(2,1,inhibition)(2,0,inhibition)	25	9.34564378192553	928.9818805406313	0.10749370183316909
UP,NP,PP	(0,2,activation)(0,1,activation)(1,0,activation)(2,1,activation)	2	0.13523716397302515	0.1570229044601467	0.0019030580967043242
NP,PP,PP	(0,2,inhibition)(0,1,inhibition)(1,2,activation)	142	44.761330512833496	929.1998990965444	0.007533856508770587
PP,NP,NP	(0,2,inhibition)(0,1,inhibition)(1,2,inhibition)	4	103.40318969198442	24123.285022858916	0.5739488164707022
PP,PP,UP	(0,2,inhibition)(1,2,inhibition)(2,1,activation)(2,0,activation)	3	0.0032194841249725058	0.003427756762259064	1.1006853006811923E-7
NP,PP,PP	(0,2,inhibition)(1,2,inhibition)	271	716.2933336824467	204330.584849686	0.8445744929742572
NP,PP,NP	(0,1,activation)(1,0,activation)(2,1,activation)(2,0,activation)	64	4.196769573397663	81.88701063593734	0.0014466719630077396
UP,PP,NP	(0,2,inhibition)(0,1,inhibition)(1,2,inhibition)	31	23.24955151457885	706.26570165859	0.28536595590031166
NP,UP,NP	(0,2,inhibition)(2,1,activation)	445	1664.6427241638282	479804.0746834292	0.9852222061155607
NP,PP,PP	(0,2,inhibition)(0,1,activation)(1,2,activation)	12	1.147315904634203	3.0718797375216633	5.461779222152296E-4
NP,UP,NP	(0,2,inhibition)(1,2,inhibition)	3674	10879.526344962278	1.6852890888240457E7	0.981984260894671
NP,PP,PP	(0,2,inhibition)(0,1,activation)(1,2,inhibition)	24	2.168792381445146	46.800201729724186	0.0232600471913883
UP,PP,PP	(0,2,inhibition)(1,2,inhibition)(2,1,activation)(2,0,activation)	9	0.006175046744544818	0.006882413083931471	3.5860203695392556E-14
UP,UP,NP	(0,2,inhibition)(2,1,inhibition)	3368	2931.326904399254	5790178.849978203	0.3522288530545453
PP,PP,UP	(0,2,inhibition)(1,2,inhibition)(2,1,inhibition)(2,0,inhibition)	1	9.167264859657951E-4	9.442996050422448E-4	1.377656993184484E-5
