Motif_Nodes	Motif_edges	Num_occ_input_graph	Mean_analytical	Variance_analytical	Pval_analytical
NP,UP,PP	(0,2,activation)(2,1,inhibition)(2,0,activation)	40	2.406326496224204	43.88984009984108	0.0045774435879979425
NP,UP,UP	(0,2,activation)(2,1,activation)	5727	2052.7309985726565	704424.9994793655	3.9284730511879307E-4
NP,PP,UP	(0,2,activation)(0,1,activation)(1,0,activation)(2,1,activation)	26	0.6409756870510752	2.0317836164057486	1.2974460572579005E-7
NP,UP,PP	(0,2,inhibition)(2,1,activation)	161	675.8376309233435	93755.37396649475	0.9819253124297332
NP,PP,UP	(0,2,activation)(0,1,activation)(1,0,activation)(2,1,inhibition)	2	0.04681241612402636	0.05681166145249794	5.472204233405442E-4
PP,UP,PP	(0,2,inhibition)(2,1,inhibition)(2,0,activation)	10	0.19191395979951006	2.8845785287136185	0.006347741553287767
NP,NP,PP	(0,2,activation)(1,2,activation)(2,1,activation)(2,0,activation)	59	0.4363074806841311	1.9757694143041031	3.1682434453728092E-12
NP,NP,PP	(0,2,activation)(0,1,activation)(1,0,activation)(2,1,inhibition)	6	0.030994047797840592	0.03426972703604623	1.664221982444758E-9
NP,NP,UP	(0,2,inhibition)(1,2,inhibition)	4262	1426.2168128968765	971916.9629789498	0.012543442817085193
NP,NP,PP	(0,2,activation)(1,2,activation)	2301	14585.410402711414	5.269419844655281E7	0.9870257541261019
UP,UP,NP	(0,2,activation)(1,2,inhibition)(2,0,activation)	234	7.144723366895302	107.75018003648077	1.4627965505553675E-11
UP,UP,NP	(0,2,activation)(1,2,inhibition)(2,0,inhibition)	8	6.256296940226534	179.4419872148778	0.21994027114998593
PP,UP,PP	(0,2,inhibition)(2,1,inhibition)	83	52.94006358062143	1983.8943180111155	0.21171819280395143
PP,UP,PP	(0,2,inhibition)(2,1,activation)	125	115.76967412086204	2842.066712721442	0.3849178840583357
UP,PP,PP	(0,1,activation)(1,2,inhibition)(2,0,inhibition)	2	0.17365249676032796	0.23393578254827913	0.005861429274723329
UP,UP,NP	(0,2,activation)(0,1,activation)(1,2,inhibition)	50	24.560212862156895	401.8286607583759	0.10812842632813435
UP,UP,NP	(0,2,activation)(1,2,activation)(2,0,activation)	1515	69.82130168173242	3287.957054926802	0.0
UP,PP,NP	(0,2,activation)(1,2,activation)(2,1,activation)(2,0,activation)	48	0.2978509933767269	0.55145019018925	0.0
NP,PP,NP	(0,2,inhibition)(1,2,inhibition)(2,1,inhibition)(2,0,inhibition)	2	0.09121508758830557	0.35004226312097286	0.013071205013109766
UP,PP,PP	(0,2,activation)(1,2,activation)(2,1,inhibition)(2,0,inhibition)	4	0.06413620023022876	0.23731093899077157	0.0030514910470397227
NP,PP,NP	(0,2,activation)(0,1,activation)(1,2,activation)(1,0,activation)	12	2.502187518943719	10.54123263988496	0.01652996785902061
NP,PP,NP	(0,2,activation)(0,1,activation)(1,2,activation)(1,0,inhibition)	2	0.08167632624387941	0.2150586022410325	0.009373483583909104
PP,UP,UP	(0,2,activation)(2,1,activation)(2,0,activation)	13	10.44256601344882	147.9574733189623	0.2997660152290018
PP,UP,UP	(0,2,activation)(0,1,activation)(1,2,inhibition)	2	1.7036202288910485	5.98808609598149	0.25883167630715176
NP,PP,PP	(0,1,activation)(1,2,activation)(2,0,inhibition)	1	0.7780118270666831	1.3023796746783893	0.1979466709320864
NP,PP,PP	(0,2,activation)(1,2,activation)(2,0,activation)	197	23.764143834705557	1136.669858476404	0.00211189650972321
UP,NP,PP	(0,2,activation)(0,1,activation)(1,0,activation)(2,1,activation)	1	0.1659227965359515	0.2014259576756609	0.022640951295101797
NP,PP,PP	(0,2,inhibition)(1,2,inhibition)(2,0,activation)	8	1.0973939409039666	3.6198978184194117	0.009694581392337143
PP,NP,NP	(0,2,inhibition)(0,1,inhibition)(1,2,inhibition)	1	5.581698442590057	80.53193286101047	0.46949547693774674
PP,PP,UP	(0,2,inhibition)(1,2,inhibition)(2,1,activation)(2,0,activation)	1	0.0021289598321090715	0.0021843024879142463	2.9114540257113575E-5
NP,PP,PP	(0,2,inhibition)(1,2,inhibition)	284	441.8590590688992	47119.88890013538	0.747237368822969
NP,PP,NP	(0,1,activation)(1,0,activation)(2,1,activation)(2,0,activation)	56	4.531971039748934	59.658630643810525	7.030687614709707E-4
UP,PP,NP	(0,2,inhibition)(0,1,inhibition)(1,2,inhibition)	23	49.030467672652534	1723.7485164972823	0.6777231065170282
NP,UP,NP	(0,2,inhibition)(1,2,activation)	1677	4501.103871936334	2870205.138938155	0.9743786813126002
NP,PP,PP	(0,2,inhibition)(2,1,activation)(2,0,activation)	14	7.602669585585701	113.86258222234767	0.19370108013494014
NP,UP,NP	(0,2,inhibition)(1,2,inhibition)	3185	9322.235376270048	1.4559180982634947E7	0.9710340187127207
NP,PP,PP	(0,2,inhibition)(0,1,activation)(1,2,inhibition)	2	1.99350585465334	12.105207793552346	0.2679050824409691
UP,PP,PP	(0,2,inhibition)(1,2,inhibition)(2,1,activation)(2,0,activation)	10	0.00990779532415513	0.011257137710499349	1.8540724511240114E-14
UP,UP,NP	(0,2,inhibition)(2,1,inhibition)	2950	2783.9670652146788	5883780.663165721	0.38599162447695723
PP,PP,UP	(0,2,inhibition)(1,2,inhibition)(2,1,inhibition)(2,0,inhibition)	1	0.0014884312151493399	0.0017004544561666694	9.321936478146053E-5
NP,UP,NP	(0,2,activation)(2,1,activation)	11812	4425.35452981102	1260078.07935502	2.2509780794877088E-7
NP,UP,NP	(0,2,activation)(2,1,inhibition)	15454	3875.0740347145525	6260931.647387484	6.841582957320957E-4
NP,NP,NP	(0,2,activation)(2,1,inhibition)(2,0,inhibition)	2	197.79493722721793	50358.538244948104	0.7821136864516695
PP,NP,UP	(0,2,activation)(0,1,inhibition)(1,2,inhibition)	8	0.10828621799647445	0.16886146412197497	1.1320905936029746E-6
PP,PP,UP	(0,2,activation)(2,1,inhibition)(2,0,activation)	1	0.7284506073144609	10.32660965126507	0.08004222180180554
NP,PP,NP	(0,2,activation)(0,1,activation)(1,0,activation)(2,1,activation)	8	1.3818394432405252	7.5161637705688165	0.03365153406998589
NP,NP,PP	(0,2,activation)(2,1,activation)	3215	3320.9700627793773	923587.0114818718	0.5149328626548811
UP,UP,NP	(0,2,activation)(2,1,activation)	20449	9473.38396657699	4018736.6931856424	3.7632952916144546E-6
UP,UP,NP	(0,2,activation)(2,1,inhibition)	1656	8295.395088115414	2.6757766852208167E7	0.9380619142023829
NP,NP,NP	(0,2,activation)(1,2,activation)(2,0,inhibition)	18	21.314833478344827	1047.3284917406086	0.35777951187446455
NP,NP,NP	(0,2,activation)(1,2,activation)(2,0,activation)	2034	70.31482475702178	2910.5659075685517	0.0
NP,NP,PP	(0,2,activation)(0,1,activation)(1,2,activation)(1,0,activation)(2,0,activation)	8	0.08644049933889636	0.14125416364235863	1.4595416799600969E-6
NP,NP,PP	(0,2,inhibition)(2,1,activation)	687	1059.305481579324	210178.18746821955	0.7813713562120226
NP,NP,PP	(0,2,inhibition)(2,1,inhibition)	146	167.69263063144666	12453.966237178309	0.5082408377740885
PP,PP,PP	(0,2,inhibition)(2,1,activation)	327	108.12430935623122	2551.7861220300856	5.615052693578315E-4
PP,PP,PP	(0,2,inhibition)(2,1,inhibition)	14	18.010978927145242	273.15853271917405	0.48852458901559725
NP,PP,NP	(0,2,activation)(1,2,activation)(2,1,activation)(2,0,activation)	40	0.6421183504633261	1.6827099955029152	3.459454944731988E-13
PP,UP,NP	(0,2,activation)(0,1,inhibition)(1,2,activation)	2	3.931005053278489	10.700525540753292	0.60030899496785
PP,NP,UP	(0,2,activation)(2,1,activation)	2675	1055.372124140406	136179.60908511933	2.739239439181196E-4
PP,NP,UP	(0,2,activation)(2,1,inhibition)	232	354.18701628351766	74596.7213053251	0.6069321325247661
PP,PP,PP	(0,1,activation)(1,2,activation)(2,0,inhibition)	4	0.39196334412294226	0.5448804240538028	0.0014991639589584382
PP,PP,PP	(0,1,activation)(1,2,activation)(2,0,activation)	4	0.7843505905977854	1.4022834957218029	0.015879626721519324
PP,NP,UP	(0,2,activation)(2,1,activation)(2,0,activation)	12	16.36764055988911	337.75864354611093	0.4606841319394208
PP,NP,UP	(0,2,activation)(1,2,activation)(2,0,inhibition)	30	18.05282029479819	3733.452627971418	0.12228329561222451
PP,NP,UP	(0,2,inhibition)(2,1,activation)	417	482.6088332500572	20590.76154408898	0.6527721972908289
PP,NP,UP	(0,2,inhibition)(2,1,inhibition)	94	161.96541368773782	5779.759743399576	0.8080570299158526
NP,PP,UP	(0,1,activation)(1,0,activation)(2,1,activation)(2,0,activation)	48	5.404446262032975	80.95500194581842	0.004162085017234252
UP,UP,PP	(0,1,activation)(1,2,inhibition)(2,0,activation)	4	0.779958641345801	1.57756699845591	0.020540497347040554
UP,UP,PP	(0,2,activation)(1,2,inhibition)(2,0,inhibition)	10	2.4025787662884484	40.67617874289385	0.08420529478711991
PP,PP,NP	(0,2,inhibition)(2,1,activation)	238	214.61698583268344	7973.865459638371	0.35852798736719826
PP,PP,NP	(0,2,inhibition)(1,2,inhibition)	250	57.70931335428726	1176.2240217886401	8.901024976903926E-5
PP,PP,PP	(0,2,activation)(1,2,activation)(2,1,inhibition)(2,0,inhibition)	3	0.01205734325448865	0.025348393912065174	3.5472653691603906E-4
NP,NP,PP	(0,1,inhibition)(1,2,inhibition)(2,0,activation)	1	0.9925369961208315	3.3011326178294933	0.2339285479436276
UP,UP,PP	(0,2,activation)(0,1,activation)(1,2,inhibition)	26	22.47741371732944	417.0025244264341	0.3392495329218098
UP,UP,PP	(0,2,inhibition)(2,1,activation)(2,0,activation)	12	4.1803584729316645	60.53923410163193	0.11926250379010706
UP,NP,UP	(0,2,activation)(2,1,activation)	26585	6887.600698693369	5024485.996868759	1.0948573159197394E-9
UP,UP,PP	(0,2,activation)(2,1,activation)(2,0,activation)	40	11.837644494585103	182.6788015209945	0.04432911827004726
UP,UP,PP	(0,2,activation)(2,1,inhibition)(2,0,activation)	8	1.116191021128671	18.332533856269595	0.048346555131600244
UP,UP,PP	(0,2,activation)(1,2,activation)(2,0,activation)	61	71.93967747078744	15332.93916126251	0.3263435530430344
UP,UP,PP	(0,1,activation)(1,2,activation)(2,0,activation)	3	2.208631909563542	5.150046751575775	0.23111434679178688
NP,UP,NP	(0,2,activation)(1,2,inhibition)(2,0,activation)	878	15.402862790069397	289.2345345564106	4.551914400963142E-15
UP,UP,PP	(0,2,activation)(1,2,activation)(2,0,inhibition)	2	32.89713932594185	9240.752073363696	0.20554680051097207
UP,UP,PP	(0,2,activation)(0,1,activation)(1,2,activation)	69	307.77039284673657	34810.34929764783	0.9344207905268094
UP,PP,NP	(0,2,inhibition)(0,1,activation)(1,2,activation)	8	5.3616975201561585	11.591863839804613	0.16899997120786103
PP,PP,NP	(0,2,activation)(2,1,inhibition)	570	432.44172607298333	98286.65339566732	0.2801498966684153
NP,UP,PP	(0,1,inhibition)(1,0,activation)(2,1,inhibition)(2,0,activation)	2	0.00894395455927184	0.009507276718963535	1.0361169069272869E-5
UP,UP,PP	(0,2,inhibition)(0,1,inhibition)(1,2,inhibition)	29	181.29348750883295	15904.211269833526	0.9245682100243721
UP,UP,PP	(0,2,activation)(0,1,inhibition)(1,2,inhibition)	1	4.608784058599387	9.890162356015296	0.8471381589872973
UP,NP,UP	(0,2,inhibition)(2,1,inhibition)	956	2240.881479155235	422151.90858275443	0.9893270752253296
UP,NP,UP	(0,2,inhibition)(2,1,activation)	6492	6677.1613240330125	952659.5662476644	0.5610716457806543
UP,UP,PP	(0,2,activation)(1,2,inhibition)(2,0,activation)	25	5.2539748162435345	83.5801431457363	0.04534528738322008
UP,NP,NP	(0,2,inhibition)(0,1,activation)(1,2,activation)	8	11.198613809917495	29.3320417463826	0.6579596405348653
NP,NP,PP	(0,2,activation)(0,1,activation)(1,2,inhibition)	59	36.70340180802768	844.2192802840498	0.19236909607274566
UP,UP,NP	(0,2,inhibition)(1,2,inhibition)(2,0,activation)	557	14.79743521135002	548.1625618899974	1.591904386089027E-11
UP,UP,NP	(0,2,inhibition)(1,2,inhibition)(2,0,inhibition)	14	12.95741540742093	1051.351601422643	0.20178103600466613
UP,UP,NP	(0,2,activation)(0,1,activation)(1,2,activation)(1,0,activation)	3	0.2762922489113195	0.5679215744908012	0.010612918332504884
PP,PP,PP	(2,1,inhibition)(2,0,inhibition)	314	189.7486425915198	12743.368158708021	0.13597501880271945
UP,PP,UP	(0,2,activation)(1,2,activation)(2,1,inhibition)(2,0,inhibition)	4	0.48356507170398977	44.98466659192501	0.009393875210853109
UP,UP,PP	(0,2,activation)(0,1,inhibition)(1,2,activation)	14	63.105448789569955	1289.321494551667	0.947726656458436
PP,UP,NP	(0,2,activation)(2,1,activation)(2,0,inhibition)	30	2.088972912602575	35.997005913885864	0.009192856094215274
PP,UP,NP	(0,2,activation)(2,1,activation)(2,0,activation)	258	40.41254971077622	1418.5028278859188	3.068633008986854E-4
UP,NP,UP	(0,2,inhibition)(0,1,inhibition)(1,0,activation)(2,1,activation)	112	0.08940014273245639	0.295889700759289	3.3306690738754696E-16
UP,PP,NP	(2,1,activation)(2,0,activation)	6928	16271.869676143348	2.215478313877195E7	0.9896421353415319
NP,PP,NP	(0,2,inhibition)(1,2,activation)	720	689.6943888171729	77044.16878106416	0.41684934750483005
UP,PP,NP	(0,2,activation)(2,1,inhibition)	1249	2822.213953273026	3208841.6551603917	0.8040378551545717
PP,PP,UP	(0,2,activation)(1,2,inhibition)	82	47.17958041194261	852.274000819591	0.11943921676390556
PP,PP,UP	(0,2,activation)(2,1,activation)	647	628.8619306028831	57060.45274949889	0.43160355935173833
PP,PP,PP	(0,2,activation)(2,1,inhibition)(2,0,inhibition)	6	1.375722313248235	15.049758731657857	0.07802920672422109
NP,PP,UP	(0,2,inhibition)(2,1,activation)	2249	1678.7750705660244	383348.40206873603	0.17347484825545345
PP,PP,PP	(0,2,activation)(0,1,inhibition)(1,2,activation)	8	1.895283516895842	5.651290893109014	0.02193577688305015
UP,UP,PP	(0,2,activation)(0,1,inhibition)(1,2,inhibition)(1,0,inhibition)	1	0.05766856622762404	0.1112364655132071	0.012762052969229165
PP,PP,PP	(0,1,activation)(1,0,inhibition)(2,1,activation)(2,0,inhibition)	8	0.004809602132116262	0.005398433916451236	7.328582185550658E-13
NP,UP,UP	(0,2,activation)(0,1,activation)(1,2,activation)(1,0,activation)	11	4.466391468165707	39.50409337026753	0.12439514453278377
UP,PP,PP	(0,2,inhibition)(1,2,activation)(2,0,activation)	10	0.8050551715419638	6.530620163054577	0.01711573638369379
PP,PP,UP	(0,2,inhibition)(2,1,inhibition)	67	101.55309974229296	2429.5518471400483	0.7341543358309727
PP,PP,UP	(2,1,inhibition)(2,0,activation)	458	1353.6126816948085	162082.58588156337	0.9966756098693063
NP,NP,UP	(0,2,activation)(2,1,inhibition)(2,0,activation)	8	2.426560750600256	60.74336101272614	0.09521756081610322
PP,UP,PP	(0,2,activation)(0,1,inhibition)(1,2,activation)	4	5.0407573445929525	23.747853182823064	0.4430668264588966
UP,UP,NP	(0,2,inhibition)(2,1,activation)(2,0,inhibition)	1	1.8645817647231775	38.566497437117626	0.14464762278141974
UP,UP,NP	(0,2,inhibition)(2,1,activation)(2,0,activation)	303	13.13981345923364	479.12349960689824	1.0340471862102518E-6
UP,PP,UP	(0,2,activation)(0,1,activation)(1,2,activation)(1,0,activation)	3	1.3503921252004496	5.38368833600864	0.13961097889312657
UP,UP,PP	(0,2,activation)(1,2,activation)(2,1,activation)(2,0,activation)	2	0.09387730256178047	0.21948589336147675	0.009530127057355675
UP,PP,UP	(0,2,activation)(0,1,activation)(1,2,activation)	148	517.4135349813628	87794.07387834147	0.9227921036428862
UP,PP,UP	(0,2,activation)(1,2,activation)(2,0,inhibition)	6	15.749304990017839	2038.4491708092496	0.19767465831749242
NP,UP,NP	(0,2,activation)(2,1,activation)(2,0,activation)	1335	84.40695051963597	5224.945886863857	8.824052599720744E-13
NP,PP,NP	(2,1,activation)(2,0,inhibition)	1529	1252.8862706276875	1232020.1688131865	0.3247437365854211
NP,PP,NP	(2,1,activation)(2,0,activation)	17006	25504.47023781975	4.561462103970623E7	0.9052211258261853
UP,NP,UP	(0,2,inhibition)(0,1,inhibition)(1,2,inhibition)	27	135.1430121909815	22320.457476426258	0.7027937515427111
NP,NP,UP	(0,2,activation)(1,2,activation)(2,0,activation)	841	106.77234614944742	23070.99295057401	0.0029655811266546817
NP,NP,NP	(0,2,inhibition)(2,1,inhibition)	364	637.3779128484877	483189.24477401894	0.5428854025519593
UP,PP,UP	(0,2,inhibition)(1,2,activation)	2063	652.7557058772326	50394.088372993865	2.23517814756935E-6
UP,NP,UP	(0,2,activation)(1,2,activation)(2,0,activation)	103	49.52708382003016	10536.155646664274	0.1723061206299854
UP,NP,UP	(0,2,activation)(1,2,activation)(2,0,inhibition)	33	48.01386477557896	18580.039887301347	0.1886547456730968
UP,NP,NP	(0,2,inhibition)(2,1,inhibition)(2,0,inhibition)	15	88.94530945334031	20185.064530481126	0.49645539081920576
PP,PP,NP	(0,2,activation)(1,2,activation)(2,1,inhibition)(2,0,inhibition)	1	0.25446242739632347	0.9283521893705939	0.06148283505281582
UP,PP,UP	(0,2,activation)(1,2,activation)	4352	33362.40305829251	2.738827532798369E8	0.9911689256308769
NP,NP,NP	(0,2,activation)(0,1,activation)(1,2,activation)(1,0,activation)(2,0,activation)	1320	0.08389512427702314	0.1323880996739974	2.220446049250313E-16
PP,PP,NP	(0,2,activation)(0,1,activation)(1,2,activation)	129	43.031297443746126	385.2716229113321	4.659480115719594E-4
PP,UP,UP	(0,2,inhibition)(2,1,inhibition)(2,0,inhibition)	2	9.165029244470581	1483.028808576551	0.10401963933994873
PP,UP,UP	(0,2,inhibition)(0,1,inhibition)(1,2,activation)	1	1.5965521723285396	3.4041187106122366	0.40434830325964977
NP,PP,UP	(0,2,activation)(2,1,inhibition)(2,0,activation)	12	1.5214653568664795	24.633295573862505	0.041978241539025185
NP,PP,UP	(0,2,activation)(2,1,inhibition)(2,0,inhibition)	25	13.534362728012793	3136.1878248706485	0.08959115915253013
UP,PP,UP	(0,2,activation)(1,2,inhibition)	177	307.9047698687598	32412.664356091555	0.743119933234992
UP,PP,UP	(0,2,activation)(2,1,activation)	4368	4104.097288082094	2052084.201352328	0.3943382745792533
NP,UP,UP	(0,2,inhibition)(1,2,activation)	481	1797.4796232116262	716445.2217056141	0.9703196287425796
UP,PP,UP	(0,2,inhibition)(2,1,activation)	4927	3978.7033077061546	499819.1185623016	0.09467649545779155
UP,PP,UP	(2,1,inhibition)(2,0,inhibition)	8211	37242.47304773472	3.884795254362192E8	0.9649646044841055
NP,PP,PP	(0,2,activation)(2,1,activation)	1086	1978.8580704221567	476297.5129437428	0.9167879213581808
UP,NP,UP	(0,2,inhibition)(0,1,activation)(1,2,inhibition)	32	15.192101423851263	227.24565673855287	0.12651439100074224
UP,NP,UP	(0,2,inhibition)(2,1,activation)(2,0,activation)	27	15.372904060345117	360.5637753303365	0.20366245096573765
NP,PP,UP	(0,2,activation)(1,2,activation)(2,0,activation)	213	35.02301370379798	2520.8910631552862	0.011319268784077519
NP,NP,PP	(0,2,inhibition)(1,2,inhibition)(2,1,activation)(2,0,activation)	1	0.03858116452993464	0.05425015793867129	0.0057454492348048
NP,NP,NP	(0,2,activation)(2,1,activation)(2,0,inhibition)	1	6.499087785016431	221.6200519207732	0.29491399923345996
NP,NP,NP	(0,2,activation)(2,1,activation)(2,0,activation)	4205	132.29915186386944	12718.683902700897	1.9395596240201485E-13
UP,PP,UP	(2,1,activation)(2,0,inhibition)	212	3978.7033077061546	1114396.8484480418	0.9999999927839357
UP,PP,UP	(2,1,activation)(2,0,activation)	12873	19404.458783212438	1.3667101276089787E7	0.9709149604826404
UP,UP,UP	(0,2,inhibition)(2,1,activation)(2,0,activation)	18	9.807923437784538	156.24763148054632	0.19109871174429915
UP,UP,UP	(0,2,inhibition)(2,1,activation)(2,0,inhibition)	3	2.0110232323203077	18.257537226240984	0.1936620620024525
