Motif_Nodes	Motif_edges	Num_occ_input_graph	Mean_analytical	Variance_analytical	Pval_analytical
PP,PP,NP	(0,2,activation)(1,2,activation)(2,1,activation)(2,0,activation)	3	0.05303571255416372	0.07198374650377204	2.1553634148374634E-4
NP,UP,NP	(0,2,activation)(0,1,activation)(1,0,activation)(2,1,activation)	1	3.082768697766036	30.402045900218155	0.37388427866685625
PP,UP,NP	(0,2,inhibition)(2,1,inhibition)	159	505.0598490214549	294790.4177628008	0.66301658070306
UP,NP,NP	(0,2,inhibition)(2,1,activation)	18070	7390.283225000037	2496148.5478408188	5.3007626510392925E-8
UP,NP,NP	(0,2,inhibition)(2,1,inhibition)	2216	1762.1195515799739	2277499.1865170714	0.311330208814368
UP,NP,NP	(0,2,activation)(1,2,activation)(2,0,activation)	1121	48.56471699455717	1334.4785306671133	1.5543122344752192E-15
NP,UP,PP	(0,2,activation)(0,1,inhibition)(1,2,inhibition)	12	1.1117502898782083	2.9884584577852205	5.151794766098394E-4
NP,NP,UP	(2,1,inhibition)(2,0,activation)	1676	5151.223307012103	1267066.8496322818	0.9999431878967543
NP,NP,UP	(0,2,activation)(0,1,activation)(1,0,activation)(2,1,activation)	144	0.9559006379073368	1.7516792737456433	0.0
NP,NP,UP	(2,1,inhibition)(2,0,inhibition)	14152	16253.897973470515	9.392051257768637E7	0.5269050588863606
PP,PP,UP	(0,2,activation)(2,1,activation)	594	289.7265327564035	15148.788515266584	0.01680336399562532
PP,PP,UP	(0,2,activation)(2,1,inhibition)	379	88.67994343433958	4454.663245506549	0.0014911749374605376
PP,NP,UP	(0,2,activation)(2,1,activation)	2801	838.091684909287	97055.40367812861	3.0261731126524083E-6
UP,UP,NP	(0,2,activation)(0,1,inhibition)(1,2,activation)	11	58.1111299009578	281.20653929166565	0.9998978769545944
PP,NP,UP	(0,2,activation)(2,1,inhibition)	369	283.2551602310867	39015.51434476723	0.2830547086768064
PP,UP,NP	(0,2,activation)(2,1,activation)	2009	1202.381366687384	95718.82016945281	0.009844634896956639
NP,UP,NP	(0,2,activation)(0,1,activation)(1,0,inhibition)(2,1,activation)	2	1.041902881467689	11.048181974710394	0.11670778851236496
PP,PP,UP	(0,2,activation)(1,2,activation)(2,1,inhibition)(2,0,inhibition)	3	0.0129315696851709	0.08740395776722029	0.001363104301671969
NP,UP,PP	(0,2,inhibition)(1,2,inhibition)(2,0,activation)	47	6.0017626336693635	147.743794803264	0.017632943603554718
NP,NP,UP	(0,2,activation)(0,1,activation)(1,2,activation)	745	1274.0366661170872	528883.1117812889	0.7447049686925751
PP,UP,NP	(0,2,activation)(2,1,activation)(2,0,inhibition)	30	0.9210431435724408	12.241401953576366	0.0017598263603174624
NP,UP,PP	(0,2,inhibition)(2,1,inhibition)(2,0,inhibition)	12	42.57705091498033	14278.703389896771	0.21002847588809315
UP,NP,NP	(0,2,activation)(0,1,inhibition)(1,2,inhibition)	5	4.263776027646155	22.592145140307647	0.30240780297232284
NP,PP,UP	(0,2,inhibition)(1,2,inhibition)(2,0,inhibition)	2	0.9005008941845205	2.961363806962824	0.13296094157105032
NP,NP,UP	(0,2,inhibition)(2,1,activation)(2,0,activation)	10	33.465445479126245	1063.7161715781326	0.7098087207661834
NP,NP,UP	(0,2,inhibition)(2,1,activation)(2,0,inhibition)	10	2.4221781294349203	34.656320734770006	0.08303628379527306
NP,UP,UP	(0,1,activation)(1,2,activation)(2,0,activation)	19	5.292032632937129	20.174656833668344	0.009887704484018545
NP,PP,UP	(0,2,activation)(0,1,activation)(1,0,activation)(2,1,activation)	36	0.43167125312729526	1.5281067020885186	1.0179496134909982E-9
