Motif_Nodes	Motif_edges	Num_occ_input_graph	Mean_analytical	Variance_analytical	Pval_analytical
PP,PP,NP	(0,2,activation)(1,2,activation)(2,1,activation)(2,0,activation)	3	0.0036029296874789682	0.004220780551987535	1.7275207815359295E-6
NP,UP,PP	(0,2,activation)(0,1,inhibition)(1,2,activation)	4	1.682548667007172	4.996461229981348	0.10932043607650077
NP,UP,NP	(0,2,activation)(1,2,activation)(2,1,activation)(2,0,activation)	125	2.0124716908432725	22.422591728465846	7.171492288904346E-10
PP,UP,NP	(0,2,inhibition)(2,1,inhibition)	140	183.1731087391429	48965.34844321174	0.44139228627586635
UP,NP,NP	(0,2,inhibition)(2,1,activation)	22974	8788.631565140753	3348967.352853924	1.2480004807358114E-9
UP,NP,NP	(0,2,inhibition)(2,1,inhibition)	2957	2032.5234219038143	2490430.0137394555	0.23827739215909471
UP,NP,NP	(0,2,activation)(1,2,activation)(2,0,activation)	1185	91.24105302890246	9217.773389888689	1.868091942247574E-7
NP,UP,PP	(0,2,activation)(0,1,inhibition)(1,2,inhibition)	4	0.636583102878203	1.4708799846486431	0.01914267043288953
NP,NP,UP	(2,1,inhibition)(2,0,activation)	2163	6263.817983001584	1844463.99356585	0.999905409336888
UP,NP,NP	(0,2,activation)(1,2,activation)(2,0,inhibition)	3	78.10840592878709	50119.19204990837	0.21401461216715467
NP,NP,UP	(2,1,inhibition)(2,0,inhibition)	13585	15157.850241330063	8.141201307896891E7	0.5094168041169624
PP,PP,UP	(0,2,activation)(2,1,activation)	121	42.94003866539051	513.2772652653666	0.003592846211187384
PP,PP,UP	(0,2,activation)(2,1,inhibition)	103	50.91890110711442	1646.7765366874064	0.10790205813437559
PP,NP,UP	(0,2,activation)(2,1,activation)	1084	545.6771612677812	48143.23116774531	0.016884355968876608
UP,UP,NP	(0,2,activation)(0,1,inhibition)(1,2,activation)	14	103.75216121185821	1520.7137636696643	0.9992607325522675
NP,NP,UP	(0,2,activation)(1,2,activation)	14071	37435.33484299615	3.5304323986016846E8	0.9162604339009016
UP,NP,PP	(0,2,activation)(0,1,inhibition)(1,2,activation)	4	2.096329859842893	3.135060671993589	0.09851059424578668
PP,UP,NP	(0,2,activation)(2,1,activation)	1136	765.628173888336	50077.17855156609	0.05932392515922924
UP,PP,PP	(0,2,activation)(0,1,activation)(1,2,inhibition)	2	0.4947474196749569	0.6585613921197438	0.030456459797175484
NP,UP,NP	(0,2,activation)(0,1,activation)(1,0,inhibition)(2,1,activation)	2	1.196293433457707	14.666167939035287	0.12276991632722611
NP,UP,NP	(0,2,activation)(0,1,activation)(1,2,inhibition)(1,0,inhibition)	4	0.45414458212416736	5.854364538828077	0.0347301718160522
PP,PP,UP	(0,2,activation)(1,2,activation)(2,1,inhibition)(2,0,inhibition)	2	0.007947085614227722	0.04053017257708583	0.0011770690406138762
NP,UP,PP	(0,2,inhibition)(1,2,inhibition)(2,0,activation)	33	9.233371466239213	386.5116846463851	0.09835405911038275
