Motif_Nodes	Motif_edges	Num_occ_input_graph	Mean_analytical	Variance_analytical	Pval_analytical
PP,PP,NP	(0,2,activation)(1,2,activation)(2,1,activation)(2,0,activation)	4	0.012759246029549554	0.017364914254201065	6.597450965206697E-6
NP,UP,PP	(0,2,activation)(0,1,inhibition)(1,2,activation)	4	4.641972364492507	25.19806666967346	0.3981921139469924
NP,UP,NP	(0,2,activation)(1,2,activation)(2,1,activation)(2,0,activation)	121	1.8765129611203708	20.99200124011541	1.2146078587349507E-9
PP,UP,NP	(0,2,inhibition)(2,1,inhibition)	189	189.40780271537702	52017.16222626327	0.37237392172977735
UP,NP,NP	(0,2,inhibition)(2,1,activation)	21209	8190.109268625226	3135224.0318832844	6.837943766768717E-9
UP,NP,NP	(0,2,inhibition)(2,1,inhibition)	2690	2008.8137717463442	2517077.7182090795	0.27884960964718186
UP,NP,NP	(0,2,activation)(1,2,activation)(2,0,activation)	1154	83.88675374526703	8404.480583533368	1.7584983491580886E-7
NP,NP,UP	(2,1,inhibition)(2,0,activation)	2418	5863.023793588953	1642695.1033497527	0.9993249227629403
UP,NP,NP	(0,2,activation)(1,2,activation)(2,0,inhibition)	2	74.59478750599737	47757.0892833385	0.20643258406868903
NP,NP,UP	(2,1,inhibition)(2,0,inhibition)	12836	14485.991063594198	7.471229177247295E7	0.5160865916384643
PP,PP,UP	(0,2,activation)(2,1,activation)	410	94.44969329336605	1955.1871255195474	1.2102753008669254E-6
PP,PP,UP	(0,2,activation)(2,1,inhibition)	190	77.22883157655674	3449.975136242886	0.04912037884343712
PP,NP,UP	(0,2,activation)(2,1,activation)	2126	746.0451121326813	80075.10401414649	1.0705168211844196E-4
UP,UP,NP	(0,2,activation)(0,1,inhibition)(1,2,activation)	6	99.7780038622672	1473.5785331213283	0.9998857977507966
NP,NP,UP	(0,2,activation)(1,2,activation)	12545	34517.6151475869	3.020420042868705E8	0.9213678256244832
UP,NP,PP	(0,2,activation)(0,1,inhibition)(1,2,activation)	2	5.668428846447122	11.754148769122843	0.821957894817382
PP,UP,NP	(0,2,activation)(2,1,activation)	1810	1042.156948837857	79763.90932295984	0.008059108497836087
UP,PP,PP	(0,2,activation)(0,1,activation)(1,2,inhibition)	2	0.9543894490571133	1.771499506357895	0.11951869845537921
NP,UP,NP	(0,2,activation)(0,1,activation)(1,2,inhibition)(1,0,inhibition)	4	0.4382372984416706	5.5048715510441735	0.0337951173217832
PP,PP,UP	(0,2,activation)(1,2,activation)(2,1,inhibition)(2,0,inhibition)	3	0.013680220805745933	0.0957067997363364	0.0014428353177050601
NP,UP,PP	(0,2,inhibition)(1,2,inhibition)(2,0,activation)	24	10.772694625243835	436.86466735301656	0.163034754578108
NP,NP,UP	(0,1,activation)(1,2,activation)(2,0,activation)	192	20.952780549790116	124.41071197988873	4.107825191113079E-15
PP,UP,NP	(0,2,activation)(1,2,activation)(2,0,inhibition)	42	23.41401304700046	6470.603841806918	0.11752719364555198
NP,UP,PP	(0,2,inhibition)(2,1,inhibition)(2,0,inhibition)	12	2.7504920231855423	84.41801201718019	0.07795307323726886
UP,NP,NP	(0,2,activation)(0,1,inhibition)(1,2,inhibition)	1	5.580420008405476	32.96639849383027	0.7082832977301972
NP,PP,UP	(0,2,inhibition)(0,1,inhibition)(1,2,inhibition)	6	62.31198534554144	2804.5752398785053	0.8846385149289909
NP,NP,UP	(0,2,inhibition)(2,1,activation)(2,0,activation)	8	62.12831120361533	2910.1447666151817	0.8583695085757682
NP,UP,UP	(0,1,activation)(1,2,activation)(2,0,inhibition)	4	1.6732610995276869	4.537526533877067	0.10258434271983774
