Motif_Nodes	Motif_edges	Num_occ_input_graph	Mean_analytical	Variance_analytical	Pval_analytical
PP,PP,NP	(0,2,activation)(1,2,activation)(2,1,activation)(2,0,activation)	1	0.0032764128414704587	0.003811170632882768	2.324410614854555E-4
NP,UP,NP	(0,2,activation)(1,2,activation)(2,1,activation)(2,0,inhibition)	2	0.08299564525631549	0.804274563408112	0.010217817210370406
NP,UP,NP	(0,2,activation)(0,1,activation)(1,2,activation)(1,0,activation)	28	6.674119544797006	57.15000777926174	0.018603573019926434
PP,UP,NP	(0,2,inhibition)(2,1,inhibition)	185	177.54289547974452	47295.639934562794	0.3579749523615794
UP,NP,NP	(0,2,inhibition)(2,1,activation)	22699	8833.245145181709	3440868.1355906576	3.6005964876295593E-9
UP,NP,NP	(0,2,inhibition)(2,1,inhibition)	2940	2046.674830119734	2577111.785006969	0.24523366141939906
UP,NP,NP	(0,2,activation)(1,2,activation)(2,0,activation)	1209	91.41038262904088	9263.296033156275	1.3677686128144018E-7
NP,NP,UP	(2,1,inhibition)(2,0,activation)	1927	6297.012288666022	1868098.3098846897	0.9999737568691498
NP,NP,UP	(0,2,activation)(1,2,activation)(2,1,activation)(2,0,activation)	94	1.370058875560967	13.313108441685412	6.1380988070069975E-9
NP,NP,UP	(2,1,inhibition)(2,0,inhibition)	13487	15260.409599895564	8.263973871376377E7	0.5179241010564718
PP,PP,UP	(0,2,activation)(2,1,activation)	151	40.352621803975154	465.2016284921699	1.5586655528154747E-4
PP,PP,UP	(0,2,activation)(2,1,inhibition)	118	48.585053835396394	1513.048078155045	0.05876900766974469
PP,NP,UP	(0,2,activation)(2,1,activation)	856	526.5976873341107	45421.00157871749	0.07345777293523748
UP,UP,NP	(0,2,activation)(0,1,inhibition)(1,2,activation)	7	103.61339613789858	1518.817238614467	0.9998957747004374
PP,NP,UP	(0,2,activation)(2,1,inhibition)	174	136.52274800866326	10421.537854210645	0.2984482727729031
UP,NP,PP	(0,2,activation)(0,1,inhibition)(1,2,activation)	5	2.2335122869736868	3.6448290422880305	0.06364970654789481
PP,UP,NP	(0,2,activation)(2,1,activation)	730	738.6942016105469	47407.21123568772	0.4854734776613143
NP,UP,NP	(0,2,activation)(0,1,activation)(1,2,inhibition)(1,0,inhibition)	4	0.4556907413890122	5.888217509126184	0.034820918596740524
PP,PP,UP	(0,2,activation)(1,2,activation)(2,1,inhibition)(2,0,inhibition)	3	0.007472484562419388	0.03684690541914923	7.341422150615173E-4
NP,UP,PP	(0,2,inhibition)(1,2,inhibition)(2,0,activation)	45	8.44184110635257	342.68000299266544	0.05439083692852309
NP,NP,UP	(0,1,activation)(1,2,activation)(2,0,activation)	226	23.135818131784482	143.54606957413296	0.0
NP,UP,PP	(0,2,inhibition)(2,1,inhibition)(2,0,inhibition)	12	2.9494208835155007	92.13421428036253	0.08311267674585521
UP,NP,NP	(0,2,activation)(0,1,inhibition)(1,2,inhibition)	2	5.717343949928373	34.11229103532314	0.6284256090502591
NP,PP,UP	(0,2,inhibition)(0,1,inhibition)(1,2,inhibition)	8	64.48045297193585	3106.263482589963	0.8630045605069556
NP,NP,UP	(0,2,inhibition)(2,1,activation)(2,0,activation)	13	65.79433978598874	3198.123625329874	0.8254247607804914
NP,NP,UP	(0,2,inhibition)(2,1,activation)(2,0,inhibition)	10	3.6619615213630716	65.29114088713509	0.1290618906543256
NP,UP,UP	(0,1,activation)(1,2,activation)(2,0,activation)	19	6.652185215263075	29.78240548040195	0.028809427555640865
NP,PP,UP	(0,2,activation)(0,1,activation)(1,2,activation)(1,0,inhibition)	2	0.022298643350156442	0.07582130536216741	0.0030258164439268542
NP,UP,NP	(0,2,inhibition)(1,2,inhibition)	3900	11917.25954017122	1.7274073347122133E7	0.990335516533575
UP,NP,PP	(0,2,inhibition)(2,1,inhibition)	1820	352.4842870554988	66082.43723052052	1.5376085995633115E-4
PP,NP,UP	(0,2,inhibition)(2,1,inhibition)	101	141.61689381245313	4852.531272347685	0.6874555759593284
UP,UP,NP	(0,2,activation)(1,2,activation)(2,0,activation)	1530	151.67554328292633	25137.58163282071	8.32972529785092E-6
UP,UP,PP	(0,2,inhibition)(1,2,inhibition)(2,0,activation)	51	2.7159023645122624	89.9635945744433	0.008566104509575512
NP,UP,UP	(0,2,activation)(1,2,inhibition)	4926	2281.9438494724377	567862.9985523773	0.0018054057565519699
UP,NP,UP	(0,2,activation)(0,1,activation)(1,2,activation)(1,0,activation)(2,0,activation)	3	0.15767764546610927	0.7718148502681604	0.015644322994016857
UP,UP,PP	(0,2,inhibition)(1,2,inhibition)(2,0,inhibition)	14	2.817242271857265	106.4313356657865	0.06797402344514758
NP,UP,NP	(0,2,inhibition)(1,2,activation)	2855	7894.466292149303	7436519.5326671675	0.9859780852582435
NP,UP,UP	(0,2,activation)(2,1,activation)	6848	2381.326043108553	1014454.3033475587	3.744071186914111E-4
NP,UP,PP	(0,2,activation)(0,1,activation)(1,2,activation)	49	11.750588179166286	73.62705877536183	0.0012865133138129092
UP,PP,NP	(0,2,activation)(1,2,activation)(2,0,inhibition)	6	6.982475326652777	440.56274569034645	0.16516855118890472
UP,PP,NP	(0,2,activation)(1,2,activation)(2,0,activation)	54	8.153063526635083	84.82604800099097	0.001428472504207412
NP,UP,NP	(0,2,activation)(1,2,activation)(2,0,activation)	2537	527.5165484541625	216023.3916713911	0.002145203878480162
NP,UP,NP	(0,2,activation)(1,2,activation)(2,0,inhibition)	38	122.22629672875013	123028.64761555268	0.2015240703497354
NP,NP,PP	(0,1,activation)(1,2,activation)(2,0,inhibition)	5	0.6913850938064245	1.0809200967395491	0.002913727144309042
NP,PP,NP	(0,2,activation)(0,1,activation)(1,2,activation)(1,0,activation)	5	0.6601337328625159	3.675113816832672	0.036302583338282846
NP,PP,NP	(0,2,activation)(0,1,activation)(1,2,activation)(1,0,inhibition)	6	0.023998595753478746	0.08539154143118556	3.354514282194465E-4
NP,NP,PP	(0,1,activation)(1,2,activation)(2,0,activation)	11	2.463598818550274	4.404278028050528	0.0016070258737506116
NP,PP,UP	(0,1,inhibition)(1,0,inhibition)(2,1,inhibition)(2,0,inhibition)	13	0.18677634128199408	1.100987527222661	7.049922765093308E-4
PP,UP,UP	(0,2,activation)(0,1,activation)(1,2,inhibition)	2	0.42627396891230945	0.7450800612298994	0.037399585804619995
PP,NP,UP	(0,2,activation)(1,2,activation)(2,0,activation)	1	6.4474431406206385	838.2822314059003	0.09237103436294047
PP,NP,UP	(0,2,activation)(1,2,activation)(2,0,inhibition)	30	7.762800980055593	1217.1846593295122	0.0651083954607723
PP,PP,PP	(0,2,activation)(2,1,activation)	57	4.296916185777926	16.38594901240404	3.1827975810472253E-9
UP,UP,NP	(0,2,activation)(0,1,inhibition)(1,2,inhibition)(1,0,inhibition)	1	0.058960056480969344	0.12898332953688907	0.013949742047008051
NP,UP,UP	(0,2,inhibition)(0,1,activation)(1,2,inhibition)	30	5.0933732443444475	55.09613945809315	0.013112309036727998
NP,NP,NP	(0,2,inhibition)(2,1,inhibition)	406	1102.3799548430698	1133484.6106578677	0.685132825155195
NP,UP,PP	(0,2,inhibition)(1,2,inhibition)	2645	5391.804949851347	6575972.1899344735	0.8678707265886618
NP,UP,PP	(0,2,inhibition)(1,2,activation)	804	964.4056335364944	162367.98922842206	0.6196907824102069
UP,PP,NP	(0,2,activation)(0,1,inhibition)(1,2,inhibition)	3	0.9846575901476614	1.7788305882195923	0.05671772281893317
UP,PP,NP	(0,2,activation)(0,1,inhibition)(1,2,activation)	8	13.86263770649504	79.30897326268462	0.6885057904556535
UP,UP,PP	(0,2,activation)(2,1,activation)(2,0,activation)	1	0.8812164158029644	9.205651423354556	0.11963952589089277
PP,UP,PP	(0,2,activation)(2,1,activation)	52	22.616702558675428	267.20562821768453	0.055151451698854825
PP,UP,PP	(0,2,activation)(2,1,inhibition)	11	23.460611592996425	639.164898044686	0.5821027290481644
PP,UP,UP	(0,2,inhibition)(2,1,activation)	204	220.32014262590204	7579.947519685476	0.5333870333041375
PP,UP,NP	(0,2,inhibition)(1,2,activation)(2,0,activation)	56	1.147202393259545	34.19562490962614	0.0019237745790416927
PP,UP,NP	(0,2,inhibition)(1,2,activation)(2,0,inhibition)	12	1.234449894392124	40.195580981116954	0.03487514226634736
NP,PP,PP	(0,2,activation)(0,1,activation)(1,2,activation)	21	1.2512518464041034	2.2196693657536586	7.5091085571799E-9
PP,UP,UP	(0,2,inhibition)(2,1,inhibition)	10	211.12530803374287	10602.164246740926	0.9983633940644413
NP,UP,NP	(0,2,inhibition)(0,1,activation)(1,2,activation)	160	5.360600307847222	32.41165427854071	1.5543122344752192E-15
NP,UP,PP	(0,2,inhibition)(1,2,activation)(2,0,activation)	11	1.5099506002365366	16.39096811903884	0.038186591482941123
NP,UP,PP	(0,2,inhibition)(1,2,activation)(2,0,inhibition)	23	0.42375297858030764	4.4133737774241295	0.0010139191420514004
UP,UP,UP	(0,2,activation)(2,1,activation)	10210	3951.2898965540726	2801826.7955291383	0.0015821048729828258
NP,UP,NP	(0,2,inhibition)(2,1,activation)(2,0,activation)	20	42.19406059535442	2025.4142695491344	0.5879271083257468
NP,UP,NP	(0,2,inhibition)(0,1,activation)(1,2,inhibition)	19	8.092208237467116	136.85884326502793	0.14144578483284298
UP,PP,UP	(0,2,activation)(0,1,inhibition)(1,2,activation)	2	12.880670906119787	105.22074071420741	0.8626933125670829
UP,PP,UP	(0,2,activation)(2,1,inhibition)(2,0,inhibition)	4	7.83833813708076	1306.4167780867174	0.0852653281319442
UP,UP,NP	(0,2,activation)(0,1,inhibition)(1,2,inhibition)	1	6.798785157253428	13.487773450674332	0.95745668438766
