Motif_Nodes	Motif_edges	Num_occ_input_graph	Mean_analytical	Variance_analytical	Pval_analytical
NP,UP,PP	(0,2,activation)(1,2,inhibition)(2,0,activation)	148	6.2886858712015465	72.92527662022928	2.7491359189113496E-9
NP,UP,PP	(0,2,activation)(1,2,inhibition)(2,0,inhibition)	36	0.8472430962792913	9.233767438349403	2.8118375029695386E-4
NP,UP,UP	(0,2,activation)(1,2,activation)	30013	101065.86496016713	2.4180668297152996E9	0.9559386446812567
NP,PP,UP	(0,2,activation)(0,1,activation)(1,2,activation)(1,0,activation)	36	6.155484148842742	55.54292269836868	0.005137017638364383
NP,UP,PP	(0,2,inhibition)(2,1,activation)	144	632.9345597658686	78895.10433403397	0.985878996611585
PP,NP,NP	(0,2,inhibition)(2,1,activation)(2,0,activation)	24	10.386607528490416	501.432491726071	0.15430022840864088
PP,UP,PP	(0,2,inhibition)(1,2,inhibition)(2,0,activation)	24	1.4418400634731434	24.711471156915692	0.011111457169270533
NP,NP,PP	(0,2,activation)(1,2,activation)(2,1,activation)(2,0,activation)	90	0.32448685966396595	0.5464757302414146	0.0
PP,NP,NP	(0,2,inhibition)(2,1,activation)	1406	512.6392129272218	37241.277217286406	1.8541684533224245E-4
NP,NP,NP	(0,2,activation)(1,2,activation)	24905	23296.617870205766	8.186467661168873E7	0.3932235795535626
UP,UP,NP	(0,2,activation)(1,2,inhibition)(2,0,activation)	247	7.361050306077684	106.93457911316978	1.6222578835822787E-12
PP,UP,PP	(0,2,inhibition)(2,1,inhibition)	105	31.10544417029847	956.6409642740534	0.030190401886529994
PP,UP,PP	(0,2,inhibition)(2,1,activation)	66	83.535454830945	1787.9822322140253	0.614232871269248
UP,PP,PP	(0,2,activation)(2,1,activation)(2,0,activation)	3	8.31869951648829	87.22606834932421	0.5960412860425129
PP,PP,PP	(0,2,activation)(0,1,activation)(1,2,activation)(1,0,inhibition)(2,0,activation)	1	3.379769453071994E-5	3.3965539160179994E-5	8.407257867659723E-8
UP,UP,NP	(0,2,activation)(2,1,activation)(2,0,activation)	376	38.368534628857674	1434.5812216453817	4.195205254853285E-6
NP,PP,NP	(0,2,activation)(0,1,activation)(1,0,activation)(2,1,activation)	180	0.904093950305406	1.895333864171608	3.3306690738754696E-16
PP,UP,UP	(0,2,activation)(0,1,activation)(1,2,activation)	43	113.63467240226262	7155.2359701779915	0.7824908049029468
PP,UP,UP	(0,2,activation)(1,2,activation)(2,0,inhibition)	34	24.748737111051916	6014.918265550868	0.1426304454599815
NP,PP,PP	(0,1,activation)(1,2,activation)(2,0,activation)	186	4.826822639090101	11.064564882584229	5.551115123125783E-16
NP,PP,PP	(0,2,inhibition)(2,1,inhibition)(2,0,inhibition)	18	0.49835082545048887	3.5926198052358425	0.0010392119777887787
NP,PP,PP	(0,2,inhibition)(0,1,inhibition)(1,2,activation)	2	44.57381713091349	789.075821501709	0.9821739309038999
PP,NP,NP	(0,2,inhibition)(0,1,inhibition)(1,2,inhibition)	2	11.065086197605686	230.83336399065922	0.5708297731458838
PP,PP,UP	(0,2,inhibition)(1,2,inhibition)(2,1,activation)(2,0,activation)	3	0.0010206336608684754	0.001038020301946908	7.222688003238886E-10
NP,PP,PP	(0,2,inhibition)(1,2,inhibition)	281	285.0385871931672	21000.212331348623	0.4584147551029135
NP,PP,NP	(0,1,activation)(1,0,activation)(2,1,activation)(2,0,activation)	180	4.242892444111842	43.03422182593471	1.603162047558726E-13
PP,PP,PP	(0,2,activation)(0,1,activation)(1,2,activation)(1,0,activation)(2,0,activation)	120	0.005261522181917886	0.005568757877028657	0.0
UP,PP,NP	(0,2,inhibition)(0,1,inhibition)(1,2,inhibition)	26	10.773160050290976	67.07830841589337	0.049474510071202626
NP,UP,NP	(0,2,inhibition)(1,2,activation)	2118	7039.121378309885	6176723.188908368	0.9926269997520123
NP,PP,PP	(0,2,inhibition)(0,1,activation)(1,2,activation)	14	1.5770451399574885	4.328729389821577	4.64753206319779E-4
NP,UP,NP	(0,2,inhibition)(1,2,inhibition)	4179	14102.76140859685	2.4954035705434144E7	0.9929214138149176
NP,PP,PP	(0,2,inhibition)(0,1,activation)(1,2,inhibition)	126	0.9220655635488141	3.163222566847099	1.1102230246251565E-16
UP,UP,NP	(0,2,inhibition)(1,2,inhibition)	22640	11300.449029933872	5676415.040775806	3.371590979484029E-5
PP,PP,UP	(0,2,inhibition)(1,2,inhibition)(2,1,inhibition)(2,0,inhibition)	1	1.5288217747806373E-4	1.5442903380658859E-4	7.771131287359623E-7
UP,NP,UP	(0,2,inhibition)(0,1,activation)(1,2,inhibition)	19	17.240029358814677	194.1678120222087	0.36007933626594624
NP,UP,NP	(0,2,activation)(2,1,activation)	13055	5180.2772544704585	1925503.9732459933	4.509052163648164E-6
NP,UP,NP	(0,2,activation)(2,1,inhibition)	16966	5601.3900061312925	1.4597283769933276E7	0.010719757159609933
NP,NP,NP	(0,2,activation)(1,2,inhibition)(2,0,inhibition)	15	4.804332780207328	111.52052012279864	0.11426002521108791
PP,NP,UP	(0,2,activation)(0,1,inhibition)(1,2,inhibition)	15	0.18414789777592389	0.31131357096901957	1.415170536311905E-9
PP,NP,UP	(0,2,activation)(1,2,inhibition)(2,0,activation)	4	1.0274650740805724	4.437375027525537	0.07222232917599591
NP,PP,NP	(0,2,activation)(0,1,activation)(1,2,activation)(1,0,activation)	180	5.1427954886000125	37.231228291728684	4.440892098500626E-16
NP,NP,PP	(0,2,activation)(2,1,activation)	2438	3893.264601822657	912030.1200223528	0.9486272530633268
