Motif_Nodes	Motif_edges	Num_occ_input_graph	Mean_analytical	Variance_analytical	Pval_analytical
PP,PP,NP	(0,2,activation)(1,2,activation)(2,1,activation)(2,0,activation)	1	0.13108271220977166	0.38148286898797334	0.03277902089464635
NP,UP,NP	(0,2,activation)(1,2,activation)(2,1,activation)(2,0,activation)	125	1.2616274579510527	13.739311541171165	1.3686807243118437E-10
PP,UP,NP	(0,2,inhibition)(2,1,inhibition)	161	374.97512926360116	184642.6808745348	0.5826621770645292
UP,NP,NP	(0,2,inhibition)(2,1,activation)	20453	7426.519561694517	2813383.3869393244	1.9725074906773443E-9
UP,NP,NP	(0,2,inhibition)(2,1,inhibition)	3313	2003.4602738523554	2909947.0563432123	0.19378850187110552
UP,NP,NP	(0,2,activation)(1,2,activation)(2,0,activation)	1249	62.81812889426328	6329.941407457976	1.0541056583157626E-8
NP,UP,PP	(0,2,activation)(0,1,inhibition)(1,2,inhibition)	4	1.0850266911976327	2.5533657454100402	0.0455377224106196
NP,NP,UP	(2,1,inhibition)(2,0,activation)	1863	5223.738637771817	1326899.153873261	0.9998293929984046
UP,NP,NP	(0,2,activation)(1,2,activation)(2,0,inhibition)	2	51.62347807620282	33130.4352324427	0.14754112214022153
NP,NP,UP	(2,1,inhibition)(2,0,inhibition)	15004	16215.304672478349	9.397594394777855E7	0.48901822937243244
PP,PP,UP	(0,2,activation)(2,1,activation)	578	357.53505951893027	21682.264093608494	0.07889132778160934
PP,PP,UP	(0,2,activation)(2,1,inhibition)	339	138.6393820916185	10282.804212585583	0.045341260850988996
PP,NP,UP	(0,2,activation)(2,1,activation)	3291	1315.6720224077537	225582.40076228627	4.936657046059612E-4
UP,UP,NP	(0,2,activation)(0,1,inhibition)(1,2,activation)	13	77.73207637610929	1084.09599571728	0.9952029256294646
NP,NP,UP	(0,2,activation)(1,2,activation)	11676	30969.290227586567	2.44462211160614E8	0.9141536455091454
UP,NP,PP	(0,2,activation)(0,1,inhibition)(1,2,activation)	2	17.54084206886673	56.46835208202015	0.9963801063890272
PP,UP,NP	(0,2,activation)(2,1,activation)	2293	1870.4733695009525	235617.5226703668	0.18702962939650125
UP,PP,PP	(0,2,activation)(0,1,activation)(1,2,inhibition)	12	4.249249148756472	31.411053763245793	0.08898057055155173
NP,UP,NP	(0,2,activation)(0,1,activation)(1,0,inhibition)(2,1,activation)	2	0.9931505677026007	10.461101654221988	0.11191235889159257
PP,PP,UP	(0,2,activation)(1,2,activation)(2,1,inhibition)(2,0,inhibition)	2	0.034139050008583374	0.4365927128588068	0.0036135472953483516
NP,UP,PP	(0,2,inhibition)(1,2,inhibition)(2,0,activation)	45	8.579382451636437	177.13821222241944	0.02604228721338875
NP,NP,UP	(0,1,activation)(1,2,activation)(2,0,activation)	206	14.569500991798584	69.4171845029785	1.7763568394002505E-15
PP,UP,NP	(0,2,activation)(1,2,activation)(2,0,inhibition)	43	26.736915097411202	10642.561162152493	0.10248462060866104
NP,UP,PP	(0,2,inhibition)(2,1,inhibition)(2,0,inhibition)	12	26.270069824822883	7762.514032512114	0.15077731603919142
UP,NP,NP	(0,2,activation)(0,1,inhibition)(1,2,inhibition)	3	4.780395678965535	27.501325358934963	0.4790708785257777
NP,NP,UP	(0,2,inhibition)(2,1,activation)(2,0,activation)	2	38.82302729548141	1437.5941512137533	0.8423059408588643
NP,UP,UP	(0,1,activation)(1,2,activation)(2,0,inhibition)	4	1.6281481891420875	4.381323573936395	0.09791844407216743
NP,UP,UP	(0,1,activation)(1,2,activation)(2,0,activation)	17	4.865968900592236	17.716222061844064	0.012523360527348926
NP,UP,NP	(0,2,inhibition)(1,2,inhibition)	4794	12409.39847474239	2.198963441464892E7	0.97015281098134
NP,PP,PP	(0,2,activation)(2,1,activation)	710	920.6371335871041	109930.5058592062	0.7184353435108508
UP,NP,PP	(0,2,inhibition)(2,1,inhibition)	1451	553.0976879641327	387605.403819173	0.09191281153431785
PP,NP,UP	(0,2,inhibition)(2,1,inhibition)	113	327.13557076864225	37636.2167705826	0.8830307542002678
UP,UP,NP	(0,2,activation)(1,2,activation)(2,0,activation)	1428	108.42082259014576	18607.67302735917	7.191895071034793E-6
UP,UP,PP	(0,2,inhibition)(1,2,inhibition)(2,0,activation)	25	3.5539382318422197	60.11872114636077	0.028961213336908154
NP,UP,UP	(0,2,activation)(1,2,inhibition)	4106	2078.632339035914	473811.4133779323	0.005882936934604177
UP,NP,UP	(0,2,activation)(0,1,activation)(1,2,activation)(1,0,activation)(2,0,activation)	3	0.11060742452130937	0.44342310082305236	0.00977860675953901
UP,UP,PP	(0,2,inhibition)(1,2,inhibition)(2,0,inhibition)	24	2.6409817708003334	68.0076720953589	0.0332129718348505
NP,UP,NP	(0,2,inhibition)(1,2,activation)	2351	5987.646242001128	4905763.848670498	0.9713925075728316
NP,UP,UP	(0,2,activation)(1,2,activation)	29571	106902.7677395381	2.697146330368368E9	0.9627890763909536
NP,UP,PP	(0,1,activation)(1,2,activation)(2,0,activation)	18	3.8382136371618403	9.401337632316782	7.601844551865522E-4
UP,PP,NP	(0,2,activation)(1,2,activation)(2,0,inhibition)	4	15.813835731585161	3181.270745928323	0.13959594386184493
UP,PP,NP	(0,2,activation)(1,2,activation)(2,0,activation)	116	19.243096519630942	612.0610076175328	0.006623780345843766
NP,UP,NP	(0,2,activation)(1,2,activation)(2,0,activation)	2429	324.62954748158995	125166.37854620825	4.0913915962570435E-4
NP,UP,NP	(0,2,activation)(1,2,activation)(2,0,inhibition)	46	87.57566672989869	95273.62868601091	0.1374396545098252
NP,PP,NP	(0,2,activation)(1,2,activation)(2,1,activation)(2,0,activation)	26	0.995155499973744	9.230304805199589	0.001084451311070822
NP,NP,PP	(0,1,activation)(1,2,activation)(2,0,activation)	18	11.49223485307483	39.92170504694204	0.13538653515297205
NP,PP,UP	(0,1,inhibition)(1,0,inhibition)(2,1,inhibition)(2,0,inhibition)	13	0.19203105656650996	0.9629617565774279	3.9326208022305575E-4
PP,NP,UP	(0,2,activation)(1,2,activation)(2,0,activation)	1	38.93398205283583	6031.45313286132	0.38923326259291313
PP,NP,UP	(0,2,activation)(1,2,activation)(2,0,inhibition)	28	15.097213742993862	2660.7915670880802	0.11703795160157393
PP,PP,PP	(0,2,activation)(2,1,activation)	546	282.01905298696147	15811.657204003277	0.03192325124671125
PP,PP,NP	(0,2,activation)(2,1,activation)	852	1070.5180223469617	77836.43258849252	0.7753976472203574
NP,NP,NP	(0,2,inhibition)(2,1,inhibition)	530	935.8879123779149	957480.8414566872	0.5593362736949206
UP,PP,PP	(0,2,inhibition)(0,1,activation)(1,2,inhibition)	4	1.4829154728331864	6.435794784082324	0.11118456455184333
NP,UP,PP	(0,2,inhibition)(1,2,inhibition)	1593	2608.8887312946713	1109243.203365637	0.8333425458017577
PP,PP,PP	(0,2,inhibition)(1,2,inhibition)(2,1,activation)(2,0,activation)	2	0.0019500448254171827	0.00210897097023714	3.002651101535747E-6
NP,UP,PP	(0,2,inhibition)(1,2,activation)	1043	1621.679443422952	457285.69477525074	0.7971980914294534
UP,PP,NP	(0,2,activation)(0,1,inhibition)(1,2,activation)	3	23.325802962349623	165.33961941181803	0.9770522148630489
NP,NP,PP	(0,2,inhibition)(0,1,inhibition)(1,2,inhibition)	6	120.50504730608154	19986.987183199526	0.7398104346128915
UP,UP,PP	(0,2,activation)(2,1,activation)(2,0,activation)	1	9.212779678858984	133.91992427016504	0.6479160077259722
PP,UP,PP	(0,2,activation)(2,1,activation)	761	492.76062363480736	39005.27766204177	0.09621340367115994
PP,UP,PP	(0,2,activation)(2,1,inhibition)	421	366.1773895583861	194831.75941624434	0.33238154959957744
PP,NP,PP	(0,2,activation)(2,1,inhibition)(2,0,activation)	2	0.7159638589464079	56.68092602765636	0.016838544405239464
PP,UP,UP	(0,2,inhibition)(2,1,activation)	1377	464.22840366142543	67541.10538656107	0.0035976914947407623
PP,UP,NP	(0,2,inhibition)(1,2,activation)(2,0,inhibition)	12	1.5127238254929676	50.25525571305116	0.04242247782960051
NP,PP,PP	(0,2,activation)(0,1,activation)(1,2,activation)	37	67.35124499902983	997.4552533316037	0.8278493106346678
NP,UP,NP	(0,2,inhibition)(0,1,activation)(1,2,inhibition)	21	8.145817575755917	156.57126605093873	0.12777892005293945
PP,UP,UP	(0,2,inhibition)(2,1,inhibition)	8	473.17650233172867	77805.60507304172	0.9947640859608409
NP,UP,NP	(0,2,inhibition)(1,2,activation)(2,0,activation)	61	20.311553141392643	805.8359286093422	0.09068678068429714
NP,UP,PP	(0,2,inhibition)(1,2,activation)(2,0,activation)	11	5.332925084995112	144.3551627760637	0.16226701180220815
NP,UP,PP	(0,2,inhibition)(1,2,activation)(2,0,inhibition)	23	1.3009306686472495	39.46506099385879	0.01862607845640485
NP,UP,NP	(0,2,inhibition)(2,1,activation)(2,0,activation)	46	33.08286475907989	1582.1960596684314	0.2734617670763734
PP,PP,UP	(0,2,activation)(0,1,activation)(1,2,activation)	14	85.71477229222837	3227.0573433173804	0.9350850661534276
UP,NP,PP	(0,2,activation)(0,1,activation)(1,2,activation)	276	241.6641234737523	3737.5932575582337	0.2703091188061659
UP,NP,PP	(0,2,activation)(0,1,activation)(1,2,inhibition)	13	17.837519716258214	206.5481525483329	0.5398651634581362
NP,UP,PP	(0,2,inhibition)(2,1,activation)(2,0,inhibition)	1	0.4034353584249933	4.971548781621524	0.05020757471971615
NP,UP,PP	(0,2,inhibition)(2,1,activation)(2,0,activation)	23	8.623921952881103	147.44053356580844	0.1124754035243547
PP,NP,UP	(0,2,inhibition)(0,1,inhibition)(1,2,inhibition)	2	59.18152853490256	7781.139286561583	0.5797633931128396
PP,NP,PP	(0,2,activation)(0,1,activation)(1,2,activation)	34	66.86902432472034	512.5729391703981	0.9409879149356754
UP,PP,UP	(0,2,inhibition)(1,2,inhibition)	964	1802.2797131333384	920503.4271112117	0.8026394934810821
PP,NP,NP	(0,2,activation)(1,2,inhibition)(2,0,activation)	14	3.100272717879088	24.748628903234994	0.04142614358102781
UP,PP,NP	(0,2,inhibition)(1,2,activation)	3429	2274.967994846878	283061.50556802005	0.022700945354449664
UP,PP,PP	(2,1,activation)(2,0,inhibition)	146	366.1773895583861	229795.63353978837	0.5351234278352868
PP,UP,UP	(0,2,activation)(2,1,inhibition)	83	636.7480762794129	182862.62331467256	0.9471197082855646
NP,NP,UP	(0,2,activation)(1,2,activation)(2,1,activation)(2,0,activation)	94	0.8128002274414575	5.754004805162822	4.0715208982078366E-12
NP,NP,UP	(0,2,activation)(0,1,activation)(1,0,activation)(2,1,inhibition)	2	0.09790737683954671	0.12421733780573148	0.0019727058796258357
UP,UP,PP	(0,2,activation)(0,1,inhibition)(1,2,inhibition)	1	1.6337794502298533	2.232311433006286	0.4552724207777309
