Motif_Nodes	Motif_edges	Num_occ_input_graph	Mean_analytical	Variance_analytical	Pval_analytical
PP,UP,NP	(0,2,activation)(0,1,inhibition)(1,2,activation)	2	18.48914681926417	695.5066600087434	0.5786171901945563
PP,UP,NP	(0,2,activation)(1,2,inhibition)(2,0,inhibition)	13	2.338516569276864	39.13056228377065	0.05981153703895592
PP,UP,UP	(0,2,activation)(2,1,activation)	2091	759.5404319414924	114567.08941342111	0.001161667434396163
PP,UP,NP	(0,2,inhibition)(2,1,activation)	200	671.8845932080613	131207.142917639	0.933150844350706
NP,PP,PP	(0,2,inhibition)(0,1,activation)(1,2,activation)	21	0.5588940316232942	1.3179065964584198	3.591173669548198E-8
NP,UP,NP	(0,2,inhibition)(1,2,inhibition)(2,0,activation)	60	35.297553303094304	1388.9683991417767	0.2045785724592707
UP,NP,NP	(0,1,activation)(1,0,activation)(2,1,activation)(2,0,activation)	268	7.296240190460041	128.14109598937912	1.24074084340009E-11
NP,UP,NP	(0,2,inhibition)(1,2,inhibition)(2,0,inhibition)	105	10.208884240704807	950.9755440856546	0.025735040539183074
PP,PP,NP	(0,2,activation)(1,2,activation)(2,1,activation)(2,0,activation)	12	0.06342138181470804	0.08521389933865721	2.222655393069317E-11
PP,PP,UP	(0,2,inhibition)(1,2,inhibition)	481	309.09557962571535	94977.85068310359	0.23300586227011377
PP,PP,PP	(0,2,inhibition)(1,2,inhibition)	251	189.93039020381687	39523.32961131421	0.29344938254356034
UP,UP,PP	(0,2,activation)(1,2,inhibition)(2,0,activation)	1	1.758147228742693	25.696353655195235	0.17860102944959733
UP,UP,PP	(0,2,activation)(1,2,inhibition)(2,0,inhibition)	10	1.8551472641425808	76.64710853533299	0.05284452790062344
NP,UP,NP	(0,2,inhibition)(2,1,inhibition)	377	1332.093748337434	1786173.7954571513	0.7120712736465236
NP,UP,NP	(0,2,inhibition)(2,1,activation)	412	1435.21558174273	347660.3241791227	0.9829363929244986
UP,NP,NP	(0,2,activation)(0,1,activation)(1,2,inhibition)	54	86.04957853862452	2987.9099947811465	0.6777011790800658
UP,NP,UP	(0,2,activation)(1,2,activation)(2,1,inhibition)(2,0,inhibition)	14	0.3011231985602458	1.8349280340990346	9.833823154921095E-4
UP,UP,PP	(0,2,activation)(0,1,activation)(1,2,inhibition)	30	6.569201868542151	57.02257406648601	0.01362392524332423
UP,UP,PP	(0,2,activation)(2,1,activation)(2,0,activation)	42	12.685835319662317	639.3301215991204	0.10586552514322978
UP,NP,PP	(0,2,activation)(0,1,inhibition)(1,2,activation)(1,0,activation)	1	0.08809578120760661	0.16993740537823576	0.019703785506472782
UP,NP,NP	(0,2,activation)(1,2,activation)(2,1,inhibition)(2,0,inhibition)	2	4.158497839269057	51.66767845880118	0.36756384635366557
UP,NP,PP	(0,1,activation)(1,0,inhibition)(2,1,activation)(2,0,inhibition)	2	0.04027299531485039	0.0617728260670891	0.0015566363106299663
PP,NP,PP	(0,2,activation)(0,1,activation)(1,0,activation)(2,1,activation)	4	0.19362608253306587	0.36646467096612934	0.0019065291870599133
PP,NP,PP	(0,2,activation)(0,1,activation)(1,0,activation)(2,1,inhibition)	4	0.020469893505074103	0.02686384352315929	7.24016813302697E-6
NP,UP,UP	(0,2,activation)(2,1,activation)(2,0,activation)	315	24.010126543063993	432.7090691921585	3.432297779326632E-10
NP,UP,UP	(0,2,activation)(1,2,activation)(2,0,inhibition)	71	75.50159829434072	27502.616923572168	0.24699771523171576
PP,NP,NP	(0,2,activation)(1,2,activation)(2,0,inhibition)	11	12.082769577235055	349.3041576239657	0.33698944387997276
PP,NP,NP	(0,2,activation)(2,1,activation)(2,0,activation)	249	47.601721625047425	2413.207324834242	0.003810449933301596
PP,NP,NP	(0,2,inhibition)(0,1,inhibition)(1,2,inhibition)	6	223.6805779874221	72907.72052680438	0.7327403390720539
PP,NP,NP	(0,2,inhibition)(0,1,inhibition)(1,2,activation)	100	143.33629072047478	11823.354274213554	0.5852753328872429
NP,PP,PP	(0,2,inhibition)(0,1,inhibition)(1,2,activation)	8	24.05099703551831	442.6828570755508	0.7353293450295435
PP,NP,PP	(0,2,activation)(0,1,activation)(1,2,activation)(1,0,activation)	4	2.081298567454162	20.9280171808782	0.16414640364632216
