Motif_Nodes	Motif_edges	Num_occ_input_graph	Mean_analytical	Variance_analytical	Pval_analytical
NP,UP,PP	(0,2,activation)(2,1,inhibition)(2,0,activation)	49	2.3375565285708255	33.50722016850912	7.021873202660567E-4
NP,UP,PP	(0,2,activation)(1,2,inhibition)(2,0,inhibition)	44	1.1450733769868582	14.439132078227633	2.502619435725828E-4
NP,UP,UP	(0,2,activation)(2,1,activation)	5363	1735.800341099133	544037.4520022203	1.3304359112709108E-4
NP,UP,PP	(0,2,inhibition)(2,1,activation)	250	957.0624214938481	162862.8993340541	0.9849905947995868
PP,NP,NP	(0,2,inhibition)(2,1,activation)(2,0,activation)	51	9.293247821218776	435.1032463575941	0.053350833216134874
PP,UP,PP	(0,2,inhibition)(1,2,inhibition)(2,0,activation)	20	3.536727532092238	66.18153495940622	0.050792095192704
UP,PP,PP	(0,2,activation)(1,2,activation)(2,1,activation)(2,0,activation)	5	0.14355110153119102	0.4134524973476249	0.002295214349806507
NP,NP,PP	(0,2,activation)(1,2,activation)(2,1,activation)(2,0,activation)	90	0.389392588067051	2.000952861856298	2.220446049250313E-16
NP,NP,UP	(0,2,inhibition)(1,2,inhibition)	8153	2126.0611340651703	1951766.0793881658	0.0012100545844622168
NP,NP,NP	(0,2,activation)(1,2,activation)	14379	11591.942085043507	6481684.845329404	0.1382794773745737
UP,UP,NP	(0,2,activation)(0,1,inhibition)(1,2,inhibition)	1	3.999247849826133	5.561906145677412	0.8661356589255977
PP,UP,PP	(0,2,inhibition)(2,1,inhibition)	156	88.80236972337963	3071.8354541743975	0.11774714930804986
PP,UP,PP	(0,2,inhibition)(2,1,activation)	208	187.36772080208965	5051.1407180988535	0.3511497044284386
UP,PP,PP	(0,2,activation)(1,2,activation)(2,0,activation)	18	12.107843934445249	638.0553780981447	0.21122267709667153
PP,PP,UP	(0,2,activation)(0,1,activation)(1,2,activation)(1,0,activation)(2,0,inhibition)	2	0.0012542445092799533	0.001341976986234328	1.4312034424257547E-6
UP,UP,NP	(0,2,activation)(1,2,activation)(2,0,activation)	1218	81.23419073577435	3970.1731136907056	9.992007221626409E-15
UP,NP,NP	(0,2,inhibition)(2,1,inhibition)(2,0,activation)	64	0.9119506436683799	80.07470870433282	0.004803076295055608
UP,PP,NP	(0,2,activation)(1,2,activation)(2,1,activation)(2,0,activation)	72	0.3530602216244268	0.6573823063948093	1.1102230246251565E-16
UP,UP,NP	(0,2,activation)(0,1,inhibition)(1,2,inhibition)(1,0,inhibition)	1	0.01595020942046861	0.017862651988025814	9.504942373835812E-4
NP,PP,NP	(0,2,inhibition)(1,2,inhibition)(2,1,inhibition)(2,0,inhibition)	2	0.17975058003399086	0.9040002442584797	0.02661211902638938
UP,PP,PP	(0,2,activation)(1,2,activation)(2,1,inhibition)(2,0,inhibition)	3	0.050332751602274156	0.21052160823070287	0.004536396015942468
NP,PP,NP	(0,2,activation)(1,2,activation)(2,1,activation)(2,0,activation)	42	0.8278853324874454	2.298277227023013	1.1582956815914258E-12
PP,UP,UP	(0,2,activation)(2,1,activation)(2,0,activation)	48	9.045269092484109	119.30247482759437	0.00868755747086436
PP,UP,UP	(0,2,activation)(0,1,activation)(1,2,inhibition)	2	1.9734101633784022	7.0898447698362626	0.2990036704680905
NP,PP,PP	(0,2,activation)(0,1,activation)(1,2,inhibition)	24	7.051334311662269	38.51500560204236	0.01661144253953062
NP,PP,PP	(0,1,activation)(1,2,activation)(2,0,activation)	27	4.648169459953789	12.086331972664613	3.1178122038566514E-5
NP,PP,PP	(0,2,inhibition)(2,1,inhibition)(2,0,inhibition)	26	1.2233436531942703	14.9932435382423	0.003532122790935177
UP,NP,PP	(0,2,activation)(0,1,activation)(1,0,activation)(2,1,activation)	2	0.18414614262377568	0.22423653344934932	0.0042103872910673745
NP,PP,PP	(0,1,inhibition)(1,2,inhibition)(2,0,activation)	4	0.5384106821396248	0.8538887689976311	0.005305257528789409
PP,NP,NP	(0,2,inhibition)(0,1,inhibition)(1,2,activation)	76	2.9637109316806423	6.7632025410163354	1.1102230246251565E-16
PP,NP,NP	(0,2,inhibition)(0,1,inhibition)(1,2,inhibition)	4	6.736587303556148	100.33410234736118	0.40790608997982647
PP,PP,UP	(0,2,inhibition)(1,2,inhibition)(2,1,activation)(2,0,activation)	3	0.001912293979025195	0.001957275422266896	3.719606844754253E-9
NP,PP,PP	(0,2,inhibition)(1,2,inhibition)	501	861.2360462640117	133956.1127124303	0.8395269462990905
NP,PP,NP	(0,2,activation)(0,1,inhibition)(1,2,activation)(1,0,activation)	4	0.26733224457550947	0.7878215337292708	0.009685002176544666
NP,PP,NP	(0,1,activation)(1,0,activation)(2,1,activation)(2,0,activation)	40	4.369645626526103	69.23355182268165	0.007655745135808245
UP,PP,NP	(0,2,inhibition)(0,1,inhibition)(1,2,inhibition)	36	14.961778215730643	80.49549574537019	0.022887630964778194
NP,UP,NP	(0,2,inhibition)(2,1,activation)	170	1389.573201126857	366749.084565487	0.9974612102600215
NP,PP,PP	(0,1,inhibition)(1,2,activation)(2,0,activation)	15	2.528662086455837	8.500703140398988	0.0028657302030176135
NP,UP,NP	(0,2,inhibition)(1,2,inhibition)	1607	9157.109802966246	1.3401899889492914E7	0.9970638892304885
NP,PP,PP	(0,1,inhibition)(1,2,activation)(2,0,inhibition)	2	0.3378820226294581	0.8236470142744357	0.03983918695060684
UP,PP,PP	(0,2,inhibition)(1,2,inhibition)(2,1,activation)(2,0,activation)	9	0.009002273351454627	0.009926987095262498	2.6201263381153694E-14
UP,PP,PP	(0,2,inhibition)(1,2,activation)(2,1,activation)(2,0,activation)	2	0.009428006512075555	0.011229234291951782	7.110026297463268E-5
UP,UP,NP	(0,2,inhibition)(1,2,inhibition)	15703	7761.347727653961	4118674.5219762176	5.087221224683303E-4
PP,PP,UP	(0,2,inhibition)(1,2,inhibition)(2,1,inhibition)(2,0,inhibition)	1	6.145586058704075E-4	6.271194688624814E-4	6.3352302150931905E-6
PP,PP,UP	(0,2,activation)(0,1,inhibition)(1,2,inhibition)	25	0.04618555030182204	0.050117461431459294	2.220446049250313E-16
NP,UP,NP	(0,2,activation)(2,1,activation)	10260	4070.250780195094	1218365.4433865622	5.723241492172626E-6
NP,UP,NP	(0,2,activation)(2,1,inhibition)	14099	4928.751507001234	9330448.50708171	0.009385170110651542
NP,NP,NP	(0,2,activation)(0,1,inhibition)(1,2,inhibition)	18	2.8998929912889415	23.890733704932924	0.018558352445182225
UP,PP,PP	(0,2,activation)(0,1,activation)(1,2,activation)(1,0,activation)	9	0.6173295682264481	1.525524833650604	6.255545751404634E-4
PP,NP,UP	(0,2,activation)(0,1,inhibition)(1,2,inhibition)	11	0.1713299395189245	0.2815304262243235	1.102960182075563E-7
PP,NP,UP	(0,2,activation)(2,1,inhibition)(2,0,activation)	1	0.8421008429502803	5.792341196185549	0.14864562565151163
NP,NP,PP	(0,2,activation)(2,1,inhibition)	734	402.0405744666385	43503.17907177578	0.07108755455762106
NP,NP,PP	(0,2,activation)(2,1,activation)	4212	3008.815769359844	712037.7856184188	0.0851398502349262
UP,UP,PP	(0,2,activation)(1,2,activation)(2,1,activation)(2,0,activation)	14	0.07081819982680913	0.17027253193633587	2.4717451685418723E-7
UP,UP,NP	(0,2,activation)(2,1,activation)	18018	9356.622818234118	4429343.276570335	2.370429049473044E-4
UP,UP,NP	(0,2,activation)(2,1,inhibition)	1405	11330.129593047603	4.57704780103264E7	0.9725166217195342
NP,NP,NP	(0,2,activation)(0,1,activation)(1,2,inhibition)	69	54.93425510642205	1644.0186435578494	0.3029947535268023
NP,NP,NP	(0,2,activation)(1,2,activation)(2,0,activation)	252	82.86331484677795	3627.096035183312	0.014280383112344142
UP,PP,UP	(0,2,activation)(0,1,activation)(1,2,activation)(1,0,activation)	6	1.2033274563055314	4.513414516559406	0.03514574471895626
NP,NP,PP	(0,2,inhibition)(2,1,activation)	886	1636.8332580512945	426794.50642295554	0.8861607669927324
NP,NP,PP	(0,2,inhibition)(2,1,inhibition)	252	218.71508055578082	14980.983105388943	0.3435564492774241
PP,PP,NP	(0,1,activation)(1,0,activation)(2,1,activation)(2,0,activation)	66	1.4965859006990117	63.02230048144719	0.003250490339278489
PP,NP,UP	(0,2,inhibition)(1,2,inhibition)(2,0,inhibition)	5	0.7522609349196747	3.5866371267440478	0.03720125744714531
PP,PP,PP	(0,2,inhibition)(2,1,activation)	1077	176.58116835878334	4472.198532813978	0.0
PP,PP,PP	(0,2,inhibition)(2,1,inhibition)	147	37.598217578497696	658.7528901884623	0.0013762915303778822
NP,PP,NP	(0,2,activation)(0,1,activation)(1,2,activation)(1,0,activation)	33	3.178074180504154	15.631666555794535	7.37017318862554E-5
PP,NP,UP	(0,2,activation)(2,1,activation)	3545	1484.9246916557506	268572.29164801165	7.009159674681298E-4
PP,NP,UP	(0,2,activation)(2,1,inhibition)	427	373.83111941061105	35822.3244148384	0.3454253528541873
PP,PP,PP	(0,2,activation)(1,2,activation)(2,0,inhibition)	10	2.612891258582074	122.29581115465245	0.06913257143313567
PP,PP,PP	(0,2,activation)(2,1,activation)(2,0,activation)	1347	9.832438308806761	203.77373375120231	3.552713678800501E-15
PP,NP,UP	(0,2,activation)(2,1,activation)(2,0,activation)	83	15.46983451245725	321.72612666662104	0.006700793879112377
PP,NP,UP	(0,2,activation)(1,2,activation)(2,0,inhibition)	17	17.838662772936825	2274.034114806374	0.19239223934507899
PP,NP,UP	(0,2,inhibition)(2,1,activation)	628	703.7756072139763	28483.56466004008	0.6542514650270994
PP,NP,UP	(0,2,inhibition)(2,1,inhibition)	90	177.17613865341806	2788.367499892127	0.9660800466310949
