Motif_Nodes	Motif_edges	Num_occ_input_graph	Mean_analytical	Variance_analytical	Pval_analytical
NP,UP,PP	(0,2,activation)(2,1,inhibition)(2,0,activation)	6	1.4999359746063237	27.783364782694363	0.07834443974847449
NP,UP,PP	(0,2,activation)(2,1,inhibition)(2,0,inhibition)	2	5.084721577669993	192.15937304128582	0.2102767159716774
NP,UP,UP	(0,2,activation)(2,1,activation)	6007	2098.021731477689	784045.0794331776	3.888860216245682E-4
NP,UP,PP	(2,1,inhibition)(2,0,activation)	493	609.7370676257293	118030.46789382299	0.5814106816276452
NP,PP,UP	(0,2,activation)(0,1,activation)(1,0,activation)(2,1,inhibition)	2	0.017183574324832824	0.02011605271151189	1.1561382016522792E-4
PP,UP,PP	(0,2,inhibition)(1,2,inhibition)(2,0,activation)	13	0.9398048159887403	18.19687619855097	0.024505627098236893
UP,PP,PP	(0,1,activation)(1,0,activation)(2,1,activation)(2,0,activation)	3	0.5380591087992279	6.664612534940645	0.048534236755781945
NP,NP,PP	(0,2,activation)(1,2,activation)(2,1,activation)(2,0,activation)	9	0.34815440187647273	2.6568479991231637	0.00803434713253437
NP,NP,UP	(0,2,inhibition)(1,2,inhibition)	8346	2367.767373618655	2168844.9831765424	0.0016711987208720691
NP,NP,NP	(2,1,inhibition)(2,0,inhibition)	1432	65246.16754425572	7.263906032976418E8	0.9999485117893555
UP,UP,NP	(0,2,activation)(1,2,inhibition)(2,0,activation)	258	8.746384396507182	124.1484245567775	6.564748744608551E-13
UP,UP,NP	(0,2,activation)(1,2,inhibition)(2,0,inhibition)	8	9.24731696219693	272.63360081239045	0.3067684747260966
PP,UP,PP	(0,2,inhibition)(2,1,inhibition)	45	38.68732308018698	1221.7955163861614	0.34033647639979847
PP,UP,PP	(0,2,inhibition)(2,1,activation)	40	66.30832289327039	1177.7670605812955	0.7568529635869143
UP,PP,PP	(0,2,activation)(1,2,activation)(2,0,activation)	8	4.483256517052861	177.865258024239	0.13805380908676335
UP,UP,NP	(0,2,activation)(0,1,activation)(1,2,inhibition)	58	29.787003393057766	297.48135707193023	0.06553438164721992
UP,UP,NP	(0,2,activation)(1,2,activation)(2,0,activation)	1500	100.59058797495229	4970.120353674378	0.0
UP,PP,NP	(0,2,activation)(0,1,activation)(1,2,activation)(1,0,activation)	9	0.3736681473356354	0.8953692555590387	2.0156894773126766E-4
UP,UP,NP	(0,2,activation)(0,1,inhibition)(1,2,inhibition)(1,0,inhibition)	1	0.022937644191382844	0.0268787871877031	0.0018561528320519827
NP,PP,NP	(0,2,inhibition)(1,2,inhibition)(2,1,inhibition)(2,0,inhibition)	2	0.1502164417724458	0.6368658651420148	0.022054501139694205
UP,PP,PP	(0,2,activation)(1,2,activation)(2,1,inhibition)(2,0,activation)	1	0.002145441775274505	0.003814502181001511	4.330888522411369E-4
UP,PP,PP	(0,2,activation)(1,2,activation)(2,1,inhibition)(2,0,inhibition)	2	0.023374769477277048	0.10063244077573437	0.0034234442705929347
UP,PP,NP	(0,1,activation)(1,0,inhibition)(2,1,activation)(2,0,inhibition)	4	0.028919474071946095	0.05648412636275705	2.2807071949049185E-4
NP,PP,NP	(0,2,activation)(1,2,activation)(2,1,activation)(2,0,activation)	56	0.566391227947973	1.3530486611267953	0.0
PP,UP,UP	(0,2,activation)(2,1,activation)(2,0,activation)	20	4.239314734396861	49.69347180098677	0.04131925004826098
PP,UP,UP	(0,2,activation)(0,1,activation)(1,2,inhibition)	2	1.0375725066200174	2.492512461213236	0.14655540508553766
NP,PP,PP	(0,2,activation)(0,1,activation)(1,2,inhibition)	24	2.0674602312599277	13.967256386015368	0.0015935149331541831
NP,PP,PP	(0,2,activation)(1,2,activation)(2,0,activation)	12	13.130165125011144	870.0861097767574	0.24042504581146107
NP,PP,PP	(0,2,inhibition)(2,1,inhibition)(2,0,inhibition)	12	0.5961511377761357	4.686594839040359	0.007290629522980763
NP,PP,PP	(0,2,inhibition)(1,2,inhibition)(2,0,activation)	3	0.870038903489816	2.762721099064035	0.07725556461992444
PP,NP,NP	(0,2,inhibition)(0,1,inhibition)(1,2,activation)	276	5.073893823561903	16.16693711773536	0.0
PP,PP,UP	(0,2,inhibition)(1,2,inhibition)(2,1,activation)(2,0,activation)	1	6.365678586898675E-4	6.457477080101721E-4	4.7212192175738465E-6
NP,PP,PP	(0,2,inhibition)(1,2,inhibition)	262	337.27363233751043	29080.317786393192	0.6292134788008126
NP,PP,NP	(0,2,activation)(0,1,activation)(1,2,activation)(1,0,activation)	5	1.9803744466460182	9.992697383806712	0.12130566862223968
UP,PP,NP	(0,2,inhibition)(0,1,inhibition)(1,2,inhibition)	32	12.656926118606757	79.84589555818857	0.0322421522110945
NP,UP,NP	(0,2,inhibition)(1,2,activation)	1785	8291.013545388341	7918059.849638283	0.9987994020192675
NP,PP,PP	(0,2,inhibition)(2,1,activation)(2,0,activation)	12	3.160819498527328	22.540812899060036	0.05534750104287389
NP,UP,NP	(0,2,inhibition)(1,2,inhibition)	3402	13462.90732492722	2.3001674607275993E7	0.996178436308432
NP,PP,PP	(0,2,inhibition)(0,1,activation)(1,2,inhibition)	28	0.829683614937619	3.2951929194843896	1.3702592234210442E-6
UP,PP,PP	(0,2,inhibition)(0,1,inhibition)(1,2,inhibition)	1	3.826732446942065	12.82204845764007	0.6885615299246107
UP,PP,PP	(0,2,inhibition)(1,2,inhibition)(2,1,activation)(2,0,activation)	6	0.0021580540804779164	0.0023347854899294185	8.887668379031766E-12
UP,UP,NP	(0,2,inhibition)(1,2,inhibition)	21346	10812.744325305948	5323770.129071891	6.119198030929418E-5
UP,UP,NP	(0,2,inhibition)(2,1,activation)	6477	3246.8684324756605	690309.7194573358	5.241160354245711E-4
NP,UP,NP	(0,2,activation)(2,1,activation)	13049	6144.500468662127	2269547.4676806554	7.808927051977665E-5
NP,UP,NP	(0,2,activation)(2,1,inhibition)	12421	6496.415070755072	1.3745062136275388E7	0.071664807466854
NP,NP,NP	(0,2,activation)(1,2,inhibition)(2,0,inhibition)	12	5.246010095954272	104.4773286885056	0.15588430308098533
UP,PP,PP	(0,2,activation)(0,1,activation)(1,2,activation)(1,0,activation)	3	0.18623216092152398	0.36047351324394233	0.0055343084220006444
PP,NP,UP	(0,2,activation)(0,1,inhibition)(1,2,inhibition)	21	0.1317308505155001	0.20220550864108283	9.43689570931383E-15
PP,NP,UP	(0,2,activation)(2,1,inhibition)(2,0,activation)	2	0.5492571331844458	4.677223857141547	0.07007370021469406
NP,NP,PP	(0,2,activation)(2,1,inhibition)	1144	390.1778011353558	101178.67009379945	0.028385600333052485
NP,NP,PP	(0,2,activation)(2,1,activation)	2709	2149.305093978686	816720.7371119689	0.24703746500653312
UP,UP,NP	(0,2,activation)(2,1,activation)	23082	11686.227137897276	5898060.931508869	3.984616306573763E-5
UP,UP,NP	(0,2,activation)(2,1,inhibition)	1870	12355.533616784456	4.7039012904842556E7	0.9761373561765909
NP,NP,NP	(0,2,activation)(0,1,activation)(1,2,inhibition)	132	98.2790560724949	4228.745201427808	0.2601262001628104
NP,NP,NP	(0,2,activation)(1,2,activation)(2,0,activation)	1609	154.89814062193577	8574.862997380631	1.5332179970073412E-13
NP,NP,PP	(0,2,inhibition)(2,1,activation)	365	1074.4335379093677	213185.07575607998	0.963976679379065
NP,NP,PP	(0,2,inhibition)(2,1,inhibition)	365	195.0491423772318	17073.79193412036	0.10638106555404925
PP,PP,PP	(0,2,inhibition)(2,1,activation)	182	32.89133117469132	343.7096004200055	4.705678768868182E-7
PP,PP,PP	(0,2,inhibition)(2,1,inhibition)	12	9.073532348794364	86.7133087415469	0.2792396507892716
NP,UP,NP	(0,2,inhibition)(0,1,inhibition)(1,2,activation)(1,0,inhibition)	2	0.392064022468307	1.2013225553915636	0.05370255772091037
NP,UP,NP	(0,2,inhibition)(1,2,inhibition)(2,1,activation)(2,0,activation)	3	0.19933052561801934	0.4303503020514355	0.007864325026829655
PP,NP,UP	(0,2,activation)(2,1,activation)	2864	1091.3135515738263	153748.56376472418	2.141267990658502E-4
PP,NP,UP	(0,2,activation)(2,1,inhibition)	333	303.2074833670842	23778.13306517317	0.3755331397195132
PP,PP,PP	(0,2,activation)(2,1,activation)(2,0,inhibition)	8	0.05705709464482371	0.23711560242902746	4.557656476532612E-4
PP,PP,PP	(0,2,activation)(1,2,activation)(2,0,activation)	1320	2.1296067190332546	87.2847269326124	0.0
PP,NP,UP	(0,2,activation)(1,2,activation)(2,0,activation)	62	25.18993650657991	3469.3179674346693	0.14394667925451754
PP,NP,UP	(0,2,activation)(1,2,activation)(2,0,inhibition)	19	10.635254644396957	1387.5106671790975	0.11423700325596353
PP,NP,UP	(0,2,inhibition)(2,1,activation)	605	636.7224823266915	34173.55813143047	0.5387409354117094
PP,NP,UP	(0,2,inhibition)(2,1,inhibition)	45	176.90518109218092	3721.679071127026	0.9969066630330636
