Motif_Nodes	Motif_edges	Num_occ_input_graph	Mean_analytical	Variance_analytical	Pval_analytical
PP,PP,NP	(0,2,activation)(1,2,activation)(2,1,activation)(2,0,activation)	4	0.03217403705094959	0.040773814782834344	7.940143048612569E-6
NP,UP,PP	(0,1,activation)(1,2,inhibition)(2,0,activation)	3	1.1299555996449848	2.077216147359991	0.07290570444315925
NP,UP,NP	(0,2,activation)(1,2,activation)(2,1,activation)(2,0,activation)	125	1.179332496067131	3.420669927089637	2.220446049250313E-16
PP,UP,NP	(0,2,inhibition)(2,1,inhibition)	167	272.82348786919755	89891.73680975469	0.523239303847672
UP,NP,NP	(0,2,inhibition)(2,1,activation)	21307	7332.132884002632	2480151.78452082	4.4928061271320985E-11
UP,NP,NP	(0,2,inhibition)(2,1,inhibition)	3133	2284.986841673264	3254152.7854521926	0.2676389287102665
UP,NP,NP	(0,2,activation)(1,2,activation)(2,0,activation)	1105	54.77283066404018	1528.717816478967	7.105427357601002E-15
NP,NP,UP	(2,1,inhibition)(2,0,activation)	1323	5607.6601684779625	897275.7690577433	0.9999999991722687
UP,NP,NP	(0,2,activation)(1,2,activation)(2,0,inhibition)	9	55.78080232492286	3707.817305660079	0.7260552221990271
NP,NP,UP	(2,1,inhibition)(2,0,inhibition)	14366	7075.775375734732	1910290.93954207	5.6310806197945595E-6
PP,PP,UP	(0,2,activation)(2,1,activation)	527	163.92912228497644	6083.280235779246	3.07208568158579E-4
PP,PP,UP	(0,2,activation)(2,1,inhibition)	313	80.47850562970928	2285.6183049043984	3.5847725812354625E-4
PP,NP,UP	(0,2,activation)(2,1,activation)	2778	965.9678294526694	125281.84856439289	5.4720488765425124E-5
UP,UP,NP	(0,2,activation)(0,1,inhibition)(1,2,activation)	3	68.52723197035051	272.905916105924	0.9999999995689901
PP,NP,UP	(0,2,activation)(2,1,inhibition)	345	263.9508006519411	18514.811998558303	0.2480430609409684
UP,NP,PP	(0,2,activation)(2,1,inhibition)(2,0,activation)	1	0.39022441110849304	4.486325467535274	0.05115204321009692
PP,UP,NP	(0,2,activation)(2,1,activation)	1815	1263.0231280831938	105061.71375510423	0.05381477931749645
UP,PP,PP	(0,2,activation)(0,1,activation)(1,2,inhibition)	16	1.9838831819796898	17.64227607841074	0.01752603465076985
NP,UP,NP	(0,2,activation)(1,2,activation)(2,1,inhibition)(2,0,inhibition)	6	5.85816058634885	78.76974491852815	0.3122843323927288
PP,PP,UP	(0,2,activation)(1,2,activation)(2,1,inhibition)(2,0,inhibition)	1	0.008783101107795364	0.014856852213604221	0.0016871287454991446
NP,UP,PP	(0,2,inhibition)(1,2,inhibition)(2,0,activation)	10	10.261921218687112	260.6889585083129	0.32038985963210964
NP,NP,UP	(0,1,activation)(1,2,activation)(2,0,activation)	190	16.967512413884336	81.84921192984666	7.771561172376096E-16
PP,UP,NP	(0,2,activation)(2,1,activation)(2,0,inhibition)	15	1.6850122963298868	24.8964433057787	0.03123584467437779
NP,UP,PP	(0,2,inhibition)(2,1,inhibition)(2,0,inhibition)	8	2.872253148366748	85.65600912497538	0.104473766520634
UP,NP,NP	(0,2,activation)(2,1,inhibition)(2,0,inhibition)	6	528.3059512200598	206015.1117450461	0.9273872126646707
NP,NP,UP	(0,2,inhibition)(2,1,activation)(2,0,activation)	18	61.119767594134984	2462.2631431086893	0.794805986440852
NP,NP,UP	(0,2,inhibition)(0,1,activation)(1,2,inhibition)	27	16.26663744060237	938.0639932582915	0.21025521653322143
NP,UP,UP	(0,1,activation)(1,2,activation)(2,0,activation)	19	5.722129918717019	22.766653361915573	0.014212284280571752
NP,PP,UP	(0,2,activation)(0,1,activation)(1,2,activation)(1,0,activation)	2	2.3618480286641086	18.871477351795107	0.281801411570367
NP,UP,NP	(0,2,inhibition)(1,2,inhibition)	3786	13795.884877661003	2.3887387449926376E7	0.9948623269046485
NP,PP,PP	(0,2,activation)(2,1,activation)	1460	337.1807260663328	53032.90478955305	5.132823462334901E-4
UP,NP,PP	(0,2,inhibition)(2,1,inhibition)	1278	379.02171497016997	42637.75646296883	7.595355880091192E-4
UP,UP,NP	(0,2,activation)(1,2,activation)(2,0,inhibition)	3	102.18917322040781	12157.770563825572	0.8024905655962953
UP,UP,NP	(0,2,activation)(1,2,activation)(2,0,activation)	1522	100.34259184541773	4910.681202106665	0.0
UP,UP,PP	(0,2,inhibition)(1,2,inhibition)(2,0,activation)	26	3.034416276762532	62.09948384583002	0.02720743781527435
NP,UP,UP	(0,2,activation)(1,2,inhibition)	4432	1944.9306053694224	403754.35870890785	7.210696251598314E-4
UP,NP,UP	(0,2,activation)(0,1,activation)(1,2,activation)(1,0,activation)(2,0,activation)	3	0.13856827291134444	0.6172392925827149	0.01314053990750308
UP,UP,PP	(0,2,inhibition)(1,2,inhibition)(2,0,inhibition)	24	2.103256484722758	44.35416883311034	0.021980574078673376
NP,UP,NP	(0,2,inhibition)(2,1,activation)	473	2012.7574034753895	636190.9417726491	0.9930160513020229
NP,UP,UP	(0,2,activation)(1,2,activation)	30340	113838.54517124529	3.058340747429142E9	0.9658106755389443
NP,UP,PP	(0,1,activation)(1,2,activation)(2,0,activation)	37	2.301641018572995	5.6849846697153	4.979452405962093E-10
UP,PP,NP	(0,2,activation)(1,2,activation)(2,0,inhibition)	6	10.908323358284349	170.06630122813885	0.5026464265267729
UP,PP,NP	(0,2,activation)(1,2,activation)(2,0,activation)	133	10.711207498443397	68.39513769577603	1.273448013705547E-11
NP,UP,NP	(0,2,activation)(1,2,activation)(2,0,activation)	2369	297.5402860409352	27886.922200811183	2.44715359087877E-11
NP,UP,NP	(0,2,activation)(1,2,activation)(2,0,inhibition)	59	92.7254932810342	10530.24664226681	0.5100984937031345
PP,NP,PP	(0,2,activation)(0,1,activation)(1,2,inhibition)	1	2.456811497218515	7.8990126688345095	0.5158937762057815
NP,PP,NP	(0,2,activation)(1,2,activation)(2,1,activation)(2,0,activation)	44	0.4743688252525366	1.1001519000780313	0.0
PP,PP,UP	(0,1,activation)(1,0,activation)(2,1,inhibition)(2,0,inhibition)	264	0.002386105565689295	0.0032524348376581956	0.0
PP,PP,PP	(0,2,activation)(1,2,activation)(2,1,activation)(2,0,activation)	660	0.006936741833933582	0.012665029909044554	0.0
UP,NP,PP	(0,2,activation)(0,1,inhibition)(1,2,activation)	3	27.749828206641045	654.8651668751378	0.8370571420601144
NP,PP,UP	(0,1,inhibition)(1,0,inhibition)(2,1,inhibition)(2,0,inhibition)	4	0.08712602138535976	0.23301089627547775	0.0022281127211358775
PP,UP,UP	(0,2,activation)(0,1,activation)(1,2,inhibition)	2	0.9111481877875091	2.0547715240381006	0.1226128437232108
PP,NP,UP	(0,2,activation)(2,1,activation)(2,0,activation)	40	8.141070890655095	200.10121971604644	0.042530608191290176
PP,NP,UP	(0,2,activation)(1,2,activation)(2,0,inhibition)	2	10.871576601946279	1468.573354818549	0.1436909081641511
PP,PP,PP	(0,2,activation)(2,1,activation)	1547	65.93803310120711	2518.0451483637517	2.0761170560490427E-14
UP,UP,NP	(0,2,activation)(0,1,inhibition)(1,2,inhibition)(1,0,inhibition)	1	0.023134737159994867	0.027143160111494084	0.001885069289495278
PP,PP,NP	(0,2,activation)(2,1,activation)	779	486.08987507769575	24659.847358751955	0.0426489784868157
NP,NP,NP	(0,2,inhibition)(2,1,inhibition)	505	1422.5142647703767	1876535.670007237	0.6933527689087444
NP,UP,PP	(0,2,inhibition)(1,2,inhibition)	1603	3737.4376339943724	2381832.655643422	0.9385810399535841
NP,UP,PP	(0,2,inhibition)(1,2,activation)	738	1768.5871652103965	1024136.7452047653	0.8545893418597015
UP,PP,NP	(0,2,activation)(2,1,inhibition)(2,0,activation)	2	1.6122354700974117	62.28549593087955	0.07075026241316718
NP,NP,PP	(0,2,inhibition)(0,1,inhibition)(1,2,inhibition)	3	244.35621923047304	67588.40948939191	0.8215044020469258
UP,UP,PP	(0,2,activation)(2,1,activation)(2,0,activation)	40	3.8449372555196946	52.90128734075152	0.004162609550203089
PP,UP,PP	(0,2,activation)(2,1,activation)	377	171.32893544394082	10867.70910087635	0.042938174791287365
PP,UP,PP	(0,2,activation)(2,1,inhibition)	308	118.75387607582208	12257.858714410417	0.0669483204450434
PP,NP,PP	(0,2,activation)(2,1,inhibition)(2,0,activation)	528	0.15696192218878846	1.7832610751340758	9.992007221626409E-16
PP,UP,UP	(0,2,inhibition)(2,1,activation)	230	295.23505263143795	9233.8880616901	0.7351227617469629
PP,UP,NP	(0,2,inhibition)(0,1,activation)(1,2,activation)	3	0.5625592466714088	0.7850441239756132	0.012249626414255532
PP,UP,NP	(0,2,inhibition)(1,2,activation)(2,0,inhibition)	4	1.484861364185324	38.50573981609216	0.07801614812039448
NP,PP,PP	(0,2,activation)(0,1,activation)(1,2,activation)	720	61.62972403299506	6323.826500637164	4.471525305194124E-5
NP,UP,NP	(0,2,inhibition)(0,1,activation)(1,2,inhibition)	21	8.723639910806787	112.40704196718117	0.11702079901047036
PP,UP,UP	(0,2,inhibition)(2,1,inhibition)	27	263.6297601013514	8004.376144360867	0.9999397894143763
NP,UP,NP	(0,2,inhibition)(1,2,activation)(2,0,activation)	71	28.724477797756457	1001.2768463394393	0.10123685916849734
