Motif_Nodes	Motif_edges	Num_occ_input_graph	Mean_analytical	Variance_analytical	Pval_analytical
NP,UP,PP	(0,2,activation)(2,1,inhibition)(2,0,activation)	6	1.5776063365376587	28.70061544837854	0.08277088570493574
NP,UP,PP	(0,2,activation)(1,2,inhibition)(2,0,inhibition)	18	0.8609748251864863	10.383159238537681	0.007590382853373434
NP,UP,UP	(0,2,activation)(2,1,activation)	5946	2096.658715897715	783180.7809489593	4.464509336101763E-4
NP,PP,UP	(0,2,activation)(0,1,activation)(1,0,activation)(2,1,activation)	37	0.4295942691948156	1.7332004173029936	5.629716581800892E-9
NP,UP,PP	(2,1,inhibition)(2,0,activation)	425	578.82879701008	106705.02898165566	0.6371219890453075
PP,NP,NP	(0,2,inhibition)(2,1,activation)(2,0,activation)	6	9.30718484803819	504.1983068080793	0.23778935787792443
PP,UP,PP	(0,2,inhibition)(1,2,inhibition)(2,0,activation)	19	0.9797607656329297	16.6486912700835	0.012452441962360394
UP,PP,PP	(0,1,activation)(1,0,activation)(2,1,activation)(2,0,activation)	2	0.5451240394652322	6.289655907073196	0.059791103967463566
NP,NP,PP	(0,2,activation)(1,2,activation)(2,1,activation)(2,0,activation)	34	0.3367027829734575	2.3844443774385633	7.766449996338132E-6
NP,NP,UP	(0,2,inhibition)(1,2,inhibition)	8340	2369.162023786402	2169941.1417667726	0.0016874068546277599
NP,NP,NP	(0,2,activation)(1,2,activation)	21928	20462.914148264965	1.5501521520923555E7	0.3397483799920672
UP,UP,NP	(0,2,activation)(1,2,inhibition)(2,0,activation)	258	8.462881561148539	122.8748522190543	9.485745522397337E-13
UP,UP,NP	(0,2,activation)(0,1,inhibition)(1,2,inhibition)	1	5.523747480725743	8.119410663027594	0.9472418063292837
PP,UP,PP	(0,2,inhibition)(2,1,inhibition)	41	39.67122671021001	1232.3638629561246	0.3904660014662157
PP,UP,PP	(0,2,inhibition)(2,1,activation)	31	68.32901029245494	1173.447476312812	0.8701599083702767
UP,PP,PP	(0,2,activation)(1,2,activation)(2,0,activation)	11	4.68889047119854	175.67967342277325	0.1289183816599767
UP,UP,NP	(0,2,activation)(1,2,activation)(2,0,activation)	1506	98.0726540384463	4771.971247626267	4.2743586448068527E-14
UP,NP,NP	(0,2,inhibition)(2,1,inhibition)(2,0,activation)	64	1.479241810165076	167.70429198450825	0.00837830980323262
UP,PP,NP	(0,2,activation)(0,1,activation)(1,2,activation)(1,0,activation)	8	0.386294819476945	0.9053819744743019	4.1250719484420273E-4
UP,UP,NP	(0,2,activation)(0,1,inhibition)(1,2,inhibition)(1,0,inhibition)	1	0.02203037481340195	0.025667754929948598	0.0017249044245030154
NP,PP,NP	(0,2,inhibition)(1,2,inhibition)(2,1,inhibition)(2,0,inhibition)	2	0.15536215102666234	0.6769166832449126	0.022891551552908562
UP,PP,PP	(0,2,activation)(1,2,activation)(2,1,inhibition)(2,0,activation)	1	0.0022531547823152662	0.003913144772816194	4.4389480838813444E-4
UP,PP,PP	(0,2,activation)(1,2,activation)(2,1,inhibition)(2,0,inhibition)	3	0.02525818783973853	0.10534814893494526	0.002262504186068104
NP,PP,NP	(0,2,activation)(0,1,activation)(1,0,activation)(2,1,activation)	8	1.2309032974782317	11.168388261211135	0.04609435460642175
PP,UP,UP	(0,2,activation)(2,1,activation)(2,0,activation)	12	4.674828310925679	55.21699712901261	0.12813953097301467
PP,UP,UP	(0,2,activation)(0,1,activation)(1,2,inhibition)	2	1.0078027668386234	2.382948630325364	0.14089331280005024
NP,PP,PP	(0,2,activation)(0,1,activation)(1,2,inhibition)	22	2.6404766013704575	17.2144500454536	0.0037106222718163995
NP,PP,PP	(0,1,activation)(1,2,activation)(2,0,activation)	7	1.5171005228414687	3.327003037508704	0.011505194412421704
NP,PP,PP	(0,2,inhibition)(2,1,inhibition)(2,0,inhibition)	12	0.644070590007905	5.247012427056545	0.008487188372940713
UP,NP,PP	(0,2,activation)(0,1,activation)(1,0,activation)(2,1,activation)	1	0.11489889974811408	0.13122415669937382	0.011750666214125571
NP,PP,PP	(0,2,inhibition)(0,1,inhibition)(1,2,activation)	272	33.10641057464495	546.4864918387277	3.4054479014500316E-8
PP,NP,NP	(0,2,inhibition)(0,1,inhibition)(1,2,inhibition)	4	9.795711849909797	198.03864109001418	0.4748025602665821
PP,PP,UP	(0,2,inhibition)(1,2,inhibition)(2,1,activation)(2,0,activation)	3	7.665216792851531E-4	7.78539582194388E-4	4.1153891405798504E-10
NP,PP,PP	(0,2,inhibition)(1,2,inhibition)	233	326.43271431809256	25711.91811366788	0.6889968432154857
NP,PP,NP	(0,1,activation)(1,0,activation)(2,1,activation)(2,0,activation)	64	4.003812389517831	89.49986127437941	0.002208841368009029
UP,PP,NP	(0,2,inhibition)(0,1,inhibition)(1,2,inhibition)	27	13.126690387264789	79.96051657435629	0.07249764556767124
NP,UP,NP	(0,2,inhibition)(2,1,activation)	477	1998.4076810228482	639137.4948333283	0.9921059837595497
NP,PP,PP	(0,2,inhibition)(0,1,activation)(1,2,activation)	6	0.7831750862330004	1.77071686301698	0.006041260032522033
NP,UP,NP	(0,2,inhibition)(1,2,inhibition)	3968	13590.169576952949	2.35765473814916E7	0.9928990359000837
NP,PP,PP	(0,2,inhibition)(0,1,activation)(1,2,inhibition)	24	0.8896971284454632	3.4511974150742013	7.9113658264518E-6
UP,PP,PP	(0,2,inhibition)(1,2,inhibition)(2,1,activation)(2,0,activation)	9	0.002179382948671688	0.0023374513523412633	0.0
UP,UP,NP	(0,2,inhibition)(2,1,inhibition)	3564	3396.100905787046	7023398.233839078	0.3971403907082375
PP,PP,UP	(0,2,inhibition)(1,2,inhibition)(2,1,inhibition)(2,0,inhibition)	1	2.3932797660640537E-4	2.4238042149586525E-4	1.5348556091643317E-6
NP,UP,NP	(0,2,activation)(2,1,activation)	12869	6007.491980566016	2192656.8982952684	6.872287678982847E-5
NP,UP,NP	(0,2,activation)(2,1,inhibition)	13577	6357.56028510185	1.3392554670967318E7	0.04248013327340272
NP,NP,NP	(0,2,activation)(1,2,inhibition)(2,0,inhibition)	12	5.023141373544527	101.23808082416414	0.1491278250239254
UP,PP,PP	(0,2,activation)(1,2,activation)(2,1,activation)(2,0,activation)	4	0.04296567258884566	0.10489709378937617	8.122297382749943E-4
PP,NP,UP	(0,2,activation)(0,1,inhibition)(1,2,inhibition)	9	0.12739474398959133	0.19390224209464335	2.553957799689144E-7
PP,NP,UP	(0,2,activation)(2,1,inhibition)(2,0,activation)	2	0.5942205815471083	5.005273529976187	0.0759897935474042
NP,PP,NP	(0,2,activation)(0,1,activation)(1,2,activation)(1,0,activation)	5	2.01211575166837	9.770632038168113	0.12193935552825363
