Motif_Nodes	Motif_edges	Num_occ_input_graph	Mean_analytical	Variance_analytical	Pval_analytical
NP,UP,PP	(0,2,activation)(2,1,inhibition)(2,0,activation)	6	1.5361792680989872	28.599980211693182	0.08005262252506973
NP,UP,PP	(0,2,activation)(1,2,inhibition)(2,0,inhibition)	10	0.883173603291867	11.160721257371486	0.02767442126235231
NP,UP,UP	(0,2,activation)(2,1,activation)	5995	2119.148472967315	799468.2202892033	4.6037173273549836E-4
NP,UP,PP	(2,1,inhibition)(2,0,activation)	453	580.6273926968719	110619.62963976746	0.5991449301490981
PP,NP,NP	(0,2,inhibition)(2,1,activation)(2,0,activation)	8	8.83109654416396	485.1794684491625	0.21143261215929676
PP,UP,PP	(0,2,inhibition)(1,2,inhibition)(2,0,activation)	13	1.0302088109773944	17.29765484046711	0.025437516918998204
UP,PP,PP	(0,2,activation)(1,2,activation)(2,1,activation)(2,0,activation)	4	0.03876504643560237	0.09496949061299395	7.367616713946923E-4
NP,NP,PP	(0,1,activation)(1,0,activation)(2,1,activation)(2,0,activation)	8	0.6985852971696174	1.0242090460788773	5.962143373394735E-5
NP,NP,UP	(0,2,inhibition)(1,2,inhibition)	8324	2381.7323529223713	2181223.4899620395	0.0017664405260170435
NP,NP,NP	(2,1,inhibition)(2,0,inhibition)	1301	60823.26517154434	6.362978689778304E8	0.9999464517139539
UP,UP,NP	(0,2,activation)(1,2,inhibition)(2,0,activation)	258	8.289073002325202	119.00948577023074	6.356026815979021E-13
UP,UP,NP	(0,2,activation)(1,2,inhibition)(2,0,inhibition)	8	8.701992543833976	260.1216185426956	0.28937484690191584
PP,UP,PP	(0,2,inhibition)(2,1,inhibition)	45	41.74724293018337	1346.2625590962289	0.3735160395131619
PP,UP,PP	(0,2,inhibition)(2,1,activation)	47	70.11674944066246	1237.583167343032	0.7141561323985821
UP,PP,PP	(0,2,inhibition)(2,1,activation)(2,0,activation)	14	1.0026239418284695	5.997943166171832	0.0043815274749030575
UP,UP,NP	(0,2,activation)(0,1,activation)(1,2,inhibition)	58	28.200424011300676	273.2506030817983	0.05202247772802826
UP,UP,NP	(0,2,activation)(1,2,activation)(2,0,activation)	1502	99.68018365493842	4923.989032562777	8.348877145181177E-14
UP,NP,NP	(0,2,inhibition)(2,1,inhibition)(2,0,activation)	64	1.4032180828932885	156.05526622117475	0.007926753121349162
UP,UP,NP	(0,2,activation)(0,1,inhibition)(1,2,inhibition)(1,0,inhibition)	1	0.021715890097494712	0.025250373284981212	0.0016801710102628542
NP,PP,NP	(0,2,inhibition)(1,2,inhibition)(2,1,inhibition)(2,0,inhibition)	2	0.154796299869136	0.6827969009789182	0.022836505276797148
UP,PP,PP	(0,2,activation)(1,2,activation)(2,1,inhibition)(2,0,activation)	1	0.002339764092058	0.004173169834366498	4.7385434344604516E-4
UP,PP,PP	(0,2,activation)(1,2,activation)(2,1,inhibition)(2,0,inhibition)	2	0.026462797087882014	0.11560507605243896	0.003884858743506414
NP,PP,NP	(0,2,activation)(1,2,activation)(2,1,activation)(2,0,activation)	56	0.5718976298412223	1.3617334484267047	0.0
NP,PP,NP	(0,2,activation)(0,1,activation)(1,0,activation)(2,1,inhibition)	3	0.06738186152877654	0.09267939739380085	3.255693448168673E-4
PP,UP,UP	(0,2,activation)(2,1,activation)(2,0,activation)	17	4.364553096750747	51.19617882990248	0.06310125136999878
PP,UP,UP	(0,2,activation)(0,1,activation)(1,2,inhibition)	2	0.9668370162264004	2.2369093885246225	0.1330761685347297
NP,PP,PP	(0,2,activation)(0,1,activation)(1,2,inhibition)	22	2.587975448679622	17.79969627445071	0.004238044893194903
NP,PP,PP	(0,2,activation)(1,2,activation)(2,0,activation)	4	12.512925962056798	764.1383412135666	0.298415396141539
NP,PP,PP	(0,2,inhibition)(2,1,inhibition)(2,0,inhibition)	12	0.708702667423748	6.043422004571886	0.010209777052348601
NP,PP,PP	(0,2,inhibition)(1,2,inhibition)(2,0,activation)	5	0.87299363733787	2.4818959104932663	0.02357207046863019
PP,NP,NP	(0,2,inhibition)(0,1,inhibition)(1,2,activation)	160	4.638587203023457	14.154789841722426	0.0
PP,NP,NP	(0,2,inhibition)(0,1,inhibition)(1,2,inhibition)	4	9.183567856516623	179.77886776797078	0.45943546524490686
PP,PP,UP	(0,2,inhibition)(1,2,inhibition)(2,1,activation)(2,0,activation)	1	7.026575615054453E-4	7.132845474797511E-4	5.473444503745206E-6
NP,PP,PP	(0,2,inhibition)(1,2,inhibition)	271	350.66024319140655	28723.482874675858	0.6430942048587682
NP,PP,NP	(0,2,activation)(0,1,activation)(1,2,activation)(1,0,activation)	7	1.9424814438962912	9.641534653093796	0.06553582553223847
UP,PP,NP	(0,2,inhibition)(0,1,inhibition)(1,2,inhibition)	28	13.71325677047595	86.15939698661032	0.0737997401138959
NP,UP,NP	(0,2,inhibition)(2,1,activation)	463	1959.3790451840257	613724.7815378485	0.9923924251716317
NP,PP,PP	(0,2,inhibition)(2,1,activation)(2,0,activation)	5	3.419210394364021	25.353062996656686	0.23489048945069058
NP,UP,NP	(0,2,inhibition)(1,2,inhibition)	3670	13257.23323543537	2.263233092768255E7	0.9940992405328256
NP,PP,PP	(0,2,inhibition)(0,1,activation)(1,2,inhibition)	28	0.927749883165459	3.8305964978215643	2.713429550937896E-6
UP,PP,PP	(0,2,inhibition)(0,1,inhibition)(1,2,inhibition)	1	4.476583877347488	14.579968087049544	0.7573175350729355
UP,UP,NP	(0,2,inhibition)(1,2,inhibition)	21272	10616.295845463877	5414824.182144821	6.21407771040916E-5
PP,PP,UP	(0,2,inhibition)(1,2,inhibition)(2,1,inhibition)(2,0,inhibition)	1	2.7593472174046744E-4	2.797192568919758E-4	1.9036138806383107E-6
NP,UP,NP	(0,2,activation)(2,1,activation)	13025	6146.995747545289	2271549.8073098212	8.241605147563114E-5
NP,UP,NP	(0,2,activation)(2,1,inhibition)	13529	6453.207873439318	1.3739116067956895E7	0.046516127046515976
NP,NP,NP	(0,2,activation)(1,2,inhibition)(2,0,inhibition)	12	4.785341397132844	94.34879858497958	0.1420398374458115
UP,PP,PP	(0,2,activation)(0,1,activation)(1,2,activation)(1,0,activation)	3	0.1902154294012763	0.3692036802267521	0.005726674085713368
PP,NP,UP	(0,2,activation)(0,1,inhibition)(1,2,inhibition)	33	0.12167336261824009	0.18477126764070267	3.3306690738754696E-16
PP,NP,UP	(0,2,activation)(2,1,inhibition)(2,0,activation)	2	0.5459779773621546	4.515475773047486	0.07052641792929737
NP,NP,PP	(0,2,activation)(2,1,inhibition)	985	399.77788655897274	101074.86359575801	0.055472597541067925
NP,NP,PP	(0,2,activation)(2,1,activation)	2540	2211.413410119194	802345.9573635925	0.32524241461222825
UP,UP,NP	(0,2,activation)(2,1,activation)	22847	11574.420357574425	5814472.59555161	4.2189640135692486E-5
UP,UP,NP	(0,2,activation)(2,1,inhibition)	1879	12150.999227846023	4.6145054489414066E7	0.9743277140133328
NP,NP,NP	(0,2,activation)(1,2,activation)(2,0,inhibition)	51	48.94739289855498	3048.7218846402293	0.36605089287861936
NP,NP,NP	(0,2,activation)(2,1,activation)(2,0,activation)	3011	289.7459607212784	42003.88429362414	8.693512576485318E-11
NP,NP,PP	(0,2,inhibition)(2,1,activation)	321	1152.9295257688398	229698.3718723571	0.9833367173633112
NP,NP,PP	(0,2,inhibition)(2,1,inhibition)	324	208.4258542768185	17941.879799102215	0.17964559339849395
PP,NP,UP	(0,2,inhibition)(2,1,inhibition)(2,0,inhibition)	2	1.3313424234552906	17.15822583281411	0.1318485411659297
PP,PP,PP	(0,2,inhibition)(2,1,activation)	226	36.381831674666145	390.94933943494084	1.1330177351887016E-8
PP,PP,PP	(0,2,inhibition)(2,1,inhibition)	12	10.75748291810133	112.34479062655481	0.3426124795898944
PP,UP,NP	(0,2,activation)(0,1,inhibition)(1,2,activation)	2	5.0004270927690015	15.654346969740157	0.6923207617220746
NP,UP,NP	(0,2,inhibition)(1,2,inhibition)(2,1,activation)(2,0,activation)	3	0.19252680552509316	0.420279724967924	0.007728331556024592
PP,NP,UP	(0,2,activation)(2,1,activation)	2974	1034.6759192291324	139144.63695435622	4.2981110045414717E-5
PP,NP,UP	(0,2,activation)(2,1,inhibition)	244	280.5263499984778	20571.023078079073	0.5501212539459126
PP,PP,PP	(0,2,activation)(1,2,activation)(2,0,inhibition)	4	0.6237827968179335	19.371973127468433	0.029651957926897343
PP,PP,PP	(0,2,activation)(2,1,activation)(2,0,activation)	1324	1.1057104549492163	10.855169606475132	6.661338147750939E-16
PP,NP,UP	(0,2,activation)(1,2,activation)(2,0,activation)	52	26.195252963566883	3659.486255479416	0.16788136860228198
PP,NP,UP	(0,2,activation)(1,2,activation)(2,0,inhibition)	19	11.616336717452466	1551.5699834332756	0.12219145562560318
PP,NP,UP	(0,2,inhibition)(2,1,activation)	685	616.0420626832366	33127.4137161533	0.32867290059253873
PP,NP,UP	(0,2,inhibition)(2,1,inhibition)	9	167.0243098136617	3431.444047674682	0.9999847942217097
NP,PP,UP	(0,2,activation)(1,2,activation)(2,1,activation)(2,0,activation)	3	0.3200019162279552	1.3578306679230205	0.030277796074176466
UP,UP,PP	(0,2,activation)(2,1,inhibition)(2,0,activation)	1	0.529590727551098	8.370111805836485	0.05404005741876783
UP,UP,PP	(0,2,activation)(1,2,inhibition)(2,0,inhibition)	10	1.002770961249694	12.94612954933193	0.031914950452804125
PP,PP,NP	(0,2,inhibition)(2,1,activation)	360	131.93465043496911	3204.581450541409	8.827178293455695E-4
PP,PP,NP	(0,2,inhibition)(1,2,inhibition)	483	69.6992398115472	1600.8252190694957	3.758521049945784E-9
