Motif_Nodes	Motif_edges	Num_occ_input_graph	Mean_analytical	Variance_analytical	Pval_analytical
NP,UP,PP	(0,2,activation)(2,1,inhibition)(2,0,activation)	3	1.2234483780532817	24.95294552843268	0.0819087907211058
NP,UP,PP	(0,2,activation)(1,2,inhibition)(2,0,inhibition)	24	0.8125081021031894	12.259601417093778	0.004681207276237664
NP,UP,UP	(0,2,activation)(1,2,activation)	32335	117339.47510323102	3.2426982681503696E9	0.9632890345699696
NP,UP,PP	(0,2,inhibition)(2,1,activation)	100	430.766968860281	43192.71835993024	0.975583194743739
PP,NP,NP	(0,2,inhibition)(0,1,activation)(1,2,activation)	6	1.2743777536753942	2.351984352820179	0.009469339855177505
PP,UP,PP	(0,2,inhibition)(1,2,inhibition)(2,0,activation)	12	0.7947288790920816	16.983897940115877	0.02322575300679741
NP,NP,PP	(0,2,activation)(1,2,activation)(2,1,activation)(2,0,activation)	6	0.3123144559027214	2.7884028417237636	0.0165667798679775
PP,NP,NP	(0,2,inhibition)(2,1,activation)	1713	581.2019722727559	46994.41091392975	4.512964157243893E-5
NP,NP,PP	(0,2,activation)(1,2,activation)	1609	11478.209825725042	9.453488430523041E7	0.8669670231791373
UP,UP,NP	(0,2,activation)(1,2,inhibition)(2,0,activation)	247	8.77282337526608	120.62829743273696	1.1444178937836114E-12
UP,UP,NP	(0,2,activation)(1,2,inhibition)(2,0,inhibition)	8	8.678298824048808	244.87638349227055	0.2959600921062824
PP,UP,PP	(0,2,inhibition)(2,1,inhibition)	98	40.09673977573543	1374.6141377366525	0.07853136606189959
PP,UP,PP	(0,2,inhibition)(2,1,activation)	86	53.5942548874065	923.6935144662398	0.13992645420505223
UP,PP,PP	(0,2,activation)(1,2,activation)(2,0,inhibition)	6	1.985132390455156	89.18031424675581	0.06414403167478999
UP,UP,NP	(0,2,activation)(0,1,activation)(1,2,inhibition)	46	29.3752949867756	287.8217239989707	0.1529266275121084
UP,UP,NP	(0,2,activation)(0,1,activation)(1,2,activation)	181	350.5600096205141	15575.565426487417	0.9292648905330655
UP,NP,NP	(0,2,inhibition)(2,1,inhibition)(2,0,activation)	74	1.4750864568949473	168.34516237720592	0.007032933322164703
UP,UP,NP	(0,2,activation)(0,1,inhibition)(1,2,inhibition)(1,0,inhibition)	1	0.022735432670016365	0.02659405665555479	0.0018218468895369044
NP,PP,NP	(0,2,inhibition)(1,2,inhibition)(2,1,inhibition)(2,0,inhibition)	2	0.14379806862500044	0.5950567270653445	0.02102726991318893
UP,PP,PP	(0,2,activation)(1,2,activation)(2,1,inhibition)(2,0,inhibition)	2	0.021651072207523193	0.09337926978373427	0.003171708621758307
NP,PP,NP	(0,2,activation)(1,2,activation)(2,1,activation)(2,0,activation)	45	0.42473908016028905	0.9689554122001153	0.0
NP,PP,NP	(0,2,activation)(0,1,activation)(1,0,activation)(2,1,inhibition)	3	0.04933434956050006	0.07029063776244207	2.795243574237327E-4
PP,UP,UP	(0,2,activation)(2,1,activation)(2,0,activation)	8	2.9447808569474834	33.659161970858904	0.12709833852217267
PP,UP,UP	(0,2,activation)(1,2,activation)(2,0,inhibition)	3	17.234635641116473	4123.196856376623	0.13058056485794478
NP,PP,PP	(0,2,activation)(2,1,activation)(2,0,inhibition)	1	0.1453073291277174	0.6179036220835683	0.03389268125359424
NP,PP,PP	(0,2,activation)(1,2,activation)(2,0,activation)	1	8.28047957805847	445.08006588580173	0.25285171145712815
NP,PP,PP	(0,2,inhibition)(2,1,inhibition)(2,0,inhibition)	12	0.6496157443666195	5.183367542972249	0.00826338522075587
NP,PP,PP	(0,2,inhibition)(0,1,inhibition)(1,2,activation)	268	22.191112916490653	375.18297051581834	3.4756870714858223E-9
PP,NP,NP	(0,2,inhibition)(0,1,inhibition)(1,2,activation)	289	5.035073369359405	15.977640058620938	0.0
PP,NP,NP	(0,2,inhibition)(2,1,inhibition)(2,0,inhibition)	3	22.15228698121794	3582.900382483781	0.23076610181672474
PP,PP,UP	(0,2,inhibition)(1,2,inhibition)(2,1,activation)(2,0,activation)	1	5.031237622764233E-4	5.098462163875046E-4	3.439955911899162E-6
NP,PP,PP	(0,2,inhibition)(1,2,inhibition)	306	354.14219172334566	33598.822358023725	0.5531068954359828
NP,PP,NP	(0,2,activation)(0,1,activation)(1,2,activation)(1,0,activation)	1	1.4322729828695706	7.523219670571327	0.27485540054812263
UP,PP,NP	(0,2,inhibition)(0,1,inhibition)(1,2,inhibition)	27	13.436556340533937	92.01831904792652	0.08725561578454222
NP,UP,NP	(0,2,inhibition)(1,2,activation)	2279	8191.229409321787	7581897.414085358	0.9964945837862434
NP,PP,PP	(0,2,inhibition)(2,1,activation)(2,0,activation)	7	2.1301508582475925	12.793462633812652	0.08486197263665762
