Motif_Nodes	Motif_edges	Num_occ_input_graph	Mean_analytical	Variance_analytical	Pval_analytical
NP,UP,PP	(0,2,activation)(2,1,inhibition)(2,0,activation)	78	1.0447791002262397	21.719819829579606	7.115717802697041E-5
NP,UP,PP	(0,2,activation)(1,2,inhibition)(2,0,inhibition)	34	0.8336089527795406	12.257883579361675	0.001257109372040488
NP,UP,UP	(0,2,activation)(1,2,activation)	31940	117463.32557454017	3.249310563885357E9	0.9643959139010918
NP,PP,UP	(0,2,activation)(0,1,activation)(1,0,activation)(2,1,activation)	36	0.3225114158719397	1.4142345669579313	1.788641235123123E-8
NP,UP,PP	(0,2,inhibition)(2,1,activation)	126	514.3802455016823	56439.118413880584	0.9782810057403636
PP,NP,NP	(0,2,inhibition)(2,1,activation)(2,0,activation)	82	6.796147393912693	379.8938309557018	0.015642438425434668
PP,UP,PP	(0,2,inhibition)(1,2,inhibition)(2,0,activation)	1	0.8839564095384418	17.01966207362359	0.0756873688749442
UP,PP,PP	(0,2,activation)(0,1,activation)(1,2,activation)(1,0,activation)	1	0.11895183080016554	0.22388109987784743	0.026487453380803605
NP,NP,PP	(0,2,activation)(1,2,activation)(2,1,activation)(2,0,activation)	96	0.299137874668231	2.7482400118492682	8.168010712239493E-11
NP,NP,UP	(0,2,inhibition)(1,2,inhibition)	8347	2434.236477273023	2232529.811200171	0.0019415255407879695
NP,NP,PP	(0,2,activation)(1,2,activation)	2626	11730.83814290054	9.507774397720775E7	0.8292763631946295
UP,UP,NP	(0,2,activation)(1,2,inhibition)(2,0,activation)	246	8.15712095387877	111.8797959545962	7.978062654956375E-13
UP,UP,NP	(0,2,activation)(1,2,inhibition)(2,0,inhibition)	8	8.098389339353265	228.95992239054615	0.278448832968192
PP,UP,PP	(0,2,inhibition)(2,1,inhibition)	58	44.429379321768124	1593.8987378435156	0.2929680238163016
PP,UP,PP	(0,2,inhibition)(2,1,activation)	50	61.30694786502613	1106.0896768080238	0.5779032052731747
UP,PP,PP	(0,2,activation)(1,2,inhibition)(2,0,activation)	6	0.10164726341149621	0.2080880763630201	1.509079142198999E-4
