Motif_Nodes	Motif_edges	Num_occ_input_graph	Mean_analytical	Variance_analytical	Pval_analytical
PP,PP,NP	(0,2,activation)(1,2,activation)(2,1,activation)(2,0,activation)	3	0.013136005212336545	0.015275787852126688	6.366760332054966E-6
NP,UP,NP	(0,2,activation)(0,1,activation)(1,0,activation)(2,1,activation)	1	4.110236224264116	48.52716698437726	0.4209508091110974
PP,UP,NP	(0,2,inhibition)(2,1,inhibition)	162	223.3099685500589	65234.83575169349	0.4687303224116969
UP,NP,NP	(0,2,inhibition)(2,1,activation)	20702	9045.560047716237	3522911.5621598065	3.097706826604707E-7
UP,NP,NP	(0,2,inhibition)(2,1,inhibition)	2671	2457.9617052791805	3656228.528105085	0.3802326555535025
UP,NP,NP	(0,2,activation)(1,2,activation)(2,0,activation)	1200	64.21039220456238	1938.7429264803095	2.1760371282653068E-14
NP,UP,PP	(0,2,activation)(0,1,inhibition)(1,2,inhibition)	4	0.7665470109885193	1.89307962207458	0.02838714896577821
NP,NP,UP	(2,1,inhibition)(2,0,activation)	2326	6313.2282572385075	1857237.4494121596	0.9998228158109621
UP,NP,NP	(0,2,activation)(1,2,activation)(2,0,inhibition)	3	55.49162284727871	3753.5013176872553	0.7735813221962716
NP,NP,UP	(2,1,inhibition)(2,0,inhibition)	15535	17943.71130865435	1.1399845621138388E8	0.5306620978358774
PP,PP,UP	(0,2,activation)(2,1,activation)	351	108.89106076949543	3020.682700345631	5.760891470014684E-4
PP,PP,UP	(0,2,activation)(2,1,inhibition)	283	53.868622369063615	1801.1666568530713	3.208493433728421E-4
PP,NP,UP	(0,2,activation)(2,1,activation)	2440	708.5759106392607	74795.05588544649	3.3201396690829554E-6
UP,UP,NP	(0,2,activation)(0,1,inhibition)(1,2,activation)	10	73.0473592510401	406.158131914558	0.9999934733384847
NP,NP,UP	(0,2,activation)(1,2,activation)	13618	35898.147235629796	3.2542784762096095E8	0.914247788813337
PP,UP,NP	(0,2,activation)(2,1,activation)	1690	1015.2438161417333	75159.80532117537	0.013545525765111366
NP,UP,NP	(0,2,activation)(0,1,activation)(1,0,inhibition)(2,1,activation)	2	1.2513151722900595	15.296601600982306	0.12828648645477259
NP,UP,NP	(0,2,activation)(0,1,activation)(1,2,inhibition)(1,0,inhibition)	4	0.5277346306123456	7.576441328120944	0.03878894328545224
PP,PP,UP	(0,2,activation)(1,2,activation)(2,1,inhibition)(2,0,inhibition)	2	0.006783422373868891	0.031751462086857515	0.001002718530214164
NP,UP,PP	(0,2,inhibition)(1,2,inhibition)(2,0,activation)	35	6.252588992326328	155.40845854925612	0.041531377634392075
NP,NP,UP	(0,2,activation)(0,1,activation)(1,2,activation)	811	1535.7366851796075	750886.8108319282	0.7881823103004002
PP,UP,NP	(0,2,activation)(1,2,activation)(2,0,inhibition)	46	12.016096478244659	541.2123455155225	0.08383053722167344
NP,UP,PP	(0,2,inhibition)(2,1,inhibition)(2,0,inhibition)	12	2.1569389361457696	64.4081607674485	0.06175414458773809
UP,NP,NP	(0,2,activation)(0,1,inhibition)(1,2,inhibition)	3	6.57847359927522	42.71213336955741	0.5936702408811936
NP,NP,PP	(0,2,inhibition)(0,1,inhibition)(1,2,activation)	3	72.37117577729249	3334.908616667114	0.9352638264948375
NP,NP,UP	(0,2,inhibition)(2,1,activation)(2,0,activation)	8	57.53194996749258	2293.397018587981	0.8700761805285957
NP,UP,UP	(0,1,activation)(1,2,activation)(2,0,inhibition)	4	1.876806279800269	5.404296984184859	0.1259298570926386
NP,UP,UP	(0,1,activation)(1,2,activation)(2,0,activation)	19	6.164807498532653	25.991168165249213	0.02043205457856634
NP,PP,UP	(0,1,activation)(1,0,activation)(2,1,inhibition)(2,0,inhibition)	2	0.03721571502967451	0.07794109817007236	0.0031036745049339842
NP,UP,NP	(0,2,inhibition)(1,2,inhibition)	3941	13743.967216304376	2.5193703175325572E7	0.9922340187305126
NP,PP,PP	(0,2,activation)(2,1,activation)	433	206.08193068590452	31268.47420257519	0.10915560051951323
UP,NP,PP	(0,2,inhibition)(2,1,inhibition)	2034	284.24586218836276	42676.22135227754	1.1901370847722248E-6
UP,UP,NP	(0,2,activation)(1,2,activation)(2,0,inhibition)	2	93.4174940291767	10434.469823518175	0.7982564101762211
UP,UP,NP	(0,2,activation)(1,2,activation)(2,0,activation)	1501	108.0951254009858	5287.620504691255	0.0
UP,UP,PP	(0,2,inhibition)(1,2,inhibition)(2,0,activation)	25	2.11419747011061	45.66845423284	0.020805243627354364
NP,UP,UP	(0,2,activation)(1,2,inhibition)	5117	2230.241413724552	543029.6376981074	7.290865658159396E-4
PP,PP,NP	(0,2,activation)(1,2,inhibition)(2,1,activation)(2,0,activation)	1	0.002127148299228791	0.0022781319728178494	7.236838848245775E-5
UP,NP,UP	(0,2,activation)(0,1,activation)(1,2,activation)(1,0,activation)(2,0,activation)	3	0.14584009945508974	0.6801369389198436	0.014160426188357556
UP,UP,PP	(0,2,inhibition)(1,2,inhibition)(2,0,inhibition)	24	1.7113689767663793	38.31813298379706	0.0186206787987534
NP,UP,NP	(0,2,inhibition)(1,2,activation)	1938	8073.747895506713	7631113.032544486	0.9978844057596796
NP,UP,UP	(0,2,activation)(1,2,activation)	31188	120865.6291877543	3.438335665378992E9	0.9684351851406319
NP,UP,PP	(0,1,activation)(1,2,activation)(2,0,activation)	36	1.5520062040101201	3.941115965866777	1.665464433031616E-10
UP,PP,NP	(0,2,activation)(1,2,activation)(2,0,inhibition)	8	7.3816538032910435	86.29829604393748	0.32837714493208114
UP,PP,NP	(0,2,activation)(1,2,activation)(2,0,activation)	92	8.54144934870762	43.478314877781386	6.6925531783113E-10
NP,UP,NP	(0,2,activation)(1,2,activation)(2,0,activation)	2491	358.16300012019275	33887.90009117313	5.6671778381200966E-11
NP,UP,NP	(0,2,activation)(1,2,activation)(2,0,inhibition)	47	97.32409424064366	11385.039162769513	0.5763369853463391
NP,PP,NP	(0,2,activation)(1,2,activation)(2,1,activation)(2,0,activation)	44	0.3457753138886952	0.7827554453638833	4.440892098500626E-16
NP,PP,NP	(0,2,activation)(0,1,activation)(1,0,activation)(2,1,inhibition)	3	0.027742093511663235	0.03842305359910918	1.149107579307973E-4
NP,NP,PP	(0,1,activation)(1,2,activation)(2,0,activation)	18	5.142426137824226	21.949561459768127	0.016106666571703787
NP,PP,UP	(0,1,inhibition)(1,0,inhibition)(2,1,inhibition)(2,0,inhibition)	13	0.13537963389202204	0.6419753000923518	2.062419914261593E-4
PP,NP,UP	(0,2,activation)(1,2,activation)(2,0,activation)	1	14.599950301440275	2055.640129404645	0.18374306835346488
PP,NP,UP	(0,2,activation)(1,2,activation)(2,0,inhibition)	28	7.222624188226346	1093.737532630748	0.06355414709770357
