Motif_Nodes	Motif_edges	Num_occ_input_graph	Mean_analytical	Variance_analytical	Pval_analytical
PP,PP,NP	(0,2,activation)(1,2,activation)(2,1,activation)(2,0,activation)	3	0.009371309892697974	0.012184608002469375	1.9533917600456085E-5
NP,UP,NP	(0,2,activation)(1,2,activation)(2,1,activation)(2,0,activation)	121	1.9146080319830405	21.46228059847875	1.3293618428278364E-9
PP,UP,NP	(0,2,inhibition)(2,1,inhibition)	183	187.10435190717163	50496.51128174261	0.37830045390437084
UP,NP,NP	(0,2,inhibition)(2,1,activation)	21634	8519.991664166731	3281394.936581999	9.249575882996908E-9
UP,NP,NP	(0,2,inhibition)(2,1,inhibition)	2862	2103.9464827486167	2663514.471298173	0.270033350888929
UP,NP,NP	(0,2,activation)(1,2,activation)(2,0,activation)	1166	85.35143618712175	8459.76200118425	1.3892456129926956E-7
NP,NP,UP	(2,1,inhibition)(2,0,activation)	1846	6118.605402841164	1774489.0324806422	0.9999762163172593
NP,NP,UP	(0,2,activation)(1,2,activation)(2,1,activation)(2,0,activation)	92	1.2785183086295653	11.886988187931156	3.806279402773782E-9
NP,NP,UP	(2,1,inhibition)(2,0,inhibition)	13622	15213.748842612998	8.216541790548316E7	0.5098852405456631
PP,PP,UP	(0,2,activation)(2,1,activation)	249	78.78218777271377	1450.7433806322324	4.5729944885275486E-4
PP,PP,UP	(0,2,activation)(2,1,inhibition)	127	70.5491882606572	2940.5283284089946	0.14356363542978012
PP,NP,UP	(0,2,activation)(2,1,activation)	1447	740.9485139747101	80596.49191363237	0.01550326963653581
UP,UP,NP	(0,2,activation)(0,1,inhibition)(1,2,activation)	15	101.49710199532943	1493.7331068445128	0.9988481800887249
PP,NP,UP	(0,2,activation)(2,1,inhibition)	145	197.09075453298337	20001.542042550325	0.5768671299015146
UP,NP,PP	(0,2,activation)(0,1,inhibition)(1,2,activation)	4	4.187389433168534	7.983204791769371	0.39582713143966586
PP,UP,NP	(0,2,activation)(2,1,activation)	1575	1031.750659996784	80475.7062514252	0.037821241331085
NP,UP,NP	(0,2,activation)(0,1,activation)(1,0,inhibition)(2,1,activation)	2	1.1655492802490206	14.029433388647426	0.1210594134415367
NP,UP,NP	(0,2,activation)(0,1,activation)(1,2,inhibition)(1,0,inhibition)	4	0.4600731780780994	6.018682020101521	0.0350124546833811
PP,PP,UP	(0,2,activation)(1,2,activation)(2,1,inhibition)(2,0,inhibition)	2	0.011989903555333612	0.07744280388249326	0.0017212468742617837
NP,UP,PP	(0,2,inhibition)(1,2,inhibition)(2,0,activation)	47	10.629526899970132	447.5073921009882	0.06750729803386402
NP,NP,UP	(0,1,activation)(1,2,activation)(2,0,activation)	190	21.58999703899515	129.8293392029055	1.5432100042289676E-14
PP,UP,NP	(0,2,activation)(2,1,activation)(2,0,inhibition)	28	1.3490983263105414	19.189760608472497	0.00443835019872052
NP,UP,PP	(0,2,inhibition)(2,1,inhibition)(2,0,inhibition)	12	2.68098791840312	82.9519696998519	0.0758760817845977
UP,NP,NP	(0,2,activation)(0,1,inhibition)(1,2,inhibition)	5	5.91272157113435	35.632177278531685	0.421483672438409
NP,PP,UP	(0,2,inhibition)(0,1,inhibition)(1,2,inhibition)	8	57.818394614762795	2673.662870658332	0.8398232548415636
NP,NP,UP	(0,2,inhibition)(2,1,activation)(2,0,activation)	15	64.24954843613145	3056.8116229199168	0.8049405958302727
NP,NP,UP	(0,2,inhibition)(2,1,activation)(2,0,inhibition)	8	3.6689979552425105	63.86558672151693	0.15610966188386233
NP,UP,UP	(0,1,activation)(1,2,activation)(2,0,activation)	16	6.4261105598176895	28.151285021655646	0.051839555344358246
