Motif_Nodes	Motif_edges	Num_occ_input_graph	Mean_analytical	Variance_analytical	Pval_analytical
NP,UP,PP	(0,2,activation)(2,1,inhibition)(2,0,activation)	6897	5.160494452033776	1083.9382341361513	1.5654144647214707E-14
NP,UP,UP	(0,2,activation)(1,2,activation)	28309	106599.76666664163	2.6512472166401176E9	0.96701460848504
NP,PP,UP	(0,2,activation)(0,1,activation)(1,0,activation)(2,1,activation)	1	0.09162990917798466	0.11578426466853217	0.01180043842587608
NP,UP,PP	(0,2,inhibition)(2,1,activation)	195	406.0892242673482	61397.221348306746	0.7930924401054449
UP,PP,PP	(0,2,activation)(1,2,activation)(2,1,activation)(2,0,activation)	4	0.033677489122923246	0.06197537299885149	2.0027218930851465E-4
NP,NP,PP	(0,2,activation)(1,2,activation)(2,1,activation)(2,0,activation)	138	0.2947140887042664	1.2555467308424442	0.0
NP,NP,UP	(0,2,inhibition)(1,2,inhibition)	1563	731.385143957977	277487.1359861831	0.07584322229975993
NP,NP,NP	(0,2,activation)(1,2,activation)	22267	27407.303485518394	8.018053324657214E7	0.6975466927710925
UP,UP,NP	(0,2,activation)(1,2,inhibition)(2,0,activation)	226	8.463180419973627	115.88650008465278	1.088884538091861E-11
UP,UP,NP	(0,2,activation)(1,2,inhibition)(2,0,inhibition)	18	4.995180395700955	139.33845554252866	0.09918568322735521
PP,UP,PP	(0,2,inhibition)(2,1,inhibition)	74	595.2802366881899	650045.776944542	0.6154011338041783
PP,UP,PP	(0,2,inhibition)(2,1,activation)	50	341.3815183359176	54037.39584500421	0.9368671709781926
UP,PP,PP	(0,2,inhibition)(1,2,activation)(2,0,activation)	9	0.2817127105971524	1.0290542076503142	0.0010555875867679365
UP,PP,UP	(0,2,activation)(1,2,activation)(2,1,inhibition)(2,0,inhibition)	4	0.2709271305346466	17.428683208845282	0.007297696304044088
UP,UP,NP	(0,2,activation)(0,1,activation)(1,2,inhibition)	40	30.667946986919524	513.9542345383675	0.2811430723779832
UP,UP,NP	(0,2,activation)(2,1,activation)(2,0,activation)	334	33.850521247415195	618.8649666888653	1.4751895260900483E-9
UP,PP,NP	(0,2,activation)(1,2,activation)(2,1,activation)(2,0,activation)	6	0.17460740235928368	0.30557002860311544	1.1312292859266826E-4
NP,UP,UP	(0,2,inhibition)(1,2,activation)(2,0,inhibition)	18	0.9130165521015612	60.94868913179738	0.015620195063910436
NP,PP,NP	(0,2,activation)(0,1,activation)(1,0,activation)(2,1,activation)	220	0.2582330699304723	0.40077777160647726	1.1102230246251565E-16
PP,UP,UP	(0,2,activation)(2,1,activation)(2,0,activation)	30	4.305481966846141	51.37749438388164	0.012020066524226158
PP,UP,UP	(0,2,activation)(0,1,activation)(1,2,inhibition)	2	3.768119826170828	26.754818828428764	0.4363531998850483
NP,PP,PP	(0,2,activation)(1,2,activation)(2,0,activation)	247	4.594610467636212	41.51092544239868	5.551115123125783E-16
NP,PP,PP	(0,2,inhibition)(0,1,inhibition)(1,2,inhibition)	2	103.13442582893191	20093.752803514315	0.6437300092645875
UP,NP,PP	(0,2,activation)(0,1,activation)(1,0,activation)(2,1,activation)	1	0.13792266874826276	0.18671659870023694	0.022019790091673874
NP,PP,PP	(0,2,inhibition)(0,1,inhibition)(1,2,activation)	4	16.68364460379284	243.7844983091656	0.7518869036590403
