Motif_Nodes	Motif_edges	Num_occ_input_graph	Mean_analytical	Variance_analytical	Pval_analytical
NP,UP,PP	(0,2,activation)(2,1,inhibition)(2,0,activation)	78	0.9116023730018412	21.176123406579105	1.1234320990616276E-4
NP,UP,PP	(0,2,activation)(2,1,inhibition)(2,0,inhibition)	3	4.079828579803987	176.28526002180774	0.1485541290476925
NP,UP,UP	(0,2,activation)(1,2,activation)	32440	119214.9250973418	3.3447493060799313E9	0.9643916225780302
NP,PP,UP	(0,2,activation)(0,1,activation)(1,0,activation)(2,1,activation)	18	0.3075851107846149	1.462784138638073	7.411867752238344E-5
NP,UP,PP	(0,2,inhibition)(2,1,activation)	94	397.9509041755245	40691.556575046765	0.9672173795167631
PP,NP,NP	(0,2,inhibition)(2,1,activation)(2,0,activation)	72	6.4320580555799065	385.6360951025195	0.021880380541715372
PP,UP,PP	(0,2,inhibition)(1,2,inhibition)(2,0,activation)	13	0.6048368479974969	13.341167596357272	0.016221903780851643
UP,PP,PP	(0,2,activation)(0,1,activation)(1,2,activation)(1,0,activation)	1	0.08792338810314655	0.1629512648931906	0.01915216813376186
NP,NP,PP	(0,2,activation)(1,2,activation)(2,1,activation)(2,0,activation)	93	0.3029153395721731	3.1576621977411876	1.407373551032265E-9
NP,NP,UP	(0,2,inhibition)(1,2,inhibition)	8362	2465.471621578649	2260446.4693452213	0.0020385518534546954
NP,NP,PP	(0,2,activation)(1,2,activation)	1578	10968.879054856061	1.0005235294067377E8	0.8325983239720782
UP,UP,NP	(0,2,activation)(1,2,inhibition)(2,0,activation)	246	9.102881690019242	122.50235564494893	9.5679020262196E-13
UP,UP,NP	(0,2,activation)(1,2,inhibition)(2,0,inhibition)	8	8.961504584089697	245.50604623620762	0.3080454203241496
PP,UP,PP	(0,2,inhibition)(2,1,inhibition)	58	33.661667750681886	1211.4800165097704	0.19794027936540948
PP,UP,PP	(0,2,inhibition)(2,1,activation)	44	44.59992802429334	773.3556680191548	0.43845347217442865
UP,PP,PP	(0,2,inhibition)(2,1,activation)(2,0,activation)	13	0.48729676066727057	2.13363066920659	7.203791279433158E-4
UP,UP,NP	(0,2,activation)(0,1,activation)(1,2,inhibition)	52	30.228678788064748	300.93908535858066	0.10861796772449117
UP,UP,NP	(0,2,activation)(1,2,activation)(2,0,activation)	1483	109.1170957347552	5364.342375331573	0.0
UP,NP,NP	(0,2,inhibition)(2,1,inhibition)(2,0,activation)	72	1.5090087689585063	171.05537095414877	0.007435718340763842
UP,UP,NP	(0,2,activation)(0,1,inhibition)(1,2,inhibition)(1,0,inhibition)	1	0.023395921354968367	0.027480450965427585	0.001918942866072526
NP,PP,NP	(0,2,inhibition)(1,2,inhibition)(2,1,inhibition)(2,0,inhibition)	2	0.12990814386511823	0.5206190837560966	0.018866356162049014
UP,PP,PP	(0,2,activation)(1,2,activation)(2,1,inhibition)(2,0,activation)	1	0.0012011801105089206	0.0022253738892344067	2.5185991152398834E-4
UP,PP,PP	(0,2,activation)(1,2,activation)(2,1,inhibition)(2,0,inhibition)	2	0.018497899059203397	0.08290591876848988	0.002723996832004194
NP,PP,NP	(0,2,activation)(0,1,activation)(1,0,activation)(2,1,activation)	180	0.9980778446765404	12.174478381310495	1.2501111257279263E-13
NP,PP,NP	(0,2,activation)(0,1,activation)(1,2,activation)(1,0,inhibition)	1	0.0419401586015633	0.1437126482031995	0.010369953145131228
PP,UP,UP	(0,2,activation)(2,1,activation)(2,0,activation)	8	2.253210839612591	25.52831185630079	0.09569367935718653
PP,UP,UP	(0,2,activation)(0,1,activation)(1,2,inhibition)	2	0.7140236900748894	1.42267088279708	0.08438508941447642
NP,PP,PP	(0,2,activation)(0,1,activation)(1,2,inhibition)	38	1.1645502284766713	11.791472927595013	2.137978352317882E-4
NP,PP,PP	(0,2,activation)(1,2,activation)(2,0,activation)	186	6.681013983964711	367.88106732989144	5.001500296477612E-4
NP,PP,PP	(0,2,inhibition)(2,1,inhibition)(2,0,inhibition)	6	0.6412578714803087	5.1533493136854345	0.03309690225365303
NP,PP,PP	(0,2,inhibition)(1,2,inhibition)(2,0,activation)	5	0.7215721026741618	2.280271910042991	0.0213167062755808
PP,NP,NP	(0,2,inhibition)(0,1,inhibition)(1,2,activation)	299	5.160051148389601	16.816711457399997	1.1102230246251565E-16
PP,NP,NP	(0,2,inhibition)(0,1,inhibition)(1,2,inhibition)	4	8.61403273276594	158.70762885367486	0.4501598214500051
PP,PP,UP	(0,2,inhibition)(1,2,inhibition)(2,1,activation)(2,0,activation)	1	2.997739038982145E-4	3.030660645142179E-4	1.6720992371821453E-6
NP,PP,PP	(0,2,inhibition)(1,2,inhibition)	518	346.36565439365063	33492.27359664996	0.16691042830553504
NP,PP,NP	(0,1,activation)(1,0,activation)(2,1,inhibition)(2,0,inhibition)	72	0.18880360055392872	1.1052868015104367	1.795008586213953E-12
NP,PP,NP	(0,1,activation)(1,0,activation)(2,1,activation)(2,0,activation)	360	3.1239179217462945	93.87079185076307	4.547495713325134E-11
UP,PP,NP	(0,2,inhibition)(0,1,inhibition)(1,2,inhibition)	28	12.11947489387924	89.92867164303357	0.06372973746475574
NP,UP,NP	(0,2,inhibition)(2,1,activation)	507	2132.200272835741	678262.502194183	0.9940458944062754
NP,PP,PP	(0,2,inhibition)(2,1,activation)(2,0,activation)	4	1.7325890308653709	9.313166497339203	0.14025295885970357
NP,UP,NP	(0,2,inhibition)(1,2,inhibition)	3480	12984.609929939843	2.0911725155575156E7	0.9955703578240811
NP,PP,PP	(0,2,inhibition)(0,1,activation)(1,2,inhibition)	192	0.6999814035805813	3.4261867186774384	0.0
UP,PP,PP	(0,2,inhibition)(1,2,inhibition)(2,1,activation)(2,0,activation)	6	0.0014316665446037573	0.0015634467280869974	1.0829781516008552E-11
UP,UP,NP	(0,2,inhibition)(1,2,inhibition)	21188	10226.036676482083	4839283.975252137	1.811919159311337E-5
PP,PP,UP	(0,2,inhibition)(1,2,inhibition)(2,1,inhibition)(2,0,inhibition)	1	2.3303417294453095E-4	2.3599108743638052E-4	1.4863435162659755E-6
NP,UP,NP	(0,2,activation)(2,1,activation)	14672	7452.5305579163005	3017619.816624932	2.2568073654316567E-4
NP,UP,NP	(0,2,activation)(2,1,inhibition)	16129	7336.785100817267	1.6407290841671959E7	0.03127847625906499
NP,NP,NP	(0,2,activation)(1,2,inhibition)(2,0,inhibition)	12	5.365297394953045	103.32740836759113	0.1596303320922614
PP,NP,UP	(0,2,activation)(0,1,inhibition)(1,2,inhibition)	9	0.08751230697889709	0.13210609140043625	1.0812780393276711E-7
PP,NP,UP	(0,2,activation)(0,1,inhibition)(1,2,activation)	2	4.6141644722516455	30.70504437271554	0.5215862215030047
NP,PP,NP	(0,2,activation)(0,1,activation)(1,2,activation)(1,0,activation)	186	1.2166778257277389	6.939702431697336	8.881784197001252E-16
NP,NP,PP	(0,2,activation)(2,1,activation)	1952	1342.761962227935	765130.1415232092	0.2169773407107366
UP,UP,NP	(0,2,activation)(2,1,activation)	24098	12862.196179579785	6617076.630850822	9.549825878030216E-5
UP,UP,NP	(0,2,activation)(2,1,inhibition)	1976	12662.433056901744	4.663893713831964E7	0.978826050522022
NP,NP,NP	(0,2,activation)(0,1,activation)(1,2,inhibition)	138	107.8438094856009	4728.772961637649	0.2843451471459145
NP,NP,NP	(0,2,activation)(1,2,activation)(2,0,activation)	2154	205.15426063043734	12526.771101066508	0.0
NP,NP,PP	(0,2,activation)(0,1,activation)(1,2,activation)(1,0,activation)(2,0,activation)	180	0.06822238107717117	0.14056314510108178	0.0
NP,NP,PP	(0,2,inhibition)(2,1,activation)	361	921.6572918174392	193719.73369691276	0.9212352888438666
NP,NP,PP	(0,2,inhibition)(2,1,inhibition)	187	202.15902332414547	22338.067048095603	0.46286101317417727
PP,PP,NP	(0,1,activation)(1,0,activation)(2,1,activation)(2,0,activation)	165	0.347957526624655	32.37367625063794	2.1524229360070368E-4
PP,NP,UP	(0,2,inhibition)(1,2,inhibition)(2,0,inhibition)	6	0.4993381087094852	2.529273799696379	0.01723954834397956
PP,PP,PP	(0,2,inhibition)(2,1,activation)	112	14.648262612875255	113.4966447145313	3.0976192866294383E-7
PP,PP,PP	(0,2,inhibition)(2,1,inhibition)	27	7.7082535025074055	80.52131182968355	0.04062475205586635
NP,PP,NP	(0,2,activation)(1,2,activation)(2,1,activation)(2,0,activation)	206	0.34854840209151355	0.7884732184056166	6.661338147750939E-16
PP,UP,NP	(0,2,activation)(0,1,inhibition)(1,2,activation)	2	3.8267618397395653	13.569284752441625	0.5487661520344529
NP,UP,NP	(0,2,inhibition)(1,2,inhibition)(2,1,activation)(2,0,activation)	2	0.19228584002511023	0.40494956059363674	0.018123660796702912
PP,NP,UP	(0,2,activation)(2,1,activation)	1659	777.5885384778328	86245.78928242694	0.005891244833414633
PP,NP,UP	(0,2,activation)(2,1,inhibition)	141	203.03511225611047	11451.820823184687	0.6846489621310468
PP,PP,PP	(0,2,activation)(1,2,activation)(2,0,inhibition)	4	0.273506435330577	6.557688424594891	0.01557320187687894
PP,PP,PP	(0,2,activation)(2,1,activation)(2,0,activation)	120	0.19637238922024744	1.3117364659105424	6.661338147750939E-16
PP,PP,NP	(0,2,activation)(0,1,activation)(1,2,activation)(1,0,activation)(2,0,activation)	180	0.001955491190224091	0.002474267225754125	0.0
PP,NP,UP	(0,2,activation)(1,2,activation)(2,0,activation)	50	14.565219465117902	2013.1732640254618	0.09848407877191545
PP,NP,UP	(0,2,activation)(1,2,activation)(2,0,inhibition)	19	9.123984451161903	1253.9323525589598	0.095357478947245
PP,NP,UP	(0,2,inhibition)(2,1,activation)	719	586.8827190645192	36105.3720869543	0.22976700801958327
PP,NP,UP	(0,2,inhibition)(2,1,inhibition)	41	153.24016861114382	3357.9542920112544	0.991932417127456
NP,PP,UP	(0,2,activation)(1,2,activation)(2,1,activation)(2,0,activation)	3	0.18367874724349667	0.7282968478580517	0.01633047720274927
UP,UP,PP	(0,1,activation)(1,2,inhibition)(2,0,activation)	4	0.3033681122925255	0.41112057144129593	7.343165947951702E-4
