Motif_Nodes	Motif_edges	Num_occ_input_graph	Mean_analytical	Variance_analytical	Pval_analytical
NP,UP,PP	(0,2,activation)(2,1,inhibition)(2,0,activation)	21	3.0952373817302203	350.2293469646243	0.03678541178208805
NP,UP,PP	(0,2,activation)(2,1,inhibition)(2,0,inhibition)	6	84.44742357575018	35519.64411764823	0.3225108550649296
NP,UP,UP	(2,1,activation)(2,0,activation)	21555	33451.18066303869	3.2690523118588448E7	0.9881063059192672
NP,PP,UP	(0,2,activation)(0,1,activation)(1,0,activation)(2,1,activation)	66	0.26262717446346234	0.365829262617843	1.1102230246251565E-16
NP,UP,PP	(0,2,inhibition)(2,1,activation)	262	569.7421133043545	66459.94071179	0.9000247907987936
PP,NP,NP	(0,2,inhibition)(0,1,activation)(1,2,activation)	48	1.9788710048018305	9.555530071082337	7.659352097011407E-8
PP,UP,PP	(0,2,inhibition)(0,1,inhibition)(1,2,activation)	53	28.162152752044666	807.8135693460916	0.1656845659962075
UP,PP,PP	(0,1,activation)(1,0,activation)(2,1,activation)(2,0,activation)	120	0.49666573293248234	1.6729006433452278	3.3306690738754696E-16
NP,NP,PP	(0,2,activation)(1,2,activation)(2,1,activation)(2,0,activation)	62	0.17630508220288285	0.27092629047314415	4.440892098500626E-16
NP,NP,PP	(0,2,activation)(0,1,activation)(1,2,activation)(1,0,inhibition)	4	0.31668733108444824	1.076310427932555	0.014806121795613358
PP,NP,NP	(0,2,inhibition)(2,1,activation)	1202	801.4350708820448	199108.0505452864	0.1749180543761194
NP,NP,NP	(0,2,activation)(1,2,activation)	16061	21361.17766060828	6.830166055093074E7	0.7198391122856609
UP,UP,NP	(0,2,activation)(0,1,inhibition)(1,2,activation)	12	76.74880973407753	998.6815706667276	0.9968798253068679
UP,UP,NP	(0,2,activation)(0,1,inhibition)(1,2,inhibition)	1	4.890134380969651	7.258453739267118	0.9186554014278103
PP,UP,PP	(0,2,inhibition)(2,1,inhibition)	73	114.14022749452606	39855.90072227846	0.35538417150564194
PP,UP,PP	(0,2,inhibition)(2,1,activation)	82	150.6258065576615	8703.59483276397	0.7440870871676983
UP,PP,PP	(0,2,activation)(1,2,activation)(2,0,activation)	134	4.292982583834747	29.028363812086038	4.0745185003743245E-14
PP,PP,UP	(0,2,activation)(0,1,activation)(1,2,activation)(1,0,activation)(2,0,activation)	120	0.00536986383607778	0.005720815672916582	2.220446049250313E-16
UP,PP,UP	(0,2,activation)(1,2,activation)(2,1,inhibition)(2,0,inhibition)	4	0.10346525949667203	0.3774436175211303	0.0048984572544212845
UP,UP,NP	(0,2,activation)(2,1,activation)(2,0,activation)	322	43.023291244947025	1733.4212528421708	9.407732719746154E-5
UP,PP,NP	(0,2,activation)(0,1,activation)(1,2,activation)(1,0,activation)	39	0.7472032083379033	2.0008568902542954	2.2923885012460232E-12
UP,UP,NP	(0,2,activation)(0,1,inhibition)(1,2,inhibition)(1,0,inhibition)	1	0.01976309139212778	0.022614339248956984	0.001385408298970714
NP,PP,NP	(0,2,inhibition)(1,2,inhibition)(2,1,inhibition)(2,0,inhibition)	2	0.18505150831549438	0.9551642231602608	0.027357710455570672
UP,PP,PP	(0,1,activation)(1,0,activation)(2,1,inhibition)(2,0,inhibition)	30	0.013773253015632158	0.017621427093931285	2.220446049250313E-16
UP,UP,UP	(0,1,activation)(1,0,activation)(2,1,activation)(2,0,activation)	75	5.812757710921044	569.7404977910289	0.0261755795985793
NP,PP,NP	(0,2,activation)(0,1,activation)(1,0,activation)(2,1,activation)	1	0.6578113499134394	1.2902797858728925	0.1662892458796218
NP,PP,NP	(0,2,activation)(0,1,activation)(1,0,activation)(2,1,inhibition)	3	0.07110944560928344	0.09783803701653677	3.5070019141103526E-4
PP,UP,UP	(0,2,activation)(2,1,activation)(2,0,activation)	208	7.6222911445370345	95.73232550414889	8.855027822107786E-12
PP,UP,UP	(0,2,activation)(1,2,activation)(2,0,inhibition)	32	25.601208467930316	6522.504796190875	0.14459275861416265
NP,PP,PP	(0,2,activation)(0,1,activation)(1,2,inhibition)	7	7.1502279722140605	64.6789817672201	0.3676877273119814
NP,PP,PP	(0,1,activation)(1,2,activation)(2,0,activation)	33	3.3750010136020627	6.01774999708363	2.0025536784373799E-10
NP,PP,PP	(0,2,inhibition)(2,1,inhibition)(2,0,inhibition)	5	8.224863740886565	836.8045707017992	0.13513802771214722
UP,NP,PP	(0,2,activation)(0,1,activation)(1,0,activation)(2,1,activation)	32	0.22645806796691914	0.3530475706843635	0.0
NP,PP,PP	(0,2,inhibition)(0,1,inhibition)(1,2,activation)	53	47.641352552451146	961.0980254134274	0.36534216505069295
PP,NP,NP	(0,2,inhibition)(2,1,inhibition)(2,0,inhibition)	4	27.631585626850597	5258.049287344955	0.2419797422134723
PP,PP,UP	(0,2,inhibition)(1,2,inhibition)(2,1,activation)(2,0,activation)	3	0.0033501677855010013	0.003493662048475982	3.7470959446395113E-8
NP,PP,PP	(0,2,inhibition)(1,2,inhibition)	291	739.064887212276	233903.20481236966	0.8228377862158898
NP,PP,NP	(0,1,activation)(1,0,activation)(2,1,activation)(2,0,inhibition)	1	0.03640783838996007	0.041798701516011	0.0028204840236434325
UP,PP,NP	(0,2,inhibition)(0,1,inhibition)(1,2,inhibition)	25	18.259332605332386	604.1580358629351	0.27208175851423344
NP,UP,NP	(0,2,inhibition)(1,2,activation)	1673	6110.321261467106	5132279.4014663845	0.9927388582346349
NP,PP,PP	(0,2,inhibition)(2,1,activation)(2,0,activation)	20	5.419709616576613	64.68602269853773	0.060421008841351376
