Motif_Nodes	Motif_edges	Num_occ_input_graph	Mean_analytical	Variance_analytical	Pval_analytical
NP,UP,PP	(0,2,activation)(2,1,inhibition)(2,0,activation)	20	2.7368139088762273	45.468012704760355	0.03420555726668495
NP,UP,UP	(0,2,activation)(2,1,activation)	5702	1891.205831271455	600773.6304304777	1.2082432545634791E-4
NP,PP,UP	(0,2,activation)(0,1,activation)(1,0,activation)(2,1,activation)	62	0.4422182662936156	0.703928371221801	0.0
NP,UP,PP	(0,2,inhibition)(2,1,activation)	154	771.716932166832	121617.47805615689	0.9886405258910408
PP,UP,PP	(0,2,inhibition)(2,1,inhibition)(2,0,activation)	15	0.24207273604743343	3.534749273310721	0.004037419736841241
UP,PP,PP	(0,1,activation)(1,0,activation)(2,1,activation)(2,0,activation)	36	1.5502703264701645	9.523883446481305	2.1006971213211045E-5
NP,NP,PP	(0,2,activation)(1,2,activation)(2,1,activation)(2,0,activation)	21	0.3257837491062182	0.550565472922433	4.954814336599611E-12
NP,NP,PP	(0,2,activation)(0,1,activation)(1,0,activation)(2,1,inhibition)	3	0.028581003410403562	0.03186403263339846	7.763742016164699E-6
NP,NP,UP	(0,2,inhibition)(1,2,inhibition)	4225	1380.9771767141037	941600.6285178794	0.011745958218717045
NP,NP,PP	(0,2,activation)(1,2,activation)	3791	8118.161491142782	3092415.5830564573	0.9978672022680697
UP,UP,NP	(0,2,activation)(1,2,inhibition)(2,0,activation)	171	6.775893012071425	108.6922324116827	3.331024400754501E-8
UP,UP,NP	(0,2,activation)(1,2,inhibition)(2,0,inhibition)	8	6.337123811393703	238.51084862961648	0.19542739535150688
PP,UP,PP	(0,2,inhibition)(2,1,inhibition)	92	59.22722911453978	2188.711816039149	0.20822720260056016
PP,UP,PP	(0,2,inhibition)(2,1,activation)	138	146.8799731628941	4169.940447079753	0.5076755488321789
UP,PP,PP	(0,2,activation)(1,2,activation)(2,0,activation)	139	10.350666503756248	101.91945239066068	1.0457674393116179E-8
UP,PP,UP	(0,2,activation)(1,2,activation)(2,1,inhibition)(2,0,inhibition)	12	0.5611385538793464	59.44240698171768	0.008333730035530396
UP,UP,NP	(0,2,activation)(0,1,activation)(1,2,inhibition)	38	24.52241760481669	434.44734336989086	0.21483389342643056
UP,UP,NP	(0,2,activation)(1,2,activation)(2,0,activation)	961	95.59611285378716	22357.07895465915	0.0013825647071550318
UP,PP,NP	(0,2,activation)(1,2,activation)(2,1,activation)(2,0,activation)	44	0.48737634119461143	3.891390582628713	2.911643849135004E-6
NP,PP,NP	(0,2,inhibition)(1,2,inhibition)(2,1,inhibition)(2,0,inhibition)	2	0.10045639198680678	0.4026355737825414	0.014564524612575291
UP,PP,PP	(0,2,activation)(1,2,activation)(2,1,inhibition)(2,0,inhibition)	4	0.04807810114966747	0.07251544518713135	8.389523912755159E-5
NP,PP,NP	(0,2,activation)(0,1,activation)(1,0,activation)(2,1,activation)	16	0.8796065939856934	1.9415913436520085	3.3669832730787164E-6
PP,UP,UP	(0,2,activation)(2,1,activation)(2,0,activation)	135	12.639786632621686	185.38356580636662	6.286735985128189E-6
PP,UP,UP	(0,2,activation)(0,1,activation)(1,2,inhibition)	2	2.4464854965936396	11.082824225163373	0.3496519540138543
