Motif_Nodes	Motif_edges	Num_occ_input_graph	Mean_analytical	Variance_analytical	Pval_analytical
PP,UP,NP	(0,2,activation)(2,1,inhibition)(2,0,activation)	1140	6.988110697712712	1220.4963659834732	2.6397735253258503E-7
PP,UP,NP	(0,2,activation)(2,1,inhibition)(2,0,inhibition)	8	312.7758853078442	153322.57993981199	0.7086061736670566
PP,UP,UP	(2,1,activation)(2,0,inhibition)	814	1786.0753078147322	228220.92982400395	0.9905305143255152
PP,UP,NP	(0,2,inhibition)(2,1,activation)	286	340.80990381043057	36385.37767040693	0.5591550459363848
NP,PP,PP	(0,2,inhibition)(0,1,activation)(1,2,activation)	118	2.624056711669684	10.429115233373292	4.440892098500626E-16
NP,UP,NP	(0,2,inhibition)(0,1,inhibition)(1,2,activation)	14	222.91406508579072	12871.258919145926	0.9963694010692197
UP,NP,NP	(0,1,activation)(1,0,activation)(2,1,activation)(2,0,activation)	228	12.23507431105239	708.4794228981029	4.6968294553506595E-4
PP,PP,NP	(0,2,activation)(0,1,activation)(1,2,activation)(1,0,activation)	2	0.7005353826511133	2.1131812476122724	0.09977214353258279
PP,PP,UP	(0,2,activation)(2,1,activation)	2178	819.8622713606275	93424.72281935834	2.7749831123680124E-4
PP,PP,PP	(0,2,activation)(1,2,activation)	3737	1682.5106501408	193001.07180974912	6.955251765872195E-5
UP,UP,PP	(0,2,activation)(1,2,inhibition)(2,0,activation)	12	4.0021770660272376	63.42456529774066	0.11584722993654017
NP,UP,NP	(0,2,inhibition)(2,1,inhibition)	118	963.4869601828299	1069483.2073606716	0.7594846192805853
NP,UP,NP	(0,2,inhibition)(2,1,activation)	142	1054.5437188574815	212552.1328616643	0.9967025578598407
UP,NP,NP	(0,2,activation)(0,1,activation)(1,2,inhibition)	194	43.629231018504264	1179.877633315132	0.0015492071801849194
UP,NP,UP	(0,2,activation)(1,2,activation)(2,1,inhibition)(2,0,inhibition)	8	0.49437091544073253	53.86423913412369	0.007734415982915688
UP,UP,PP	(0,2,activation)(0,1,activation)(1,2,activation)	111	111.08061929959426	1969.7291307968098	0.4562806399221446
UP,NP,PP	(0,2,activation)(0,1,activation)(1,2,activation)(1,0,activation)	2	1.3029313236045759	3.649871280907499	0.19557124300740392
PP,NP,PP	(0,2,inhibition)(1,2,inhibition)(2,1,inhibition)(2,0,inhibition)	2	0.04632024130299844	0.1991169330259791	0.006788310065621195
UP,NP,PP	(0,1,activation)(1,0,inhibition)(2,1,activation)(2,0,inhibition)	6	0.030551499771259923	0.06923051528690274	6.857791859582463E-5
PP,NP,PP	(0,2,activation)(1,2,activation)(2,1,activation)(2,0,activation)	2	0.2376065671010397	0.394678145039624	0.015852526054602745
NP,UP,UP	(0,2,activation)(2,1,activation)(2,0,activation)	311	20.91704325763489	357.7042662384698	6.197331536839101E-11
NP,UP,UP	(0,2,activation)(1,2,activation)(2,0,inhibition)	50	56.61510597609353	24517.489634623045	0.18758454829054205
PP,NP,NP	(0,2,activation)(1,2,activation)(2,0,inhibition)	12	29.289972634588686	11278.194512626615	0.132893727898717
PP,NP,NP	(0,2,activation)(2,1,activation)(2,0,activation)	359	77.30293831356711	4809.054819963267	0.0031659246811163166
PP,NP,NP	(0,2,inhibition)(2,1,inhibition)(2,0,inhibition)	12	17.567296026465552	2179.071517089517	0.20718250200910338
PP,NP,NP	(0,2,inhibition)(0,1,inhibition)(1,2,activation)	588	28.69170524149343	919.263707585529	5.435762950867229E-12
NP,PP,PP	(0,2,inhibition)(0,1,inhibition)(1,2,activation)	16	117.44829133275094	4985.059693431987	0.9667021478576574
NP,PP,PP	(0,2,inhibition)(2,1,inhibition)(2,0,inhibition)	4	12.990477560448777	2043.4209453416934	0.14444533953286198
