Motif_Nodes	Motif_edges	Num_occ_input_graph	Mean_analytical	Variance_analytical	Pval_analytical
NP,NP,PP	(0,2,activation)(0,1,activation)(1,2,activation)(1,0,activation)	2	2.8869613772954748	16.567647901378002	0.37790138005360596
NP,NP,PP	(0,2,inhibition)(0,1,inhibition)(1,2,activation)	3	151.37944103816295	6979.017367589404	0.9969347993724905
NP,UP,NP	(0,2,inhibition)(0,1,activation)(1,2,inhibition)	70	8.085665379327807	141.72991914503396	0.0020833043810311036
NP,UP,PP	(0,2,inhibition)(2,1,inhibition)	45	234.21828172807577	37045.96320011554	0.8502425773797171
UP,PP,PP	(0,2,inhibition)(2,1,activation)	608	571.0517209346375	48119.05190680345	0.3962389855894647
UP,PP,PP	(0,2,inhibition)(2,1,inhibition)	285	106.02744844671685	7896.281164691654	0.04506752769873479
UP,PP,PP	(0,2,activation)(1,2,activation)(2,0,activation)	2	2.468953106789685	12.477691496037899	0.3425766033860763
PP,PP,UP	(2,1,inhibition)(2,0,activation)	564	608.2954358500227	30926.59570989362	0.5713432013576714
UP,PP,PP	(0,2,activation)(1,2,activation)(2,0,inhibition)	4	1.2501317065837323	6.581429112852897	0.09767380247935331
PP,PP,UP	(2,1,inhibition)(2,0,inhibition)	2574	2016.311969519707	1712198.49140637	0.28923528966131373
UP,PP,UP	(0,2,activation)(0,1,activation)(1,2,activation)	37	284.47684835821093	26830.24402812461	0.9758535563806973
NP,PP,NP	(0,2,activation)(0,1,inhibition)(1,2,activation)	4	13.747854848287599	195.5054665477285	0.6834816507216533
NP,NP,UP	(0,2,activation)(2,1,activation)	12979	4369.107370387056	2219654.5996853635	8.226672562838822E-6
NP,NP,UP	(0,2,activation)(2,1,inhibition)	1230	1404.234027331858	847125.167979527	0.5088659646522711
NP,PP,UP	(0,2,activation)(2,1,activation)	3256	1449.7549009317254	291093.66654927516	0.002924557860377819
UP,UP,PP	(0,2,activation)(0,1,inhibition)(1,2,activation)	1	23.0295008810935	67.50167363343132	0.9999432163052565
PP,PP,UP	(0,2,activation)(1,2,activation)	1094	1243.8649386709224	517480.0131693871	0.5249989643615032
UP,PP,NP	(0,2,activation)(0,1,inhibition)(1,2,inhibition)	1	0.6808571115095755	1.1123346714213487	0.1695945359373049
UP,PP,NP	(0,2,activation)(0,1,inhibition)(1,2,activation)	4	18.536890284923267	125.22106645031306	0.9280153063081349
NP,UP,PP	(0,2,activation)(2,1,activation)	2075	1360.991686471579	187031.62774706585	0.06055810447679344
UP,NP,NP	(0,1,activation)(1,2,activation)(2,0,inhibition)	27	13.129703239584884	117.3208926536239	0.10406130436524164
PP,UP,PP	(0,2,activation)(0,1,activation)(1,2,inhibition)(1,0,inhibition)	1	0.02535599374887741	0.05059504695058088	0.0056732225537247105
NP,NP,UP	(0,2,activation)(1,2,activation)(2,1,inhibition)(2,0,inhibition)	28	0.3439496006245326	28.666511858944435	0.0041598592001445
NP,UP,PP	(0,2,activation)(2,1,inhibition)	131	689.1256277715609	174604.22785529523	0.9481060659547196
PP,PP,UP	(0,1,activation)(1,2,activation)(2,0,activation)	1	0.7244837386268873	1.0417977154630513	0.17896858526347703
NP,UP,PP	(0,2,activation)(0,1,activation)(1,2,inhibition)	3	11.361794005374064	108.38884740873794	0.7406453006916424
PP,UP,NP	(0,2,inhibition)(1,2,inhibition)(2,0,inhibition)	19	1.6655480729901841	48.664269246158824	0.030534436815727317
UP,PP,PP	(0,2,activation)(2,1,inhibition)(2,0,inhibition)	2	1.922205173247268	17.69548427036295	0.22062806774285926
PP,NP,UP	(0,2,inhibition)(1,2,inhibition)(2,0,inhibition)	4	0.417601542746144	1.9823283311161695	0.02828602498196109
NP,PP,UP	(0,2,inhibition)(2,1,activation)	269	1343.7455475449099	207635.27823727694	0.9991319736573585
NP,NP,NP	(0,1,activation)(1,0,activation)(2,1,inhibition)(2,0,inhibition)	132	0.5819660167219223	2.843271267841188	1.1102230246251565E-16
PP,PP,UP	(0,2,inhibition)(2,1,activation)(2,0,activation)	2	1.8246833728467333	13.598505494782982	0.23025783417824774
PP,PP,UP	(0,2,inhibition)(2,1,activation)(2,0,inhibition)	3	0.13873722406364544	0.6809121300269507	0.013757750660674528
PP,UP,UP	(0,1,activation)(1,2,activation)(2,0,activation)	3	1.161012180810814	2.1075386455198366	0.075404915464099
PP,NP,UP	(0,1,activation)(1,0,inhibition)(2,1,activation)(2,0,activation)	1	0.3090545412832991	2.740725799017464	0.04879163717503032
PP,UP,PP	(0,2,inhibition)(1,2,inhibition)	1146	544.7340614592282	59265.11881038995	0.017427623152604932
PP,NP,NP	(0,2,activation)(2,1,activation)	9032	2369.9706990468453	365444.0816293862	1.2764234114115425E-12
UP,PP,NP	(0,2,inhibition)(2,1,inhibition)	1219	776.8983521261401	374174.0218334624	0.20558693942461814
NP,PP,UP	(0,2,inhibition)(2,1,inhibition)	87	477.0889467787143	35365.23169747644	0.9970445299945764
UP,UP,PP	(0,2,activation)(1,2,activation)(2,0,activation)	6	22.32867911355456	802.2729941578618	0.5905468056495262
UP,UP,NP	(0,2,inhibition)(1,2,inhibition)(2,0,activation)	471	15.016971902715893	481.333354421682	5.899070121273553E-11
PP,UP,UP	(0,2,activation)(1,2,inhibition)	925	415.14754302921017	22940.569833019836	0.002738384204054367
UP,PP,PP	(0,2,inhibition)(0,1,activation)(1,2,inhibition)	2	1.4750312318931138	3.207569302341683	0.22080965961785515
UP,UP,NP	(0,2,inhibition)(1,2,inhibition)(2,0,inhibition)	5	13.918896993493803	955.4484601026459	0.2927351769303841
PP,UP,PP	(0,2,inhibition)(2,1,activation)	27	49.67693852624375	927.3527778040639	0.7435575899353541
UP,PP,UP	(0,2,activation)(2,1,inhibition)(2,0,inhibition)	8	7.938371795127003	1340.5177303994644	0.08152126897947498
PP,UP,NP	(0,2,activation)(0,1,activation)(1,2,activation)	297	47.69284389711441	718.3975911047514	3.0104872927871895E-8
UP,NP,PP	(0,2,activation)(1,2,activation)(2,0,inhibition)	2	6.359153153271118	138.4688312134012	0.37356268320078945
UP,NP,PP	(0,2,activation)(1,2,activation)(2,0,activation)	8	12.55903746112094	259.80344315176967	0.4528025257008782
PP,UP,PP	(0,2,activation)(0,1,activation)(1,2,activation)	10	13.557907564830966	52.092443096726385	0.6216656782669232
PP,UP,PP	(0,2,activation)(0,1,activation)(1,2,inhibition)	1	1.4125075762344372	3.0389349283723046	0.35984696572772734
UP,NP,UP	(0,2,activation)(1,2,activation)(2,1,activation)(2,0,activation)	6	0.6035641872967058	3.767973986790291	0.026399313702790916
NP,NP,UP	(0,1,activation)(1,0,activation)(2,1,inhibition)(2,0,inhibition)	281	0.15774746499969047	0.3316681455727961	0.0
NP,NP,NP	(0,2,activation)(0,1,activation)(1,2,activation)(1,0,activation)	707	10.155505017714589	195.45979349528574	0.0
PP,NP,UP	(0,1,inhibition)(1,0,inhibition)(2,1,inhibition)(2,0,inhibition)	4	0.1536077911617843	0.7839287406949998	0.010523437903217525
UP,NP,UP	(0,2,activation)(0,1,activation)(1,2,activation)(1,0,activation)(2,0,activation)	3	0.12387530471327098	0.5172966758161943	0.011286649392937886
PP,NP,UP	(0,2,inhibition)(1,2,inhibition)(2,1,inhibition)(2,0,inhibition)	1	0.005898951101946771	0.007819639073514614	7.194906045699945E-4
NP,UP,UP	(0,2,activation)(0,1,activation)(1,2,inhibition)	2	8.259883812301721	108.69134215501936	0.5890040368394908
NP,PP,UP	(0,2,activation)(2,1,activation)(2,0,activation)	108	15.934795475076056	190.44160209098035	5.90402562963277E-5
NP,PP,UP	(0,2,activation)(1,2,activation)(2,0,inhibition)	28	9.573452546390966	629.1484393871333	0.11947451565172895
NP,NP,NP	(0,2,activation)(1,2,activation)	22283	27583.20460149894	1.0786081971867287E8	0.6691579594386976
PP,UP,UP	(0,2,inhibition)(2,1,activation)(2,0,inhibition)	1	0.20871901743934798	1.4356495670222233	0.038849338496473984
PP,NP,NP	(0,2,activation)(1,2,activation)(2,1,activation)(2,0,activation)	42	0.7761415807201214	6.360766801137457	1.2065311752573749E-5
UP,NP,NP	(0,2,inhibition)(0,1,activation)(1,2,inhibition)	45	28.79728549565768	683.1012474485565	0.2193270677506537
PP,UP,NP	(0,2,inhibition)(1,2,inhibition)	1683	1313.873145904429	258634.25161671801	0.21969138957374612
NP,NP,NP	(0,2,inhibition)(1,2,inhibition)(2,1,activation)(2,0,activation)	1	0.20490285852577442	0.5528827259369582	0.051251569385225904
PP,UP,NP	(0,2,inhibition)(1,2,activation)	1176	708.2017200730809	80017.06194412994	0.06242219481056566
UP,UP,NP	(0,1,activation)(1,2,activation)(2,0,activation)	19	5.133796906541027	19.47854164654355	0.008832157675398578
NP,UP,NP	(0,2,activation)(2,1,activation)	12535	6018.072011058756	2370466.672553405	2.1725100194258662E-4
NP,UP,NP	(0,2,activation)(2,1,inhibition)	14656	5578.01699064281	1.4332788197582178E7	0.024791217175042957
NP,PP,NP	(0,2,activation)(2,1,inhibition)(2,0,activation)	112	4.408090361165514	221.536328179317	0.0026214159186693786
NP,UP,UP	(0,2,inhibition)(2,1,activation)	6977	2021.5573164661944	510550.8966049454	4.3715716746550726E-7
NP,UP,PP	(0,2,inhibition)(1,2,activation)(2,0,activation)	9	6.144619518967227	179.9379647245029	0.2028835822921029
PP,NP,NP	(0,1,activation)(1,2,activation)(2,0,inhibition)	2	3.0043236237418305	10.047808983644527	0.45248579629581975
NP,UP,PP	(0,2,inhibition)(1,2,activation)(2,0,inhibition)	13	1.0327669228416743	27.837156712782782	0.028137986365994516
PP,NP,NP	(0,1,activation)(1,2,activation)(2,0,activation)	22	8.839431268835263	26.088310878123607	0.014331948047989873
NP,UP,UP	(0,2,inhibition)(2,1,inhibition)	144	1957.3497698648596	520827.753268844	0.9999224252913761
PP,UP,NP	(0,2,inhibition)(1,2,activation)(2,0,inhibition)	4	0.8977609549543633	28.10167353993332	0.04217609484366902
PP,UP,PP	(0,2,inhibition)(2,1,activation)(2,0,activation)	6	0.6934453201385284	6.576445745003969	0.03806360276173182
NP,NP,UP	(0,2,activation)(0,1,activation)(1,2,activation)	583	1235.147014761225	513598.1246628219	0.8159991392446954
UP,NP,UP	(0,2,activation)(0,1,inhibition)(1,2,activation)	2	86.58023893987824	2591.734445321592	0.9934546091309132
UP,PP,NP	(0,2,activation)(0,1,activation)(1,2,activation)	145	243.7987044606496	12160.013056490177	0.8095126935853016
UP,PP,NP	(0,2,activation)(0,1,activation)(1,2,inhibition)	88	8.954688686044712	49.07810153704162	1.0328082722388388E-8
NP,PP,NP	(0,2,activation)(2,1,activation)(2,0,activation)	723	76.75678242820307	3740.158139780833	5.613474252097461E-8
NP,PP,NP	(0,2,activation)(0,1,activation)(1,2,inhibition)	46	8.792660597051976	53.088093387005515	5.207056351220762E-4
UP,NP,UP	(0,2,inhibition)(1,2,inhibition)	3012	7511.950818046675	5906634.983209394	0.984830237234289
NP,PP,PP	(0,2,inhibition)(2,1,activation)(2,0,activation)	21	3.730994701278224	32.85474292967059	0.01885952800519919
UP,NP,PP	(0,2,inhibition)(1,2,activation)	5527	2904.818214543198	656968.4128430802	0.002726108726009646
UP,NP,NP	(2,1,activation)(2,0,inhibition)	118661	5578.016990642809	1.818428016490708E7	1.2189849130095354E-10
NP,UP,UP	(0,2,activation)(2,1,inhibition)	957	2111.76693897423	1853143.9549979223	0.7919195165733505
NP,NP,PP	(0,2,activation)(0,1,activation)(1,2,inhibition)	102	30.01102007825947	597.877372087084	0.012802801896281357
NP,NP,PP	(0,2,activation)(2,1,activation)(2,0,activation)	24	33.0826564372774	744.8499482651532	0.5429662368940873
UP,UP,NP	(0,1,activation)(1,2,inhibition)(2,0,activation)	4	1.6500057550513565	4.44629355209117	0.10001493336633172
PP,NP,PP	(0,2,inhibition)(2,1,activation)	271	99.513943003008	3374.368411639569	0.00947385178110216
PP,NP,PP	(0,2,inhibition)(1,2,inhibition)	275	293.30396102591925	25498.435425587042	0.48929615105801594
NP,NP,UP	(0,2,activation)(0,1,activation)(1,0,activation)(2,1,activation)	144	1.2437957972082188	4.867616286141102	1.1102230246251565E-16
UP,PP,NP	(0,2,inhibition)(1,2,activation)(2,0,activation)	8	0.8950261372001843	4.10882511164988	0.014474317596407826
UP,PP,NP	(0,2,inhibition)(2,1,activation)(2,0,inhibition)	1	1.4002434609154548	17.932169633988664	0.15960146323955315
NP,NP,UP	(0,2,activation)(0,1,activation)(1,2,activation)(1,0,inhibition)	2	1.2320979665462355	12.491668534073785	0.13987415557841376
PP,UP,UP	(0,1,activation)(1,2,inhibition)(2,0,activation)	28	1.12413677634074	2.036283893867136	5.8906213240561556E-12
PP,NP,UP	(0,2,activation)(2,1,activation)	2925	858.9130536005297	102274.46004208154	2.017485616123693E-6
UP,UP,UP	(0,2,activation)(1,2,inhibition)(2,0,activation)	35	1.801471062280326	14.57709543868227	2.381242324948074E-4
UP,UP,UP	(0,2,activation)(2,1,inhibition)(2,0,inhibition)	2	32.56870717967089	22146.66174106565	0.09070802347090445
PP,NP,UP	(0,2,inhibition)(1,2,activation)(2,0,activation)	3	0.33065342705862977	12.403789433958371	0.01452793702370514
PP,UP,UP	(0,2,activation)(2,1,inhibition)(2,0,inhibition)	34	7.452334191348337	1855.3766029390624	0.04440677381972902
UP,NP,NP	(0,1,inhibition)(1,2,activation)(2,0,activation)	6	4.552806918392805	18.230092572492623	0.2627593786860646
UP,UP,UP	(0,2,inhibition)(2,1,inhibition)	609	3635.256360348123	806411.2473934889	0.9999986152954085
PP,NP,UP	(0,2,inhibition)(2,1,activation)(2,0,inhibition)	6	0.4181105563526286	5.3353721562393925	0.023688970673089282
UP,UP,UP	(0,2,activation)(2,1,activation)	10218	3877.664968625468	2703248.4780937936	0.001251354786043657
UP,UP,UP	(0,2,activation)(2,1,inhibition)	337	3754.5047929780076	5757745.500457335	0.9712773806740322
PP,NP,PP	(0,2,activation)(1,2,inhibition)	259	307.47431370845766	19718.598826454938	0.5932430890415354
PP,NP,PP	(0,2,activation)(1,2,activation)	871	3082.9795982323226	519146.72433834337	0.9999572804454533
NP,NP,NP	(0,2,activation)(0,1,activation)(1,2,activation)	2973	1058.5298724838533	282724.8846775454	0.002649823827916342
NP,NP,UP	(0,2,inhibition)(0,1,activation)(1,2,inhibition)	293	13.113718956249977	669.6943332851317	3.224233508836161E-5
PP,UP,UP	(0,2,inhibition)(1,2,inhibition)	570	806.7327679036746	73968.57290761126	0.8027088024973645
UP,UP,UP	(0,2,activation)(1,2,activation)(2,0,inhibition)	2	94.52803091020265	57120.21380264227	0.26676721519819646
UP,UP,UP	(0,2,activation)(1,2,activation)(2,0,activation)	67	97.62886298592223	42626.430495919325	0.28200503126003507
NP,NP,UP	(0,2,inhibition)(0,1,activation)(1,2,activation)	42	3.6865414603458984	17.569035354720093	5.860972630222783E-6
NP,PP,NP	(0,2,activation)(2,1,inhibition)(2,0,inhibition)	1	131.59072830580294	20743.37930897773	0.8056959925071858
UP,NP,NP	(0,2,activation)(0,1,activation)(1,2,inhibition)	116	72.48229295752174	2721.900424123729	0.18234184441884893
UP,NP,NP	(0,1,activation)(1,0,activation)(2,1,activation)(2,0,activation)	129	13.303991411046532	814.3781206526518	0.010997154408017629
NP,NP,NP	(0,2,activation)(1,2,activation)(2,1,activation)(2,0,activation)	857	1.7159825331703824	28.157030179059273	1.3322676295501878E-15
UP,UP,UP	(0,2,inhibition)(1,2,inhibition)	5375	6975.7248832976475	1686955.7827743366	0.8966110696451047
UP,UP,UP	(0,2,inhibition)(2,1,activation)	3669	3754.5047929780076	534270.4504513498	0.5270807886262463
UP,NP,NP	(0,2,activation)(0,1,activation)(1,2,activation)	1576	1078.0360925280788	211542.23422235274	0.1403875551963636
PP,NP,UP	(0,2,inhibition)(1,2,activation)	256	122.11143761741857	7204.536006966915	0.07513956261865018
UP,UP,NP	(0,2,inhibition)(2,1,activation)(2,0,activation)	241	13.450510991416854	431.9191765045995	6.2696832567876726E-6
PP,UP,NP	(0,2,inhibition)(0,1,inhibition)(1,2,activation)	41	4.558487050545595	12.523574385742844	3.655147684522575E-8
PP,PP,UP	(0,2,inhibition)(1,2,activation)(2,0,inhibition)	3	0.023078725970859006	0.18884991880010574	0.002404593230681762
PP,NP,UP	(0,2,inhibition)(1,2,inhibition)	126	434.3732713935707	39172.30854686198	0.9689538964657313
UP,UP,NP	(0,2,activation)(1,2,activation)(2,0,activation)	1511	115.24639774211474	21983.62976873268	1.1339372496532718E-5
UP,UP,NP	(0,1,activation)(1,0,activation)(2,1,activation)(2,0,activation)	6	5.635115630864987	545.0839736062904	0.0968945803285235
PP,PP,PP	(2,1,activation)(2,0,activation)	945	488.3067958628692	27318.09210170785	0.008539447281171952
UP,UP,NP	(0,2,activation)(0,1,activation)(1,0,activation)(2,1,activation)	6	0.6035641872967057	2.8222561630068763	0.019335562416511798
PP,PP,PP	(0,2,activation)(1,2,inhibition)	165	33.02066402796377	349.25020275827774	3.843455866570089E-6
PP,NP,NP	(0,2,activation)(0,1,activation)(1,2,inhibition)	22	8.848010227076413	63.68467327467711	0.06669704542613841
NP,NP,NP	(0,2,inhibition)(0,1,activation)(1,2,inhibition)	592	21.35746044421487	1782.8607018346383	3.142008022316567E-6
UP,UP,NP	(0,2,activation)(1,2,activation)	142686	87188.27275247547	9.180204209212208E8	0.04607198236271892
PP,PP,NP	(0,2,inhibition)(2,1,activation)	378	132.1758672317969	3589.4797398285773	8.414622657192394E-4
NP,NP,UP	(2,1,inhibition)(2,0,activation)	1010	5001.212181149459	1223919.9086304493	0.999999512292071
UP,NP,UP	(0,2,activation)(2,1,inhibition)(2,0,inhibition)	8	21.65678702694159	9821.70981606576	0.08789079334864869
UP,NP,UP	(0,2,activation)(2,1,inhibition)(2,0,activation)	6	1.1979006386644508	22.99635332514101	0.06215107105646167
UP,NP,PP	(0,2,inhibition)(2,1,inhibition)	946	289.2550171850245	48131.46330933993	0.011481472063773035
PP,PP,PP	(0,2,inhibition)(1,2,inhibition)(2,0,activation)	2	0.08007048527502807	0.1800896375993153	0.007671829208679148
UP,UP,UP	(0,2,activation)(1,2,activation)	227683	101735.7540980028	2.4597144967173615E9	0.01639954226714846
UP,NP,PP	(0,2,inhibition)(0,1,inhibition)(1,2,inhibition)	22	71.65067269002797	6240.484746118193	0.6517038422899493
UP,NP,UP	(0,1,inhibition)(1,0,activation)(2,1,inhibition)(2,0,inhibition)	4	0.13026574411081437	0.29044028089694485	0.002078114035891754
PP,NP,UP	(0,2,inhibition)(1,2,inhibition)(2,0,activation)	3	1.1761962156153072	5.873640477784491	0.12419948460284547
UP,NP,UP	(0,2,inhibition)(0,1,inhibition)(1,0,activation)(2,1,activation)	84	0.07021562495089545	0.24763378490672824	6.661338147750939E-16
