Motif_Nodes	Motif_edges	Num_occ_input_graph	Mean_analytical	Variance_analytical	Pval_analytical
PP,PP,NP	(0,2,activation)(1,2,activation)(2,1,activation)(2,0,activation)	3	0.059111325419971036	0.08012967032182851	2.4583872795425066E-4
NP,UP,NP	(0,2,activation)(0,1,activation)(1,2,activation)(1,0,inhibition)	1	0.2680857900254066	0.8948608318060008	0.06590687302446996
NP,UP,NP	(0,2,activation)(1,2,activation)(2,1,activation)(2,0,activation)	125	1.2627143036673778	3.691384615559981	0.0
PP,UP,NP	(0,2,inhibition)(2,1,inhibition)	137	204.77673759192797	57655.204032688016	0.481683289527273
UP,NP,NP	(0,2,inhibition)(2,1,activation)	21542	8297.068743684067	3216785.1088526696	6.044664546678291E-9
UP,NP,NP	(0,2,inhibition)(2,1,inhibition)	3132	2410.0053129940757	3493006.7498026276	0.2921541703746984
UP,NP,NP	(0,2,activation)(2,1,activation)(2,0,activation)	989	102.84320946986337	7309.958147157504	1.1723233861449245E-7
NP,UP,PP	(0,2,activation)(0,1,inhibition)(1,2,inhibition)	28	1.029190843358476	2.5752789721395275	4.55436377500007E-9
NP,NP,UP	(2,1,inhibition)(2,0,activation)	1570	5450.963965596028	1409033.142501291	0.9999854947888671
NP,NP,UP	(0,2,activation)(1,2,activation)(2,1,activation)(2,0,activation)	92	0.9939852732708611	7.936824116548513	1.4017276228628361E-10
NP,NP,UP	(2,1,inhibition)(2,0,inhibition)	14334	16475.387135580502	9.666241749436784E7	0.5272327230004061
PP,PP,UP	(0,2,activation)(2,1,activation)	628	260.99172402462926	13378.594466852068	0.004953966178780189
PP,PP,UP	(0,2,activation)(2,1,inhibition)	302	116.72812469357484	7402.131595556768	0.035864586079776606
PP,NP,UP	(0,2,activation)(2,1,activation)	3235	1202.6048369793016	186051.27694288152	1.3648605598937102E-4
UP,UP,NP	(0,2,activation)(0,1,inhibition)(1,2,activation)	11	63.27411360177939	316.09649666173755	0.999960600305534
PP,NP,UP	(0,2,activation)(2,1,inhibition)	292	388.6359916268433	70070.90513473607	0.5800196742093098
PP,UP,NP	(0,2,activation)(2,1,activation)	2211	1830.5193479321033	199793.88706408814	0.19203564074742607
NP,UP,NP	(0,2,activation)(0,1,activation)(1,0,inhibition)(2,1,activation)	2	1.208148402460153	14.311557490446113	0.1263618513809588
NP,UP,NP	(0,2,activation)(0,1,activation)(1,2,inhibition)(1,0,inhibition)	4	0.5105955695744625	7.063794973109747	0.03806792534501324
PP,PP,UP	(0,2,activation)(1,2,activation)(2,1,inhibition)(2,0,inhibition)	2	0.02272456187861493	0.2199392096746544	0.0028079294717534564
NP,UP,PP	(0,2,inhibition)(2,1,inhibition)(2,0,activation)	5	0.5522873547026287	10.51631847862296	0.03218212818681265
NP,NP,UP	(0,1,activation)(1,2,activation)(2,0,activation)	193	17.966948115102856	89.37361270083198	4.440892098500626E-16
PP,UP,NP	(0,2,activation)(2,1,activation)(2,0,inhibition)	33	1.8497021609878892	27.54189775933768	0.004004641026126965
NP,UP,PP	(0,2,inhibition)(2,1,inhibition)(2,0,inhibition)	12	2.0790316119476078	63.509303624205565	0.05926558015031502
UP,NP,NP	(0,2,activation)(0,1,inhibition)(1,2,inhibition)	3	6.1250132972100335	37.14731500371635	0.5747822051657738
NP,PP,UP	(0,2,inhibition)(1,2,inhibition)(2,0,inhibition)	2	0.3638425055999351	0.6193028973930059	0.029078492952491097
NP,NP,UP	(0,2,inhibition)(2,1,activation)(2,0,activation)	10	49.66944847290739	1744.4303786819833	0.8313369474736211
NP,NP,UP	(0,2,inhibition)(2,1,activation)(2,0,inhibition)	12	3.46455125640108	52.68784366639943	0.09833026183664917
NP,UP,UP	(0,1,activation)(1,2,activation)(2,0,activation)	19	5.432339737476877	20.86759625921115	0.0109946309603417
NP,UP,NP	(0,2,inhibition)(1,2,inhibition)	4476	13753.330062231234	2.497996319691682E7	0.98758042029552
UP,NP,PP	(0,2,inhibition)(2,1,inhibition)	1618	237.96320153393836	33683.169008598794	9.09868613263587E-6
UP,UP,NP	(0,2,activation)(1,2,activation)(2,0,inhibition)	3	86.56666507546052	9059.148667671165	0.7877645253425112
UP,UP,NP	(0,2,activation)(1,2,activation)(2,0,activation)	1465	95.31180720930845	4411.039710965399	0.0
UP,UP,PP	(0,2,inhibition)(1,2,inhibition)(2,0,activation)	25	3.545580814062368	72.57006767746553	0.03555873972341139
NP,UP,UP	(0,2,activation)(1,2,inhibition)	4109	2159.87506070004	505344.11216295604	0.008767575613656708
UP,NP,UP	(0,2,activation)(0,1,activation)(1,2,activation)(1,0,activation)(2,0,activation)	3	0.12506864745739243	0.5454122753967386	0.011701664281404733
UP,UP,PP	(0,2,inhibition)(1,2,inhibition)(2,0,inhibition)	14	1.3655272562260345	27.99674049898949	0.033197334618000784
NP,UP,NP	(0,2,inhibition)(1,2,activation)	2040	7457.58012380731	6463680.233780406	0.9963308965138646
NP,UP,UP	(0,2,activation)(1,2,activation)	27009	111033.1805592906	2.899100683533924E9	0.9724348343337765
NP,UP,PP	(0,1,activation)(1,2,activation)(2,0,activation)	36	3.0229322559985667	7.98329972671414	1.81170609625525E-8
UP,PP,NP	(0,2,activation)(1,2,activation)(2,0,inhibition)	6	13.410853168965168	251.6850570847071	0.5479572064790994
UP,PP,NP	(0,2,activation)(1,2,activation)(2,0,activation)	133	14.765645074100155	122.38343107718384	2.2575276537040168E-8
NP,UP,NP	(0,2,activation)(1,2,activation)(2,0,activation)	2474	315.2347565952692	28833.398908970077	6.939226970814616E-12
NP,UP,NP	(0,2,activation)(1,2,activation)(2,0,inhibition)	33	91.56455872603304	10165.06535265703	0.62851245934671
NP,UP,UP	(0,1,activation)(1,0,activation)(2,1,activation)(2,0,activation)	25	10.545868127180455	247.68640088841488	0.14339295687122178
NP,PP,NP	(0,2,activation)(1,2,activation)(2,1,activation)(2,0,activation)	44	0.7026622013960764	1.7641694986074137	7.105427357601002E-15
NP,PP,NP	(0,2,activation)(0,1,activation)(1,0,activation)(2,1,inhibition)	3	0.05782885503025366	0.07942291897206102	2.6352653893846334E-4
NP,NP,PP	(0,2,activation)(0,1,activation)(1,2,activation)	141	534.5247572193457	205477.4863138802	0.7980950054060907
NP,PP,UP	(0,1,inhibition)(1,0,inhibition)(2,1,inhibition)(2,0,inhibition)	13	0.11382077731161308	0.504699881885294	1.225854751311095E-4
PP,NP,UP	(0,2,activation)(2,1,activation)(2,0,activation)	36	9.201093757045706	213.09025528144824	0.06109571772376565
PP,NP,UP	(0,2,activation)(1,2,activation)(2,0,inhibition)	28	12.704610777737535	2160.317064842145	0.1017138773344839
PP,PP,PP	(0,2,activation)(2,1,activation)	107	145.23397637666363	8697.715634598666	0.6019685602376763
PP,PP,NP	(0,2,activation)(2,1,activation)	580	863.2053572922762	60470.64901429624	0.8818848116193054
NP,NP,NP	(0,2,inhibition)(2,1,inhibition)	457	1296.0086930330303	1537157.1641643487	0.6974564030986241
