Motif_Nodes	Motif_edges	Num_occ_input_graph	Mean_analytical	Variance_analytical	Pval_analytical
PP,UP,NP	(0,2,activation)(2,1,inhibition)(2,0,activation)	1158	3.2608838683212547	474.42860770078414	7.43350836440726E-9
PP,UP,NP	(0,2,activation)(1,2,inhibition)(2,0,inhibition)	42	1.545512821338317	28.922613035857097	0.0022858439709796396
PP,UP,UP	(0,2,activation)(2,1,activation)	2111	605.0726280584576	68383.02933506318	2.108327019312295E-5
PP,NP,UP	(0,2,activation)(0,1,activation)(1,0,activation)(2,1,activation)	10	0.20519694395196164	0.3187530911282571	2.5127750102882374E-7
PP,UP,NP	(0,2,inhibition)(2,1,activation)	222	696.5294432782312	143206.779416094	0.921980745077278
NP,PP,PP	(0,2,inhibition)(0,1,activation)(1,2,activation)	14	0.7778464211942481	1.7051024814461795	1.047666932318947E-5
NP,UP,NP	(0,2,inhibition)(2,1,inhibition)(2,0,activation)	15	2.73675067988704	406.0908906483772	0.029500587310312354
UP,NP,NP	(0,1,activation)(1,0,activation)(2,1,activation)(2,0,activation)	203	13.545073903191076	808.5345713781138	0.0013354167547200424
NP,UP,NP	(0,2,inhibition)(0,1,inhibition)(1,2,inhibition)	6	392.8956283423805	69043.28906177194	0.9846169848025766
PP,PP,NP	(0,2,activation)(1,2,activation)(2,1,activation)(2,0,activation)	4	0.11189324661906726	0.30470388208941057	0.00305936653455674
PP,PP,NP	(0,2,activation)(0,1,activation)(1,2,activation)(1,0,inhibition)	1	0.04228331795467616	0.0918499061730523	0.009941028393617213
PP,PP,UP	(0,2,activation)(2,1,activation)	1301	429.2917562991368	27618.922897570737	4.7709917640248456E-5
PP,PP,NP	(0,2,activation)(1,2,activation)	1735	1893.953598051525	650206.7913810979	0.5363101492977982
UP,UP,PP	(0,2,activation)(1,2,inhibition)(2,0,activation)	91	2.352104512566957	34.52756070405958	4.810882302086483E-6
UP,UP,PP	(0,2,activation)(0,1,inhibition)(1,2,inhibition)	1	2.5589684610057226	4.338540447850098	0.6392580130500711
NP,UP,NP	(0,2,inhibition)(2,1,inhibition)	294	707.0704813881448	656652.7158027791	0.5885633418688214
NP,UP,NP	(0,2,inhibition)(2,1,activation)	399	1167.5160192092249	273497.03272742196	0.9560372008110372
UP,NP,NP	(0,2,activation)(0,1,activation)(1,2,inhibition)	225	51.0670242452769	1792.749093001321	0.002564741438902729
UP,UP,PP	(0,2,activation)(0,1,activation)(1,2,inhibition)	18	12.083015566093238	125.517196960461	0.23373386582901623
UP,UP,PP	(0,2,activation)(1,2,activation)(2,0,activation)	257	22.15596775575178	789.0120257424659	3.655897724530455E-5
UP,NP,PP	(0,2,activation)(0,1,activation)(1,0,activation)(2,1,activation)	1	0.19133738044458531	0.2793922499800894	0.035818063883080176
UP,UP,PP	(0,2,activation)(0,1,inhibition)(1,2,inhibition)(1,0,inhibition)	1	0.03249333987940616	0.04926095551636368	0.005490278395901105
UP,NP,PP	(0,1,activation)(1,0,inhibition)(2,1,activation)(2,0,inhibition)	2	0.02469735447186802	0.06024561838641674	0.002547179403770139
PP,UP,UP	(0,2,inhibition)(2,1,inhibition)	17	770.7307954924403	181327.791682692	0.996937653643369
PP,NP,PP	(0,2,activation)(0,1,activation)(1,0,activation)(2,1,activation)	1	0.13407166743862856	0.18344507881096156	0.02166732164416707
PP,NP,PP	(0,1,activation)(1,0,activation)(2,1,activation)(2,0,inhibition)	1	0.012464546698979014	0.014276838693507873	8.453787206468277E-4
NP,UP,UP	(0,2,activation)(2,1,activation)(2,0,activation)	284	26.066988276880256	498.7950917549101	1.993464704419523E-8
NP,UP,UP	(0,2,activation)(1,2,activation)(2,0,inhibition)	50	90.93216184226688	67556.54155891322	0.19257449858919207
PP,NP,NP	(0,2,activation)(1,2,activation)(2,0,inhibition)	26	10.504478997217408	2056.6593482505796	0.0787309160441172
PP,NP,NP	(0,2,activation)(2,1,activation)(2,0,activation)	562	56.15805009449723	3275.4156101731564	5.762280233745365E-6
PP,NP,NP	(0,2,inhibition)(0,1,inhibition)(1,2,inhibition)	2	128.2768998997854	28636.065138834387	0.6750086647464211
UP,PP,NP	(0,2,activation)(0,1,activation)(1,0,activation)(2,1,activation)	8	0.13985828660718566	0.18939774762142209	1.9042562149351738E-7
PP,NP,NP	(0,2,inhibition)(0,1,inhibition)(1,2,activation)	732	115.92215744121638	8058.3251398842785	2.8028766671517324E-5
NP,PP,PP	(0,2,inhibition)(0,1,inhibition)(1,2,activation)	3	22.25901230028568	332.5677585695363	0.871320837584011
PP,NP,NP	(0,2,inhibition)(1,2,inhibition)	289	1419.7392731907103	851157.3949086135	0.9254865546899192
PP,NP,PP	(0,2,activation)(0,1,activation)(1,2,activation)(1,0,activation)	4	0.9011810170097916	2.0398002475834205	0.03191214540151888
NP,NP,NP	(0,2,activation)(0,1,activation)(1,2,activation)(1,0,activation)(2,0,activation)	1320	0.37849750328434667	2.894187472146172	0.0
UP,NP,PP	(0,2,inhibition)(0,1,inhibition)(1,2,inhibition)	46	83.03696689520974	9307.531489909525	0.5256423444459202
PP,UP,PP	(0,2,inhibition)(2,1,activation)	92	202.48967906719542	15076.877534472449	0.8109847140555277
PP,NP,NP	(0,1,inhibition)(1,2,activation)(2,0,activation)	15	4.144280581893284	26.50231664947806	0.04145890640221139
PP,UP,PP	(0,2,inhibition)(1,2,inhibition)	1237	2221.549366733195	1438638.1779492786	0.7826971334532674
PP,NP,NP	(0,2,inhibition)(0,1,activation)(1,2,inhibition)	2	3.3836381219068876	162.22412469398958	0.11947979743598014
UP,UP,PP	(0,2,inhibition)(2,1,inhibition)	645	1384.580342121641	2579304.198245763	0.5630484296872847
UP,UP,PP	(0,2,inhibition)(2,1,activation)	2162	1089.0613734765523	143560.9303046777	0.007651152669587491
PP,UP,PP	(0,2,activation)(1,2,activation)	4587	7278.32603391111	2235192.6538189277	0.9743493713053671
PP,UP,PP	(0,2,activation)(2,1,inhibition)	1545	502.61961795588456	283964.08598941995	0.052058131450205214
UP,NP,NP	(0,2,activation)(1,2,activation)(2,1,activation)(2,0,activation)	61	1.4441324862031573	17.370693872757666	2.102002860160379E-5
