Motif_Nodes	Motif_edges	Num_occ_input_graph	Mean_analytical	Variance_analytical	Pval_analytical
PP,PP,NP	(0,2,activation)(1,2,activation)(2,1,activation)(2,0,activation)	18	0.022508332990107342	0.027318300891889066	1.1102230246251565E-16
NP,UP,NP	(0,2,activation)(0,1,activation)(1,2,activation)(1,0,activation)	30	3.5832877920111126	18.07870051766796	3.1916153600874964E-4
PP,UP,NP	(0,2,inhibition)(2,1,inhibition)	171	449.4786133490561	245498.81687093095	0.6209107423846705
UP,NP,NP	(0,2,inhibition)(2,1,activation)	23057	8075.555730445011	2927220.5003409237	6.785327855141077E-11
UP,NP,NP	(0,2,inhibition)(2,1,inhibition)	3773	1767.884020867333	2280653.5116428654	0.10400973189967233
UP,NP,NP	(0,2,activation)(1,2,activation)(2,0,activation)	1277	55.02323890790975	1630.9066392040927	0.0
NP,UP,PP	(0,2,activation)(0,1,inhibition)(1,2,inhibition)	4	0.968220670612606	2.429885806524976	0.041331574063112275
NP,NP,UP	(2,1,inhibition)(2,0,activation)	1497	5862.081222140163	1616586.0453158095	0.9999963616346339
NP,NP,UP	(0,2,activation)(1,2,activation)(2,1,activation)(2,0,activation)	94	1.0173326087255425	8.176937028706398	1.0609513267922921E-10
NP,NP,UP	(2,1,inhibition)(2,0,inhibition)	15309	17313.387640953857	1.0630562804891276E8	0.5176662732394144
PP,PP,UP	(0,2,activation)(2,1,activation)	155	148.0517100479414	4747.512581288964	0.41188016185056897
UP,NP,UP	(0,2,inhibition)(0,1,inhibition)(1,2,inhibition)	28	82.3696437056406	8761.708445697244	0.6227520261857362
PP,NP,UP	(0,2,activation)(2,1,activation)	2176	621.9585982359331	57465.898579569184	2.2422289585044552E-6
UP,UP,NP	(0,2,activation)(0,1,inhibition)(1,2,activation)	11	64.63333157168029	335.47917769476044	0.9999601966327274
PP,NP,UP	(0,2,activation)(2,1,inhibition)	119	199.59972519454618	20693.20846241928	0.6618289935798314
UP,NP,PP	(0,2,activation)(0,1,inhibition)(1,2,activation)	1	40.547573716662754	974.9615944946859	0.9506102608249407
PP,UP,NP	(0,2,activation)(2,1,activation)	1601	856.8051399755313	51059.06624803296	0.002250138516474265
NP,UP,NP	(0,2,activation)(0,1,activation)(1,0,inhibition)(2,1,activation)	2	1.103775792209198	12.103445453711021	0.12108062348372339
NP,UP,NP	(0,2,activation)(0,1,activation)(1,2,inhibition)(1,0,inhibition)	4	0.4424952494108297	5.507179397849703	0.03421379858361928
PP,PP,UP	(0,2,activation)(1,2,activation)(2,1,inhibition)(2,0,inhibition)	2	0.007801108461494346	0.039033509892759326	0.0011557171452575288
NP,UP,PP	(0,2,inhibition)(1,2,inhibition)(2,0,activation)	45	4.529516034427295	106.63309873462299	0.012605925426167452
NP,NP,UP	(0,1,activation)(1,2,activation)(2,0,activation)	156	16.812004728927157	79.50355887782683	3.552713678800501E-15
PP,UP,NP	(0,2,activation)(1,2,activation)(2,0,inhibition)	50	8.253324067445474	355.11958858568687	0.04531565784152969
NP,UP,PP	(0,2,inhibition)(2,1,inhibition)(2,0,inhibition)	12	46.481570957611275	15301.768179262546	0.2303683929027175
UP,NP,NP	(0,2,activation)(0,1,inhibition)(1,2,inhibition)	3	4.264913583828913	22.511958090566928	0.4439415807768652
NP,NP,UP	(0,2,inhibition)(2,1,activation)(2,0,activation)	15	38.517455782877	1333.5305843351077	0.6754173449788312
NP,UP,UP	(0,1,activation)(1,2,activation)(2,0,inhibition)	4	1.7792900998489158	5.041700103085041	0.11546105640998139
NP,UP,UP	(0,1,activation)(1,2,activation)(2,0,activation)	17	5.544320140112815	22.269817272786938	0.02317810894085981
NP,UP,NP	(0,2,inhibition)(1,2,inhibition)	4558	10616.079816862866	1.6470267319723383E7	0.9540264238704611
NP,NP,NP	(0,1,activation)(1,0,inhibition)(2,1,activation)(2,0,activation)	11	0.6986340097268526	2.2302706933215832	8.056511260559063E-4
UP,NP,PP	(0,2,inhibition)(2,1,inhibition)	1275	867.1928958444443	1081908.8012039042	0.25984002643937076
PP,NP,UP	(0,2,inhibition)(2,1,inhibition)	63	478.3056999930093	75161.17086651997	0.9762564106680506
UP,UP,NP	(0,2,activation)(1,2,activation)(2,0,activation)	1429	90.26231166272557	4240.817572866697	2.2315482794965646E-14
UP,UP,PP	(0,2,inhibition)(1,2,inhibition)(2,0,activation)	25	2.1897660003857142	47.89892489876838	0.021912401336709686
NP,UP,UP	(0,2,activation)(1,2,inhibition)	4426	2267.0573763421003	569292.0365068698	0.006985938508975331
UP,NP,UP	(0,2,activation)(0,1,activation)(1,2,activation)(1,0,activation)(2,0,activation)	3	0.1372728515447678	0.6081957405495051	0.012978111153879368
UP,UP,PP	(0,2,inhibition)(1,2,inhibition)(2,0,inhibition)	24	5.247389787809187	255.02799941862878	0.07857483116754005
NP,UP,NP	(0,2,inhibition)(1,2,activation)	2300	5508.778463450489	3988456.7283385545	0.9670364285177738
NP,UP,UP	(0,2,activation)(1,2,activation)	31273	122274.3100627987	3.5220492386686516E9	0.9689945676145237
NP,UP,PP	(0,2,activation)(0,1,activation)(1,2,activation)	101	201.38608312671184	28099.262925811054	0.6700030502331539
UP,PP,NP	(0,2,activation)(1,2,activation)(2,0,inhibition)	12	4.552172837514545	46.7901792551436	0.11782843040418367
UP,PP,NP	(0,2,activation)(1,2,activation)(2,0,activation)	87	6.764959117479692	31.551592678869916	8.185274680272414E-11
NP,UP,NP	(0,2,activation)(1,2,activation)(2,0,activation)	2374	273.7018015137132	23792.28757220837	1.6942003355779889E-12
NP,UP,NP	(0,2,activation)(1,2,activation)(2,0,inhibition)	47	59.918234426206055	6178.245857577836	0.4128476649687498
NP,NP,PP	(0,2,activation)(0,1,activation)(1,2,inhibition)	85	17.12966383707034	235.63698381267358	0.001842206374977562
NP,PP,NP	(0,2,activation)(1,2,activation)(2,1,activation)(2,0,activation)	60	0.3790276120797253	0.8248510505914621	0.0
NP,PP,NP	(0,2,activation)(0,1,activation)(1,0,activation)(2,1,inhibition)	3	0.028403798208077407	0.03542488456650761	4.40768789531365E-5
NP,NP,PP	(0,2,activation)(0,1,activation)(1,2,activation)	92	610.6616674912113	201558.53482816566	0.9129818157873787
NP,PP,UP	(0,1,inhibition)(1,0,inhibition)(2,1,inhibition)(2,0,inhibition)	13	0.30217065852285646	2.190485664521531	0.00221318307023477
PP,NP,UP	(0,2,activation)(1,2,activation)(2,0,activation)	1	21.35668606105237	3173.2325784283935	0.24552992037671073
PP,NP,UP	(0,2,activation)(1,2,activation)(2,0,inhibition)	28	7.948766492077667	1241.0743926584405	0.06843504364679154
PP,PP,PP	(0,2,activation)(2,1,activation)	32	53.31962789820253	1394.6060823159187	0.6638743571392959
UP,UP,NP	(0,2,activation)(0,1,inhibition)(1,2,inhibition)(1,0,inhibition)	1	0.05580662392660814	0.11723325736584138	0.012958824538273683
PP,PP,NP	(0,2,activation)(2,1,activation)	489	448.93620616234773	18442.30624565392	0.3569952195510896
NP,NP,NP	(0,2,inhibition)(2,1,inhibition)	601	735.1506723668518	609670.0407649684	0.45325439736227535
NP,UP,PP	(0,2,inhibition)(1,2,inhibition)	2194	2731.6447767290115	1463661.7206384232	0.6369391542932634
UP,PP,UP	(0,2,activation)(2,1,activation)	2775	1975.3984262842644	663395.3830755353	0.1600692961003729
NP,UP,PP	(0,2,inhibition)(1,2,activation)	698	1469.1228871508445	672489.8911065827	0.8269360470662359
UP,PP,NP	(0,2,activation)(0,1,inhibition)(1,2,inhibition)	2	2.0920505630637454	10.668242901295846	0.2942574369605594
UP,PP,NP	(0,2,activation)(0,1,inhibition)(1,2,activation)	6	8.782646889326019	24.12930013783142	0.6377244765330512
UP,UP,PP	(0,2,activation)(2,1,activation)(2,0,activation)	1	2.403475134339363	21.883461771261025	0.32004134905118364
PP,UP,PP	(0,2,activation)(2,1,activation)	94	101.76174391299124	3567.1046520769505	0.4888635842725424
PP,UP,PP	(0,2,activation)(2,1,inhibition)	753	243.85415414460994	177405.96215153873	0.10881998244886382
PP,UP,UP	(0,2,inhibition)(2,1,activation)	2474	677.1057103461305	138752.0663907496	3.213807891816467E-4
PP,UP,NP	(0,2,inhibition)(1,2,activation)(2,0,activation)	4	7.743314317079686	309.1923234642136	0.2672971541166782
PP,UP,NP	(0,2,inhibition)(1,2,activation)(2,0,inhibition)	12	1.965964415970263	54.684432839507096	0.057072902292115146
NP,UP,NP	(0,2,inhibition)(0,1,activation)(1,2,inhibition)	22	7.092669493735063	121.2435690979944	0.094168633817165
PP,UP,UP	(0,2,inhibition)(2,1,inhibition)	6	667.9241619264635	145243.59193471808	0.9970131023178753
NP,UP,NP	(0,2,inhibition)(1,2,activation)(2,0,activation)	65	18.307639835748258	538.3033124870778	0.05015420709367502
NP,UP,PP	(0,2,inhibition)(1,2,activation)(2,0,activation)	11	2.4360472234834845	139.29155273518916	0.05556167706032544
NP,UP,PP	(0,2,inhibition)(1,2,activation)(2,0,inhibition)	23	1.899149290151448	148.28191582923782	0.026389035913966463
UP,UP,UP	(0,2,activation)(2,1,activation)	10023	3770.093616659349	2641699.7968638316	0.0013096194759100177
NP,UP,NP	(0,2,inhibition)(2,1,activation)(2,0,activation)	47	29.180679864418163	1153.7987895378435	0.22810597415972023
PP,PP,UP	(0,2,activation)(0,1,activation)(1,2,activation)	6	9.58388833594693	77.03512902102291	0.5486370496118722
UP,UP,NP	(0,2,activation)(2,1,activation)	23146	11432.029556375039	5358592.889746621	1.2242344412549677E-5
UP,PP,UP	(0,2,activation)(2,1,inhibition)(2,0,inhibition)	4	6.474078654924281	905.4024952213846	0.08316273562636867
UP,NP,PP	(0,2,activation)(0,1,activation)(1,2,activation)	26	592.6134700015338	166445.2101188727	0.9723866599834957
NP,UP,PP	(0,2,inhibition)(2,1,activation)(2,0,inhibition)	1	0.2716534726128929	2.1552205623385183	0.04619154401529535
NP,UP,PP	(0,2,inhibition)(2,1,activation)(2,0,activation)	21	1.8503743595476743	16.12600447134816	0.005838398129030309
UP,PP,UP	(0,2,inhibition)(1,2,activation)	1336	278.7286021748604	11073.073895271067	9.738787554169903E-11
PP,NP,NP	(0,2,inhibition)(1,2,activation)(2,0,inhibition)	12	1.1984373959818726	20.90002673975759	0.03367215545905966
UP,PP,NP	(0,2,inhibition)(1,2,inhibition)	1989	4648.0977306380155	6481769.084442824	0.8624204396152245
UP,PP,PP	(0,2,inhibition)(1,2,activation)	416	264.78553774131274	17949.108529569683	0.1316879963186064
PP,UP,UP	(0,2,activation)(2,1,inhibition)	22	278.72860217486044	39458.26962549136	0.9525075992837245
NP,NP,UP	(0,2,activation)(0,1,activation)(1,0,activation)(2,1,activation)	108	1.052439567487732	1.9362049517967275	0.0
NP,NP,UP	(0,2,activation)(0,1,activation)(1,0,activation)(2,1,inhibition)	2	0.10319745393505934	0.126770523098566	0.0017711161820985755
PP,PP,NP	(0,2,activation)(2,1,activation)(2,0,inhibition)	2	0.3659265336062908	2.5671394922600475	0.05062404090497319
PP,PP,NP	(0,2,activation)(2,1,activation)(2,0,activation)	168	8.295051773305792	126.16171382116593	4.883939130895243E-8
NP,PP,NP	(0,2,inhibition)(2,1,activation)	747	799.3683683201385	120232.50541409908	0.516315849260415
NP,PP,NP	(0,2,inhibition)(2,1,inhibition)	185	202.953115812854	47303.86382175009	0.41722349511102763
UP,NP,PP	(0,2,inhibition)(1,2,activation)(2,0,activation)	5	0.7179121598599897	24.646650554454524	0.02993908391276645
UP,NP,PP	(0,2,inhibition)(2,1,activation)(2,0,inhibition)	10	0.888554355357748	15.622123471342707	0.03089161631868509
NP,NP,UP	(0,1,activation)(1,0,inhibition)(2,1,inhibition)(2,0,activation)	1	0.014173832246364015	0.01613262377014887	9.32710393384939E-4
NP,UP,UP	(0,2,activation)(2,1,inhibition)(2,0,activation)	24	5.469139200057591	184.21070948613774	0.08035588707529617
NP,PP,UP	(0,2,activation)(2,1,activation)	1299	1204.1882990310498	247947.8387439982	0.38594578742792796
UP,UP,UP	(0,2,activation)(1,2,inhibition)(2,0,activation)	35	1.8036313399190194	14.690989831027302	2.4765877913512924E-4
UP,UP,UP	(0,2,activation)(1,2,inhibition)(2,0,inhibition)	4	1.7791741123020341	15.674387085927158	0.1445237534137278
NP,PP,UP	(0,2,inhibition)(2,1,activation)(2,0,activation)	7	9.168737616177628	85.68816933438433	0.464087577629293
NP,UP,UP	(0,2,activation)(2,1,inhibition)(2,0,inhibition)	128	32.305702853555346	22078.178976350937	0.06302556940881587
UP,UP,UP	(0,2,inhibition)(2,1,inhibition)	962	3668.5419535244073	817298.257747639	0.9999464416178392
UP,NP,NP	(0,2,inhibition)(0,1,activation)(1,2,activation)	18	19.481791183815986	57.28596129744619	0.514395417669435
UP,UP,UP	(0,2,activation)(1,2,activation)	228611	100291.82307592685	2.395211211953867E9	0.014311365298606216
UP,UP,UP	(0,2,activation)(2,1,inhibition)	357	3718.971175127523	5740539.688637381	0.9680246411953298
NP,PP,NP	(0,2,activation)(1,2,inhibition)	2179	1470.3004249865523	634135.8692767015	0.17695109534584763
NP,PP,NP	(0,2,activation)(2,1,activation)	3385	3651.452092630572	907362.5452129133	0.5862159487105555
PP,PP,NP	(0,2,inhibition)(2,1,inhibition)	267	88.8601002732859	10041.449101665483	0.06392301427180158
PP,PP,UP	(0,2,inhibition)(2,1,activation)(2,0,inhibition)	2	0.30772645862791254	1.378710968637639	0.04558271549926962
NP,UP,UP	(0,2,inhibition)(1,2,inhibition)	2318	5780.301676024119	4014579.909909144	0.9776174205125597
UP,UP,UP	(0,2,activation)(1,2,activation)(2,0,inhibition)	2	95.96020344854982	57942.82444742138	0.27037458939254855
UP,UP,UP	(0,2,activation)(1,2,activation)(2,0,activation)	67	97.27931017435348	42549.87366388192	0.2808412956852613
UP,PP,NP	(0,2,activation)(2,1,inhibition)(2,0,activation)	5	1.0160620242091596	30.665037044575374	0.045795950222182524
UP,PP,NP	(0,2,activation)(2,1,inhibition)(2,0,inhibition)	6	82.19291969046658	9074.350373893178	0.7354473944396187
UP,UP,UP	(0,2,inhibition)(1,2,inhibition)	5336	6950.209904546145	1679788.3416975737	0.8992612334386615
UP,UP,UP	(0,2,inhibition)(2,1,activation)	3567	3718.971175127523	534908.0465599615	0.5633620020462744
NP,UP,NP	(0,2,activation)(2,1,inhibition)(2,0,activation)	6016	15.584528131892547	2663.8527941430443	3.8746783559417963E-14
NP,NP,PP	(0,2,activation)(1,2,activation)(2,1,activation)(2,0,activation)	12	0.23307331196224268	1.1709250299736214	7.312753822744655E-4
NP,PP,UP	(0,2,inhibition)(2,1,activation)	1825	810.3039753689159	102468.26056301722	0.00444031858651317
UP,UP,PP	(0,2,inhibition)(2,1,inhibition)(2,0,inhibition)	13	69.0715050835536	24445.32258365309	0.3036189859791265
NP,NP,UP	(0,2,inhibition)(0,1,activation)(1,2,inhibition)	291	7.988222368748066	307.42016547527237	8.032094955812141E-7
NP,NP,UP	(0,2,inhibition)(0,1,activation)(1,2,activation)	45	3.133012679951982	14.321069850941749	6.904470778446026E-7
UP,UP,PP	(0,2,activation)(2,1,inhibition)(2,0,activation)	3	1.084594774016555	171.86677987415356	0.013012429238826062
NP,NP,NP	(0,2,activation)(0,1,inhibition)(1,2,inhibition)	53	2.4431684490485703	17.18949856582944	2.9335308892042278E-6
NP,NP,NP	(2,1,activation)(2,0,activation)	61781	44142.57088593635	1.0264829255732131E8	0.04969632363527765
UP,PP,NP	(0,2,activation)(0,1,activation)(1,2,activation)	123	110.67885466034137	2807.854163101838	0.3621140600765349
NP,NP,NP	(0,2,activation)(1,2,inhibition)	3564	3358.110687634381	1571359.8257895354	0.3994939362531119
PP,PP,UP	(0,2,inhibition)(2,1,inhibition)(2,0,inhibition)	4	2.108106116736489	63.40715050121567	0.09900960320953678
PP,NP,NP	(0,2,inhibition)(0,1,inhibition)(1,2,inhibition)	4	178.40981356678907	50529.415945292014	0.7050169427812806
NP,UP,UP	(0,2,activation)(0,1,activation)(1,0,activation)(2,1,activation)	3	1.1342562941214844	5.747403397566274	0.11974413951854923
PP,PP,UP	(0,2,inhibition)(2,1,activation)	929	354.7799313882902	41090.81691097403	0.011374226096072193
PP,PP,UP	(2,1,inhibition)(2,0,inhibition)	1493	1319.5345973072308	753643.8833831816	0.3607272660487566
NP,NP,NP	(0,2,inhibition)(1,2,inhibition)(2,0,activation)	2	14.671138465528928	342.2881283448247	0.6422090503791779
UP,UP,UP	(0,2,activation)(1,2,inhibition)	4911	3718.971175127523	1494751.5979392286	0.1624094309885208
NP,NP,UP	(0,1,activation)(1,0,activation)(2,1,inhibition)(2,0,inhibition)	281	0.19122125222954992	0.4163332895661299	3.3306690738754696E-16
NP,NP,UP	(0,1,activation)(1,0,activation)(2,1,inhibition)(2,0,activation)	8	0.2119007941486758	0.26024357133625453	7.387742340103642E-8
NP,PP,UP	(0,2,inhibition)(1,2,inhibition)(2,0,activation)	6	2.5388709979841573	10.221445694519836	0.11251029325462625
NP,NP,NP	(2,1,inhibition)(2,0,activation)	12208	3358.11068763438	7515186.567247825	0.008917867446723515
NP,UP,NP	(0,2,activation)(0,1,activation)(1,2,activation)(1,0,activation)(2,0,activation)	8	0.03897493416422514	0.04315259146084129	1.115008085861291E-11
PP,PP,UP	(2,1,activation)(2,0,activation)	12365	2427.349913473667	827267.8103399249	7.460698725481052E-13
PP,PP,UP	(0,2,activation)(2,1,inhibition)	268	55.10351505658112	1873.0584844521877	6.746860959316869E-4
NP,NP,UP	(0,1,activation)(1,0,inhibition)(2,1,activation)(2,0,activation)	10	0.6779857764222187	2.063641496546241	0.0010747046495842572
UP,UP,NP	(0,2,inhibition)(1,2,inhibition)	22755	12764.72876781818	9520572.637742907	0.0023610894357553036
PP,NP,PP	(0,2,activation)(0,1,activation)(1,2,inhibition)	12	0.9695320513356629	1.9975445556242408	6.0137240354363186E-5
PP,NP,PP	(0,2,activation)(0,1,activation)(1,2,activation)	14	34.56320362070043	720.7029224118369	0.744610541302057
NP,NP,NP	(0,2,inhibition)(0,1,activation)(1,2,inhibition)	77	14.671138465528934	1032.841508922218	0.05636246570423664
NP,NP,NP	(0,2,inhibition)(2,1,activation)(2,0,activation)	125	64.2311981231226	5428.087653894226	0.17191563200751336
PP,PP,NP	(0,2,activation)(1,2,inhibition)	177	180.76947963921484	10843.797425079865	0.4541293740089668
PP,PP,NP	(0,2,activation)(1,2,activation)	256	379.4445832402322	14407.558664717973	0.8500630693661781
PP,UP,NP	(0,2,inhibition)(1,2,inhibition)(2,0,activation)	24	14.922299631865334	907.7898730142208	0.20677497122946475
UP,UP,UP	(2,1,inhibition)(2,0,activation)	320	3718.971175127523	894271.2781933341	0.999999974126048
UP,UP,UP	(2,1,inhibition)(2,0,inhibition)	77889	33761.77322484092	3.851071064970784E8	0.02847797520468598
UP,UP,UP	(0,2,activation)(1,2,activation)(2,1,activation)(2,0,activation)	3	0.11064213740490472	0.3553512331157028	0.00794403536322641
UP,PP,UP	(0,2,inhibition)(1,2,inhibition)(2,1,inhibition)(2,0,inhibition)	2	0.019329684563267002	0.029320457008943174	6.813135526214653E-4
NP,NP,PP	(0,2,inhibition)(0,1,activation)(1,2,activation)	3	2.9762874736874045	13.610257658785525	0.3251664580245758
NP,NP,PP	(0,2,activation)(2,1,activation)	1204	1821.8647493715644	683461.9736795784	0.7570437831491739
NP,NP,PP	(0,2,inhibition)(0,1,activation)(1,2,inhibition)	563	3.775060045646215	72.54480245368622	4.440892098500626E-16
PP,UP,NP	(0,2,activation)(0,1,activation)(1,2,activation)	57	17.92393851774849	82.8571742975725	6.414409005045529E-4
UP,NP,NP	(0,2,inhibition)(0,1,inhibition)(1,0,activation)(2,1,activation)	2	0.0768837661097312	0.2563588224778079	0.010416874067203152
NP,PP,PP	(0,2,inhibition)(1,2,activation)	132	110.10748658050804	4664.074105915926	0.3216832449933855
NP,PP,PP	(2,1,inhibition)(2,0,inhibition)	603	11273.77322847441	6.4640773735054925E7	0.9625771147609545
UP,NP,NP	(0,2,activation)(2,1,inhibition)	3376	5508.778463450488	1.1544605281203713E7	0.7007237631519303
PP,PP,PP	(0,2,activation)(1,2,inhibition)	38	48.20897801542277	1422.532827370881	0.5233993095805856
PP,PP,PP	(2,1,activation)(2,0,activation)	289	141.57118183267542	5025.27686117441	0.03419053963440144
PP,UP,PP	(0,2,inhibition)(2,1,activation)	20	92.00795032701001	3963.813022402461	0.9013504029858023
PP,NP,NP	(0,2,activation)(1,2,activation)(2,0,activation)	96	19.81617519563694	500.0515314928435	0.009921645231482756
PP,NP,NP	(0,2,activation)(1,2,activation)(2,0,inhibition)	28	5.031165428649081	134.52350103887676	0.053122582891097725
PP,PP,NP	(2,1,inhibition)(2,0,inhibition)	253	3367.7955085159497	3846369.049860418	0.986768240154065
PP,PP,NP	(2,1,inhibition)(2,0,activation)	253	220.68170122253753	40201.776603899	0.34996692036215427
UP,UP,UP	(0,2,activation)(2,1,activation)(2,0,activation)	43	8.57594929931461	189.79764813342928	0.03316671942254512
UP,UP,UP	(2,1,activation)(2,0,activation)	5250	8841.526407757501	7146348.042548075	0.9237934053432
PP,NP,NP	(0,2,activation)(2,1,activation)	4628	1885.96088077386	196797.27199437423	5.747664566513322E-7
PP,NP,NP	(0,2,activation)(2,1,inhibition)	484	412.870670006169	105467.86421886357	0.3425247274723284
PP,NP,NP	(0,2,inhibition)(2,1,inhibition)	295	321.87513949147575	127800.16957699346	0.409963464024228
UP,UP,UP	(0,2,activation)(1,2,activation)(2,1,inhibition)(2,0,inhibition)	1	0.42249206527264327	41.69286841874485	0.008272232561802872
NP,UP,UP	(0,2,activation)(2,1,activation)(2,0,activation)	311	26.00479346998586	496.613376695811	2.390346698355472E-9
NP,UP,UP	(0,2,activation)(1,2,activation)(2,0,inhibition)	70	94.66515478887088	56818.05261589048	0.2214949657655142
PP,NP,UP	(0,2,inhibition)(2,1,activation)	697	1490.4145905308962	616444.9538070112	0.8504520790421312
NP,PP,PP	(2,1,activation)(2,0,activation)	951	1189.4683793215606	150334.7627795334	0.7127415590786386
NP,PP,NP	(2,1,inhibition)(2,0,activation)	3355	927.0739358852742	595685.5357197906	0.010199131422991115
NP,PP,PP	(2,1,activation)(2,0,inhibition)	4	174.62586105274366	61883.6030467907	0.6174788910519093
PP,NP,NP	(0,2,activation)(0,1,inhibition)(1,2,activation)	1	7.979217602376664	117.5403096803528	0.5906385410965822
NP,PP,PP	(0,1,inhibition)(1,0,activation)(2,1,inhibition)(2,0,activation)	12	0.0044754807320434385	0.005218156000715272	5.551115123125783E-16
