Motif_Nodes	Motif_edges	Num_occ_input_graph	Mean_analytical	Variance_analytical	Pval_analytical
PP,PP,NP	(0,2,activation)(0,1,activation)(1,0,activation)(2,1,activation)	36	1.382881671570364	12.754232825344321	2.471984192140564E-4
NP,UP,NP	(0,2,activation)(1,2,activation)(2,1,activation)(2,0,activation)	67	0.32058616008023244	0.504752457670896	1.1102230246251565E-16
PP,PP,NP	(0,2,activation)(0,1,activation)(1,0,activation)(2,1,inhibition)	3	0.03525407944441909	0.04469120939788856	6.918796023369644E-5
UP,NP,NP	(0,2,inhibition)(2,1,activation)	17103	4943.812216615518	1132271.6385259032	0.0
UP,NP,NP	(0,2,inhibition)(2,1,inhibition)	2838	1151.71222058173	1138802.252484044	0.07806449286374406
UP,NP,NP	(0,2,activation)(1,2,activation)(2,0,activation)	901	24.84287783382359	489.1249343892025	6.439293542825908E-15
NP,NP,UP	(2,1,inhibition)(2,0,activation)	1263	4188.809009249022	867007.2392221168	0.9999657843872118
UP,NP,NP	(0,2,activation)(1,2,activation)(2,0,inhibition)	3	13.338407369406339	541.3420028849478	0.42634126318026244
NP,NP,UP	(2,1,inhibition)(2,0,inhibition)	14333	15926.581482815269	9.062680599824622E7	0.5063120393509144
PP,PP,UP	(0,2,activation)(2,1,activation)	2466	935.9158594442575	128235.86878393719	4.293104222932165E-4
PP,PP,UP	(0,2,activation)(2,1,inhibition)	594	200.90293901442064	20242.612676694727	0.015036830043374305
PP,NP,UP	(0,2,activation)(2,1,activation)	3765	1506.023121773896	286305.24427296966	4.156669328351237E-4
UP,UP,NP	(0,2,activation)(0,1,inhibition)(1,2,activation)	15	45.37710328133567	192.15824335741127	0.9954425895671278
PP,NP,UP	(0,2,activation)(2,1,inhibition)	1191	609.2778504715262	162186.27317197138	0.08905427940307808
UP,NP,PP	(0,2,activation)(0,1,inhibition)(1,2,activation)	13	47.24437685674848	758.4313656841273	0.9185411948606214
PP,UP,NP	(0,2,activation)(2,1,activation)	3812	1777.4731412894066	195871.5611839192	7.757351950610225E-5
NP,UP,NP	(0,2,activation)(0,1,activation)(1,0,inhibition)(2,1,activation)	2	0.42899824658551844	1.9362375330218864	0.06364671477908901
NP,UP,NP	(0,2,activation)(0,1,activation)(1,2,inhibition)(1,0,inhibition)	4	0.2386908415718004	1.5549098191912027	0.018674309075024986
PP,PP,UP	(0,2,activation)(1,2,activation)(2,1,inhibition)(2,0,inhibition)	2	0.04771328848851895	0.781183337775035	0.004292300512889424
NP,UP,PP	(0,2,inhibition)(1,2,inhibition)(2,0,activation)	49	5.054816093264295	108.76005002834955	0.009056692272147115
NP,NP,UP	(0,1,activation)(1,2,activation)(2,0,activation)	55	7.096080636972815	18.85262669102547	7.101671473108695E-10
