Motif_Nodes	Motif_edges	Num_occ_input_graph	Mean_analytical	Variance_analytical	Pval_analytical
NP,UP,PP	(0,2,activation)(1,2,inhibition)(2,0,activation)	412	6.700063317146296	68.31234291074449	0.0
NP,UP,UP	(0,2,activation)(2,1,activation)	5421	1840.511713348157	619204.0275692176	2.9987869113456966E-4
NP,PP,UP	(0,2,activation)(1,2,activation)(2,1,activation)(2,0,activation)	5	0.5957622917306012	3.0268867343043997	0.030209749617233772
NP,UP,PP	(0,2,inhibition)(2,1,activation)	169	661.5697299163113	78329.55207778007	0.9856201387590717
PP,UP,PP	(0,2,inhibition)(1,2,inhibition)(2,0,activation)	60	1.4990743473672554	21.977644769292482	9.912258918176597E-5
UP,PP,PP	(0,2,activation)(1,2,activation)(2,1,activation)(2,0,activation)	1	0.15365627005334329	0.21100456268194193	0.025585252176712148
NP,NP,PP	(0,2,activation)(1,2,activation)(2,1,activation)(2,0,activation)	174	0.30785440823650173	0.4905259690921872	0.0
PP,NP,NP	(0,2,inhibition)(2,1,activation)	1885	423.1789364680542	26825.826243001706	3.2084684908895156E-9
NP,NP,PP	(0,2,activation)(1,2,activation)	2876	9329.783141653501	3637440.3722436577	0.9999907972011985
UP,UP,NP	(0,2,activation)(1,2,inhibition)(2,0,activation)	154	6.768327731651976	102.31541250122147	9.107302234578896E-8
PP,UP,PP	(0,2,inhibition)(2,1,inhibition)	60	27.29040290295631	762.8393606525057	0.1191822826613097
PP,UP,PP	(0,2,inhibition)(2,1,activation)	98	84.63744197286141	1649.0699561187012	0.3282032101677984
UP,PP,PP	(0,2,activation)(0,1,activation)(1,2,activation)	784	202.91098201018823	3269.6070564629845	2.4238389073616418E-12
PP,PP,PP	(0,2,activation)(0,1,activation)(1,2,activation)(1,0,inhibition)(2,0,activation)	1	5.523770421579306E-5	5.5568772541933806E-5	1.660538542225254E-7
UP,UP,NP	(0,2,activation)(0,1,activation)(1,2,inhibition)	64	21.915493684204268	199.47731455780945	0.009510260190185416
UP,UP,NP	(0,2,activation)(1,2,activation)(2,0,activation)	1195	89.39915550977634	18428.298571329527	1.1189107645270813E-4
