Motif_Nodes	Motif_edges	Num_occ_input_graph	Mean_analytical	Variance_analytical	Pval_analytical
PP,PP,NP	(0,2,activation)(0,1,activation)(1,0,activation)(2,1,activation)	24	0.019245689697410827	0.04143996053097055	5.069278330438465E-13
NP,UP,PP	(0,1,activation)(1,2,inhibition)(2,0,activation)	2	1.4841878915490418	5.722891989066529	0.22317442722584668
NP,UP,NP	(0,2,activation)(0,1,activation)(1,2,activation)(1,0,activation)	30	4.482949514690657	21.552176979645665	5.250064277391164E-4
PP,PP,NP	(0,2,activation)(0,1,activation)(1,0,activation)(2,1,inhibition)	3	0.0037336984529561714	0.00547877017608185	2.0939890666427097E-5
UP,NP,NP	(0,2,inhibition)(2,1,activation)	20983	7916.0478342202605	2352287.9080346227	5.327027707835441E-11
UP,NP,NP	(0,2,inhibition)(2,1,inhibition)	2515	1220.0323919077375	1124688.8685283961	0.11746105958053188
UP,NP,NP	(0,2,activation)(1,2,activation)(2,0,activation)	1177	77.86993123602569	6460.930787132371	5.331059482749367E-9
NP,UP,PP	(0,2,activation)(0,1,inhibition)(1,2,inhibition)	2	0.43090969353729236	0.835850633303981	0.04293822286218418
NP,NP,UP	(2,1,inhibition)(2,0,activation)	1807	6001.81799161701	1709292.4884074703	0.9999765062504788
NP,NP,UP	(0,2,activation)(1,2,activation)(2,1,activation)(2,0,activation)	94	1.1642470588703722	10.16773974234927	6.984103295692989E-10
NP,NP,UP	(2,1,inhibition)(2,0,inhibition)	12722	14422.366395411053	7.391159672827452E7	0.5189964499926116
PP,PP,UP	(0,2,activation)(2,1,activation)	246	100.59849567117791	2699.245383743635	0.01093390942747785
PP,PP,UP	(0,2,activation)(2,1,inhibition)	250	104.0225078378111	6486.465336372761	0.05678602726833948
PP,NP,UP	(0,2,activation)(2,1,activation)	2302	1025.1770385568368	189183.30805718713	0.0074019133457231545
UP,UP,NP	(0,2,activation)(0,1,inhibition)(1,2,activation)	7	102.92345821840597	1510.918482781788	0.9998867988226566
PP,NP,UP	(0,2,activation)(2,1,inhibition)	200	263.5402770340719	36991.951684074826	0.559450439392875
UP,NP,PP	(0,2,activation)(0,1,inhibition)(1,2,activation)	3	2.6349629559948893	4.116812868104263	0.2866337908465604
PP,UP,NP	(0,2,activation)(2,1,activation)	1682	1352.148713455696	192968.3605884472	0.21530631894082908
