Motif_Nodes	Motif_edges	Num_occ_input_graph	Mean_analytical	Variance_analytical	Pval_analytical
PP,PP,NP	(0,2,activation)(0,1,activation)(1,0,activation)(2,1,activation)	180	0.006100356856260873	0.007977518425029627	0.0
NP,UP,PP	(0,2,activation)(0,1,inhibition)(1,2,activation)	4	3.4638386329872617	15.945992279225223	0.29949641163448526
NP,UP,NP	(0,2,activation)(1,2,activation)(2,1,activation)(2,0,activation)	121	1.9285608877699418	21.7961465310035	1.5582494183874473E-9
PP,UP,NP	(0,2,inhibition)(2,1,inhibition)	114	367.3424329550857	174496.24149516135	0.6376470269642748
UP,NP,NP	(0,2,inhibition)(2,1,activation)	21904	8582.453568042158	3513398.0674779564	1.744906574785432E-8
UP,NP,NP	(0,2,inhibition)(2,1,inhibition)	3216	1992.5364548837968	2745375.732888852	0.2006408789100549
UP,NP,NP	(0,2,activation)(1,2,activation)(2,0,activation)	1172	85.8915126980952	8585.64242339204	1.4590932706504134E-7
NP,UP,PP	(0,2,activation)(0,1,inhibition)(1,2,inhibition)	4	0.658050504766492	1.378823612499457	0.016584233716124053
NP,NP,UP	(2,1,inhibition)(2,0,activation)	2106	6107.686868458873	1791384.9027556852	0.9998904509838349
NP,NP,UP	(0,2,activation)(1,2,activation)(2,1,activation)(2,0,activation)	92	1.2245352544997496	11.0430452506093	2.08215245045551E-9
NP,NP,UP	(2,1,inhibition)(2,0,inhibition)	14285	16160.538546346961	9.301530184179229E7	0.5175555129701852
PP,PP,UP	(0,2,activation)(2,1,activation)	172	109.89136997412399	2453.9734238808796	0.11062667954106675
PP,PP,UP	(0,2,activation)(2,1,inhibition)	357	75.93426656059857	3215.0551340018437	5.601859937937048E-4
PP,NP,UP	(0,2,activation)(2,1,activation)	2189	829.2292483359537	93883.75257540867	2.7557791495991246E-4
UP,UP,NP	(0,2,activation)(0,1,inhibition)(1,2,activation)	15	99.93993686114504	1469.7812861455113	0.9986856699187627
NP,NP,UP	(0,2,activation)(1,2,activation)	12518	34032.47213752704	2.9212489862860346E8	0.9199569632942525
UP,NP,PP	(0,2,activation)(0,1,inhibition)(1,2,activation)	4	5.114770284406657	9.993442921244693	0.5206285052318159
PP,UP,NP	(0,2,activation)(2,1,activation)	2017	1165.2237048788948	96361.33951508603	0.007567511275441086
UP,PP,PP	(0,2,activation)(0,1,activation)(1,2,inhibition)	2	1.5797709623907918	5.003801819280447	0.24132058458922157
NP,UP,NP	(0,2,activation)(0,1,activation)(1,0,inhibition)(2,1,activation)	2	1.205565708389428	14.546796294294753	0.12479668833711877
NP,UP,NP	(0,2,activation)(0,1,activation)(1,2,inhibition)(1,0,inhibition)	4	0.5054661377094859	6.885699479828837	0.037898728386672076
PP,PP,UP	(0,2,activation)(1,2,activation)(2,1,inhibition)(2,0,inhibition)	2	0.010950016668752213	0.06657116875153075	0.0015919712699486999
NP,UP,PP	(0,2,inhibition)(1,2,inhibition)(2,0,activation)	45	6.575700306917856	159.74693354541813	0.022440617646236838
NP,NP,UP	(0,1,activation)(1,2,activation)(2,0,activation)	174	21.060771731567304	124.7655864996488	3.455014052633487E-13
PP,UP,NP	(0,2,activation)(2,1,activation)(2,0,inhibition)	28	1.144210092617366	16.47283699613267	0.003744972003453806
NP,UP,PP	(0,2,inhibition)(2,1,inhibition)(2,0,inhibition)	12	28.139116936096553	8854.89283011006	0.1523002173483914
UP,NP,NP	(0,2,activation)(0,1,inhibition)(1,2,inhibition)	3	5.537710472844405	34.84297458724034	0.5263672843746867
NP,PP,UP	(0,2,inhibition)(0,1,inhibition)(1,2,inhibition)	8	88.22461878615097	14639.965069464226	0.6179785837705578
NP,NP,UP	(0,2,inhibition)(2,1,activation)(2,0,activation)	15	53.550324526031666	2441.3631985114566	0.7475131781631678
NP,NP,UP	(0,2,inhibition)(2,1,activation)(2,0,inhibition)	6	3.2628159098877627	55.39931461808143	0.16993865608660141
NP,UP,UP	(0,1,activation)(1,2,activation)(2,0,activation)	19	6.549438860374483	28.34799341245475	0.025836323025735575
NP,PP,UP	(0,2,activation)(0,1,activation)(1,2,activation)(1,0,activation)	36	1.243734144243504	6.591080533333059	3.310307249093647E-6
NP,UP,NP	(0,2,inhibition)(1,2,inhibition)	4715	11818.802774897767	1.9929048036620885E7	0.9664896850188581
NP,PP,PP	(0,2,activation)(2,1,activation)	586	157.20373548436032	4102.999662830171	1.6990656743764987E-6
UP,NP,PP	(0,2,inhibition)(2,1,inhibition)	1154	587.4657614586191	497001.957719774	0.17478918201907445
PP,NP,UP	(0,2,inhibition)(2,1,inhibition)	84	319.5964194936196	36785.2966112953	0.9203724146359237
UP,UP,NP	(0,2,activation)(2,1,activation)(2,0,activation)	355	52.91310237673801	2091.7890859141307	6.810505781085219E-5
UP,UP,PP	(0,2,inhibition)(1,2,inhibition)(2,0,activation)	30	2.4999845759042008	52.264519571056205	0.015803860267863623
NP,UP,UP	(0,2,activation)(1,2,inhibition)	4757	2209.725352504719	518236.87683240045	0.0016630876053254084
UP,NP,UP	(0,2,activation)(0,1,activation)(1,2,activation)(1,0,activation)(2,0,activation)	3	0.1535986453680326	0.7336935163659573	0.015083945018501188
UP,UP,PP	(0,2,inhibition)(1,2,inhibition)(2,0,inhibition)	14	3.394722686769663	128.04017815263978	0.08161748578777439
NP,UP,NP	(0,2,inhibition)(2,1,activation)	484	1759.3211528578904	515855.59959684033	0.9856624089914208
NP,UP,UP	(0,2,activation)(2,1,activation)	6299	2356.568793605727	957371.192876365	8.464518508536356E-4
NP,PP,PP	(0,2,activation)(0,1,activation)(1,2,activation)(1,0,activation)(2,0,activation)	180	5.586172142395849E-4	5.698167287100357E-4	0.0
UP,PP,NP	(0,2,activation)(1,2,activation)(2,0,inhibition)	6	10.129824504578739	1002.4400767483568	0.16446419235322274
UP,PP,NP	(0,2,activation)(1,2,activation)(2,0,activation)	79	13.207154295694522	218.80917401536826	0.0027729047535611784
NP,UP,NP	(0,2,activation)(1,2,activation)(2,0,activation)	2377	481.5992284738222	198553.79851107247	0.002594279444861347
NP,UP,NP	(0,2,activation)(1,2,activation)(2,0,inhibition)	46	111.80998670953569	115621.12471926442	0.17941099337978972
NP,NP,PP	(0,2,activation)(0,1,activation)(1,2,inhibition)	89	12.974650658925784	119.47776085922533	3.271803219939695E-5
NP,PP,NP	(0,2,activation)(0,1,activation)(1,0,activation)(2,1,activation)	181	0.16831289256002152	0.28837110015777123	2.220446049250313E-16
NP,PP,NP	(0,2,activation)(0,1,activation)(1,0,activation)(2,1,inhibition)	3	0.026154923389827445	0.033110812182114764	4.70275880546378E-5
PP,PP,PP	(0,2,activation)(1,2,activation)(2,1,activation)(2,0,activation)	60	2.0864756978559933E-4	2.1733355833307498E-4	0.0
NP,PP,UP	(0,1,inhibition)(1,0,inhibition)(2,1,inhibition)(2,0,inhibition)	13	0.23578239241657023	1.5055949328173353	0.001182422952477169
PP,NP,UP	(0,2,activation)(1,2,activation)(2,0,activation)	1	12.940037909588359	1688.0779112941968	0.17624725041523215
PP,NP,UP	(0,2,activation)(1,2,activation)(2,0,inhibition)	32	8.941487290242202	1381.8241245785293	0.07348140809911707
PP,PP,PP	(0,2,activation)(2,1,activation)	142	24.172516296217697	198.45057156892324	2.8860303835642753E-7
