Motif_Nodes	Motif_edges	Num_occ_input_graph	Mean_analytical	Variance_analytical	Pval_analytical
NP,UP,PP	(0,2,activation)(2,1,inhibition)(2,0,activation)	3	2.4812947862835135	279.4180394048416	0.04057024427195921
NP,UP,PP	(0,2,activation)(1,2,inhibition)(2,0,inhibition)	36	1.1556121779312263	21.25844963133087	0.0028180874661851707
NP,UP,UP	(0,2,activation)(2,1,activation)	6128	2041.857510738041	729388.1501509105	1.7101974303745937E-4
NP,UP,PP	(0,2,inhibition)(2,1,activation)	191	609.3325981743884	80460.52728973306	0.9583700977658308
PP,NP,NP	(0,2,inhibition)(0,1,activation)(1,2,activation)	55	2.5324323408012397	15.326085790772261	3.792962218751583E-7
PP,UP,PP	(0,2,inhibition)(1,2,inhibition)(2,0,activation)	1	2.4244186705292248	52.863658940846705	0.17646479513297186
UP,PP,PP	(0,2,activation)(1,2,activation)(2,1,activation)(2,0,activation)	1	0.016884679045874634	0.02011902761469785	0.0014437374222547872
NP,NP,PP	(0,2,activation)(1,2,activation)(2,1,activation)(2,0,activation)	6	0.1313800070436205	0.20997411663610432	3.308096568954699E-5
NP,NP,PP	(0,2,activation)(0,1,activation)(1,2,activation)(1,0,inhibition)	4	0.15254287241067754	0.3194850508400482	0.0020375145810258566
PP,NP,NP	(0,2,inhibition)(2,1,activation)	1160	901.4140261420563	247600.6334509924	0.26801321958198465
NP,NP,NP	(2,1,inhibition)(2,0,inhibition)	855	43492.28759882274	3.73357717262002E8	0.9998430183127508
UP,UP,NP	(0,2,activation)(1,2,inhibition)(2,0,activation)	411	8.29494970333525	114.41848029364569	0.0
UP,UP,NP	(0,2,activation)(0,1,inhibition)(1,2,inhibition)	1	5.362460793825851	8.044801139494055	0.9392444237667297
PP,UP,PP	(0,2,inhibition)(2,1,inhibition)	90	131.0132675654587	48399.42220447254	0.36163881013630217
PP,UP,PP	(0,2,inhibition)(2,1,activation)	67	162.36767346255633	10428.198795668133	0.8238849846851442
UP,PP,PP	(0,2,activation)(0,1,activation)(1,2,inhibition)	14	3.916703000609133	19.836532182488934	0.03308888040016156
UP,UP,NP	(0,2,activation)(2,1,activation)(2,0,activation)	537	47.54328439054421	1947.5853208501976	9.395785571797433E-8
UP,UP,NP	(0,2,activation)(0,1,inhibition)(1,2,inhibition)(1,0,inhibition)	1	0.02167196123842881	0.02509618738334108	0.0016403643176083893
NP,PP,NP	(0,2,inhibition)(1,2,inhibition)(2,1,inhibition)(2,0,inhibition)	2	0.18099574285596498	0.9515505923838027	0.026723305284503618
UP,PP,PP	(0,2,activation)(1,2,activation)(2,1,inhibition)(2,0,activation)	1	0.0013964694565804445	0.0018873986631795332	1.780520343935832E-4
UP,UP,UP	(0,2,activation)(0,1,activation)(1,0,activation)(2,1,activation)	120	0.229143256955354	0.6089486652437777	8.881784197001252E-16
NP,PP,NP	(0,2,activation)(0,1,activation)(1,0,activation)(2,1,activation)	1	0.39520720803051484	0.7123144461363183	0.09394191591553203
NP,PP,NP	(0,2,activation)(0,1,activation)(1,0,activation)(2,1,inhibition)	3	0.06530898566733108	0.09239179350092189	3.7927898629608325E-4
PP,UP,UP	(0,2,activation)(2,1,activation)(2,0,activation)	8	4.947917342186736	57.6888603894744	0.21904993654563154
NP,PP,PP	(0,2,activation)(0,1,activation)(1,2,inhibition)	6	3.532286862962326	19.20470252308371	0.19628605559087087
NP,PP,PP	(0,1,activation)(1,2,activation)(2,0,activation)	13	1.6399518055425102	2.479028986214681	1.0861003300832728E-5
NP,PP,PP	(0,2,inhibition)(2,1,inhibition)(2,0,inhibition)	1	9.350854636029096	1011.7420088734954	0.1547582856048081
NP,PP,PP	(0,2,inhibition)(0,1,inhibition)(1,2,activation)	21	37.328227032495654	663.7591811190728	0.6899862935363794
PP,NP,NP	(0,2,inhibition)(2,1,inhibition)(2,0,inhibition)	5	28.742978673774665	5369.589770278201	0.2518863768146087
PP,PP,UP	(0,2,inhibition)(1,2,inhibition)(2,1,activation)(2,0,activation)	3	0.0016006378704642554	0.0016438297273769866	4.402395226144051E-9
NP,PP,PP	(0,2,inhibition)(1,2,inhibition)	358	834.7388997706959	290652.56445045443	0.8061673959529982
NP,PP,NP	(0,1,activation)(1,0,activation)(2,1,activation)(2,0,inhibition)	1	0.01840524958720586	0.020425417061400688	0.00104247049558015
UP,PP,NP	(0,2,inhibition)(0,1,inhibition)(1,2,inhibition)	31	19.584541221296973	640.7873642695567	0.2351145593210101
NP,UP,NP	(0,2,inhibition)(2,1,activation)	371	1637.0556749090376	453252.215637553	0.991777433512822
NP,PP,PP	(0,2,inhibition)(0,1,activation)(1,2,activation)	103	0.7238722305283428	1.4543455404956345	3.3306690738754696E-16
NP,UP,NP	(0,2,inhibition)(1,2,inhibition)	2995	9885.988494790008	1.4253502463311404E7	0.9869984703050904
NP,PP,PP	(0,2,inhibition)(0,1,activation)(1,2,inhibition)	29	1.8594723435155964	43.49081509458042	0.014252063828199213
UP,UP,NP	(0,2,inhibition)(2,1,inhibition)	3134	2925.1841789947503	5487154.142906154	0.385837727472953
PP,PP,UP	(0,2,inhibition)(1,2,inhibition)(2,1,inhibition)(2,0,inhibition)	1	8.157530665903412E-4	8.402334953397478E-4	1.219423946297038E-5
NP,UP,NP	(0,2,activation)(2,1,activation)	12618	5897.534711768856	2376754.795234002	1.6269310128791403E-4
NP,UP,NP	(0,2,activation)(2,1,inhibition)	13968	5812.570805723899	1.5450848823254429E7	0.03888678156202907
