Motif_Nodes	Motif_edges	Num_occ_input_graph	Mean_analytical	Variance_analytical	Pval_analytical
PP,UP,NP	(0,2,activation)(0,1,inhibition)(1,2,activation)	6	4.545836545195061	12.434631885642641	0.24761060744288166
PP,UP,NP	(0,2,activation)(1,2,inhibition)(2,0,inhibition)	50	1.7938589361255517	30.367137567373245	8.536675754374778E-4
PP,UP,UP	(0,2,activation)(2,1,activation)	1497	608.177672368529	68725.10720069887	0.003199631936234071
PP,UP,NP	(0,2,inhibition)(2,1,activation)	166	276.8471015016648	12164.879268707024	0.8445229688667019
NP,PP,PP	(0,2,inhibition)(0,1,activation)(1,2,activation)	24	1.801348596912084	5.95932362008031	1.4617207770739604E-5
NP,UP,NP	(0,2,inhibition)(2,1,inhibition)(2,0,activation)	15	4.885065758556802	875.0845789294009	0.044854892280420056
UP,NP,NP	(0,1,activation)(1,0,activation)(2,1,activation)(2,0,activation)	251	7.491277248164748	160.38094031689505	2.7361547472182224E-9
NP,UP,NP	(0,2,inhibition)(0,1,inhibition)(1,2,inhibition)	7	812.6833581610722	161067.11156112014	0.99953457091663
PP,PP,NP	(0,2,activation)(1,2,activation)(2,1,activation)(2,0,activation)	93	0.1399741041459355	0.23698442590725655	7.771561172376096E-16
PP,PP,UP	(0,2,inhibition)(1,2,inhibition)	168	42.67509469553504	524.3402095420347	8.00059686556498E-5
PP,PP,PP	(0,2,activation)(1,2,activation)	835	1278.1559857692444	555265.5032123358	0.6887201561768362
UP,UP,PP	(0,2,activation)(2,1,inhibition)(2,0,activation)	3	1.1629852344425953	19.193081829740635	0.0886555888308338
UP,UP,PP	(0,2,activation)(0,1,inhibition)(1,2,inhibition)	1	2.5142556336616746	4.07604839315015	0.6382203054041906
NP,UP,NP	(0,2,inhibition)(2,1,inhibition)	285	1725.637428436173	2864295.1138233677	0.7855275747425166
NP,UP,NP	(0,2,inhibition)(2,1,activation)	444	1836.5405307950343	562611.9911446674	0.9904444248107769
UP,NP,NP	(0,2,activation)(0,1,activation)(1,2,inhibition)	36	61.8586713484053	1630.586345318587	0.698551719168702
NP,NP,UP	(0,2,activation)(0,1,activation)(1,2,activation)(1,0,activation)(2,0,inhibition)	2	0.015120709869892697	0.02112433152612624	3.6601234738686816E-4
UP,UP,PP	(0,2,activation)(0,1,activation)(1,2,activation)	67	270.135362407138	29976.968387994202	0.9083480527835874
UP,UP,PP	(0,2,activation)(0,1,inhibition)(1,2,inhibition)(1,0,inhibition)	1	0.02168005701643959	0.03137520774215516	0.0033360526508621202
UP,NP,PP	(0,1,activation)(1,0,inhibition)(2,1,activation)(2,0,inhibition)	6	0.010654101425121989	0.011370711762373902	2.6486812743087285E-11
PP,UP,UP	(0,2,inhibition)(2,1,inhibition)	24	281.54165041122343	13652.530251519187	0.9993445253127032
PP,NP,PP	(0,1,activation)(1,0,activation)(2,1,activation)(2,0,activation)	360	0.826396839464134	2.6970432873425803	7.771561172376096E-16
NP,UP,UP	(0,2,activation)(2,1,activation)(2,0,activation)	348	21.41066665549907	368.3819062365478	3.0591085220521563E-12
NP,UP,UP	(0,2,activation)(0,1,activation)(1,2,inhibition)	2	8.309671124516386	103.13986593480446	0.6063649569603761
PP,NP,NP	(0,2,activation)(1,2,activation)(2,0,inhibition)	27	8.41483685059901	252.40452891242427	0.1063400157979012
PP,NP,NP	(0,2,activation)(2,1,activation)(2,0,activation)	868	66.44577758472148	3706.7294179785895	2.895848782991095E-9
NP,NP,PP	(0,2,activation)(0,1,activation)(1,2,activation)(1,0,inhibition)(2,0,activation)	1	0.0015746454396404165	0.0016564896572432521	3.999218265859916E-5
PP,NP,NP	(0,2,inhibition)(0,1,inhibition)(1,2,inhibition)	2	9.962493511610097	197.00292777931466	0.5477669228482651
PP,NP,NP	(0,2,inhibition)(0,1,inhibition)(1,2,activation)	128	4.580336070118473	12.762514636413314	2.220446049250313E-16
NP,NP,UP	(0,2,inhibition)(1,2,inhibition)(2,1,activation)(2,0,activation)	3	0.0407643402214877	0.04763121326472248	3.0579278520348474E-5
PP,NP,NP	(0,2,inhibition)(1,2,inhibition)	425	1041.2112829696916	223488.48555208254	0.9259642228174658
NP,UP,UP	(0,2,inhibition)(1,2,inhibition)(2,0,activation)	9	15.623465903693852	206.35545491276156	0.5816278622093952
PP,NP,PP	(0,2,activation)(0,1,activation)(1,2,activation)(1,0,activation)	181	2.6479302735653647	13.687100803468947	1.1102230246251565E-15
NP,NP,NP	(0,2,activation)(0,1,activation)(1,2,activation)(1,0,activation)(2,0,activation)	128	0.09399303872799875	0.14947432421238024	0.0
UP,NP,PP	(0,2,inhibition)(0,1,inhibition)(1,2,inhibition)	48	51.78990223293644	3378.91579078868	0.4022776038327811
PP,UP,PP	(0,2,inhibition)(2,1,activation)	79	75.46155516229625	1440.4216311616592	0.4089114910911752
PP,NP,NP	(0,1,inhibition)(1,2,activation)(2,0,activation)	6	2.058675785235651	4.701651460458378	0.045392886023698065
PP,UP,PP	(0,2,inhibition)(1,2,inhibition)	661	509.1437081062226	41345.11381365062	0.21350088717962135
PP,NP,NP	(0,2,inhibition)(0,1,activation)(1,2,inhibition)	36	2.6398259527449857	23.191934705774795	6.51187836166911E-4
UP,NP,NP	(0,2,inhibition)(1,2,activation)(2,1,activation)(2,0,activation)	2	0.0723312651172716	0.11556207592028174	0.003413228071866725
UP,UP,PP	(0,2,inhibition)(2,1,inhibition)	628	478.345259460198	79954.20063747288	0.26283622922226113
UP,UP,PP	(0,2,inhibition)(2,1,activation)	2057	963.4587152519487	100014.61093623284	0.001996606101445808
UP,PP,UP	(0,2,inhibition)(2,1,activation)(2,0,inhibition)	3	1.479825851009033	10.896524700725367	0.15264027916237388
PP,UP,PP	(0,2,activation)(1,2,activation)	11075	17379.039156972238	8.26640732162072E7	0.733314784740352
PP,UP,PP	(0,2,activation)(2,1,inhibition)	132	296.3889073236409	34005.01002703403	0.8082900149802712
UP,NP,NP	(0,2,activation)(1,2,activation)(2,1,activation)(2,0,activation)	124	0.6580751848401353	1.708951840935175	2.220446049250313E-16
NP,PP,UP	(0,2,activation)(2,1,inhibition)(2,0,inhibition)	30	6.493125743324888	877.1496165869063	0.05960730507279366
