Motif_Nodes	Motif_edges	Num_occ_input_graph	Mean_analytical	Variance_analytical	Pval_analytical
PP,PP,NP	(0,2,activation)(1,2,activation)(2,1,activation)(2,0,activation)	3	0.016773664795770672	0.019835994871380516	1.1304305039816498E-5
NP,UP,NP	(0,2,activation)(0,1,activation)(1,0,activation)(2,1,activation)	1	3.854727917197194	43.66963873381011	0.4106293518984857
PP,UP,NP	(0,2,inhibition)(2,1,inhibition)	145	450.40849164743383	248290.21031214265	0.6458816969614471
UP,NP,NP	(0,2,inhibition)(2,1,activation)	22479	8384.621278189154	3290876.3275561333	1.4902916678494194E-9
UP,NP,NP	(0,2,inhibition)(2,1,inhibition)	3556	1715.6683047786253	2202351.001788464	0.11498561009788544
UP,NP,NP	(0,2,activation)(1,2,activation)(2,0,activation)	1247	59.32263605119046	1750.6297104763603	2.3869795029440866E-14
NP,NP,UP	(2,1,inhibition)(2,0,activation)	1722	6291.928952280482	1854711.9895470515	0.9999926009036404
NP,NP,UP	(0,2,activation)(1,2,activation)(2,1,activation)(2,0,activation)	94	1.1242977245317058	9.621176891714642	4.445873669212119E-10
NP,NP,UP	(2,1,inhibition)(2,0,inhibition)	15030	16888.292840957918	1.0125730259145153E8	0.5136166818634177
PP,PP,UP	(0,2,activation)(1,2,activation)	1665	943.0767838125405	295198.6253272607	0.10244198971822738
UP,NP,UP	(0,2,inhibition)(0,1,inhibition)(1,2,inhibition)	28	80.93658874394139	8621.911722477344	0.6155863145875375
PP,NP,UP	(0,2,activation)(2,1,activation)	2297	874.5278507780068	106767.20454721316	3.416064175172373E-4
UP,UP,NP	(0,2,activation)(0,1,inhibition)(1,2,activation)	15	74.73639270263271	425.17079260347964	0.9999352138192749
PP,NP,UP	(0,2,activation)(2,1,inhibition)	140	255.06086457520672	32359.183513173528	0.698860675067999
UP,NP,PP	(0,2,activation)(0,1,inhibition)(1,2,activation)	1	29.216662375139144	828.0615915924149	0.8449744626303232
PP,UP,NP	(0,2,activation)(2,1,activation)	2099	1165.3953631095344	86351.93699960061	0.002814200455673488
NP,UP,NP	(0,2,activation)(0,1,activation)(1,0,inhibition)(2,1,activation)	2	1.1242526288760568	12.822389347189077	0.12059518910449663
NP,UP,NP	(0,2,activation)(0,1,activation)(1,2,inhibition)(1,0,inhibition)	4	0.46182119624568835	6.059295168302347	0.03511025417335267
PP,PP,UP	(0,2,activation)(1,2,activation)(2,1,inhibition)(2,0,inhibition)	2	0.013848349840143062	0.09666348758633542	0.00194791179836995
NP,UP,PP	(0,2,inhibition)(1,2,inhibition)(2,0,activation)	47	6.5638038302904755	159.3573253686815	0.019587878342549048
NP,NP,UP	(0,2,activation)(0,1,activation)(1,2,activation)	832	1465.0340782774274	688551.6973590828	0.7592163995676432
PP,UP,NP	(0,2,activation)(2,1,activation)(2,0,inhibition)	28	0.973189087783111	12.831704201696311	0.0024385000368334353
NP,UP,PP	(0,2,inhibition)(2,1,inhibition)(2,0,inhibition)	12	47.04160873739904	15478.377734853746	0.23288783006934988
UP,NP,NP	(0,2,activation)(0,1,inhibition)(1,2,inhibition)	3	4.514184761392421	25.411028886975153	0.4589612485831319
NP,NP,UP	(0,2,inhibition)(2,1,activation)(2,0,activation)	15	45.25782836504603	1751.3062914983166	0.717799798418433
NP,UP,UP	(0,1,activation)(1,2,activation)(2,0,inhibition)	4	1.699916796990343	4.710125015039662	0.10649164143439016
NP,UP,UP	(0,1,activation)(1,2,activation)(2,0,activation)	14	5.828509149960382	24.27696409374262	0.0618725602455259
NP,UP,NP	(0,2,inhibition)(1,2,inhibition)	4294	10385.990604113334	1.6045211168897867E7	0.9582508129258162
UP,NP,PP	(0,2,inhibition)(2,1,inhibition)	1283	899.4482991172599	1093800.0152782178	0.2689336704115618
PP,NP,UP	(0,2,inhibition)(2,1,inhibition)	97	481.7561130499856	73802.21107495934	0.9591140906804971
UP,UP,NP	(0,2,activation)(1,2,activation)(2,0,activation)	1429	100.96273228978907	4878.55376118272	0.0
UP,UP,PP	(0,2,inhibition)(1,2,inhibition)(2,0,activation)	25	2.9349148856107106	64.55972330157601	0.030579482566131966
NP,UP,UP	(0,2,activation)(1,2,inhibition)	4404	2185.154546667026	530632.5752952341	0.0048263631783024286
PP,PP,NP	(0,2,activation)(1,2,inhibition)(2,1,activation)(2,0,activation)	1	0.0058675702234810365	0.006716648786368398	3.820837855965653E-4
UP,NP,UP	(0,2,activation)(0,1,activation)(1,2,activation)(1,0,activation)(2,0,activation)	3	0.14634800251654562	0.6794352528123948	0.01418079476522871
