Motif_Nodes	Motif_edges	Num_occ_input_graph	Mean_analytical	Variance_analytical	Pval_analytical
NP,UP,PP	(0,2,activation)(1,2,inhibition)(2,0,activation)	414	7.419203502057809	78.4821701456432	3.3306690738754696E-16
NP,UP,UP	(0,2,activation)(2,1,activation)	4702	1560.6908344647295	457898.14455763716	2.546353124402989E-4
NP,PP,UP	(0,2,activation)(0,1,activation)(1,0,activation)(2,1,activation)	25	0.4555053174981132	0.7034190153174692	5.773159728050814E-15
NP,UP,PP	(0,2,inhibition)(2,1,activation)	224	864.242493723186	128347.43335568183	0.986836108159334
NP,PP,UP	(0,2,activation)(0,1,activation)(1,0,activation)(2,1,inhibition)	2	0.03205002382587087	0.036146105440793844	1.6121076934305645E-4
PP,UP,PP	(0,2,inhibition)(1,2,inhibition)(2,0,activation)	84	2.484702169488403	38.128866766299225	1.8090535056858315E-5
UP,PP,PP	(0,1,activation)(1,0,activation)(2,1,activation)(2,0,activation)	12	2.5102655814006574	20.3360545952654	0.045492863813972106
NP,NP,PP	(0,2,activation)(1,2,activation)(2,1,activation)(2,0,activation)	156	0.29527946906826996	0.45228902315966957	4.440892098500626E-16
NP,NP,UP	(0,2,inhibition)(1,2,inhibition)	8218	2279.854369424659	2091383.597647814	0.0016011220176950225
NP,NP,NP	(0,2,activation)(1,2,activation)	12954	12327.127078467112	3.478764157670289E7	0.41125247066676174
UP,UP,NP	(0,2,activation)(1,2,inhibition)(2,0,activation)	133	5.582135215799855	85.1257340054585	5.214007285925248E-7
PP,UP,PP	(0,2,inhibition)(2,1,inhibition)	89	40.08365199631141	1129.1222423403299	0.08798273031631842
PP,UP,PP	(0,2,inhibition)(2,1,activation)	95	134.65681604393086	3172.517702240093	0.7389147115222559
UP,PP,PP	(0,2,activation)(0,1,activation)(1,2,activation)	802	305.1647985903071	6221.526587368644	5.833945254662964E-7
UP,PP,UP	(0,2,activation)(1,2,activation)(2,1,inhibition)(2,0,inhibition)	14	0.1430331378134558	0.5834991250937451	6.323841536770569E-5
PP,PP,PP	(0,2,activation)(0,1,activation)(1,2,activation)(1,0,inhibition)(2,0,activation)	1	1.2991361712208708E-4	1.310280461179481E-4	5.607598250190193E-7
UP,UP,NP	(0,2,activation)(1,2,activation)(2,0,activation)	1057	75.81534299628007	16851.782697520048	3.2596005217500057E-4
UP,PP,NP	(0,2,activation)(0,1,activation)(1,2,activation)(1,0,activation)	8	1.3361064931394524	3.8964189830829996	0.010253977967936811
NP,PP,NP	(0,2,inhibition)(1,2,inhibition)(2,1,inhibition)(2,0,inhibition)	2	0.1632062816210402	0.7330475567075883	0.02411871269078425
UP,PP,PP	(0,2,activation)(1,2,activation)(2,1,inhibition)(2,0,inhibition)	6	0.03202970221403473	0.045923474693052246	1.1663191793465089E-6
NP,PP,NP	(0,2,activation)(0,1,activation)(1,2,activation)(1,0,activation)	214	5.243674816449213	39.965952046754865	1.6653345369377348E-15
PP,UP,UP	(0,2,activation)(2,1,activation)(2,0,activation)	61	13.240315259526216	188.5345543160001	0.008081114889760377
PP,UP,UP	(0,2,activation)(0,1,activation)(1,2,inhibition)	2	2.9595621828710894	14.608232624803914	0.4041184569632792
NP,PP,PP	(0,1,activation)(1,2,activation)(2,0,activation)	202	9.919477689299034	28.47293338686515	6.661338147750939E-16
NP,PP,PP	(0,2,inhibition)(2,1,inhibition)(2,0,inhibition)	6	0.6512789899049415	5.906600647577876	0.03524421794455712
NP,PP,PP	(0,2,inhibition)(0,1,inhibition)(1,2,activation)	61	95.61222379309561	2639.3772154620674	0.7207239243407199
PP,PP,UP	(0,2,inhibition)(1,2,inhibition)(2,1,activation)(2,0,activation)	3	0.0018256454449878706	0.0018669645961722394	3.1639560971186143E-9
NP,PP,PP	(0,2,inhibition)(1,2,inhibition)	311	396.65039948170687	32522.432982553262	0.6475819545921295
NP,PP,NP	(0,1,activation)(1,0,activation)(2,1,activation)(2,0,activation)	229	4.829277612556313	66.14155610350011	4.4986236957811343E-13
UP,PP,NP	(0,2,inhibition)(0,1,inhibition)(1,2,inhibition)	25	11.297838597118307	60.07790750334942	0.05398343270411643
NP,UP,NP	(0,2,inhibition)(1,2,activation)	1494	5536.708201763763	4308997.617107987	0.9925313628473545
NP,PP,PP	(0,2,inhibition)(2,1,activation)(2,0,activation)	53	13.3202739462902	282.57327632630313	0.034471282835111916
NP,UP,NP	(0,2,inhibition)(1,2,inhibition)	3800	13017.837550540346	2.270158049984762E7	0.9915329357079569
NP,PP,PP	(0,2,inhibition)(0,1,activation)(1,2,inhibition)	110	1.3959903942703715	5.528505825268745	6.661338147750939E-16
UP,UP,NP	(0,2,inhibition)(2,1,inhibition)	3363	3580.472338695021	7848662.772355266	0.4499568491048771
PP,PP,UP	(0,2,inhibition)(1,2,inhibition)(2,1,inhibition)(2,0,inhibition)	1	1.901479746131843E-4	1.9227528828149617E-4	1.0695325247667142E-6
UP,NP,UP	(0,2,inhibition)(0,1,activation)(1,2,inhibition)	18	15.305967219698603	180.31672362954055	0.329161475658182
NP,UP,NP	(0,2,activation)(2,1,activation)	8844	3057.5859991508214	894904.9618478138	2.229157252231495E-6
NP,UP,NP	(0,2,activation)(1,2,inhibition)	12580	4056.241543884307	911747.4477722831	2.7203905794692673E-11
UP,PP,PP	(0,2,activation)(1,2,activation)(2,1,activation)(2,0,activation)	16	0.27089076598813455	0.3970370679061168	3.102729184689679E-11
PP,NP,UP	(0,2,activation)(0,1,inhibition)(1,2,inhibition)	27	0.22818709461930067	0.3932792356321589	1.7763568394002505E-15
PP,NP,UP	(0,2,activation)(0,1,inhibition)(1,2,activation)	12	9.187565513349682	71.05933997837845	0.2804440105738908
NP,PP,NP	(0,2,activation)(0,1,activation)(1,0,activation)(2,1,activation)	180	0.8923911453600939	1.905969679011588	7.771561172376096E-16
NP,NP,PP	(0,2,activation)(2,1,activation)	5330	4094.093011286061	764779.791873131	0.0852316598131091
UP,UP,NP	(0,2,activation)(2,1,activation)	17815	6832.307007630147	3338259.5933338925	1.6585238106214817E-6
UP,UP,NP	(0,2,activation)(1,2,inhibition)	17838	9063.845639212794	3755144.2070621997	6.840539938957058E-5
NP,NP,NP	(0,2,activation)(2,1,activation)(2,0,activation)	2720	86.15619603397064	8900.9420721659	3.11972669919669E-14
NP,NP,PP	(0,2,activation)(0,1,activation)(1,2,activation)(1,0,activation)(2,0,activation)	180	0.09132795601993954	0.25295480227513284	6.661338147750939E-16
UP,PP,UP	(0,2,activation)(0,1,activation)(1,2,activation)(1,0,activation)	6	2.0044237798521647	8.489297586379738	0.08258153675751223
NP,NP,PP	(0,2,inhibition)(2,1,activation)	632	1287.721315647547	258334.70165818697	0.9188768079517653
NP,NP,PP	(0,2,inhibition)(2,1,inhibition)	154	158.50977079210963	10454.757023261129	0.4499260380261647
PP,PP,NP	(0,2,activation)(0,1,activation)(1,2,activation)(1,0,activation)	94	1.5592168006101297	4.743288558918147	2.220446049250313E-16
PP,NP,UP	(0,2,inhibition)(1,2,inhibition)(2,0,inhibition)	4	0.4381927432934069	2.117609085447935	0.03014259076587711
PP,PP,PP	(0,2,inhibition)(2,1,activation)	333	165.8350480664102	4515.892821595702	0.01582592174013775
PP,PP,PP	(0,2,inhibition)(2,1,inhibition)	40	11.805289990287648	120.57320087928008	0.022457752220941596
NP,PP,NP	(0,2,activation)(1,2,activation)(2,1,activation)(2,0,activation)	206	1.129651634559462	18.871373670306326	8.671396933834785E-12
PP,UP,NP	(0,2,activation)(0,1,inhibition)(1,2,activation)	1	7.559532945603616	37.573281001535776	0.8531134208644774
PP,NP,UP	(0,2,activation)(2,1,activation)	4927	1600.8834482110094	324044.62531233253	8.17290003884974E-6
PP,NP,UP	(0,2,activation)(2,1,inhibition)	1021	637.866628711947	99292.66571088345	0.11795687239570696
PP,PP,PP	(0,2,activation)(1,2,activation)(2,0,inhibition)	18	2.078180887610025	22.56503066025921	0.018423508267621735
PP,PP,PP	(0,2,activation)(2,1,activation)(2,0,activation)	195	38.057629374898404	1095.1522067627334	0.0011218683265402651
PP,PP,NP	(0,2,activation)(0,1,activation)(1,2,activation)(1,0,activation)(2,0,activation)	180	0.035942847689266144	0.0414395911931792	1.1102230246251565E-16
PP,NP,UP	(0,2,activation)(2,1,activation)(2,0,activation)	77	19.72806973669406	383.165441021942	0.015513171268323744
PP,NP,UP	(0,2,activation)(1,2,activation)(2,0,inhibition)	26	15.704794597297926	1875.7430444627075	0.1568116067163452
PP,NP,UP	(0,2,inhibition)(2,1,activation)	568	476.53922697689757	17032.014815144154	0.22987639387260206
PP,NP,UP	(0,2,inhibition)(2,1,inhibition)	89	189.8754531445974	3712.917006253687	0.9682982225723337
NP,PP,UP	(0,2,activation)(1,2,activation)(2,1,activation)(2,0,activation)	28	0.643405247463796	3.3406478659731635	1.0398114279386306E-5
UP,UP,PP	(0,2,activation)(2,1,inhibition)(2,0,activation)	8	1.2238211820539988	16.96921949977093	0.05268410709065696
PP,PP,PP	(0,2,inhibition)(0,1,activation)(1,2,inhibition)(1,0,activation)	45	4.524616572234232E-4	5.072306333399599E-4	0.0
UP,UP,PP	(0,2,activation)(1,2,inhibition)(2,0,inhibition)	18	1.1272868060026562	11.360672975483526	0.007370330404637748
PP,PP,NP	(0,2,inhibition)(2,1,activation)	463	319.09307569540886	15125.486236520053	0.124450960961902
PP,PP,NP	(0,2,inhibition)(1,2,inhibition)	364	96.52358357574394	2456.771374620086	8.320502924552553E-5
NP,PP,UP	(0,1,inhibition)(1,0,activation)(2,1,inhibition)(2,0,activation)	3	0.13556112233626275	0.5121426851978425	0.011509031549215787
PP,PP,PP	(0,2,activation)(1,2,activation)(2,1,inhibition)(2,0,inhibition)	3	0.006742777968189715	0.0083712181317029	8.07185495288465E-6
PP,PP,PP	(0,1,activation)(1,0,activation)(2,1,inhibition)(2,0,activation)	1	0.007952229854679183	0.008154323200902255	1.2842578423510886E-4
NP,NP,PP	(0,2,inhibition)(0,1,inhibition)(1,2,activation)	80	183.9731644181689	8849.53135511552	0.8780718214212409
UP,UP,PP	(0,2,activation)(0,1,activation)(1,2,inhibition)	10	12.195926102806233	77.36003395531327	0.5038524683709931
UP,UP,PP	(0,2,inhibition)(2,1,inhibition)(2,0,activation)	8	0.282003383144795	3.7468058628965797	0.011881296691500176
UP,NP,UP	(0,2,activation)(2,1,activation)	20924	5196.271569384558	3242768.0142821595	2.1903132640943568E-9
UP,UP,PP	(0,2,activation)(2,1,activation)(2,0,activation)	105	17.55250866810435	256.23640100941645	4.3732815255403956E-4
UP,UP,PP	(0,2,activation)(1,2,inhibition)(2,0,activation)	124	3.787001545633086	38.11376621844	1.1935168409138441E-9
UP,UP,PP	(0,2,activation)(1,2,activation)(2,0,activation)	411	53.82209232609117	2079.3858211626693	8.916159281113778E-6
UP,UP,PP	(0,1,activation)(1,2,activation)(2,0,activation)	15	2.8758911685658766	7.603491625477345	0.0015962653885361888
UP,UP,PP	(0,2,activation)(0,1,activation)(1,2,activation)	96	173.3324512276342	4380.179816504075	0.8885119002991178
UP,UP,PP	(0,2,activation)(1,2,activation)(2,0,inhibition)	3	16.021365140614563	565.0588221976254	0.528087886501762
PP,PP,NP	(0,2,activation)(1,2,activation)	3755	5842.180964004575	7742324.571506113	0.7574588356433917
PP,PP,NP	(0,2,activation)(2,1,inhibition)	815	815.3562535992647	400827.6963506893	0.42086280581479474
UP,UP,PP	(0,2,inhibition)(0,1,inhibition)(1,2,inhibition)	21	27.806902519538603	100.6249944914149	0.7170418019695534
UP,UP,PP	(0,2,activation)(0,1,inhibition)(1,2,inhibition)	1	2.552488892922087	3.261015604700927	0.6844494475861669
UP,NP,UP	(0,2,inhibition)(2,1,inhibition)	1007	1994.9727283188624	138190.70391815994	0.9988578174356053
UP,NP,UP	(0,2,inhibition)(2,1,activation)	5575	5006.875538930681	450983.93493349105	0.19582584419952864
PP,UP,UP	(0,2,inhibition)(0,1,inhibition)(1,2,activation)	1	1.5186224515655653	3.1851715175075626	0.3874103216649928
PP,UP,UP	(0,2,inhibition)(1,2,inhibition)(2,0,inhibition)	20	0.7173416479072198	5.162594548540492	9.875621560554437E-4
UP,UP,NP	(0,2,inhibition)(0,1,inhibition)(1,2,activation)	118	36.94266436638978	132.6358191050715	1.2279049588226343E-7
UP,UP,NP	(0,2,inhibition)(1,2,inhibition)(2,0,inhibition)	14	17.26196956959683	1216.4511466584827	0.2812115769015604
UP,UP,PP	(0,2,activation)(0,1,inhibition)(1,2,inhibition)(1,0,inhibition)	1	0.010403502467231797	0.011183500474423494	4.086510989338432E-4
UP,UP,NP	(0,2,activation)(0,1,activation)(1,2,activation)(1,0,activation)	3	0.28623033055936403	0.6856180376040335	0.014869671374173166
UP,PP,UP	(0,1,activation)(1,0,activation)(2,1,inhibition)(2,0,inhibition)	1	0.015435162140236207	0.017525973778342172	0.0010073132702546062
PP,PP,PP	(0,2,activation)(0,1,activation)(1,2,activation)(1,0,activation)(2,0,activation)	121	0.025516197518083296	0.028297889060631427	2.220446049250313E-16
PP,UP,NP	(0,2,activation)(1,2,activation)(2,0,inhibition)	89	41.98322925120281	31561.6648713469	0.08438043929067551
PP,UP,NP	(0,2,activation)(2,1,activation)(2,0,activation)	325	51.962854790931324	2284.1203224742676	3.2400206669291887E-4
UP,PP,PP	(0,2,activation)(0,1,activation)(1,0,activation)(2,1,activation)	1	0.20433997272965326	0.26065884322671695	0.03249544409832239
UP,PP,NP	(2,1,activation)(2,0,activation)	6798	17726.52526356779	2.716975927148336E7	0.993726774793433
NP,PP,NP	(0,2,inhibition)(1,2,activation)	1068	1705.7662209189637	438147.4575179126	0.8327673540189482
PP,PP,PP	(0,2,activation)(0,1,activation)(1,2,activation)(1,0,activation)	62	1.018073033755425	2.1954332596645294	1.1102230246251565E-16
PP,PP,UP	(0,2,activation)(2,1,inhibition)	715	304.90024852431065	26504.29208503518	0.017855330286217663
PP,PP,UP	(0,2,activation)(2,1,activation)	2819	1323.1876100081706	231979.15720049874	0.004644836426215049
NP,PP,UP	(2,1,inhibition)(2,0,inhibition)	7755	5306.092042567354	896529.7376612686	0.008592466455065617
UP,UP,PP	(0,2,activation)(0,1,inhibition)(1,2,activation)	11	36.27679872869144	101.47109218469154	0.9987165253025971
PP,PP,PP	(0,2,activation)(1,2,inhibition)(2,0,activation)	32	0.6345734522188194	1.3942811342515764	1.4382939284018903E-12
PP,PP,PP	(0,2,activation)(2,1,inhibition)(2,0,inhibition)	6	1.0761227909682356	9.460766523622318	0.05865119280952058
PP,PP,PP	(0,2,activation)(1,2,inhibition)(2,1,activation)(2,0,activation)	2	0.010366869923772169	0.012189461472989126	6.874270643764113E-5
PP,PP,PP	(0,1,activation)(1,0,inhibition)(2,1,activation)(2,0,inhibition)	12	0.0029635565910621645	0.0030432966825484384	1.1102230246251565E-16
NP,UP,UP	(0,1,activation)(1,0,activation)(2,1,activation)(2,0,activation)	21	8.657798110394223	532.3094762250536	0.1337907464694087
NP,PP,PP	(0,1,activation)(1,2,inhibition)(2,0,activation)	2	0.7061372854516783	0.9611121082103409	0.05840833878026841
PP,PP,UP	(0,2,inhibition)(2,1,inhibition)	62	90.76046660311755	969.1710192415558	0.8153272846829118
PP,PP,UP	(0,2,inhibition)(2,1,activation)	426	393.8767694321183	12258.935546331777	0.36021894849744207
NP,NP,UP	(0,2,activation)(2,1,inhibition)(2,0,activation)	7	1.899923556550567	17.733657662771684	0.08981144109119976
PP,UP,PP	(0,2,activation)(2,1,inhibition)(2,0,activation)	65	2.1546291065923517	32.388927408333316	1.131207677146362E-4
UP,UP,NP	(0,2,inhibition)(2,1,activation)(2,0,inhibition)	1	2.205099416583027	47.12263901150271	0.164459500404046
NP,NP,UP	(0,2,inhibition)(2,1,inhibition)(2,0,inhibition)	1	8.991611138206519	158.52747982367285	0.5796452435040437
UP,PP,UP	(0,1,activation)(1,0,activation)(2,1,activation)(2,0,activation)	17	6.146259989368634	111.29251191771019	0.12238435466407771
