Motif_Nodes	Motif_edges	Num_occ_input_graph	Mean_analytical	Variance_analytical	Pval_analytical
NP,UP,PP	(0,2,activation)(1,2,inhibition)(2,0,activation)	9	7.954389450781912	114.30037999065924	0.3120187232854671
NP,UP,UP	(0,2,activation)(2,1,activation)	4571	1758.735784049176	561798.1852054638	0.001554748952502627
NP,UP,PP	(0,2,inhibition)(2,1,activation)	182	688.4258225621185	93021.11158716044	0.9791327867001256
PP,NP,NP	(0,2,inhibition)(2,1,activation)(2,0,activation)	21	12.554659414177106	730.7962781039284	0.19345339727021427
PP,UP,PP	(0,2,inhibition)(1,2,inhibition)(2,0,activation)	50	3.4611509379120506	82.81180818053134	0.006296074593595935
UP,PP,PP	(0,2,activation)(1,2,activation)(2,1,activation)(2,0,activation)	1	0.12001105158485548	0.16051574229062662	0.01830385806009105
NP,NP,PP	(0,2,activation)(1,2,activation)(2,1,activation)(2,0,activation)	6	0.3138263414510823	0.508160604078712	1.875451668144068E-4
NP,NP,UP	(0,2,activation)(2,1,activation)	10018	2997.314963532083	1084520.3105797768	6.788704385307653E-7
NP,NP,NP	(2,1,inhibition)(2,0,inhibition)	1678	37693.28132783768	3.2342576652876115E8	0.9989025906677503
UP,UP,NP	(0,2,activation)(1,2,inhibition)(2,0,activation)	247	7.54477947486919	114.02592971890724	4.641509399050392E-12
UP,UP,NP	(0,2,activation)(1,2,inhibition)(2,0,inhibition)	8	7.447106303802985	251.88610409610106	0.23842586845253833
PP,UP,PP	(0,2,inhibition)(2,1,activation)	40	165.52718063033424	12613.355656618489	0.8932043531486017
UP,PP,PP	(0,2,activation)(1,2,activation)(2,0,activation)	7	8.960280250720723	89.2321469124222	0.4481064214944738
PP,PP,PP	(0,2,activation)(0,1,activation)(1,2,activation)(1,0,inhibition)(2,0,activation)	1	6.001669544677292E-5	6.03494166125277E-5	1.672232178284716E-7
UP,UP,NP	(0,2,activation)(0,1,activation)(1,2,inhibition)	46	23.32561685183486	327.2088207533209	0.10972704592728877
UP,UP,NP	(0,2,activation)(2,1,activation)(2,0,activation)	307	38.19016491094423	1498.9531668256923	8.104296569444447E-5
UP,PP,PP	(0,2,activation)(1,2,activation)(2,1,inhibition)(2,0,inhibition)	4	0.26955463579373656	1.5693264664540638	0.020213075216999887
UP,PP,NP	(0,1,activation)(1,0,inhibition)(2,1,activation)(2,0,inhibition)	4	0.019748118453626947	0.027115030906721814	1.1954947490400158E-5
NP,PP,NP	(0,2,activation)(1,2,activation)(2,1,activation)(2,0,activation)	42	1.3383701579917928	17.466452988283184	4.924640490311383E-4
NP,PP,NP	(0,2,activation)(0,1,activation)(1,0,activation)(2,1,inhibition)	3	0.08291204770388598	0.11351450250894002	4.1801032667287963E-4
PP,UP,UP	(0,2,activation)(2,1,activation)(2,0,activation)	26	9.331164364201246	119.39462178049668	0.08035776293582542
PP,UP,UP	(0,2,activation)(1,2,activation)(2,0,inhibition)	71	34.57846079710009	11706.128265166528	0.12622846939956367
NP,PP,PP	(0,2,activation)(0,1,activation)(1,2,inhibition)	30	6.0469947520905905	65.13496129090214	0.01814632844575048
NP,PP,PP	(0,2,activation)(1,2,activation)(2,0,activation)	18	22.780959502324794	257.3476449559745	0.5363604282937662
NP,PP,PP	(0,2,inhibition)(0,1,inhibition)(1,2,activation)	145	57.65718952601949	1374.1258326493416	0.02505957140569548
PP,NP,NP	(0,2,inhibition)(0,1,inhibition)(1,2,activation)	427	49.142576345325935	2833.8013464188884	8.75383007181707E-5
PP,PP,UP	(0,2,inhibition)(1,2,inhibition)(2,1,activation)(2,0,activation)	1	0.0020483595541995817	0.002125025697098052	3.888224525416817E-5
NP,PP,PP	(0,2,inhibition)(1,2,inhibition)	258	592.9627301235479	179252.1468052797	0.7660936804243983
UP,PP,NP	(0,2,inhibition)(0,1,inhibition)(1,2,inhibition)	33	32.804344961710584	3611.990788410084	0.2865583560911913
NP,UP,NP	(0,2,inhibition)(1,2,activation)	2091	5239.034087628757	3808531.768372532	0.9685262831840963
NP,PP,PP	(0,2,inhibition)(1,2,activation)(2,0,activation)	1	2.0134348716675525	15.520859832731567	0.30335166156598925
NP,UP,NP	(0,2,inhibition)(1,2,inhibition)	3639	10285.64162670997	1.5616401910665646E7	0.976410910955218
NP,PP,PP	(0,2,inhibition)(0,1,activation)(1,2,inhibition)	29	1.9297683120473847	45.02891230843041	0.014804791827775166
UP,PP,PP	(0,2,inhibition)(1,2,inhibition)(2,1,activation)(2,0,activation)	10	0.009846856219938445	0.011133808697685666	1.2878587085651816E-14
UP,UP,NP	(0,2,inhibition)(2,1,inhibition)	2903	3147.094676776947	6015311.7265223805	0.4588997796118326
UP,UP,NP	(0,2,inhibition)(2,1,activation)	5686	3188.370670993572	749938.4503173511	0.005718937585543649
UP,NP,UP	(0,2,inhibition)(2,1,activation)(2,0,inhibition)	5	2.9237513810210225	37.79996000793603	0.18498520245494876
NP,UP,NP	(0,2,activation)(2,1,activation)	10003	4471.477180470002	1597594.091410078	1.819795798587709E-4
NP,UP,NP	(0,2,activation)(2,1,inhibition)	12363	4413.590351965416	1.0006184097836573E7	0.021750638444092973
NP,NP,NP	(0,2,activation)(1,2,inhibition)(2,0,inhibition)	15	3.1516245146533515	54.80725241305941	0.0683736452747411
PP,NP,UP	(0,2,activation)(2,1,inhibition)(2,0,inhibition)	28	7.44248697541079	1484.2975975654338	0.05461168757788348
PP,NP,UP	(0,2,activation)(2,1,inhibition)(2,0,activation)	1	1.2240225082369185	20.238688649998966	0.11645555478718728
NP,NP,PP	(0,2,activation)(2,1,inhibition)	543	578.1679345913359	429501.0391590989	0.3995553207304079
NP,NP,PP	(0,2,activation)(1,2,activation)	2568	7107.216264615378	2268760.7360855117	0.9998905147219657
UP,UP,NP	(0,2,activation)(2,1,activation)	21888	8981.35367164384	4787403.001967475	1.619820837017727E-6
UP,UP,NP	(0,2,activation)(2,1,inhibition)	1662	8865.082905016594	3.850034439744538E7	0.9112821317093214
NP,NP,NP	(0,2,activation)(1,2,activation)(2,0,inhibition)	15	43.39609829517588	23852.210480982052	0.13866042363196507
NP,NP,NP	(0,2,activation)(1,2,activation)(2,0,activation)	2883	126.78650797162737	26752.228190180274	1.122403503472924E-9
NP,NP,PP	(0,2,inhibition)(2,1,activation)	1348	1173.2455994593129	245580.49805954797	0.3285076955231908
NP,NP,PP	(0,2,inhibition)(2,1,inhibition)	411	183.1082301452401	82872.96393172076	0.1621546198358731
PP,PP,PP	(0,2,inhibition)(2,1,activation)	44	159.28619750312	11435.990319818928	0.87880079420564
PP,PP,PP	(0,2,inhibition)(1,2,inhibition)	47	71.28687341428146	8078.580671853143	0.4614332768721999
PP,NP,UP	(0,2,activation)(2,1,activation)	6262	1580.5318810074168	308233.2764117415	5.9570874899606E-9
PP,NP,UP	(0,2,activation)(2,1,inhibition)	474	561.0870786532577	140294.2950034758	0.5251719840643363
PP,PP,PP	(0,2,activation)(2,1,activation)(2,0,inhibition)	1	0.4463043744679527	4.810215319607868	0.061056172141016773
PP,PP,PP	(0,2,activation)(2,1,activation)(2,0,activation)	27	14.773474353814658	305.41885946288755	0.1890176785985238
PP,NP,UP	(0,2,activation)(2,1,activation)(2,0,activation)	41	15.902581177716975	318.5852342152399	0.09276899046704168
PP,NP,UP	(0,2,activation)(1,2,activation)(2,0,inhibition)	32	17.215311192807132	2917.378244369304	0.13006869933483678
PP,NP,UP	(0,2,inhibition)(2,1,activation)	793	711.3536273932717	174265.8145209704	0.36836403307425325
PP,NP,UP	(0,2,inhibition)(2,1,inhibition)	71	252.52975500189592	26109.661220897942	0.8924528310032909
NP,PP,UP	(0,2,activation)(0,1,activation)(1,0,activation)(2,1,activation)	36	0.3689789990438836	0.5349010843075748	0.0
UP,UP,PP	(0,2,activation)(0,1,inhibition)(1,2,activation)	2	27.20432774422427	82.28013058151726	0.9999547253264408
UP,UP,PP	(0,2,activation)(0,1,inhibition)(1,2,inhibition)	1	2.4937501295358837	3.723893342851908	0.6476354738729517
PP,PP,NP	(0,2,inhibition)(2,1,activation)	367	354.11934745287965	50668.1008863083	0.4132872244242636
PP,PP,NP	(0,2,inhibition)(1,2,inhibition)	168	142.72024462346926	31574.234601978384	0.3222915176255132
NP,NP,PP	(0,2,inhibition)(2,1,inhibition)(2,0,inhibition)	38	14.348059726716555	2996.3681296718787	0.09101324053263682
UP,UP,PP	(0,2,inhibition)(2,1,inhibition)(2,0,inhibition)	7	28.5618975177611	10414.820442553335	0.13959719312725383
UP,UP,PP	(0,2,activation)(0,1,activation)(1,2,inhibition)	18	11.23486333154075	91.21936269725158	0.1954113485503337
UP,UP,PP	(0,1,activation)(1,2,activation)(2,0,activation)	3	2.0231617949340137	4.457584301758342	0.20188680469686615
UP,UP,PP	(0,2,activation)(2,1,activation)(2,0,activation)	67	12.421416565814818	168.50130257109544	0.0032779448405255707
