Motif_Nodes	Motif_edges	Num_occ_input_graph	Mean_analytical	Variance_analytical	Pval_analytical
NP,UP,PP	(0,2,activation)(2,1,inhibition)(2,0,activation)	7980	12.090998542873438	3707.2124975960674	2.1538326677728037E-14
NP,UP,UP	(0,2,activation)(2,1,activation)	5056	2097.0247984499724	705067.2620345121	0.0022463768786163962
NP,UP,PP	(0,2,inhibition)(2,1,activation)	137	176.8600916578212	7915.553484784101	0.6310903954002474
PP,NP,NP	(0,2,inhibition)(0,1,activation)(1,2,activation)	105	10.081202275182251	159.220018737009	9.162406394014333E-5
PP,UP,PP	(0,2,inhibition)(1,2,inhibition)(2,0,activation)	24	10.492336283379373	373.0522243977773	0.15926288466381178
NP,NP,PP	(0,2,activation)(1,2,activation)(2,1,activation)(2,0,activation)	63	1.1129771868563685	51.356708037982955	0.0032054485873557192
NP,NP,PP	(0,2,activation)(0,1,activation)(1,2,activation)(1,0,inhibition)	6	0.08835624162406422	0.15191225003957512	3.494850194663002E-5
NP,NP,UP	(0,2,activation)(2,1,activation)	11852	3985.5056942916613	1658882.6843063198	2.7505347685030657E-6
NP,NP,PP	(0,2,activation)(1,2,activation)	1698	9734.077266757131	4.923808551969053E7	0.9082428688494794
UP,UP,NP	(0,2,activation)(1,2,inhibition)(2,0,activation)	247	8.889005452687647	133.39241608289547	9.39270883293375E-12
PP,UP,PP	(0,2,inhibition)(2,1,inhibition)	59	1673.2910224653892	2732745.9575457145	0.8519062786844543
PP,UP,PP	(0,2,inhibition)(2,1,activation)	86	675.5957517898488	134207.78291880648	0.9840021568569441
UP,PP,PP	(0,2,activation)(0,1,activation)(1,2,activation)	37	134.91137731058757	19096.646380576516	0.7049184038514131
UP,UP,NP	(0,2,activation)(0,1,activation)(1,2,inhibition)	46	30.373374422699708	458.78268402803053	0.2021256360238206
UP,UP,NP	(0,2,activation)(2,1,activation)(2,0,activation)	364	34.41564152414439	617.8747669540746	1.1485545847733647E-10
NP,PP,NP	(0,2,inhibition)(1,2,inhibition)(2,1,inhibition)(2,0,inhibition)	2	0.0016154557957413533	0.0017920224064457457	4.225353083531225E-6
UP,PP,PP	(0,2,activation)(1,2,activation)(2,1,inhibition)(2,0,inhibition)	4	3.098826626279136	336.90074912372387	0.05113069975210971
NP,PP,NP	(0,2,activation)(0,1,activation)(1,2,activation)(1,0,activation)	1	4.846310881043445	64.8522022115944	0.44253998304211595
PP,UP,UP	(0,2,activation)(2,1,activation)(2,0,activation)	10	6.966357930698162	97.85733773381168	0.2510148248101791
PP,UP,UP	(0,2,activation)(1,2,activation)(2,0,inhibition)	5	33.458585689730114	11738.190864789854	0.16878134673168743
NP,PP,PP	(0,2,activation)(0,1,activation)(1,2,inhibition)	12	12.295306610848664	237.4044973143097	0.36220291730095444
NP,PP,PP	(0,2,activation)(1,2,activation)(2,0,activation)	43	23.68433049312252	3608.304586275515	0.16404681939458765
NP,PP,PP	(0,2,inhibition)(1,2,inhibition)(2,0,inhibition)	2	1.413570496310359	18.86330852705895	0.13659107285398642
NP,PP,PP	(0,2,inhibition)(1,2,inhibition)(2,0,activation)	8	1.7818385306639508	19.132058067631363	0.07368525354015198
PP,NP,NP	(0,2,inhibition)(0,1,inhibition)(1,2,activation)	503	348.5172526060032	30505.81183331595	0.17849313845156634
PP,NP,NP	(0,2,inhibition)(2,1,inhibition)(2,0,inhibition)	12	0.9695222227122816	6.258005408483142	0.008894842091433874
PP,PP,UP	(0,2,inhibition)(1,2,inhibition)(2,1,activation)(2,0,activation)	1	0.028195222990560313	0.03580543149135957	0.003185021317894665
NP,PP,PP	(0,2,inhibition)(1,2,inhibition)	428	528.8266810282905	58612.21427756746	0.6233958124732883
NP,PP,NP	(0,2,activation)(0,1,activation)(1,0,activation)(2,1,activation)	42	1.0765447203453264	9.061434257590097	2.599235576694614E-5
UP,PP,NP	(0,2,inhibition)(0,1,inhibition)(1,2,inhibition)	43	193.10756786333297	42853.88803025888	0.708510132489385
NP,UP,NP	(0,2,inhibition)(1,2,activation)	1957	1633.8863699142407	138722.71811206453	0.188293321602079
NP,PP,PP	(0,1,inhibition)(1,2,activation)(2,0,activation)	3	0.32679248484394097	0.43250053226814245	0.0033709384560038913
NP,UP,NP	(0,2,inhibition)(1,2,inhibition)	3315	2854.042503820768	520623.81103009824	0.2493268955237613
NP,PP,PP	(0,2,inhibition)(0,1,activation)(1,2,inhibition)	33	1.4239487719333908	5.335564950266747	3.474889642696155E-7
UP,UP,NP	(0,2,inhibition)(1,2,inhibition)	20245	11509.064750518231	8473466.797122538	0.004205434138632169
PP,PP,UP	(0,2,inhibition)(1,2,inhibition)(2,1,inhibition)(2,0,inhibition)	1	0.025617202655700753	0.044398306106924634	0.0051084926407171105
NP,UP,NP	(0,2,activation)(2,1,activation)	10559	5496.003582832228	1492992.8304334804	2.153480118776141E-4
NP,UP,NP	(0,2,activation)(2,1,inhibition)	1624	1286.6364606417385	107359.19945252105	0.15120388963469922
NP,NP,NP	(0,2,activation)(0,1,inhibition)(1,2,inhibition)	24	0.21660098301020256	0.2438636339864922	0.0
PP,NP,UP	(0,2,activation)(0,1,inhibition)(1,2,inhibition)	15	0.22713093806576493	0.3593541387005141	5.50672618615522E-10
PP,NP,UP	(0,2,activation)(0,1,inhibition)(1,2,activation)	5	46.52404116895629	3869.6908354461757	0.626362701532551
NP,NP,PP	(0,2,activation)(2,1,inhibition)	944	2184.4977635235405	5413862.9008968035	0.6126210503992267
NP,NP,PP	(0,2,activation)(2,1,activation)	5205	2753.610304795768	2074856.3105278704	0.06111211392724791
