Motif_Nodes	Motif_edges	Num_occ_input_graph	Mean_analytical	Variance_analytical	Pval_analytical
PP,UP,NP	(0,2,activation)(0,1,inhibition)(1,2,activation)	8	17.134664473269673	401.17634677394585	0.5481823145921427
PP,UP,NP	(0,2,activation)(1,2,inhibition)(2,0,inhibition)	40	2.155354085845641	55.56588724643343	0.008498456001953425
PP,UP,UP	(0,2,activation)(2,1,activation)	3773	1148.9907560782829	244780.46810930688	5.863880684342515E-5
PP,NP,UP	(0,2,activation)(0,1,activation)(1,0,activation)(2,1,activation)	10	0.36173532126337465	0.868745191010928	8.820519528540682E-5
PP,UP,NP	(0,2,activation)(1,2,inhibition)	6101	2576.545097018586	436445.1203510966	1.0472216056989225E-5
NP,PP,PP	(0,2,inhibition)(0,1,activation)(1,2,activation)	16	3.108194726008586	19.07724916158834	0.018101400410376223
NP,UP,NP	(0,2,inhibition)(2,1,inhibition)(2,0,activation)	5	1.407605543585866	226.24587266897964	0.01622403653661919
UP,NP,NP	(0,1,activation)(1,0,activation)(2,1,activation)(2,0,activation)	51	5.84101081703992	313.849074822011	0.03491342905961203
PP,PP,NP	(0,2,activation)(1,2,activation)(2,1,activation)(2,0,activation)	59	0.5228825443501485	6.971888702667262	1.3756193758540647E-5
PP,PP,UP	(0,2,inhibition)(1,2,inhibition)	598	386.7390698414041	103054.92342950488	0.2181701978529461
PP,PP,NP	(0,2,activation)(1,2,activation)	2637	5093.183469102972	7629194.876533989	0.808443794678638
UP,UP,PP	(0,2,activation)(1,2,inhibition)(2,0,activation)	179	6.451487867428366	94.35953335661301	2.751706862369474E-9
UP,UP,PP	(0,2,activation)(1,2,inhibition)(2,0,inhibition)	18	4.975682530715147	136.23542180591414	0.09860963503976461
NP,UP,NP	(0,2,inhibition)(2,1,inhibition)	71	548.0133791361955	516857.5257238274	0.6337864978417715
NP,UP,NP	(0,2,inhibition)(2,1,activation)	132	703.7917847807967	130946.90696842957	0.9776686209871969
UP,NP,NP	(0,2,activation)(1,2,activation)(2,0,activation)	314	25.663218582828137	2582.729357267646	0.0026410789686673874
UP,NP,UP	(0,2,activation)(1,2,activation)(2,1,inhibition)(2,0,inhibition)	2	0.8053256676471073	116.39936787761552	0.010707174230514926
UP,UP,PP	(0,2,activation)(0,1,activation)(1,2,inhibition)	38	22.458930415115564	380.9980227098093	0.18243037951605223
UP,UP,PP	(0,2,activation)(2,1,activation)(2,0,activation)	240	20.30348852091362	317.0328666055049	6.6052490144130616E-9
UP,NP,PP	(0,2,activation)(0,1,activation)(1,2,activation)(1,0,activation)	5	1.6916762098859062	7.801549541251974	0.09615326165919147
UP,UP,PP	(0,2,activation)(0,1,inhibition)(1,2,inhibition)(1,0,inhibition)	1	0.06263901309793815	0.12383903888142377	0.014102568231221024
PP,NP,PP	(0,2,activation)(0,1,activation)(1,0,activation)(2,1,activation)	21	0.6761730135374392	2.28480367502004	4.984560719512032E-6
NP,UP,UP	(0,2,activation)(2,1,activation)(2,0,activation)	118	13.978349704676608	212.96965514465384	6.885811548729137E-5
NP,UP,UP	(0,2,activation)(1,2,activation)(2,0,inhibition)	3	63.066140235354396	36618.62985837247	0.19315938341142624
PP,NP,NP	(0,1,activation)(1,2,activation)(2,0,inhibition)	7	1.9771491515193078	7.924202683382344	0.05482405038617166
PP,NP,NP	(0,2,activation)(1,2,activation)(2,0,activation)	272	47.97091913948482	6763.091742971499	0.028591044329032478
PP,NP,NP	(0,2,inhibition)(2,1,inhibition)(2,0,inhibition)	3	22.627898072109147	3830.3620455203927	0.2262848308637766
UP,PP,NP	(0,2,activation)(0,1,activation)(1,0,activation)(2,1,activation)	3	0.25235809109537455	0.3325871595690182	0.0020032791372331937
PP,NP,NP	(0,2,inhibition)(1,2,inhibition)(2,0,activation)	6	4.8275903167940815	65.41441734733039	0.26097279836230836
PP,NP,NP	(0,2,inhibition)(1,2,inhibition)	435	1285.1269163105285	664262.2289470029	0.865729305211782
PP,NP,PP	(0,1,activation)(1,0,activation)(2,1,activation)(2,0,activation)	6	2.169797406781931	18.02635829711957	0.12138608831812325
UP,NP,PP	(0,2,inhibition)(0,1,inhibition)(1,2,inhibition)	89	94.04605972200791	14415.676040154676	0.375989858937369
PP,UP,PP	(0,2,inhibition)(2,1,activation)	150	473.7243974933046	55001.04790262706	0.944903482950356
PP,NP,NP	(0,1,inhibition)(1,2,activation)(2,0,activation)	14	2.6816086779667554	9.980136328327866	0.007005618464020702
PP,UP,PP	(0,2,inhibition)(1,2,inhibition)	2007	3430.978679576006	2434552.795637315	0.8166714915680648
PP,NP,NP	(0,1,inhibition)(1,2,activation)(2,0,inhibition)	4	0.5971616281435722	1.906946626254416	0.0289432818407781
UP,NP,NP	(0,2,inhibition)(0,1,inhibition)(1,2,inhibition)	33	125.93346361025228	26649.700370595452	0.5884632888124635
UP,UP,PP	(0,2,inhibition)(1,2,inhibition)	10659	7762.276217040752	4412610.234769031	0.09131744629024507
NP,NP,UP	(0,2,inhibition)(1,2,inhibition)(2,1,inhibition)(2,0,inhibition)	1	0.011137159036659237	0.016317870223271455	0.0017302397114030699
UP,PP,UP	(0,2,inhibition)(0,1,activation)(1,2,inhibition)	3	10.533729865486247	131.32827745245214	0.6498371632919191
PP,UP,PP	(0,2,activation)(1,2,activation)	18960	32225.60710529964	2.545925089303887E7	0.9983103082200717
PP,UP,PP	(0,2,activation)(2,1,inhibition)	2168	1656.441983227186	1611305.6102261832	0.2879302408988842
UP,NP,NP	(0,2,activation)(1,2,activation)(2,1,activation)(2,0,activation)	16	0.4795644457242749	5.704487223173872	0.005373456919775754
NP,PP,UP	(0,2,activation)(2,1,inhibition)(2,0,inhibition)	2	12.679761990221321	3028.2886509122254	0.09876131735533733
NP,PP,UP	(0,2,activation)(0,1,inhibition)(1,2,activation)	6	18.7579389525999	679.2414576212389	0.5242102011299746
PP,NP,PP	(0,2,activation)(0,1,activation)(1,2,activation)(1,0,activation)	7	3.9371202231381948	22.704762101397037	0.1845319728307303
PP,PP,NP	(0,2,activation)(2,1,activation)	4201	2540.5793262026878	488773.52391711157	0.016210953415681018
UP,UP,PP	(0,2,activation)(2,1,activation)	11193	7277.298723842123	2645850.2948254123	0.013917940677783514
UP,UP,PP	(0,2,activation)(2,1,inhibition)	1199	5612.585635296312	1.6694182051414568E7	0.8854194570389673
PP,PP,PP	(0,2,activation)(2,1,activation)(2,0,activation)	263	52.37296174607888	1805.4109273066397	6.915278290255955E-4
