Motif_Nodes	Motif_edges	Num_occ_input_graph	Mean_analytical	Variance_analytical	Pval_analytical
PP,PP,NP	(0,2,activation)(1,2,activation)(2,1,activation)(2,0,activation)	31	0.1385373018901043	0.22849527149359627	0.0
NP,UP,PP	(0,1,activation)(1,2,inhibition)(2,0,activation)	3	1.620399905509646	4.028891600504076	0.15283193475029666
NP,UP,NP	(0,2,activation)(0,1,activation)(1,2,activation)(1,0,activation)	20	2.6330743006849	11.745744066732417	0.0015538812096727028
PP,UP,NP	(0,2,inhibition)(2,1,inhibition)	234	411.28718455831086	232607.50417657915	0.5185300418146088
UP,NP,NP	(0,2,inhibition)(2,1,activation)	18255	5827.081407153914	2041349.005855143	1.1774414776510866E-10
UP,NP,NP	(0,2,inhibition)(2,1,inhibition)	2507	1198.9398370291813	1360513.9283411119	0.13036265092398347
UP,NP,NP	(0,2,activation)(1,2,activation)(2,0,activation)	930	36.904937867351926	888.6623639344562	0.0
NP,UP,PP	(0,2,activation)(0,1,inhibition)(1,2,inhibition)	8	1.3806181806775242	4.523730564667446	0.01439055092396091
NP,NP,UP	(2,1,inhibition)(2,0,activation)	737	4195.915855250084	1141980.202161979	0.9999959913499971
NP,NP,UP	(0,2,activation)(0,1,activation)(1,2,activation)(1,0,activation)	66	10.843578111552457	229.81628730921926	0.009747705982492527
NP,NP,UP	(2,1,inhibition)(2,0,inhibition)	11629	18318.115950838044	9.966902032091928E7	0.7227438783178239
PP,PP,UP	(0,2,activation)(2,1,activation)	1945	595.7128111052073	54407.98338575137	1.3648785433972854E-5
PP,PP,UP	(0,2,activation)(2,1,inhibition)	988	221.85840454836983	32468.50241285786	0.0020269298489179466
PP,NP,UP	(0,2,activation)(2,1,activation)	4391	1229.9633492629616	191410.02219239855	2.036845226927042E-7
UP,UP,NP	(0,2,activation)(2,1,inhibition)(2,0,activation)	7	4.054652204896081	613.0126406790741	0.04741736898112925
PP,NP,UP	(0,2,activation)(2,1,inhibition)	733	411.61140727046677	105683.70095445958	0.15336711050188778
UP,NP,PP	(0,2,activation)(2,1,inhibition)(2,0,activation)	10	1.293399579264057	104.2451398560962	0.024443527879994154
PP,UP,NP	(0,2,activation)(2,1,activation)	3434	1708.1125578348353	174508.9845591043	2.6076231907523617E-4
UP,PP,PP	(0,2,activation)(0,1,activation)(1,2,inhibition)	92	16.230499454990852	414.4435282250793	0.007856602518722444
PP,PP,UP	(0,2,activation)(1,2,activation)(2,1,inhibition)(2,0,inhibition)	11	0.07471764435673674	1.5271254580359588	0.0023746957969781324
UP,PP,PP	(0,1,activation)(1,2,activation)(2,0,activation)	2	1.6474299706446591	3.135035632483011	0.25079140524371724
NP,NP,UP	(0,2,activation)(0,1,activation)(1,2,activation)	634	1032.1105207872913	367061.3815679732	0.7147329127234692
PP,UP,NP	(0,2,activation)(2,1,activation)(2,0,inhibition)	28	1.3835587262887186	22.162781108946948	0.0059996770559280765
NP,UP,PP	(0,2,inhibition)(2,1,inhibition)(2,0,inhibition)	12	38.45756910283459	12000.672130615758	0.20355298830421387
UP,NP,NP	(0,2,activation)(0,1,inhibition)(1,2,inhibition)	1	2.903300773762307	13.843056149633666	0.5070167130059543
NP,NP,UP	(0,2,inhibition)(0,1,activation)(1,2,activation)	42	1.9830186828970326	8.359203330168818	1.1542698075128754E-7
NP,NP,UP	(0,2,inhibition)(0,1,activation)(1,2,inhibition)	291	4.815237140081574	179.33977175902254	1.713585497942205E-7
NP,UP,UP	(0,1,activation)(1,2,activation)(2,0,activation)	17	4.610745202722526	16.31159296844249	0.009788642958781124
NP,PP,UP	(0,2,activation)(0,1,activation)(1,2,activation)(1,0,activation)	2	4.5612444103233765	35.316960776976565	0.4887958228907483
NP,UP,NP	(0,2,inhibition)(1,2,inhibition)	2572	7162.8428052466425	9912829.70343288	0.9536207290372051
NP,PP,PP	(0,2,activation)(2,1,activation)	967	1561.6996764659984	318550.98097585	0.8590194513868848
UP,NP,PP	(0,2,inhibition)(2,1,inhibition)	1904	933.660574971821	917223.2693955846	0.14547074696455609
