Motif_Nodes	Motif_edges	Num_occ_input_graph	Mean_analytical	Variance_analytical	Pval_analytical
PP,UP,NP	(0,2,activation)(2,1,inhibition)(2,0,activation)	9124	6.656455547096147	1208.4537223362684	6.772360450213455E-15
PP,UP,NP	(0,2,activation)(2,1,inhibition)(2,0,inhibition)	4	217.26405593068216	91532.4213142386	0.6356815713104205
PP,UP,UP	(0,2,activation)(1,2,activation)	15496	44525.88056595275	4.7542956422757745E8	0.9350566244796248
PP,UP,NP	(0,2,inhibition)(2,1,activation)	417	253.45675257784666	10092.225157921159	0.06451313991074537
NP,UP,NP	(0,2,inhibition)(1,2,inhibition)(2,0,activation)	26	27.31987229680608	1032.1775389659938	0.38467711346751465
UP,NP,NP	(0,1,activation)(1,0,activation)(2,1,activation)(2,0,activation)	149	10.87822082392169	636.1517114990877	0.004136971200425221
PP,PP,NP	(0,2,activation)(1,2,activation)(2,1,activation)(2,0,activation)	84	0.2821469511608472	1.3916618878651568	2.220446049250313E-16
PP,PP,UP	(0,2,inhibition)(1,2,inhibition)	96	52.601448090969086	649.4686071046685	0.058444492486908306
PP,PP,NP	(0,2,activation)(1,2,activation)	2123	3621.0798085665992	2485380.599125622	0.8291082612490384
UP,UP,PP	(0,2,activation)(0,1,inhibition)(1,2,activation)	6	33.79873795892405	137.28456396278352	0.9989628348407686
UP,UP,PP	(0,2,activation)(0,1,inhibition)(1,2,inhibition)	1	3.744305046238457	7.168464614555763	0.7883965762819362
NP,UP,NP	(0,2,inhibition)(2,1,inhibition)	98	1211.1420709157865	1554702.121217009	0.8048331979585088
NP,UP,NP	(0,2,inhibition)(2,1,activation)	188	1297.8993310223993	318883.41482049436	0.9962321946913641
UP,NP,NP	(0,2,activation)(0,1,activation)(1,2,inhibition)	48	53.23989993737252	1895.4639476751727	0.4583612515047113
NP,NP,UP	(0,2,activation)(0,1,activation)(1,2,activation)(1,0,activation)(2,0,inhibition)	2	0.01712974293846566	0.028225740206968268	8.003049724554234E-4
UP,UP,PP	(0,2,activation)(0,1,activation)(1,2,inhibition)	64	17.67997411742996	237.6936963558648	0.012355797551717784
UP,UP,PP	(0,2,activation)(1,2,activation)(2,0,activation)	58	37.02977168275561	1364.5031612453024	0.22796325603536594
PP,UP,UP	(0,2,inhibition)(1,2,activation)(2,0,inhibition)	18	0.30996525221954085	20.088872447303405	0.005393888867540775
UP,UP,PP	(0,2,activation)(0,1,inhibition)(1,2,inhibition)(1,0,inhibition)	1	0.04754453926789903	0.08326131444731918	0.009700420631303053
UP,NP,PP	(0,1,activation)(1,0,inhibition)(2,1,activation)(2,0,inhibition)	2	0.017073130005409366	0.02360915238360796	3.950182471073038E-4
PP,NP,PP	(0,2,activation)(1,2,activation)(2,1,activation)(2,0,activation)	2	0.21221279615802066	0.32607799613812327	0.01150236168592822
NP,UP,UP	(0,2,activation)(2,1,activation)(2,0,activation)	294	21.56172467528442	383.27735785764946	7.179806749135764E-10
NP,UP,UP	(0,2,activation)(0,1,activation)(1,2,inhibition)	2	8.162486562724997	106.48789489277003	0.586779981272221
PP,NP,NP	(0,2,activation)(1,2,activation)(2,0,inhibition)	20	18.749936601918456	5687.385481298995	0.10242281647469542
PP,NP,NP	(0,2,activation)(2,1,activation)(2,0,activation)	2321	70.26963818234232	4178.804235175479	8.104628079763643E-15
PP,NP,NP	(0,2,inhibition)(0,1,inhibition)(1,2,inhibition)	5	5.052388503801429	59.360735072207916	0.3150061761095081
PP,NP,NP	(0,2,inhibition)(0,1,inhibition)(1,2,activation)	679	3.2444268515824324	8.10062871080068	5.551115123125783E-16
NP,PP,PP	(0,2,inhibition)(0,1,inhibition)(1,2,activation)	1	79.474719408207	2570.331517120153	0.9890651787053006
PP,NP,NP	(0,2,inhibition)(1,2,inhibition)	318	619.4603330214053	78793.03524187469	0.8673841796874731
PP,NP,PP	(0,2,activation)(0,1,inhibition)(1,2,activation)(1,0,activation)	1	0.05026250098812483	0.10069492704969905	0.011361713054414135
PP,NP,PP	(0,2,activation)(0,1,activation)(1,0,activation)(2,1,activation)	24	0.2982650971529872	0.5276069422838328	4.0389913635863195E-13
UP,NP,PP	(0,2,inhibition)(0,1,inhibition)(1,2,inhibition)	83	161.70700851080045	30836.54174601309	0.5677955510953856
PP,UP,PP	(0,2,inhibition)(2,1,activation)	58	137.4276682874624	3442.3364280032984	0.9326030207401689
PP,NP,NP	(0,2,inhibition)(0,1,activation)(1,2,activation)	84	1.0782330187586069	1.7519540191144292	0.0
PP,UP,PP	(0,2,inhibition)(1,2,inhibition)	2156	1475.0729948977607	309820.653520138	0.1161515404769633
PP,NP,NP	(0,2,inhibition)(0,1,activation)(1,2,inhibition)	12	1.6790799600669268	9.683897329944944	0.015442543428018207
UP,NP,NP	(0,2,inhibition)(1,2,activation)(2,1,activation)(2,0,activation)	2	0.07743676942027157	0.1470784234213413	0.005605534432736925
UP,UP,PP	(0,2,inhibition)(2,1,inhibition)	1196	639.9716620708404	141682.11505322304	0.08444789865699187
UP,UP,PP	(0,2,inhibition)(2,1,activation)	4298	1690.4963869340913	269007.5243482613	4.1360387499467244E-5
UP,PP,UP	(0,2,inhibition)(2,1,activation)(2,0,inhibition)	7	1.9716171416366166	17.243376753098122	0.09178998839948649
PP,UP,PP	(0,2,activation)(2,1,activation)	2783	957.7106177986005	77594.22099010565	4.750551183541063E-7
PP,UP,PP	(0,2,activation)(2,1,inhibition)	175	362.5607606101069	29363.720068849245	0.873841444472252
UP,NP,NP	(0,2,activation)(1,2,activation)(2,1,activation)(2,0,activation)	124	1.1066421924821146	13.175257070885744	6.147878872653223E-10
NP,PP,UP	(0,2,activation)(0,1,inhibition)(1,2,inhibition)	24	0.18735153309231517	0.28512283299778496	1.1102230246251565E-16
NP,PP,UP	(0,2,activation)(2,1,inhibition)(2,0,activation)	8	1.6997483029211786	30.16626712982566	0.07304984495533196
PP,PP,NP	(0,2,activation)(2,1,inhibition)	953	703.2340078086269	327103.066154692	0.27507804979281847
PP,PP,NP	(0,2,activation)(2,1,activation)	3421	1988.1649092600783	251070.0419013477	0.005708690050529097
UP,UP,NP	(0,2,activation)(1,2,activation)(2,1,activation)(2,0,activation)	38	0.2428170496028819	1.11584746937009	9.239179976638923E-9
UP,UP,PP	(0,2,activation)(2,1,activation)	6917	4451.347194821999	1099194.1235933825	0.01590547897617678
UP,UP,PP	(0,2,activation)(2,1,inhibition)	516	1685.1476789554788	522654.173036064	0.9736264525956525
PP,PP,PP	(0,2,activation)(1,2,activation)(2,0,activation)	7	8.587998481633768	120.40826561762209	0.3970588875068647
UP,NP,UP	(0,1,activation)(1,0,activation)(2,1,activation)(2,0,activation)	25	12.6342723703238	839.6350161790208	0.16786812241045812
PP,PP,NP	(0,2,inhibition)(2,1,activation)	734	248.89834520903946	9171.188948919778	7.108392977817068E-5
PP,PP,NP	(0,2,inhibition)(2,1,inhibition)	594	88.03785844074127	10301.604522474681	0.0015901295957040373
NP,NP,PP	(0,2,activation)(0,1,activation)(1,2,activation)(1,0,activation)	59	3.52321827027508	29.55579811106099	1.2340275877598117E-5
NP,NP,NP	(0,2,inhibition)(2,1,activation)	1320	2037.0040519184354	738123.9637353844	0.7897743913740373
NP,NP,NP	(0,2,inhibition)(2,1,inhibition)	77	628.5923372734301	429639.30952358263	0.7755402568407835
PP,UP,PP	(0,2,inhibition)(0,1,inhibition)(1,2,activation)(1,0,inhibition)	2	0.0027964963728068113	0.0030950558801492827	7.149814975293545E-6
PP,UP,PP	(0,2,inhibition)(1,2,inhibition)(2,1,activation)(2,0,activation)	10	0.009166960884945754	0.010547399457855298	4.007905118896815E-14
NP,PP,UP	(0,2,activation)(2,1,activation)	2826	1812.5246062748263	402984.3406245252	0.06692197137239153
NP,PP,UP	(0,2,activation)(2,1,inhibition)	1154	688.345834200708	275529.8442485223	0.17248598795832903
NP,NP,NP	(0,1,activation)(1,2,activation)(2,0,inhibition)	6	7.303263787028094	55.07237442837692	0.43519825694788783
NP,NP,NP	(0,2,activation)(2,1,activation)(2,0,activation)	2321	148.54829665760477	18803.08426280167	3.831557293665355E-11
NP,NP,PP	(0,2,activation)(0,1,activation)(1,2,activation)(1,0,activation)(2,0,activation)	110	0.09043570453952686	0.19941459120039443	0.0
NP,PP,UP	(0,2,activation)(2,1,activation)(2,0,activation)	61	21.173938105605952	347.10890083529495	0.03826508064451539
NP,PP,UP	(0,2,inhibition)(2,1,activation)	525	1691.3675450470114	379027.7244235757	0.9895721625504855
NP,PP,UP	(0,2,inhibition)(2,1,inhibition)	48	642.3337921619687	77865.40921976819	0.9991562812807689
PP,NP,UP	(0,1,activation)(1,0,activation)(2,1,activation)(2,0,activation)	11	4.66744616951324	54.15381547745494	0.1436391607365407
UP,UP,NP	(0,2,activation)(2,1,inhibition)(2,0,activation)	7	6.175113495502481	1113.131992123416	0.06110420789817994
NP,NP,NP	(0,2,inhibition)(0,1,activation)(1,2,inhibition)(1,0,activation)	2	0.020387822183111536	0.8845224163761077	8.374083677233912E-4
UP,UP,NP	(0,2,activation)(1,2,inhibition)(2,0,inhibition)	8	7.184159148911677	240.25878474736632	0.2321886241033807
NP,NP,PP	(0,2,inhibition)(2,1,activation)	905	1104.4910593229608	232038.90191658982	0.6247730841357247
NP,NP,PP	(0,2,inhibition)(1,2,inhibition)	682	1572.2359862079957	1389136.0876226607	0.7492375072029517
PP,NP,UP	(0,2,inhibition)(0,1,activation)(1,2,inhibition)(1,0,activation)	22	0.005144905569791548	0.020305623641182016	2.3706348328822457E-8
UP,UP,NP	(0,2,activation)(0,1,activation)(1,2,inhibition)	6	25.08502260000236	458.852136228464	0.7982991171900156
UP,UP,NP	(0,2,inhibition)(2,1,activation)(2,0,activation)	2	13.761673432311374	502.9029088390891	0.482692583119808
UP,PP,UP	(0,2,activation)(2,1,activation)	7796	4055.192926759762	1943013.442745313	0.010111430133927013
UP,UP,NP	(0,2,activation)(2,1,activation)(2,0,activation)	327	41.535432890426435	1731.8756246028952	8.677309333671168E-5
UP,UP,NP	(0,2,activation)(1,2,inhibition)(2,0,activation)	247	7.698779174833287	108.41577633695778	9.742207041085749E-13
UP,UP,NP	(0,2,activation)(1,2,activation)(2,0,activation)	1483	110.02258912989753	24419.391417736788	4.071901221558427E-5
UP,UP,NP	(0,1,activation)(1,2,activation)(2,0,activation)	17	4.557678596339839	15.932139686218495	0.009121711977310043
PP,UP,PP	(0,2,activation)(1,2,inhibition)(2,0,activation)	22	4.422011476526495	86.32120920079348	0.0570696532458973
UP,UP,NP	(0,2,activation)(1,2,activation)(2,0,inhibition)	1	102.6681987279652	152216.1483245677	0.12909061056309923
UP,UP,NP	(0,2,activation)(0,1,activation)(1,2,activation)	189	358.48789426981034	36740.96568266796	0.805726350014263
UP,NP,PP	(0,2,inhibition)(0,1,activation)(1,2,inhibition)	41	18.652136385657318	417.4096258647175	0.1293837870443858
NP,NP,PP	(0,2,activation)(1,2,activation)	3850	6957.185822556852	2289245.8929675	0.989041379417518
NP,NP,PP	(0,2,activation)(2,1,inhibition)	931	390.91681276949146	33581.54728096156	0.007896894072930039
UP,PP,UP	(0,2,inhibition)(2,1,inhibition)	913	1542.9920792382632	215279.36415645573	0.9261400361915234
UP,PP,UP	(0,2,inhibition)(2,1,activation)	3670	4062.9447756504364	415182.8538698461	0.7203276144946902
NP,UP,UP	(0,2,inhibition)(1,2,inhibition)(2,0,activation)	3	16.363749968510223	283.382642946803	0.7356860873028388
UP,PP,PP	(0,2,inhibition)(1,2,activation)(2,0,activation)	40	0.8826013881730336	5.576313479701578	2.4924043158236486E-6
UP,UP,PP	(0,2,inhibition)(1,2,inhibition)(2,0,activation)	582	9.646856034046484	358.1095883343288	8.548717289613705E-13
PP,PP,NP	(0,2,activation)(2,1,activation)(2,0,activation)	818	43.96782435847912	1662.2755120503996	2.0761170560490427E-13
PP,UP,PP	(0,1,inhibition)(1,0,activation)(2,1,inhibition)(2,0,activation)	4	0.002331174243343504	0.00235797724383028	4.89253082491814E-12
NP,NP,NP	(2,1,inhibition)(2,0,inhibition)	542	29002.569301236035	1.9552620663549507E8	0.9994899729058802
UP,NP,UP	(0,1,activation)(1,0,activation)(2,1,inhibition)(2,0,inhibition)	7	0.0977577692716208	0.1604120930863659	7.077503364927296E-6
NP,NP,NP	(0,2,activation)(0,1,activation)(1,2,activation)(1,0,activation)(2,0,activation)	998	0.26870190960045187	2.0392294270858295	0.0
NP,UP,PP	(0,2,activation)(0,1,activation)(1,2,inhibition)	12	15.222614882228786	196.3571844403818	0.4807560914114887
NP,UP,PP	(0,2,activation)(1,2,activation)(2,0,activation)	211	84.38185825323202	3331.4311190767176	0.03275538429215741
UP,NP,NP	(0,2,activation)(0,1,activation)(1,2,activation)(1,0,activation)	18	3.6057852521963194	24.66523769236025	0.019125250501030644
UP,PP,UP	(0,2,inhibition)(0,1,inhibition)(1,0,activation)(2,1,activation)	112	0.05208962050570469	0.1537596599876211	2.220446049250313E-16
PP,NP,PP	(0,2,inhibition)(1,2,activation)	688	280.3637619196783	11069.486900905715	9.77504902220927E-4
NP,NP,NP	(0,2,activation)(0,1,activation)(1,0,activation)(2,1,activation)	1033	2.521768846513253	23.62610261191969	5.551115123125783E-16
NP,NP,UP	(0,2,activation)(2,1,inhibition)	1098	959.7743936179179	521492.92400562845	0.35501198483006946
NP,NP,UP	(0,2,activation)(2,1,activation)	8491	2896.78759724581	992810.0313938875	1.3010250683564983E-5
PP,NP,UP	(2,1,inhibition)(2,0,activation)	528	2108.70055137946	309720.0009775609	0.9998889105228179
UP,UP,NP	(0,2,activation)(0,1,inhibition)(1,2,activation)	9	75.92137989650918	1396.9286754445575	0.9922584918206266
NP,NP,NP	(0,2,activation)(1,2,inhibition)(2,0,activation)	20	7.303263787028095	71.05717037238983	0.0807541128676641
NP,NP,NP	(0,2,activation)(0,1,inhibition)(1,2,inhibition)	14	2.2536899959962433	15.615464396686974	0.02071107948677453
NP,NP,NP	(0,1,activation)(1,0,inhibition)(2,1,activation)(2,0,activation)	5	0.7781843005173168	13.316156968853692	0.047085104368484565
PP,NP,NP	(0,2,activation)(2,1,inhibition)(2,0,activation)	361	3.454753204256244	327.51129689155624	4.455867422636928E-5
UP,NP,NP	(0,2,inhibition)(1,2,activation)(2,0,activation)	6	3.4410759104897726	58.83345498462299	0.17827588642035208
NP,NP,UP	(2,1,inhibition)(2,0,inhibition)	8905	14608.9135049063	6.33914417601392E7	0.7415841153782786
NP,NP,UP	(0,2,inhibition)(2,1,activation)	2657	2703.153661977584	974896.6541097471	0.48173716404315337
PP,PP,UP	(0,2,inhibition)(0,1,activation)(1,2,inhibition)	4	0.2802303513413452	0.38621152928753605	6.949952816560634E-4
NP,UP,NP	(0,2,activation)(0,1,inhibition)(1,2,activation)	15	45.8889724452745	2244.209642505713	0.6712968140969838
UP,UP,PP	(0,2,inhibition)(2,1,activation)(2,0,inhibition)	5	0.3402459465873612	2.583285749110466	0.021461852816762383
UP,UP,PP	(0,2,inhibition)(2,1,activation)(2,0,activation)	313	3.9440157223946577	50.54922009412314	6.661338147750939E-16
PP,NP,PP	(0,2,activation)(0,1,inhibition)(1,2,activation)	1	2.272801581026341	4.925541033134934	0.5461798552104525
PP,PP,UP	(0,2,inhibition)(2,1,inhibition)(2,0,inhibition)	5	3.0248349724608428	182.6744799128508	0.08017112006969607
UP,NP,UP	(0,2,activation)(0,1,activation)(1,2,activation)(1,0,activation)	6	4.769656634215239	45.84785785472613	0.2752634796755046
UP,UP,NP	(0,2,activation)(0,1,activation)(1,0,activation)(2,1,activation)	6	0.5233739109208527	2.1716636261973314	0.01362698118316319
UP,NP,UP	(0,2,activation)(0,1,activation)(1,2,activation)	361	1080.587160199818	327276.5795388003	0.9218177595965189
UP,NP,UP	(0,1,activation)(1,2,activation)(2,0,inhibition)	4	4.566390989660993	19.316147592928854	0.40771417151164235
UP,PP,UP	(0,2,activation)(2,1,inhibition)(2,0,activation)	6	0.7459102332924951	11.85378048633053	0.04109059960136985
PP,NP,PP	(2,1,activation)(2,0,inhibition)	658	215.68754252053182	13807.865882114427	0.0022143713417552835
PP,NP,PP	(2,1,activation)(2,0,activation)	4695	6595.950094007928	1776881.2890416011	0.9320836661022758
UP,PP,UP	(0,2,inhibition)(2,1,inhibition)(2,0,inhibition)	5	19.59264712555922	1889.5066898967088	0.30440448865760106
UP,PP,UP	(0,2,inhibition)(1,2,inhibition)(2,0,activation)	8	0.6267870748313987	1.21659569825517	3.6963829769876E-4
NP,UP,NP	(0,2,activation)(2,1,activation)(2,0,activation)	702	94.64916610001036	7601.846175030785	5.2289979521003005E-5
PP,PP,UP	(0,2,activation)(1,2,activation)(2,0,activation)	48	23.246783785447246	1640.3343283184483	0.17885331515991454
PP,NP,PP	(0,2,activation)(0,1,inhibition)(1,0,activation)(2,1,activation)	1	0.0017970797948208353	0.0019396411035717558	6.732376389495531E-5
UP,NP,UP	(0,2,inhibition)(1,2,activation)	2915	1849.2480384671119	371811.308838699	0.052171981420160995
UP,PP,UP	(0,2,activation)(1,2,activation)(2,0,activation)	23	21.56576082644574	2062.3894938271405	0.24566591313574437
UP,PP,UP	(0,2,activation)(1,2,activation)(2,0,inhibition)	16	21.606985626882707	3766.8516365996247	0.18580411897090665
NP,NP,PP	(0,1,activation)(1,0,activation)(2,1,inhibition)(2,0,inhibition)	165	0.005816116348052392	0.006111357352269054	0.0
UP,NP,UP	(0,2,activation)(1,2,activation)	19334	92500.07284040646	2.0252329662226782E9	0.9799371071813283
NP,NP,PP	(0,2,activation)(1,2,activation)(2,0,inhibition)	12	4.721620530004423	77.46600792348644	0.1388590458817982
NP,UP,UP	(0,2,inhibition)(0,1,inhibition)(1,2,activation)	7	104.2967442783884	3773.2984050931536	0.9862933361311232
PP,NP,UP	(0,1,activation)(1,2,inhibition)(2,0,activation)	21	4.584541089409672	23.214074633748663	0.008119487909484246
PP,NP,UP	(0,2,activation)(2,1,inhibition)(2,0,inhibition)	24	11.14083286883027	2532.3313888970183	0.07605361802962374
UP,NP,UP	(0,2,activation)(1,2,inhibition)	540	1722.3438147937156	675949.5032012467	0.953800185137593
UP,NP,UP	(0,2,activation)(2,1,activation)	22713	6481.033434806486	4680338.800220594	6.283132480966458E-8
PP,NP,NP	(0,2,activation)(1,2,inhibition)	364	980.5332724934053	160480.18913264934	0.9624392826065735
PP,UP,UP	(0,2,inhibition)(1,2,activation)	201	336.34324302816185	35422.54609002531	0.7409947042949548
UP,NP,UP	(0,2,inhibition)(2,1,activation)	7744	6493.422485771363	1003298.3960627392	0.1091685159343968
UP,NP,UP	(2,1,inhibition)(2,0,inhibition)	12948	56295.53116383398	8.674703443315578E8	0.9641044909445678
UP,NP,NP	(0,2,activation)(0,1,activation)(1,0,activation)(2,1,activation)	34	0.5744761185299276	1.6030902063856403	6.991085488294857E-11
UP,NP,PP	(0,2,inhibition)(0,1,activation)(1,2,inhibition)(1,0,activation)	1	0.01311680361412302	0.1289926560782557	0.0019725420799044935
