Motif_Nodes	Motif_edges	Num_occ_input_graph	Mean_analytical	Variance_analytical	Pval_analytical
NP,UP,PP	(0,2,activation)(1,2,inhibition)(2,0,activation)	15	2.3805375026874973	25.901570379104474	0.03495385810758744
NP,UP,PP	(0,2,activation)(1,2,inhibition)(2,0,inhibition)	15	0.3984829987239548	4.298130721089596	0.004443783802846046
NP,UP,UP	(0,2,activation)(2,1,activation)	6326	2217.5761519841303	870487.934931498	3.955493684505429E-4
NP,UP,PP	(2,1,inhibition)(2,0,activation)	77	398.7629223372333	89174.51123099728	0.8854939898320574
PP,UP,PP	(0,2,inhibition)(1,2,inhibition)(2,0,activation)	12	0.3025486121383472	5.684978506290085	0.008558488855187174
NP,NP,PP	(0,2,activation)(1,2,activation)(2,1,activation)(2,0,activation)	6	0.05937408576423416	0.088775116300628	4.73977208859111E-6
PP,NP,NP	(0,2,inhibition)(2,1,activation)	1665	512.048350038886	46082.765996893926	4.605772420573917E-5
NP,NP,NP	(0,2,activation)(1,2,activation)	25189	33119.37794299055	1.1722236349565291E8	0.7563363841407424
UP,UP,NP	(0,2,activation)(1,2,inhibition)(2,0,activation)	256	11.152767117902414	177.08226741791083	4.275257925456799E-11
UP,UP,NP	(0,2,activation)(1,2,inhibition)(2,0,inhibition)	5	10.380630093023788	376.14503962877103	0.3480613077023761
PP,UP,PP	(0,2,inhibition)(2,1,activation)	32	30.149222240762853	396.70288406554005	0.3894876457823274
UP,PP,PP	(0,2,activation)(2,1,activation)(2,0,activation)	4	0.9114916016049285	4.094337724034885	0.06433202310566521
UP,UP,NP	(0,2,activation)(1,2,activation)(2,0,inhibition)	1	137.06374604249768	149697.53065019182	0.2214360269602873
UP,UP,NP	(0,2,activation)(0,1,activation)(1,2,activation)	192	479.2935064029305	47881.61991593073	0.9279115703379426
UP,UP,NP	(0,2,activation)(0,1,inhibition)(1,2,inhibition)(1,0,inhibition)	1	0.06452311749386455	0.14880838141453476	0.015572518738463659
UP,PP,PP	(0,2,activation)(1,2,activation)(2,1,inhibition)(2,0,inhibition)	2	0.002410674912288808	0.0030142558717872574	2.6947493009465973E-5
NP,PP,NP	(0,2,activation)(1,2,activation)(2,1,activation)(2,0,activation)	42	0.5728559682659929	3.303204731484823	2.1080904599735106E-7
NP,PP,NP	(0,2,activation)(0,1,activation)(1,0,activation)(2,1,inhibition)	3	0.03014243588552346	0.03854448709550663	6.220258155198444E-5
PP,UP,UP	(0,2,activation)(2,1,activation)(2,0,activation)	8	2.675106804434381	28.791241322294493	0.11374120678392097
PP,UP,UP	(0,2,activation)(1,2,activation)(2,0,inhibition)	2	13.234396951096977	3437.401202937309	0.0951323235513385
NP,PP,PP	(0,2,activation)(2,1,activation)(2,0,inhibition)	1	0.09325162346037474	0.2988475879681277	0.02320366328695156
NP,PP,PP	(0,2,activation)(2,1,activation)(2,0,activation)	8	2.966496268511426	14.796096413712085	0.09195516647114033
