Motif_Nodes	Motif_edges	Num_occ_input_graph	Mean_analytical	Variance_analytical	Pval_analytical
PP,UP,NP	(0,2,activation)(1,2,inhibition)(2,0,activation)	170	8.378105957450993	127.99698086644435	4.377782314435308E-8
PP,UP,NP	(0,2,activation)(1,2,inhibition)(2,0,inhibition)	60	1.9002289737404612	42.68085551424819	0.0010764222621352237
PP,UP,UP	(0,2,activation)(2,1,activation)	3194	941.307889578541	149507.96586397337	1.4875389606316958E-5
PP,UP,NP	(2,1,inhibition)(2,0,activation)	36065	1822.126577781912	3539406.74784951	0.0
NP,PP,PP	(0,2,inhibition)(0,1,activation)(1,2,activation)	34	2.2297828360369167	9.484432823153465	4.4615846571671725E-6
NP,UP,NP	(0,2,inhibition)(1,2,inhibition)(2,0,activation)	11	19.178873167256114	751.6470895359014	0.4384823572579549
UP,NP,NP	(0,1,activation)(1,0,activation)(2,1,activation)(2,0,activation)	146	10.010460213540199	589.9340856740126	0.004086240717872003
NP,UP,NP	(0,2,inhibition)(0,1,inhibition)(1,2,inhibition)	7	319.4689486691003	42853.151680292314	0.986561836630616
PP,PP,NP	(0,1,activation)(1,0,activation)(2,1,activation)(2,0,activation)	330	0.9501704480501368	2.4784889368687324	4.440892098500626E-16
PP,PP,UP	(0,2,inhibition)(1,2,inhibition)	1365	589.2805510393184	230719.58283581433	0.07371264928412669
PP,PP,PP	(0,2,activation)(1,2,activation)	3071	1815.0131564282167	204932.25559640024	0.006807634417885233
UP,UP,PP	(0,2,activation)(1,2,inhibition)(2,0,activation)	23	4.8451366606464275	65.79432105831205	0.041663186013185416
UP,UP,PP	(0,2,activation)(0,1,inhibition)(1,2,inhibition)	1	3.7046845328836944	6.059366350468682	0.8115984592136256
NP,UP,NP	(0,2,inhibition)(2,1,inhibition)	170	585.9081800584024	549185.6986165612	0.5920744037356587
NP,UP,NP	(0,2,inhibition)(2,1,activation)	255	920.8465141354255	201906.23829458898	0.9617569332854622
UP,NP,NP	(0,2,activation)(0,1,activation)(1,2,inhibition)	186	31.86052507907823	991.2154288665502	0.0012233352734559721
NP,NP,UP	(0,2,activation)(0,1,activation)(1,2,activation)(1,0,activation)(2,0,inhibition)	2	0.013545367210735881	0.02140432948165608	5.473172474989019E-4
UP,UP,PP	(0,2,activation)(0,1,activation)(1,2,activation)	89	180.7000426125049	4336.7588789954425	0.935327593977283
UP,NP,PP	(0,2,activation)(0,1,activation)(1,0,activation)(2,1,activation)	1	0.2996478256896445	0.5782638844738383	0.07118305480409992
UP,UP,PP	(0,2,activation)(0,1,inhibition)(1,2,inhibition)(1,0,inhibition)	1	0.031526471084407266	0.052595701087274495	0.006055077491721517
PP,UP,UP	(0,2,inhibition)(2,1,inhibition)	67	1040.0609419210148	223529.1279166413	0.998908081439137
PP,NP,PP	(0,2,activation)(0,1,activation)(1,0,activation)(2,1,activation)	6	0.4009004084711128	0.820326647543674	0.00119280154341872
NP,UP,UP	(0,2,activation)(2,1,activation)(2,0,activation)	306	20.513836621783593	354.10574328647965	1.0141876227720559E-10
NP,UP,UP	(0,2,activation)(0,1,activation)(1,2,inhibition)	2	7.813108648056483	86.62159369139954	0.6115045702215327
PP,NP,NP	(0,2,activation)(1,2,activation)(2,0,inhibition)	29	12.893487728027976	3954.1426076226435	0.06706514933890484
PP,NP,NP	(0,2,activation)(2,1,activation)(2,0,activation)	897	69.63044929137729	4100.286437536105	4.512776485832148E-9
PP,NP,NP	(0,2,inhibition)(0,1,inhibition)(1,2,inhibition)	2	151.21986314436668	37894.77804057511	0.6937008826594211
PP,NP,NP	(0,2,inhibition)(0,1,inhibition)(1,2,activation)	350	109.36652852962553	5714.2416622909805	0.0078576180050004
NP,NP,UP	(0,2,inhibition)(1,2,inhibition)(2,1,activation)(2,0,activation)	3	0.016135158389614983	0.018338549457210116	5.306631991275346E-6
PP,NP,NP	(0,2,inhibition)(1,2,inhibition)	430	1695.941440904829	1035769.3182509146	0.9250892767376724
PP,NP,PP	(0,1,activation)(1,0,activation)(2,1,activation)(2,0,activation)	48	1.2118575842705048	4.670692126444806	3.037345930323454E-10
UP,NP,PP	(0,2,inhibition)(0,1,inhibition)(1,2,inhibition)	55	58.90200442107925	6084.192786529964	0.37157175459937464
PP,UP,PP	(0,2,inhibition)(2,1,activation)	182	503.36964388169906	60848.78208722538	0.9285467564379944
PP,NP,NP	(0,2,inhibition)(0,1,activation)(1,2,activation)	44	3.304422867230441	17.116038583653825	4.5144640243854894E-6
PP,UP,PP	(0,2,inhibition)(1,2,inhibition)	2038	3776.951536441412	3477603.12052333	0.8236574231696814
PP,NP,NP	(0,2,inhibition)(0,1,activation)(1,2,inhibition)	2	4.568988158185385	215.92892135709238	0.1597599376511578
UP,NP,NP	(0,2,inhibition)(0,1,inhibition)(1,2,activation)(1,0,activation)	4	0.2808082885255766	2.386804411926718	0.02300100729677712
UP,NP,NP	(0,2,inhibition)(1,2,activation)(2,1,activation)(2,0,activation)	2	0.06259501335053352	0.11639976048930668	0.004268414186062941
UP,UP,PP	(0,2,inhibition)(2,1,inhibition)	1181	2117.275288140484	3631755.6965067405	0.6137222939096458
NP,NP,UP	(0,2,inhibition)(1,2,inhibition)(2,1,inhibition)(2,0,inhibition)	1	0.007456419378413417	0.010258547231097752	0.0010062878203468406
PP,UP,PP	(0,2,activation)(1,2,activation)	6736	16869.53894835781	7743483.4199870825	0.9999948606140133
PP,UP,PP	(0,2,activation)(2,1,inhibition)	2243	1412.112337149825	1141014.6780870578	0.19483965837148054
PP,PP,PP	(0,2,activation)(2,1,inhibition)(2,0,inhibition)	6	54.82277380697623	7094.485267267626	0.5359906754701158
UP,NP,NP	(0,2,activation)(1,2,activation)(2,1,activation)(2,0,activation)	67	0.971277698601646	11.495887611300438	3.6983916189559096E-6
NP,PP,UP	(0,2,activation)(0,1,inhibition)(1,2,inhibition)	4	0.45913073022307965	1.2367398207131939	0.016032169077140557
NP,PP,UP	(0,2,activation)(2,1,inhibition)(2,0,activation)	2	1.4581887725043519	17.578574144731967	0.149179368399726
PP,PP,NP	(0,2,activation)(2,1,inhibition)	586	450.9284106647362	193518.98145516723	0.299641385848439
PP,PP,NP	(0,2,activation)(2,1,activation)	4116	1988.1425112351403	273306.8548468426	3.4551946133687395E-4
UP,UP,NP	(0,2,activation)(1,2,activation)(2,1,activation)(2,0,activation)	43	0.238700467441457	1.1708727131593157	3.1928454324869904E-9
UP,UP,PP	(0,2,activation)(2,1,activation)	11165	5375.66833328614	1483349.7965743095	4.0457584198905217E-5
UP,UP,PP	(0,2,activation)(2,1,inhibition)	838	6562.399833476827	2.0910776610399008E7	0.9392064596998149
PP,PP,PP	(0,2,activation)(2,1,activation)(2,0,activation)	1320	17.20977119482363	372.3798263991929	0.0
UP,NP,UP	(0,2,activation)(0,1,activation)(1,2,activation)(1,0,activation)	11	4.439130772079818	41.45425254490942	0.126207531979741
PP,PP,NP	(0,2,inhibition)(2,1,activation)	449	902.5610404918575	184505.01477826596	0.8630100644988159
PP,PP,NP	(0,2,inhibition)(2,1,inhibition)	201	204.70887434727192	56038.57827494742	0.3829386073084843
NP,NP,PP	(0,2,activation)(0,1,activation)(1,2,activation)(1,0,activation)	20	3.3042210025554404	29.8500966483835	0.019069289317197646
NP,NP,NP	(0,2,inhibition)(2,1,activation)	1234	1299.1304590796701	385179.4129346111	0.49333359350985695
NP,NP,NP	(0,2,inhibition)(2,1,inhibition)	131	307.3929677862413	154472.247807023	0.5361439453029819
PP,NP,PP	(0,2,activation)(0,1,activation)(1,2,activation)(1,0,activation)	8	2.219651730475677	7.804840320777571	0.03939000687133454
NP,PP,UP	(0,2,activation)(2,1,activation)	3628	1985.8278393947828	453474.00438474864	0.01587981065762556
NP,PP,UP	(0,2,activation)(2,1,inhibition)	726	640.7022305168466	173195.08982794068	0.35949916903104406
NP,NP,NP	(0,1,activation)(1,2,activation)(2,0,inhibition)	33	4.263879418236441	27.952205357620926	9.775997431120675E-4
NP,NP,NP	(0,2,activation)(2,1,activation)(2,0,activation)	2318	115.27948362598322	13135.282354367364	5.163647287531603E-13
NP,NP,PP	(0,2,activation)(0,1,activation)(1,2,activation)(1,0,activation)(2,0,activation)	8	0.09298387916164226	0.22021108309853019	5.381317235675365E-5
NP,PP,UP	(0,2,activation)(2,1,activation)(2,0,activation)	187	21.29622140828542	358.36141918815747	2.654146067149199E-6
NP,PP,UP	(0,2,activation)(0,1,activation)(1,2,inhibition)	11	12.94984425337269	155.21852122955656	0.4445973802782688
NP,PP,UP	(0,2,inhibition)(2,1,activation)	579	1263.5251992906965	273188.309386428	0.9242695155950136
NP,PP,UP	(0,2,inhibition)(2,1,inhibition)	39	407.6604212309339	35938.722206143604	0.9971077526265413
PP,NP,UP	(0,1,activation)(1,0,inhibition)(2,1,activation)(2,0,inhibition)	7	0.12810728584445877	0.6217300826884464	0.002480050045229887
UP,UP,NP	(0,1,activation)(1,2,inhibition)(2,0,activation)	4	1.465342563183129	3.603979024532291	0.07747927924410059
NP,NP,NP	(0,2,inhibition)(0,1,activation)(1,2,inhibition)(1,0,activation)	2	0.009675011312480985	0.41551182311153256	4.0106052458965813E-4
UP,UP,NP	(0,2,activation)(1,2,inhibition)(2,0,inhibition)	18	4.3379129691674425	150.59063830161742	0.08633292721506036
NP,NP,PP	(0,2,inhibition)(2,1,activation)	1125	752.174948060802	125592.76760574919	0.14575547137537448
NP,NP,PP	(0,2,inhibition)(1,2,inhibition)	497	614.8709625222123	284367.928394488	0.4976972170961257
NP,NP,NP	(0,2,activation)(1,2,activation)(2,1,inhibition)(2,0,inhibition)	1	1.0532470163318972	62.108193192445384	0.03338592900192383
UP,UP,NP	(0,2,inhibition)(1,2,inhibition)(2,0,activation)	583	13.409651436438688	371.5504416263939	5.551115123125783E-16
UP,UP,NP	(0,2,activation)(0,1,activation)(1,2,inhibition)	44	22.276519176411885	298.44172362156667	0.10904212576407357
UP,UP,NP	(0,2,activation)(2,1,activation)(2,0,activation)	342	40.16301927893761	1723.907449744732	5.624805309634162E-5
