Motif_Nodes	Motif_edges	Num_occ_input_graph	Mean_analytical	Variance_analytical	Pval_analytical
PP,UP,NP	(0,2,activation)(0,1,inhibition)(1,2,activation)	6	25.76535514304318	1130.3403643213576	0.5900365884793202
PP,UP,NP	(0,2,activation)(2,1,inhibition)(2,0,inhibition)	1	91.70803671261793	31374.235795930734	0.41225267058347004
PP,UP,UP	(0,2,activation)(2,1,activation)	3026	931.9073489366366	155492.54987356043	5.456823151162027E-5
PP,UP,NP	(0,2,activation)(1,2,inhibition)	5385	2748.526210440106	453860.092455633	4.602152561735684E-4
NP,PP,PP	(0,2,inhibition)(0,1,activation)(1,2,activation)	18	0.8030332338708763	2.139499730566494	4.37194101232663E-6
NP,UP,NP	(0,2,inhibition)(1,2,inhibition)(2,0,activation)	50	20.624076679312942	828.2138381905631	0.1345445742936343
UP,NP,NP	(0,1,activation)(1,0,activation)(2,1,activation)(2,0,activation)	296	5.387843996537969	75.83577880020155	2.4424906541753444E-15
NP,UP,NP	(0,2,inhibition)(1,2,inhibition)(2,0,inhibition)	71	3.74111523556994	267.4346531494904	0.01487481266155044
PP,PP,NP	(0,2,activation)(1,2,activation)(2,1,activation)(2,0,activation)	12	0.12093218338803427	0.16487101884352287	1.6586454432143682E-10
PP,PP,NP	(0,2,activation)(0,1,activation)(1,0,activation)(2,1,inhibition)	3	0.02841666121323148	0.03728673060019565	7.454366929260381E-5
PP,PP,UP	(0,2,inhibition)(1,2,inhibition)	1325	506.56762930476515	227239.56282164494	0.06673156765415056
PP,PP,PP	(0,2,activation)(1,2,activation)	961	1880.3852395332042	2097395.3482670626	0.693114408560219
UP,UP,PP	(0,2,activation)(1,2,inhibition)(2,0,activation)	151	4.2681993519055235	58.74093145249155	6.284298303960156E-9
UP,UP,PP	(0,2,activation)(0,1,inhibition)(1,2,inhibition)	1	2.772522986189368	4.923322201264853	0.6690972589954808
NP,UP,NP	(0,2,inhibition)(2,1,inhibition)	307	414.79732919651053	257490.77263931735	0.44632075004534544
NP,UP,NP	(0,2,inhibition)(2,1,activation)	391	756.1108157214898	116079.80786028446	0.8667035343437457
UP,NP,NP	(0,2,inhibition)(2,1,inhibition)(2,0,activation)	26	0.6199158486476419	40.98541275664488	0.00839703027068972
UP,NP,UP	(0,2,activation)(1,2,activation)(2,1,inhibition)(2,0,inhibition)	14	0.9397880939178621	156.97648840273388	0.009415494958988968
UP,UP,PP	(0,2,activation)(0,1,activation)(1,2,inhibition)	36	13.503623513251707	176.2709902658173	0.06608772504057192
UP,UP,PP	(0,2,activation)(1,2,activation)(2,0,activation)	232	66.00888564370385	27391.008652043645	0.10475427433714757
UP,NP,PP	(0,2,activation)(0,1,activation)(1,2,activation)(1,0,activation)	1	1.3817650068215903	4.135160374969969	0.3259735399013506
PP,UP,UP	(0,2,inhibition)(1,2,activation)(2,0,inhibition)	18	1.0791506147330834	71.8387379228261	0.018464856635356686
UP,UP,PP	(0,2,activation)(0,1,inhibition)(1,2,inhibition)(1,0,inhibition)	1	0.03480888541736508	0.053984300275487195	0.006100838992693092
UP,UP,UP	(0,2,activation)(0,1,activation)(1,0,activation)(2,1,activation)	120	0.25225987931704613	0.6878025866770955	5.551115123125783E-16
PP,NP,PP	(0,2,activation)(1,2,activation)(2,1,activation)(2,0,activation)	60	0.7670506657387617	22.34342276048181	8.953070288053588E-4
NP,UP,UP	(0,2,activation)(2,1,activation)(2,0,activation)	335	23.090275112061683	406.11529134775833	2.860800485393611E-11
NP,UP,UP	(0,2,activation)(0,1,activation)(1,2,inhibition)	2	5.556182806417165	45.977392974298326	0.5490498172190135
PP,NP,NP	(0,2,activation)(1,2,activation)(2,0,inhibition)	9	8.635670167090561	236.02709161924878	0.2830744822787954
PP,NP,NP	(0,2,activation)(2,1,activation)(2,0,activation)	54	51.285008385352	1568.30121384807	0.3916415561925607
NP,NP,PP	(0,2,activation)(0,1,activation)(1,2,activation)(1,0,inhibition)(2,0,activation)	1	5.434314213186656E-4	5.574062072115771E-4	6.9513423157641085E-6
PP,NP,NP	(0,2,inhibition)(2,1,inhibition)(2,0,inhibition)	6	21.085719958593547	4049.254418685883	0.18557949889682157
PP,NP,NP	(0,2,inhibition)(0,1,inhibition)(1,2,activation)	23	152.30100366710332	10392.006516670059	0.9386877396443988
NP,PP,PP	(0,2,inhibition)(0,1,inhibition)(1,2,activation)	129	23.520351921677047	454.2759026751486	9.094588424322092E-4
PP,NP,NP	(0,2,inhibition)(1,2,inhibition)	649	1642.1206158001517	1075296.782924328	0.834635189299894
PP,NP,PP	(0,2,activation)(0,1,activation)(1,2,activation)(1,0,activation)	1	3.1662882750068375	29.683416476674893	0.3929455744178969
NP,NP,NP	(0,2,activation)(0,1,activation)(1,2,activation)(1,0,activation)(2,0,activation)	8	0.06930814227466159	0.08267625438208866	1.388434145432882E-9
UP,NP,PP	(0,2,inhibition)(0,1,inhibition)(1,2,inhibition)	20	48.927808668900845	3531.869864198382	0.5621321313094858
PP,UP,PP	(0,2,inhibition)(2,1,activation)	86	462.46302331392997	73279.82682288348	0.9569048278169641
PP,NP,NP	(0,1,inhibition)(1,2,activation)(2,0,activation)	1	3.9687301166571873	31.134496992109767	0.509656816299409
PP,UP,PP	(0,2,inhibition)(1,2,inhibition)	694	2363.8823888139436	1411011.0565240094	0.9506893118203096
PP,NP,NP	(0,1,inhibition)(1,2,activation)(2,0,inhibition)	4	0.9716663211955543	3.4927310372988174	0.05985684933794966
UP,NP,NP	(0,2,inhibition)(0,1,inhibition)(1,0,activation)(2,1,activation)	2	0.07365705567519343	0.21720834407183273	0.009260587665004705
UP,UP,PP	(0,2,inhibition)(2,1,inhibition)	2017	2163.5742025170634	3969527.701243748	0.4326796534905878
NP,NP,UP	(0,1,inhibition)(1,0,inhibition)(2,1,inhibition)(2,0,inhibition)	9	0.2583472822407647	3.23768584316693	0.009147001650923747
UP,PP,UP	(0,2,inhibition)(0,1,activation)(1,2,inhibition)	93	9.350505956569048	204.81611449022273	0.0011927613045120689
PP,UP,PP	(0,2,activation)(2,1,activation)	2295	884.144315429132	190555.52322348254	0.00503740696492494
PP,UP,PP	(0,2,activation)(2,1,inhibition)	7054	1036.2437682982713	1619965.0195786522	0.0024888151883037946
UP,NP,NP	(0,2,activation)(1,2,activation)(2,1,activation)(2,0,activation)	125	0.5857970785742493	1.0012830005241247	0.0
NP,PP,UP	(0,2,activation)(0,1,inhibition)(1,2,inhibition)	3	0.31545237439870916	0.6745850949278043	0.01367261933176489
NP,PP,UP	(0,2,activation)(0,1,inhibition)(1,2,activation)	12	12.85227450319911	245.63872595633612	0.37826747172172204
PP,PP,NP	(0,2,activation)(2,1,inhibition)	383	320.1485666656448	61352.65212698653	0.33226263130124845
PP,PP,NP	(0,2,activation)(2,1,activation)	1247	1307.633320837167	119231.47491140454	0.5434798794136984
UP,UP,NP	(0,2,activation)(1,2,activation)(2,1,activation)(2,0,activation)	44	0.13435104509767057	0.1821594398744612	0.0
UP,UP,PP	(0,2,activation)(1,2,activation)	97170	44889.916789569565	9.558798935892465E8	0.06531046206203084
UP,UP,PP	(0,2,activation)(1,2,inhibition)	5847	5805.25218324479	2953151.311144486	0.46069499388942436
UP,UP,UP	(0,2,inhibition)(0,1,activation)(1,2,inhibition)(1,0,activation)	30	0.0020080290214671216	0.0052692368124881	3.863576125695545E-14
UP,NP,UP	(0,2,activation)(1,2,activation)(2,1,activation)(2,0,activation)	6	0.5499514359489731	3.1031443597186947	0.02171002513103415
PP,PP,NP	(0,2,inhibition)(2,1,activation)	272	506.75824284562924	71359.00296027013	0.8040419108870038
PP,PP,NP	(0,2,inhibition)(2,1,inhibition)	121	124.0698921538354	20530.298834255445	0.3846365853659519
NP,NP,NP	(0,2,inhibition)(2,1,activation)	2985	1356.6742296654904	347301.34398720996	0.010307976703355703
NP,NP,NP	(0,2,inhibition)(2,1,inhibition)	439	246.0946353733087	92688.75234294744	0.2042108451542214
PP,UP,PP	(0,2,inhibition)(0,1,inhibition)(1,2,activation)(1,0,inhibition)	2	0.09023838534452817	0.16415455795795228	0.006065986838566628
NP,PP,UP	(0,2,activation)(2,1,activation)	2235	1230.6082096710863	198610.39429458557	0.022812525782649917
NP,PP,UP	(0,2,activation)(2,1,inhibition)	1117	525.8703529256209	154700.76306349662	0.0836841057024702
NP,NP,NP	(0,1,activation)(1,2,activation)(2,0,inhibition)	60	4.268635080909767	17.599812071974334	3.5996694514039973E-9
NP,NP,NP	(0,2,activation)(2,1,activation)(2,0,activation)	1332	117.84635794377246	5965.2092897451275	1.9373391779708982E-13
NP,PP,UP	(0,2,activation)(2,1,activation)(2,0,activation)	73	14.861621376976279	168.07717077163008	0.001575898411154797
NP,PP,UP	(0,2,activation)(1,2,activation)(2,0,inhibition)	30	15.320184422148552	2076.544607627208	0.13542707397521392
