Motif_Nodes	Motif_edges	Num_occ_input_graph	Mean_analytical	Variance_analytical	Pval_analytical
NP,UP,PP	(0,1,activation)(1,2,inhibition)(2,0,activation)	2	1.273508470336004	2.3627325570371656	0.17740704029125387
NP,UP,UP	(0,2,activation)(2,1,activation)	4764	1816.151056745151	602869.3250377849	0.0014291317710676266
NP,PP,UP	(0,2,activation)(0,1,activation)(1,0,activation)(2,1,activation)	18	0.40657453412132155	0.603539904515721	1.3045009517043127E-11
NP,UP,PP	(0,2,inhibition)(2,1,activation)	188	546.3174046452926	62539.25552427396	0.9508358811120067
PP,NP,NP	(0,2,inhibition)(2,1,activation)(2,0,activation)	19	26.435650968906227	1781.9369713714623	0.36941023496700387
PP,UP,PP	(0,2,inhibition)(1,2,inhibition)(2,0,activation)	38	4.482558469053418	86.47159605796769	0.014759806459028635
UP,PP,PP	(0,2,activation)(1,2,activation)(2,1,activation)(2,0,activation)	1	0.1531829849937194	0.21268220973937804	0.02590499397775403
NP,NP,PP	(0,2,activation)(1,2,activation)(2,1,activation)(2,0,activation)	31	0.3465285783512726	0.571117336479455	0.0
NP,NP,UP	(0,2,activation)(2,1,activation)	9316	3155.2947705148254	1200699.4665256105	1.3196300056916854E-5
NP,NP,PP	(0,2,activation)(1,2,activation)	3812	8319.896628158156	3017948.361409366	0.9987822646357715
UP,UP,NP	(0,2,activation)(1,2,inhibition)(2,0,activation)	167	6.916632401036789	101.92901061937516	1.626795065323705E-8
PP,UP,PP	(0,2,inhibition)(2,1,inhibition)	45	210.76908702754866	106139.43762110939	0.5048760772511534
PP,UP,PP	(0,2,inhibition)(2,1,activation)	69	245.8531360776439	19972.286878631523	0.9237188553879337
UP,PP,PP	(0,2,activation)(1,2,activation)(2,0,activation)	10	9.866850449063032	100.3278414228727	0.37301592683227236
PP,PP,PP	(0,2,activation)(0,1,activation)(1,2,activation)(1,0,inhibition)(2,0,activation)	1	1.5072145970162763E-4	1.5191238955303935E-4	6.019670234502783E-7
UP,UP,NP	(0,2,activation)(0,1,activation)(1,2,inhibition)	52	22.91716354098008	211.24024006628167	0.040072992465408075
UP,UP,NP	(0,2,activation)(1,2,activation)(2,0,activation)	1211	91.12079882064585	17979.78893384349	7.783560042540216E-5
UP,PP,NP	(0,2,activation)(0,1,activation)(1,2,activation)(1,0,activation)	10	1.1440046647852458	3.3312606958394344	0.0025302009838799044
NP,PP,NP	(0,2,inhibition)(1,2,inhibition)(2,1,inhibition)(2,0,inhibition)	2	0.20647578138869194	1.1487890027219843	0.03028577569050106
UP,PP,PP	(0,2,activation)(1,2,activation)(2,1,inhibition)(2,0,inhibition)	2	0.5863386887070993	3.3908408400974994	0.08455102406460901
NP,PP,NP	(0,2,activation)(1,2,activation)(2,1,activation)(2,0,activation)	40	1.1953761582989173	15.84720453753663	5.970598199203092E-4
PP,UP,UP	(0,2,activation)(2,1,activation)(2,0,activation)	28	9.930074682929954	130.6929482108636	0.07589097032858927
PP,UP,UP	(0,2,activation)(1,2,activation)(2,0,inhibition)	23	27.360122931692207	6811.185466591323	0.16666707982399265
NP,PP,PP	(0,2,activation)(0,1,activation)(1,2,inhibition)	21	10.826063835270316	135.40083775469188	0.15966164481561118
