Motif_Nodes	Motif_edges	Num_occ_input_graph	Mean_analytical	Variance_analytical	Pval_analytical
PP,UP,NP	(0,2,activation)(0,1,inhibition)(1,2,activation)	2	3.5112629587764648	6.90960085716673	0.5884463110290247
PP,UP,NP	(0,2,activation)(1,2,inhibition)(2,0,inhibition)	14	2.733360492401417	58.37314390605281	0.06832588334743073
PP,UP,UP	(0,2,activation)(2,1,activation)	2110	619.9770088895735	69417.63653639727	2.5144429918744216E-5
PP,UP,NP	(0,2,inhibition)(2,1,activation)	153	149.05015600292188	4008.238828568319	0.4301718684393553
NP,UP,NP	(0,2,inhibition)(1,2,inhibition)(2,0,activation)	62	39.50548123051394	1967.6994787652188	0.23523520930100983
UP,NP,NP	(0,2,activation)(1,2,activation)(2,1,activation)(2,0,activation)	100	0.9501607668611874	2.6790219354696214	0.0
NP,UP,NP	(0,2,inhibition)(1,2,inhibition)(2,0,inhibition)	34	11.01987718459107	1276.4932345832708	0.10084139566548067
PP,PP,NP	(0,2,activation)(1,2,activation)(2,1,activation)(2,0,activation)	108	0.10651475095398098	0.16368618120784129	2.220446049250313E-16
PP,PP,UP	(0,2,inhibition)(1,2,inhibition)	114	16.66871366424399	62.79715697815493	1.9610979506978765E-12
PP,PP,NP	(0,2,activation)(1,2,activation)	1893	1381.9098703058967	122965.10047114501	0.080309214309492
UP,UP,PP	(0,2,activation)(1,2,inhibition)(2,0,activation)	12	3.999107434275858	51.64969920598978	0.1099570790247133
UP,UP,PP	(0,2,activation)(0,1,inhibition)(1,2,inhibition)	1	3.301214051107932	6.286553325932218	0.7358327375388978
NP,UP,NP	(0,2,inhibition)(2,1,inhibition)	352	1330.1008313116022	1946076.5418824553	0.6998575433079908
NP,UP,NP	(0,2,inhibition)(2,1,activation)	452	1465.83480885972	385357.05197450565	0.974819527577241
UP,NP,NP	(0,2,activation)(0,1,activation)(1,2,inhibition)	57	68.34795935461548	1913.8861604883123	0.5352303202094697
NP,NP,UP	(0,2,activation)(0,1,activation)(1,2,activation)(1,0,activation)(2,0,inhibition)	2	0.018140300236942963	0.027774047743250277	6.605942281378008E-4
UP,NP,UP	(0,2,activation)(1,2,activation)(2,1,inhibition)(2,0,inhibition)	14	0.9864764496885129	174.30169691900673	0.009431976810896692
NP,NP,NP	(0,2,activation)(0,1,activation)(1,2,activation)(1,0,inhibition)(2,0,activation)	1	0.0022434836721475495	0.002355734088552538	5.569399196503344E-5
UP,UP,PP	(0,2,activation)(0,1,activation)(1,2,inhibition)	32	16.100288721004738	250.331030273137	0.14272709965663355
UP,UP,PP	(0,2,activation)(1,2,activation)(2,0,activation)	16	56.660651176231845	14467.348366311882	0.32340893476582755
UP,NP,PP	(0,2,activation)(0,1,activation)(1,2,activation)(1,0,activation)	3	2.3955239762530227	12.142815979283256	0.25814802317995267
