Motif_Nodes	Motif_edges	Num_occ_input_graph	Mean_analytical	Variance_analytical	Pval_analytical
NP,UP,PP	(0,1,activation)(1,2,inhibition)(2,0,activation)	2	1.9990752554112363	5.666229384601477	0.311935932943314
NP,UP,PP	(0,2,activation)(1,2,inhibition)(2,0,inhibition)	77	2.733505467048247	90.84795700998374	0.0020343722831492883
NP,UP,UP	(0,2,activation)(2,1,activation)	5000	1874.2283615912513	639951.5969936578	0.001140112729849152
NP,UP,PP	(0,2,inhibition)(2,1,activation)	127	469.5075903815474	53207.68220616496	0.9623934968502429
PP,NP,NP	(0,2,inhibition)(2,1,activation)(2,0,activation)	122	20.914940353252998	1774.6791349108557	0.0394761102488812
PP,UP,PP	(0,2,inhibition)(1,2,inhibition)(2,0,activation)	18	6.3835930793987155	197.3880620273523	0.12771584745378717
NP,NP,PP	(0,2,activation)(1,2,activation)(2,1,activation)(2,0,activation)	46	0.4751116482920994	3.3032412703252843	4.079473900908681E-7
PP,NP,NP	(0,2,inhibition)(2,1,activation)	1687	1220.7955617701944	379277.22443222976	0.20785090717696242
NP,NP,NP	(0,2,activation)(1,2,activation)	18365	15985.168588228089	1.0469297214755297E7	0.2238994426014409
UP,UP,NP	(0,2,activation)(1,2,inhibition)(2,0,activation)	167	8.058420515537977	125.09864430462223	6.380181183374134E-8
UP,UP,NP	(0,2,activation)(0,1,inhibition)(1,2,inhibition)	1	6.164775486469766	13.610877371368176	0.9272596583925398
PP,UP,PP	(0,2,inhibition)(2,1,inhibition)	112	356.33810654754063	225501.863844197	0.5557147968325808
PP,UP,PP	(0,2,inhibition)(2,1,activation)	81	315.7033797393162	30113.084444055086	0.9447642745903622
UP,PP,PP	(0,2,activation)(2,1,inhibition)(2,0,inhibition)	3	55.37741846201057	14881.49782303951	0.330735893667383
UP,UP,NP	(0,2,activation)(2,1,activation)(2,0,activation)	304	41.78545265187452	1572.435291755731	9.852839709190153E-5
