Motif_Nodes	Motif_edges	Num_occ_input_graph	Mean_analytical	Variance_analytical	Pval_analytical
PP,PP,NP	(0,2,activation)(0,1,activation)(1,0,activation)(2,1,activation)	110	0.024900677111586493	0.034664365937087174	0.0
NP,UP,PP	(0,1,activation)(1,2,inhibition)(2,0,activation)	3	1.0661148419331052	2.2069380493618276	0.07414644150168948
NP,UP,NP	(0,2,activation)(1,2,activation)(2,1,activation)(2,0,activation)	121	1.837437487477804	21.021025193292886	1.6799327484662285E-9
PP,UP,NP	(0,2,inhibition)(2,1,inhibition)	191	224.83468282932455	65453.20106532636	0.42738721497370835
UP,NP,NP	(0,2,inhibition)(2,1,activation)	19448	8365.913288480268	3442378.4310206324	8.919556878650425E-7
UP,NP,NP	(0,2,inhibition)(2,1,inhibition)	3481	2509.650184071584	3735389.2565173525	0.2600870288402277
UP,NP,NP	(0,2,activation)(1,2,activation)(2,0,activation)	1145	77.23309765547508	7430.570689665998	7.889326592014356E-8
NP,NP,UP	(2,1,inhibition)(2,0,activation)	1892	5694.839865281079	1601790.4966877326	0.9999076090777266
NP,NP,UP	(0,2,activation)(0,1,activation)(1,0,activation)(2,1,activation)	142	1.8374374874778043	7.575608976832282	0.0
NP,NP,UP	(2,1,inhibition)(2,0,inhibition)	14362	16261.43301733823	9.443079261905879E7	0.5178821407946383
PP,NP,PP	(0,2,activation)(0,1,inhibition)(1,2,activation)	12	0.504285036068507	0.7630002254065693	1.7001535645988497E-7
PP,PP,UP	(0,2,activation)(2,1,activation)	515	226.582263681004	9002.66002737292	0.005984490480813731
PP,PP,UP	(0,2,activation)(2,1,inhibition)	202	100.28188120539856	5571.924049515459	0.09864070669059088
PP,NP,UP	(0,2,activation)(2,1,activation)	2864	1102.5553473525983	160360.97884711414	2.9053783849097847E-4
UP,UP,NP	(0,2,activation)(2,1,inhibition)(2,0,activation)	14	8.41908213296517	1466.6206538153451	0.07862528996175366
