Motif_Nodes	Motif_edges	Num_occ_input_graph	Mean_analytical	Variance_analytical	Pval_analytical
PP,PP,NP	(0,2,activation)(1,2,activation)(2,1,activation)(2,0,activation)	1	0.0562822541152622	0.07742714259710802	0.008233907174028388
NP,UP,NP	(0,2,activation)(0,1,activation)(1,2,activation)(1,0,inhibition)	1	0.23926481555512036	0.8076260833865196	0.05878641972296583
NP,UP,NP	(0,2,activation)(0,1,activation)(1,0,activation)(2,1,activation)	1	3.224304278036415	33.28651207656516	0.3772701755957082
PP,UP,NP	(0,2,inhibition)(2,1,inhibition)	143	456.48471813388505	248977.75261404013	0.6556987750873549
UP,NP,NP	(0,2,inhibition)(2,1,activation)	22349	6936.9099922801715	2441718.6784592196	0.0
UP,NP,NP	(0,2,inhibition)(2,1,inhibition)	3941	1671.4605154079902	1946095.3200671216	0.07295394084896012
UP,NP,NP	(0,2,activation)(2,1,activation)(2,0,activation)	988	93.07123193014905	6568.404113064013	5.679091941157566E-8
NP,UP,PP	(0,2,activation)(0,1,inhibition)(1,2,inhibition)	28	1.0709871392738797	2.701913128474299	6.201744784384289E-9
NP,NP,UP	(2,1,inhibition)(2,0,activation)	1474	4975.70432347514	1204575.0560553223	0.9999751849304948
NP,NP,UP	(0,2,activation)(1,2,activation)(2,1,activation)(2,0,activation)	94	0.9233143761087812	6.9412439748256585	2.1228907520765006E-11
NP,NP,UP	(2,1,inhibition)(2,0,inhibition)	11349	13886.274883859476	6.920424271150747E7	0.5636127571514561
PP,PP,UP	(0,2,activation)(2,1,activation)	578	322.74660264231676	18333.384517596147	0.04399585590212307
UP,NP,UP	(0,2,inhibition)(0,1,inhibition)(1,2,inhibition)	34	87.49594934161111	9488.881892087411	0.6108256758417686
PP,NP,UP	(0,2,activation)(2,1,activation)	6167	1153.346031715584	170134.06062426488	1.309063968335522E-12
UP,UP,NP	(0,2,activation)(0,1,inhibition)(1,2,activation)	7	67.51485141022826	359.8334099721378	0.9999977156286245
PP,NP,UP	(0,2,activation)(2,1,inhibition)	533	343.18811904496124	54147.61536475549	0.188879150108342
