Motif_Nodes	Motif_edges	Num_occ_input_graph	Mean_analytical	Variance_analytical	Pval_analytical
PP,UP,NP	(0,2,inhibition)(2,1,activation)	161	559.0499835680555	129683.24202507047	0.8873827816708019
NP,UP,NP	(0,2,activation)(0,1,activation)(1,2,activation)(1,0,inhibition)	1	0.33533675644026867	1.4332985706174715	0.07694602817997376
NP,UP,NP	(0,2,activation)(0,1,activation)(1,0,activation)(2,1,activation)	1	3.392184545643986	36.82204878257991	0.38128751711171427
PP,UP,NP	(0,2,inhibition)(2,1,inhibition)	114	436.88612195664933	226001.34356524848	0.6827907600454648
UP,NP,NP	(0,2,inhibition)(2,1,activation)	22091	7086.884413148992	2523512.0303099826	0.0
UP,NP,NP	(0,2,inhibition)(2,1,inhibition)	3965	1768.6417148157573	1943449.0324461744	0.07707445073622343
UP,NP,NP	(0,2,activation)(1,2,activation)(2,0,activation)	1000	72.66152394210368	7270.524504755503	9.469877162437967E-7
NP,UP,PP	(0,2,activation)(0,1,inhibition)(1,2,inhibition)	28	1.1340058543428937	2.774880388511855	4.641583895015344E-9
NP,NP,UP	(2,1,inhibition)(2,0,activation)	1388	4960.139788609106	1221477.0664333552	0.999983472405438
NP,NP,UP	(0,2,activation)(1,2,activation)(2,1,activation)(2,0,activation)	94	0.9520315959449857	7.317648248860326	3.650857394177365E-11
NP,NP,UP	(2,1,inhibition)(2,0,inhibition)	11458	14056.026708557167	7.069506802972364E7	0.5653987965374365
PP,PP,UP	(0,2,activation)(2,1,activation)	634	312.7682415500677	15580.130763202527	0.01355134475451969
UP,NP,UP	(0,2,inhibition)(0,1,inhibition)(1,2,inhibition)	34	92.02234199717986	9706.112909408017	0.6369997796754552
PP,NP,UP	(0,2,activation)(2,1,activation)	6161	1072.3199147339776	147859.12619355135	3.15636405900932E-12
UP,UP,NP	(0,2,activation)(0,1,inhibition)(1,2,activation)	11	89.94387666158848	1351.6021706521014	0.9985300778494951
PP,NP,UP	(0,2,activation)(2,1,inhibition)	478	323.9921253969105	48379.00951826338	0.2146073339274951
PP,UP,NP	(0,2,activation)(2,1,activation)	2886	1532.095387127883	162933.13111007493	0.0019596976075934025
UP,PP,PP	(0,2,activation)(0,1,activation)(1,2,inhibition)	6	5.382329954535127	46.913536768378165	0.3145442045831859
NP,UP,NP	(0,2,activation)(0,1,activation)(1,0,inhibition)(2,1,activation)	2	1.0249190242395143	11.081394986176218	0.1137306923264062
NP,UP,NP	(0,2,activation)(1,2,activation)(2,1,inhibition)(2,0,inhibition)	3	4.975264866057884	611.1490932100216	0.07367097899875996
NP,UP,PP	(0,2,inhibition)(2,1,inhibition)(2,0,activation)	5	0.9932112789459806	173.35800894847432	0.010629005260797908
