Motif_Nodes	Motif_edges	Num_occ_input_graph	Mean_analytical	Variance_analytical	Pval_analytical
NP,NP,PP	(0,2,activation)(1,2,activation)(2,1,activation)(2,0,activation)	1	0.2508642195258491	0.4405183804362184	0.05631719740637042
PP,UP,PP	(0,2,activation)(0,1,activation)(1,2,activation)(1,0,inhibition)	1	0.030450107089656613	0.042045661817646476	0.004309721979514292
NP,PP,NP	(0,2,activation)(0,1,activation)(1,2,activation)	224	236.13921717252725	14433.955094969562	0.48716928561837103
NP,NP,PP	(0,2,activation)(0,1,activation)(1,0,activation)(2,1,inhibition)	6	0.05898803852998528	0.07287476733882171	2.039499097383768E-7
UP,PP,PP	(0,2,inhibition)(2,1,activation)	3515	1273.0356157688243	169013.9635806589	1.5869062110818177E-5
UP,PP,PP	(0,2,inhibition)(2,1,inhibition)	833	780.7591151841087	831261.6954237948	0.3577241422362831
UP,PP,PP	(0,2,activation)(1,2,activation)(2,0,activation)	1	3.7288826798871453	25.16509909678298	0.5231616615917764
PP,PP,UP	(2,1,inhibition)(2,0,activation)	541	1429.6101927363418	132799.82679866767	0.9983397996763531
UP,PP,UP	(0,2,activation)(2,1,inhibition)(2,0,inhibition)	6	16.045197917629885	5001.084641657946	0.09403624366278296
PP,PP,UP	(2,1,inhibition)(2,0,inhibition)	6814	7480.941600504394	2.115766200941214E7	0.4952936880201496
NP,PP,NP	(0,2,activation)(0,1,inhibition)(1,2,activation)	12	21.508090701956796	462.94129321560314	0.5676642477389089
NP,NP,UP	(0,2,activation)(2,1,activation)	11301	3530.8430048591244	1361037.3899131734	6.578315066008145E-7
NP,NP,UP	(0,2,activation)(2,1,inhibition)	575	774.606377480086	248846.22584420757	0.5994088208567517
NP,PP,UP	(0,2,activation)(2,1,activation)	2781	1599.5981161213908	305232.30328895943	0.02739649941347677
UP,UP,PP	(0,2,activation)(0,1,inhibition)(1,2,activation)	12	23.86655904285778	70.05290111296813	0.9288251163062299
NP,PP,UP	(0,2,activation)(2,1,inhibition)	2008	869.626786886377	310681.1000446845	0.039852623501387074
