Motif_Nodes	Motif_edges	Num_occ_input_graph	Mean_analytical	Variance_analytical	Pval_analytical
PP,UP,NP	(0,2,inhibition)(2,1,activation)	210	567.6510030583191	128551.21175190946	0.849037203334545
NP,UP,NP	(0,2,activation)(0,1,activation)(1,2,activation)(1,0,inhibition)	1	0.2461244150725444	0.8121499124393692	0.0606822699709344
NP,UP,NP	(0,2,activation)(0,1,activation)(1,0,activation)(2,1,activation)	1	3.449128490889031	36.274245872990974	0.393477284777064
PP,UP,NP	(0,2,inhibition)(2,1,inhibition)	141	428.39870244869996	220979.37420876813	0.6464258005852959
UP,NP,NP	(0,2,inhibition)(2,1,activation)	22733	7053.527670673197	2457329.5608846843	0.0
UP,NP,NP	(0,2,inhibition)(2,1,inhibition)	3849	1675.8017155754571	1829388.828188295	0.07441473986541858
UP,NP,NP	(0,2,activation)(1,2,activation)(2,0,activation)	1005	54.88013257462923	1537.9672803229087	1.4099832412739488E-14
NP,UP,PP	(0,2,activation)(0,1,inhibition)(1,2,inhibition)	28	1.209771451416331	3.2118433689039803	2.386182473834708E-8
NP,NP,UP	(2,1,inhibition)(2,0,activation)	1097	4935.8820200179325	1178802.6331672966	0.9999988571303703
NP,NP,UP	(0,2,activation)(1,2,activation)(2,1,activation)(2,0,activation)	94	0.9613907575258424	7.407321211655068	3.933486869556191E-11
NP,NP,UP	(2,1,inhibition)(2,0,inhibition)	11322	13788.468865969156	6.807249745576873E7	0.561119622611133
UP,NP,UP	(0,2,inhibition)(0,1,inhibition)(1,2,inhibition)	34	88.03377272872501	9206.100396860522	0.6212693068810209
PP,NP,UP	(0,2,activation)(2,1,activation)	6004	961.99606518184	118799.84352205717	1.7705836796721997E-12
UP,UP,NP	(0,2,activation)(0,1,inhibition)(1,2,activation)	11	66.18459461427439	346.522871866021	0.9999698185131183
PP,NP,UP	(0,2,activation)(2,1,inhibition)	176	286.5272909815626	38301.09284553367	0.6673683355106905
PP,UP,NP	(0,2,activation)(2,1,activation)	2756	1374.7220531851754	117579.71758178319	3.5194145146033584E-4
NP,UP,NP	(0,2,activation)(0,1,activation)(1,0,inhibition)(2,1,activation)	2	1.0273113149947792	11.019687462815824	0.1144619000166921
NP,UP,NP	(0,2,activation)(0,1,activation)(1,2,inhibition)(1,0,inhibition)	4	0.4173399746205582	4.848611588223039	0.032892166779801224
PP,PP,UP	(0,2,activation)(1,2,activation)(2,1,inhibition)(2,0,inhibition)	2	0.02001860331565736	0.17739299357643684	0.0025775938297317724
NP,UP,PP	(0,2,inhibition)(2,1,inhibition)(2,0,activation)	5	1.031306355507912	173.96437123679692	0.011390737308151766
NP,NP,UP	(0,1,activation)(1,2,activation)(2,0,activation)	170	16.655940933236078	79.40138860017424	1.1102230246251565E-16
PP,UP,NP	(0,2,activation)(2,1,activation)(2,0,inhibition)	33	1.3634299090275157	19.73665356728166	0.002485558803234089
NP,UP,PP	(0,2,inhibition)(2,1,inhibition)(2,0,inhibition)	4	49.27420240139175	17637.163394778796	0.23547288433969416
UP,NP,NP	(0,2,activation)(0,1,inhibition)(1,2,inhibition)	3	4.326930732073177	21.286572373493232	0.4573441460943388
NP,PP,UP	(0,2,inhibition)(2,1,inhibition)(2,0,inhibition)	3	6.119785060994774	270.3691537485399	0.21091179977286223
NP,NP,UP	(0,2,inhibition)(2,1,activation)(2,0,activation)	12	40.86448302270222	1359.7319508370047	0.7483725290837576
NP,NP,UP	(0,2,inhibition)(2,1,activation)(2,0,inhibition)	12	2.6199138046741024	38.47114045809824	0.07193361322638592
NP,UP,UP	(0,1,activation)(1,2,activation)(2,0,activation)	19	5.7831697216800455	22.80667208046529	0.014387513002028118
NP,PP,UP	(0,1,activation)(1,0,activation)(2,1,activation)(2,0,activation)	40	3.828545464574618	84.06696023172822	0.01284082688147159
NP,UP,NP	(0,2,inhibition)(1,2,inhibition)	3838	9697.823843517397	1.3496248152909577E7	0.9670117199441544
UP,NP,PP	(0,2,inhibition)(2,1,inhibition)	769	702.2288515389988	931856.6427786339	0.3298804292294304
UP,UP,NP	(0,2,activation)(1,2,activation)(2,0,inhibition)	3	75.4435429454694	7771.476367108476	0.7460790755489292
UP,UP,NP	(0,2,activation)(2,1,activation)(2,0,activation)	375	48.19445538593322	1787.7635716556733	1.2700785721686536E-5
UP,UP,PP	(0,2,inhibition)(1,2,inhibition)(2,0,activation)	25	3.971250721588341	91.92295538123977	0.044992215561503235
NP,UP,UP	(0,2,activation)(1,2,inhibition)	4473	2119.101723560537	475655.31737589184	0.002180919517008273
UP,NP,UP	(0,2,activation)(0,1,activation)(1,2,activation)(1,0,activation)(2,0,activation)	3	0.13825056209138886	0.6130135514977855	0.013077768857351124
UP,UP,PP	(0,1,inhibition)(1,2,inhibition)(2,0,inhibition)	1	0.5153764742500151	1.205547263880486	0.1298046407154435
NP,UP,NP	(0,2,inhibition)(1,2,activation)	1927	5626.391297268439	3947804.52545641	0.9872458438090416
NP,UP,UP	(0,2,activation)(1,2,activation)	19187	113084.68603206218	2.997495366492304E9	0.9875435849327138
NP,UP,PP	(0,1,activation)(1,2,activation)(2,0,activation)	61	2.7433362258991405	6.20174586528712	2.220446049250313E-16
UP,PP,NP	(0,2,activation)(1,2,activation)(2,0,inhibition)	6	8.82642689935373	128.17673472529435	0.4351424766517473
UP,PP,NP	(0,2,activation)(1,2,activation)(2,0,activation)	310	11.69548379628683	80.00934045180091	0.0
NP,UP,NP	(0,2,activation)(1,2,activation)(2,0,activation)	1699	287.9112083753567	27011.541280448495	1.7173055555375072E-7
NP,UP,NP	(0,2,activation)(1,2,activation)(2,0,inhibition)	37	68.40294948226622	6726.024222224936	0.5187235616735492
NP,UP,UP	(0,1,activation)(1,0,activation)(2,1,activation)(2,0,activation)	25	11.540273577933423	297.947545144279	0.16302360659191073
NP,PP,NP	(0,2,activation)(1,2,activation)(2,1,activation)(2,0,activation)	42	0.5601659460895155	1.3198585422429012	1.6653345369377348E-15
NP,NP,PP	(0,2,activation)(0,1,activation)(1,2,activation)	168	537.762204015009	175793.80760827276	0.8049540859360568
