Motif_Nodes	Motif_edges	Num_occ_input_graph	Mean_analytical	Variance_analytical	Pval_analytical
NP,UP,PP	(0,2,activation)(1,2,inhibition)(2,0,activation)	185	4.264861343107867	52.58367252236953	8.266831663661378E-12
NP,UP,UP	(0,2,activation)(1,2,activation)	26701	112406.5543902082	2.948129493927931E9	0.9744068143879593
NP,PP,UP	(0,2,activation)(0,1,activation)(1,0,activation)(2,1,activation)	18	0.09405021773617536	0.12000506521722891	0.0
NP,UP,PP	(0,2,inhibition)(2,1,activation)	124	380.6755545526966	34555.57428439657	0.9442358467667862
PP,UP,PP	(0,2,inhibition)(0,1,inhibition)(1,2,activation)	4	33.29451221846696	692.3735539551838	0.8964364093300028
NP,NP,PP	(0,2,activation)(1,2,activation)(2,1,activation)(2,0,activation)	93	0.09769565574098034	0.1544804578750721	2.220446049250313E-16
NP,NP,PP	(0,2,activation)(0,1,activation)(1,2,activation)(1,0,inhibition)	4	0.10721836979533424	0.19122444175575784	6.644150648759117E-4
PP,NP,NP	(0,2,inhibition)(2,1,activation)	1223	1287.1352652664352	564594.8197898155	0.4743679926677151
NP,NP,PP	(0,2,activation)(1,2,activation)	1245	2457.4622117353533	374529.89842225984	0.9874523326063717
UP,UP,NP	(0,2,activation)(1,2,inhibition)(2,0,activation)	247	10.457366551968674	169.7985361045737	1.1798506616145232E-10
UP,UP,NP	(0,2,activation)(1,2,inhibition)(2,0,inhibition)	18	7.700739296453484	274.50571539283976	0.15206528759829174
PP,UP,PP	(0,2,inhibition)(2,1,inhibition)	48	229.08915662771128	138222.71156328724	0.47768161262957987
PP,UP,PP	(0,2,inhibition)(2,1,activation)	58	156.0475636393323	11018.339540621299	0.8246309724805763
UP,PP,PP	(0,2,activation)(2,1,activation)(2,0,activation)	4	1.7057342986335264	9.770496565535996	0.1391516365370562
UP,UP,NP	(0,2,activation)(1,2,activation)(2,0,inhibition)	3	116.46226293603293	122291.45693537946	0.1977609597500919
