Motif_Nodes	Motif_edges	Num_occ_input_graph	Mean_analytical	Variance_analytical	Pval_analytical
NP,UP,PP	(0,2,activation)(2,1,inhibition)(2,0,activation)	5709	9.572042254412162	2408.524594682891	0.0
NP,UP,UP	(0,2,activation)(2,1,activation)	4001	1621.5591690720669	490711.5513437255	0.003177199844351053
NP,UP,PP	(0,2,activation)(1,2,inhibition)	3021	2038.6541109881462	389099.98240435496	0.06803488100588406
NP,PP,UP	(0,2,activation)(0,1,activation)(1,0,activation)(2,1,inhibition)	2	0.019102828385106664	0.021374933736053297	7.417923832686579E-5
PP,UP,PP	(0,2,inhibition)(0,1,inhibition)(1,2,activation)	6	154.95862552229687	6766.683517159483	0.9966975767798761
PP,UP,PP	(0,2,inhibition)(1,2,inhibition)(2,0,inhibition)	35	8.493170085820935	573.3464329051308	0.0880023154515972
NP,NP,PP	(0,2,activation)(1,2,activation)(2,1,activation)(2,0,activation)	30	0.6985011496179567	20.522251804647954	0.006111959028974545
NP,NP,UP	(0,2,inhibition)(1,2,inhibition)	385	135.6382965783901	2222.6487668571717	2.987095881834545E-5
NP,NP,NP	(0,2,activation)(1,2,activation)	16708	12912.561204234193	5793949.78956908	0.06434882499581784
UP,UP,NP	(0,2,activation)(1,2,inhibition)(2,0,activation)	247	6.732285411390643	101.73602081917619	2.6229018956769323E-12
UP,UP,NP	(0,2,activation)(0,1,inhibition)(1,2,inhibition)	1	5.70310515130922	10.68645586305125	0.9289256190459687
PP,UP,PP	(0,2,inhibition)(2,1,inhibition)	101	1301.1246200900543	1916546.9252845775	0.7878491790718061
PP,UP,PP	(0,2,inhibition)(2,1,activation)	111	733.3476521704669	137598.37287413108	0.9865143833966652
UP,PP,PP	(0,2,inhibition)(1,2,activation)(2,0,activation)	8	0.7692950264366959	8.199594480475001	0.030459664181305635
UP,UP,NP	(0,2,activation)(0,1,activation)(1,2,inhibition)	32	26.76244031895075	406.5575367526326	0.32486906947391603
UP,UP,NP	(0,2,activation)(2,1,activation)(2,0,activation)	369	24.022277577870334	384.0570108339057	1.942890293094024E-13
NP,UP,UP	(0,2,inhibition)(1,2,activation)(2,0,inhibition)	18	0.4024797254296422	26.914477885146002	0.006903973255385942
UP,UP,NP	(0,2,activation)(0,1,inhibition)(1,2,inhibition)(1,0,inhibition)	1	0.05073094058345974	0.10022415789087964	0.011373103555245456
NP,PP,NP	(0,2,inhibition)(0,1,inhibition)(1,0,inhibition)(2,1,activation)	2	0.0032958457652995047	0.003990098651383831	2.780156339732276E-5
UP,PP,NP	(0,2,activation)(1,2,inhibition)(2,1,activation)(2,0,activation)	1	0.03241870696592041	0.03970532544978355	0.003276276050085958
NP,PP,NP	(0,2,activation)(0,1,activation)(1,2,activation)(1,0,activation)	6	4.468677387439084	41.37790544765089	0.25903568448123904
NP,PP,NP	(0,2,activation)(0,1,activation)(1,2,activation)(1,0,inhibition)	7	0.2869433078790803	1.4967711688173118	0.006741364358400337
PP,UP,UP	(0,2,activation)(2,1,activation)(2,0,activation)	9	8.449203532635835	114.66173081865988	0.33402386142407003
PP,UP,UP	(0,2,activation)(0,1,activation)(1,2,inhibition)	2	4.915305102187798	43.83662062668814	0.4880385828792988
NP,PP,PP	(0,2,activation)(1,2,activation)(2,0,inhibition)	9	15.713365229194858	8582.683722587795	0.05405490354690101
NP,PP,PP	(0,2,activation)(1,2,activation)(2,0,activation)	86	30.16708015674437	5129.407829848577	0.12743589536396482
NP,PP,PP	(0,2,inhibition)(1,2,inhibition)(2,0,inhibition)	2	1.1221909206578202	12.895801375120682	0.11988582933696668
UP,NP,PP	(0,2,activation)(0,1,activation)(1,0,activation)(2,1,activation)	24	0.18055269157892362	0.22497176997862828	0.0
NP,PP,PP	(0,2,inhibition)(0,1,inhibition)(1,2,activation)	466	1.1701659018439552	1.932684882007736	4.440892098500626E-16
PP,NP,NP	(0,2,inhibition)(0,1,inhibition)(1,2,activation)	20	258.70777122613566	18166.151790802833	0.994126537723869
PP,NP,NP	(0,2,inhibition)(0,1,inhibition)(1,2,inhibition)	9	159.35630109393065	12183.526280433049	0.9663812598782325
NP,PP,PP	(0,2,inhibition)(1,2,inhibition)	487	632.5708535975119	82587.25307285786	0.6610378463103247
NP,PP,NP	(0,2,activation)(1,2,inhibition)(2,1,activation)(2,0,activation)	9	0.07490694814622736	0.10536501246338377	2.0486152885190734E-8
NP,PP,NP	(0,2,activation)(0,1,activation)(1,0,activation)(2,1,activation)	15	0.7490969463084983	4.33054938479155	0.001912188261212977
UP,PP,NP	(0,2,inhibition)(0,1,inhibition)(1,2,inhibition)	30	150.86822658226447	30266.31470679347	0.6801448883710746
NP,UP,NP	(0,2,inhibition)(2,1,activation)	260	354.0923480763425	13414.215679080851	0.7826927761405125
NP,PP,PP	(0,2,inhibition)(0,1,activation)(1,2,activation)	15	0.3727535227306865	0.48691365683094057	1.395739079868008E-11
NP,UP,NP	(0,2,inhibition)(1,2,inhibition)	3539	3090.606251578576	740380.8388809301	0.28383417774950115
NP,PP,PP	(0,2,inhibition)(0,1,activation)(1,2,inhibition)	10	1.3898000578110585	6.361714585077589	0.013372479505146861
UP,UP,NP	(0,2,inhibition)(2,1,inhibition)	1876	817.1250033700597	130085.85952269891	0.007656695096147859
PP,PP,UP	(0,1,inhibition)(1,0,inhibition)(2,1,inhibition)(2,0,inhibition)	5	0.3029074586838752	1.8637343501571688	0.01706035875933798
UP,NP,UP	(0,2,inhibition)(0,1,activation)(1,2,inhibition)	8	5.157726396751711	10.52776004347595	0.14851644190656677
NP,UP,NP	(0,2,activation)(1,2,activation)	47397	60181.75846973436	6.252903468138695E7	0.9533505136967767
NP,UP,NP	(0,2,activation)(2,1,inhibition)	1096	1206.1174554941138	158409.90269248444	0.5781223365208982
NP,NP,NP	(0,2,activation)(0,1,inhibition)(1,2,inhibition)	25	0.2050712085286914	0.24503751488716963	1.1102230246251565E-16
PP,NP,UP	(0,2,activation)(0,1,inhibition)(1,2,inhibition)	6	0.2370690765398543	0.38361112233539596	1.0608656425237228E-4
PP,NP,UP	(0,2,activation)(0,1,inhibition)(1,2,activation)	2	39.062784693151784	2477.062264258745	0.6804069115328311
NP,NP,PP	(0,2,activation)(2,1,inhibition)	694	1630.9314274949293	2711496.5384403877	0.6377271289488984
NP,NP,PP	(0,2,activation)(2,1,activation)	4198	3131.1204433777443	1388657.918477388	0.17688808605318262
UP,UP,NP	(0,2,activation)(2,1,activation)	17369	8731.356073287287	3301633.617053345	3.3296621283485095E-5
UP,UP,NP	(0,2,activation)(2,1,inhibition)	1811	2810.6844275353906	780569.2868112903	0.8783279846299372
NP,NP,NP	(0,2,activation)(2,1,activation)(2,0,activation)	1184	109.71509827169855	5364.984122172844	2.056355086210715E-12
NP,NP,PP	(0,2,inhibition)(2,1,activation)	689	440.8394731535871	32848.875185536395	0.09485170174097668
NP,NP,PP	(0,2,inhibition)(2,1,inhibition)	199	229.6235370846618	58054.285921557006	0.43693476022416755
PP,PP,NP	(0,1,activation)(1,0,activation)(2,1,activation)(2,0,activation)	330	0.8248493566315263	35.43034052679329	1.0320671428587502E-8
PP,PP,PP	(0,2,inhibition)(2,1,activation)	291	557.8710702779972	80587.78451858374	0.8258915542740712
PP,PP,PP	(0,2,inhibition)(2,1,inhibition)	64	432.9055388249451	220635.19051395362	0.7401177256917768
NP,UP,NP	(0,2,inhibition)(0,1,inhibition)(1,2,activation)(1,0,inhibition)	2	0.005197292250652891	0.005966085664073543	2.4409600065666837E-5
PP,NP,UP	(0,2,activation)(2,1,activation)	6417	1912.208447477224	481067.9542034534	1.6312430353160323E-6
PP,NP,UP	(0,2,activation)(2,1,inhibition)	780	555.9191628848945	143101.795365548	0.24125309815718388
PP,PP,PP	(0,1,activation)(1,2,activation)(2,0,inhibition)	4	1.3464604856316702	5.28203146726272	0.09474685784166126
PP,PP,PP	(0,2,activation)(2,1,activation)(2,0,activation)	2184	14.07515351853763	771.2773511913639	8.881784197001252E-16
PP,NP,UP	(0,2,activation)(2,1,activation)(2,0,activation)	11	16.700965267772848	410.82331573565295	0.465769600672721
PP,NP,UP	(0,2,activation)(1,2,activation)(2,0,inhibition)	22	17.92453703519128	2914.5296015351173	0.15448210172160293
PP,NP,UP	(0,2,inhibition)(2,1,activation)	179	3392.690332331568	1615225.831633553	0.9999572362569992
PP,NP,UP	(0,2,inhibition)(2,1,inhibition)	17	986.3263453133053	171669.3798241947	0.9999458164585219
NP,PP,UP	(0,1,activation)(1,0,inhibition)(2,1,activation)(2,0,inhibition)	3	0.30845961868976846	4.054495723212726	0.02730324846090404
UP,UP,PP	(0,2,activation)(2,1,inhibition)(2,0,activation)	3	4.142649521716296	871.9529430363282	0.03736090185019458
UP,PP,PP	(2,1,activation)(2,0,inhibition)	80685	1676.7163255635974	3264992.686360898	1.6527890167594705E-12
PP,PP,PP	(0,2,inhibition)(0,1,activation)(1,2,inhibition)(1,0,activation)	264	0.0060583444005217054	0.21122079532795507	8.93051188555205E-11
PP,PP,NP	(0,2,inhibition)(2,1,activation)	359	885.7184851608226	151331.35316677426	0.9350471297084101
PP,PP,NP	(0,2,inhibition)(1,2,inhibition)	199	2330.679612850546	3178279.0021025343	0.9312762985947751
NP,PP,UP	(0,1,inhibition)(1,0,activation)(2,1,inhibition)(2,0,activation)	6	0.04343891221731264	0.05396594007261531	1.3531270581790267E-7
NP,NP,PP	(0,2,inhibition)(0,1,inhibition)(1,2,activation)	173	1.8578442675860578	3.1963601142415436	2.220446049250313E-16
UP,UP,PP	(0,2,inhibition)(0,1,inhibition)(1,2,inhibition)	9	87.9424622276447	4050.3151451191625	0.9373664708603691
UP,NP,UP	(0,2,activation)(2,1,activation)	20834	7469.320343819198	6473335.432080336	3.166526717923723E-5
UP,UP,PP	(0,2,activation)(2,1,activation)(2,0,activation)	3	18.94035144093359	922.9010134017244	0.49131541684787683
UP,UP,PP	(0,2,activation)(0,1,inhibition)(1,2,activation)	12	39.32646875591227	959.1776032637606	0.7984070229294775
UP,UP,PP	(0,2,activation)(1,2,activation)(2,0,activation)	18	50.99794967779943	19575.116870981987	0.2145112789941146
UP,UP,PP	(0,2,activation)(0,1,activation)(1,2,activation)	81	184.54372576202198	24841.128746788803	0.6955957149090333
NP,UP,NP	(0,2,activation)(1,2,inhibition)(2,0,activation)	457	15.555677613754701	285.95662714088206	4.6629367034256575E-15
UP,UP,PP	(0,2,activation)(0,1,activation)(1,2,inhibition)	26	10.873900291068365	112.33985190315151	0.08839489931412903
PP,PP,NP	(2,1,activation)(2,0,activation)	4646	2620.7623869620425	523128.96225711145	0.006903069102969006
PP,PP,NP	(0,2,activation)(2,1,inhibition)	610	239.40900504960337	8923.270394248822	9.568584091872445E-4
NP,UP,PP	(0,2,inhibition)(0,1,activation)(1,2,inhibition)(1,0,activation)	1	0.002105988740264164	0.0026340548864412787	2.0983969193655305E-4
UP,NP,UP	(0,2,inhibition)(2,1,inhibition)	973	2150.3391970294933	290194.29064893257	0.9943888215886141
UP,NP,UP	(0,2,inhibition)(2,1,activation)	8215	7396.573192697394	1033646.8020925522	0.20672379200290214
UP,UP,PP	(0,2,activation)(1,2,inhibition)(2,0,activation)	9	3.004960572652727	39.01154891498445	0.11569905807762437
UP,NP,NP	(0,2,inhibition)(1,2,activation)(2,0,activation)	129	2.8889500615929187	35.950659838621355	7.060386719714984E-9
UP,UP,NP	(0,2,inhibition)(1,2,inhibition)(2,0,activation)	557	12.75678895595852	414.3310288553522	3.7281289166912757E-13
NP,NP,PP	(0,2,activation)(0,1,activation)(1,2,activation)	132	219.94615855738994	28037.799851954027	0.6425594240146919
UP,UP,NP	(0,2,activation)(0,1,activation)(1,2,activation)(1,0,activation)	1	0.36736348914560857	0.9237251357239709	0.09212570906462136
NP,UP,NP	(0,1,inhibition)(1,0,activation)(2,1,inhibition)(2,0,activation)	6	0.007778200331371674	0.007933268815243628	3.7192471324942744E-14
UP,PP,UP	(0,2,activation)(1,2,activation)(2,1,inhibition)(2,0,inhibition)	4	0.3715625779875062	30.951851770183566	0.007976049081906522
PP,PP,PP	(0,2,activation)(0,1,activation)(1,2,activation)(1,0,activation)(2,0,activation)	1320	0.03593510868801305	0.2558945545645886	6.661338147750939E-16
PP,UP,NP	(0,2,activation)(2,1,activation)(2,0,inhibition)	28	0.6914482710834221	5.708796745977826	2.5468223839475446E-4
PP,UP,NP	(0,2,activation)(1,2,activation)(2,0,activation)	132	78.88322408233877	3775.4210916072498	0.17506287454427094
UP,NP,UP	(0,2,inhibition)(0,1,inhibition)(1,0,activation)(2,1,activation)	112	0.05988582748079747	0.18977481433726026	0.0
UP,PP,NP	(2,1,activation)(2,0,activation)	3274	6890.229824670959	2352976.979670033	0.9967724110273201
NP,PP,NP	(0,2,inhibition)(1,2,activation)	895	417.5600817367001	15053.395299893338	6.366769516515935E-4
PP,PP,PP	(0,2,activation)(0,1,activation)(1,0,activation)(2,1,activation)	1332	0.2497046540172533	1.4182147715068087	0.0
PP,PP,UP	(0,2,activation)(2,1,inhibition)	1750	318.737493106931	50118.59777038207	4.10788751857849E-5
PP,PP,UP	(0,2,activation)(2,1,activation)	3101	735.9246775391092	87463.35817231587	5.511100065191954E-8
NP,PP,UP	(0,2,inhibition)(2,1,activation)	701	397.0883292027571	9328.13539496588	0.0028963640940425917
PP,PP,PP	(0,2,activation)(1,2,inhibition)(2,0,activation)	159	1.3464604856316709	10.824430281420145	6.661338147750939E-16
NP,UP,UP	(0,2,activation)(0,1,activation)(1,2,activation)(1,0,activation)	14	2.916434151670326	14.57463200752371	0.017584930805170984
PP,PP,UP	(2,1,inhibition)(2,0,inhibition)	4416	3740.496780147947	5363785.607022896	0.33340099691838576
PP,PP,UP	(0,2,inhibition)(2,1,activation)	2309	1305.696846023844	269613.1976002238	0.04042294260702317
NP,NP,UP	(0,2,inhibition)(0,1,activation)(1,2,inhibition)	12	0.8410413411344038	1.1775860293311833	4.072265892274274E-7
NP,NP,UP	(0,2,inhibition)(0,1,activation)(1,2,activation)	30	0.6944575835248032	1.1139905628419273	1.1102230246251565E-16
PP,UP,PP	(0,2,activation)(2,1,inhibition)(2,0,activation)	4824	4.046871039324361	864.3864628373533	0.0
UP,UP,NP	(0,2,inhibition)(0,1,activation)(1,2,inhibition)	3	10.912914611518664	87.42755348157661	0.762491964254682
UP,UP,NP	(0,2,inhibition)(1,2,activation)(2,0,activation)	140	6.732285411390643	185.32080594194235	8.652207066262019E-5
NP,PP,NP	(0,2,activation)(0,1,inhibition)(1,2,activation)	17	4.765877430192939	16.010202126489574	0.009438277356664804
UP,UP,PP	(0,1,activation)(1,0,activation)(2,1,activation)(2,0,activation)	6	3.4392510571411594	200.9194835624019	0.09007223977491108
UP,PP,UP	(0,2,activation)(0,1,activation)(1,2,activation)	69	448.16140373751944	77886.67620262434	0.9552098498451063
UP,PP,UP	(0,2,activation)(1,2,activation)(2,0,inhibition)	16	25.028400333188877	3951.0579104930393	0.2274744489310223
NP,UP,NP	(0,2,activation)(0,1,activation)(1,2,activation)	813	165.57598784767143	3990.686563852116	5.938582958719962E-11
NP,PP,NP	(2,1,activation)(2,0,inhibition)	1617	269.3645730152015	13294.433172480582	3.914091273315989E-12
NP,PP,NP	(2,1,activation)(2,0,activation)	12458	13619.44809878472	6206111.236178786	0.6662471140400106
UP,NP,UP	(0,2,inhibition)(0,1,inhibition)(1,2,inhibition)	39	27.345839875835026	459.65818324340626	0.24272365763343096
UP,NP,UP	(0,2,inhibition)(1,2,inhibition)(2,0,activation)	15	0.9578762405309799	2.230443533344604	1.6245742335163627E-5
NP,PP,NP	(0,1,inhibition)(1,0,activation)(2,1,inhibition)(2,0,activation)	12	0.007083338311950203	0.007398087940171767	0.0
NP,NP,UP	(0,2,activation)(1,2,activation)(2,0,activation)	780	97.88888979362994	18955.107500805312	0.0025504945772547583
UP,PP,UP	(0,2,inhibition)(1,2,activation)	1470	957.9854320018578	114938.58337489027	0.0763480484312119
