Motif_Nodes	Motif_edges	Num_occ_input_graph	Mean_analytical	Variance_analytical	Pval_analytical
NP,UP,PP	(0,2,activation)(1,2,inhibition)(2,0,activation)	48	7.222227632385321	129.5016037041753	0.011655828475841123
NP,UP,PP	(0,2,activation)(1,2,inhibition)(2,0,inhibition)	47	3.2846987521613045	109.02053880980525	0.013341086456034601
NP,UP,UP	(0,2,activation)(2,1,activation)	3514	1557.9465029545015	447979.5716529419	0.00766959037336945
NP,UP,PP	(0,2,activation)(1,2,inhibition)	4494	2085.0451158703336	438932.6639137799	0.0012964045596451923
NP,PP,UP	(0,2,activation)(0,1,activation)(1,0,activation)(2,1,inhibition)	1	0.020069789566824196	0.02262201255569776	0.0012828203390305992
UP,PP,PP	(0,1,activation)(1,0,activation)(2,1,activation)(2,0,activation)	4	3.6296268391487434	206.53318898613796	0.10327612217366178
PP,UP,PP	(0,2,inhibition)(1,2,inhibition)(2,0,inhibition)	35	10.284386755119357	1364.6651758142332	0.08753793057208448
NP,NP,PP	(0,2,activation)(1,2,activation)(2,1,activation)(2,0,activation)	30	0.6756670655063484	18.953933968881387	0.005626781076232046
NP,NP,UP	(0,2,inhibition)(1,2,inhibition)	522	152.88474980488274	2563.95455570619	1.0724191024102936E-7
NP,NP,NP	(0,2,activation)(1,2,activation)	15515	11448.919026339985	4818372.1471833885	0.039498890807093234
UP,UP,NP	(0,2,activation)(2,1,inhibition)(2,0,activation)	7	1.8702596682001256	22.000866750246438	0.09177547764948812
UP,UP,NP	(0,2,activation)(0,1,inhibition)(1,2,inhibition)	1	5.555048714887154	10.187339352278368	0.9252950703981542
PP,UP,PP	(0,2,inhibition)(2,1,inhibition)	24	1270.5080578041188	2092093.4078182196	0.7765099508165831
PP,UP,PP	(0,2,inhibition)(2,1,activation)	61	787.3057847029011	164665.59179678408	0.9947571519692193
UP,PP,PP	(0,2,inhibition)(1,2,activation)(2,0,activation)	4	0.8490314304652851	9.480660850004538	0.06696520847957521
UP,UP,NP	(0,2,activation)(0,1,activation)(1,2,inhibition)	32	26.371505504213076	392.4869046509358	0.3172846877315494
UP,UP,NP	(0,2,activation)(1,2,activation)(2,0,activation)	1401	82.39621334741099	3871.100133057288	0.0
UP,PP,NP	(0,2,activation)(0,1,activation)(1,2,activation)(1,0,activation)	8	1.55556094127449	9.684489777509045	0.04542161882968754
NP,UP,UP	(0,2,inhibition)(1,2,activation)(2,0,inhibition)	18	0.42848471689414774	28.6342984348371	0.0073509737061064895
UP,UP,NP	(0,2,activation)(0,1,inhibition)(1,2,inhibition)(1,0,inhibition)	1	0.04887705581550415	0.09550703069694108	0.010874995672110255
