Motif_Nodes	Motif_edges	Num_occ_input_graph	Mean_analytical	Variance_analytical	Pval_analytical
PP,UP,NP	(0,2,inhibition)(2,1,activation)	245	214.13887331959506	8451.978860262461	0.3321698060044659
NP,UP,NP	(0,2,activation)(1,2,activation)(2,1,activation)(2,0,activation)	125	1.936175912465489	22.085439425994153	9.714339332944633E-10
PP,UP,NP	(0,2,inhibition)(2,1,inhibition)	223	172.96021116548638	48342.33769659818	0.2957318020406995
UP,NP,NP	(0,2,inhibition)(2,1,activation)	18955	7887.281355029131	3390470.923016086	9.650040678765848E-7
UP,NP,NP	(0,2,inhibition)(2,1,inhibition)	2907	1615.2896502859398	1976052.600655994	0.1642212994374711
UP,NP,NP	(0,2,activation)(1,2,activation)(2,0,activation)	1088	83.02731180173126	7996.640646746454	2.852675057285481E-7
NP,NP,UP	(2,1,inhibition)(2,0,activation)	1700	5403.393347465343	1868361.9257376343	0.9996470077158883
NP,NP,UP	(0,2,activation)(0,1,activation)(1,2,activation)(1,0,activation)	68	17.428104113824233	472.4568231195289	0.03580830890981446
NP,NP,UP	(2,1,inhibition)(2,0,inhibition)	9517	18407.926225385694	1.0050178366226304E8	0.8076134399242125
PP,PP,UP	(0,2,activation)(2,1,activation)	305	148.50611312383373	4292.633040065397	0.01965390865070804
PP,PP,UP	(0,2,activation)(2,1,inhibition)	812	133.52502767876666	12530.85127576908	1.4172681019641864E-4
PP,NP,UP	(0,2,activation)(2,1,activation)	3473	955.2873425826319	126490.1707712257	3.9447598387809535E-7
UP,UP,NP	(0,2,activation)(0,1,inhibition)(1,2,activation)	12	104.85829496220279	1792.9816433312753	0.9989415082862129
PP,NP,UP	(0,2,activation)(2,1,inhibition)	371	249.46722902695248	41301.85092559066	0.23282286241118255
PP,UP,NP	(0,2,activation)(2,1,activation)	2101	1394.4237558388575	134913.66430290858	0.03690385203845847
UP,PP,PP	(0,2,activation)(0,1,activation)(1,2,inhibition)	6	1.3053335484458808	2.130636104106086	0.00683478654104297
NP,UP,NP	(0,2,activation)(0,1,activation)(1,0,inhibition)(2,1,activation)	2	1.1172575746181703	15.470908737090781	0.10701412825271095
NP,UP,NP	(0,2,activation)(0,1,activation)(1,2,inhibition)(1,0,inhibition)	4	0.5955234151599861	8.415303987645578	0.04395610288609608
PP,PP,UP	(0,2,activation)(1,2,activation)(2,1,inhibition)(2,0,inhibition)	2	0.04110237956350764	0.5425769616042528	0.004264753973812319
NP,UP,PP	(0,2,inhibition)(1,2,inhibition)(2,0,activation)	48	12.93118181449082	368.539280837466	0.06175576243757608
NP,NP,UP	(0,1,activation)(1,2,activation)(2,0,activation)	230	20.950191584309763	126.04019529635809	6.661338147750939E-16
