Motif_Nodes	Motif_edges	Num_occ_input_graph	Mean_analytical	Variance_analytical	Pval_analytical
NP,UP,PP	(0,2,activation)(1,2,inhibition)(2,0,activation)	60	6.578212518640217	90.28816106925044	0.0012641337902099536
NP,UP,UP	(2,1,activation)(2,0,inhibition)	1268	2655.1975790284723	575215.3803958977	0.9810727836686942
NP,UP,PP	(0,2,inhibition)(2,1,activation)	214	162.77807858946852	5405.902949128722	0.2232910717576826
PP,NP,NP	(0,2,inhibition)(0,1,activation)(1,2,activation)	195	4.18806506180433	28.04831365532777	0.0
PP,UP,PP	(0,2,inhibition)(2,1,inhibition)(2,0,activation)	10	3.0902595992924256	593.5390229078942	0.028436921687394645
UP,PP,PP	(0,1,activation)(1,0,activation)(2,1,activation)(2,0,activation)	144	7.606620893736938	331.0582016226583	9.981467455123516E-4
NP,NP,PP	(0,2,activation)(0,1,activation)(1,2,activation)(1,0,activation)	2	1.4725285838636517	4.900139288958328	0.22370538532512896
NP,NP,UP	(0,2,inhibition)(1,2,inhibition)	456	94.87594485297444	836.0184615188955	0.0
NP,NP,NP	(0,2,activation)(1,2,activation)	5587	4144.166615315376	796358.9241264649	0.06095908214276369
UP,UP,NP	(0,2,activation)(1,2,inhibition)(2,0,activation)	32	6.632853076777423	105.32723753348466	0.033082627354989236
UP,UP,NP	(0,2,activation)(1,2,inhibition)(2,0,inhibition)	18	2.0660551447420343	31.142987945581712	0.027953253729192995
PP,UP,PP	(0,2,inhibition)(2,1,inhibition)	26	750.0992367194842	838198.3594308842	0.7223121512574
PP,UP,PP	(0,2,inhibition)(2,1,activation)	89	578.2337637080975	89483.27249722561	0.9838525139723134
UP,PP,PP	(0,2,activation)(1,2,activation)(2,0,activation)	570	31.856396325128486	2260.9100666608174	3.373784868143659E-6
UP,PP,UP	(0,2,activation)(1,2,activation)(2,1,inhibition)(2,0,inhibition)	12	0.46243733757022837	40.81225193556892	0.007865280811798936
UP,UP,NP	(0,2,activation)(0,1,activation)(1,2,inhibition)	8	25.556876455110356	429.7069534947002	0.7781539543365429
UP,UP,NP	(0,2,activation)(0,1,activation)(1,2,activation)	122	159.1433503886703	3506.705896938005	0.7120445905043995
UP,PP,NP	(0,2,activation)(0,1,activation)(1,2,activation)(1,0,activation)	1	1.3852707768921793	5.010145148524443	0.30858851256324893
NP,UP,UP	(0,2,inhibition)(1,2,activation)(2,0,inhibition)	18	0.4910316742125164	32.370086105938505	0.008471515927485962
