Motif_Nodes	Motif_edges	Num_occ_input_graph	Mean_analytical	Variance_analytical	Pval_analytical
PP,UP,NP	(0,2,activation)(0,1,inhibition)(1,2,activation)	4	33.5812702135402	1537.6441746266696	0.7046410280898557
PP,UP,NP	(0,2,activation)(1,2,inhibition)(2,0,inhibition)	13	0.8822764407917366	13.186733753322752	0.020263336534860232
PP,UP,UP	(0,2,activation)(1,2,activation)	25188	72734.36430418456	1.2679407934637327E9	0.9358518257629468
PP,UP,NP	(0,2,activation)(1,2,inhibition)	7042	3419.087397342074	801866.9216094464	3.654267723883775E-4
NP,UP,NP	(0,2,inhibition)(1,2,inhibition)(2,0,activation)	45	5.687334346379187	160.45920613023617	0.023039412123876835
UP,NP,NP	(0,1,activation)(1,0,activation)(2,1,activation)(2,0,activation)	3	2.9695624516574184	79.97670171047771	0.1569297564934936
NP,UP,NP	(0,2,inhibition)(0,1,inhibition)(1,2,inhibition)	7	5.222982890115051	12.226591928082236	0.22851251277560036
PP,PP,NP	(0,2,activation)(1,2,activation)(2,1,activation)(2,0,activation)	47	0.40483573400271944	1.8657195138723512	5.821619852852677E-10
PP,PP,NP	(0,2,activation)(0,1,activation)(1,2,activation)(1,0,inhibition)	4	0.43761385675263215	2.747350222352688	0.03420170704373049
PP,PP,UP	(0,2,inhibition)(1,2,inhibition)	3926	1268.7323235171043	871645.7808749164	0.013823457533546968
PP,PP,NP	(0,2,activation)(1,2,activation)	1948	7118.778789167477	1.5025410802527614E7	0.940870830722073
UP,UP,PP	(0,2,activation)(0,1,inhibition)(1,2,activation)	2	53.37659175212609	297.2302513392219	0.9999981080509015
UP,UP,PP	(0,2,activation)(0,1,inhibition)(1,2,inhibition)	1	4.0940432831286655	7.698118597854776	0.8267268028248955
NP,UP,NP	(0,2,inhibition)(2,1,inhibition)	149	82.82863554747546	1647.792130458608	0.06578301709710244
NP,UP,NP	(0,2,inhibition)(2,1,activation)	170	256.0721192649229	7627.553997529569	0.8375178672747299
UP,NP,NP	(0,2,activation)(1,2,activation)(2,0,activation)	25	20.095401642193664	1399.628299996473	0.2538956515286245
NP,NP,UP	(0,2,activation)(0,1,activation)(1,2,activation)(1,0,activation)(2,0,inhibition)	2	0.00310867482543479	0.0034794253049232927	9.737348721783334E-6
UP,UP,PP	(0,2,activation)(0,1,activation)(1,2,inhibition)	38	19.400315273535337	278.72966263754705	0.12823492817090631
UP,UP,PP	(0,2,activation)(1,2,activation)(2,0,activation)	1452	77.55873216541404	3921.0564766845473	0.0
UP,NP,PP	(0,2,activation)(0,1,activation)(1,0,activation)(2,1,activation)	2	0.31127603145782107	0.7693091453436774	0.03675114607804186
UP,UP,PP	(0,2,activation)(0,1,inhibition)(1,2,inhibition)(1,0,inhibition)	1	0.0517543774609327	0.09369378834120451	0.0108979397640937
