Motif_Nodes	Motif_edges	Num_occ_input_graph	Mean_analytical	Variance_analytical	Pval_analytical
NP,UP,PP	(0,2,activation)(1,2,inhibition)(2,0,activation)	58	5.3571638012253615	93.12782496039881	0.0025115335061557387
NP,UP,UP	(0,2,activation)(2,1,activation)	4668	1801.8786545938788	603010.554229693	0.0017857059772998785
NP,UP,PP	(0,2,activation)(1,2,inhibition)	2626	1637.2653371895813	388484.5411435687	0.06873775084160205
PP,NP,NP	(0,2,inhibition)(0,1,activation)(1,2,activation)	122	9.335574458132397	137.86836228144728	7.45950324188005E-6
PP,UP,PP	(0,2,inhibition)(0,1,inhibition)(1,2,activation)	2	112.07349957409046	4334.492497353802	0.9943841302834937
PP,UP,PP	(0,2,inhibition)(1,2,inhibition)(2,0,inhibition)	35	8.474306075677896	590.4021697461877	0.08759317977881564
NP,NP,PP	(0,2,activation)(1,2,activation)(2,1,activation)(2,0,activation)	30	0.8169682003669068	38.189607597536444	0.009528487970461463
NP,NP,UP	(0,2,inhibition)(1,2,inhibition)	385	131.65890614029954	2083.071820091707	1.5255304558925431E-5
NP,NP,NP	(0,2,activation)(1,2,activation)	22004	17148.461655837204	9143556.030300736	0.060884876701746804
UP,UP,NP	(0,2,activation)(1,2,inhibition)(2,0,activation)	247	7.798613429531198	117.47807343290347	5.105582623343707E-12
UP,UP,NP	(0,2,activation)(0,1,inhibition)(1,2,inhibition)	1	6.334301639650731	12.225202336411996	0.9476442386117107
PP,UP,PP	(0,2,inhibition)(2,1,inhibition)	106	1311.868277395865	1922081.5043376053	0.7901025619765536
PP,UP,PP	(0,2,inhibition)(2,1,activation)	121	598.890707229667	103581.51005687425	0.9675045767378867
UP,PP,PP	(0,2,inhibition)(1,2,activation)(2,0,activation)	13	0.41846450538480656	4.326695467774516	0.006308065889764625
UP,UP,NP	(0,2,activation)(0,1,activation)(1,2,inhibition)	32	29.724398392771842	483.59435099104314	0.37890377391648233
UP,UP,NP	(0,2,activation)(2,1,activation)(2,0,activation)	369	28.022126855097603	461.8695572495333	1.7008616737257398E-12
NP,UP,UP	(0,2,inhibition)(1,2,activation)(2,0,inhibition)	18	0.39802922754128317	26.613336541839594	0.006828239699032901
UP,UP,NP	(0,2,activation)(0,1,inhibition)(1,2,inhibition)(1,0,inhibition)	1	0.05634563480651655	0.11734860943684522	0.013030238812385853
