Motif_Nodes	Motif_edges	Num_occ_input_graph	Mean_analytical	Variance_analytical	Pval_analytical
NP,UP,PP	(0,2,activation)(2,1,inhibition)(2,0,activation)	1143	11.166827549312163	2265.4160245335793	2.3151570671675614E-6
NP,UP,PP	(0,2,activation)(1,2,inhibition)(2,0,inhibition)	36	5.270495829983572	120.75307055673217	0.028276521489078
NP,UP,UP	(0,2,activation)(2,1,activation)	4242	1601.2174384997636	466042.4722923762	0.0012313324875538045
NP,PP,UP	(0,2,activation)(0,1,activation)(1,2,activation)(1,0,activation)	2	8.174728613583174	110.11928106999991	0.5790431975523307
NP,UP,PP	(0,2,inhibition)(2,1,activation)	216	177.4318099833124	5938.453403697447	0.2790108152319203
PP,NP,NP	(0,2,inhibition)(2,1,activation)(2,0,activation)	6	29.3013751903955	973.8465278105366	0.7136619715942237
PP,UP,PP	(0,2,inhibition)(1,2,inhibition)(2,0,activation)	48	15.065055469803767	414.387735468031	0.07525692226911518
UP,PP,PP	(0,2,activation)(1,2,activation)(2,1,activation)(2,0,activation)	1	0.29878492013581526	0.6996626426818352	0.07424547715821983
NP,NP,PP	(0,1,activation)(1,0,activation)(2,1,activation)(2,0,activation)	330	2.8810577398295067	64.34860654442684	4.2366110619695974E-13
NP,NP,UP	(0,2,inhibition)(1,2,inhibition)	397	79.97477139883551	624.8660737438349	1.6653345369377348E-14
NP,NP,NP	(0,2,activation)(1,2,activation)	14678	12944.7810927586	3.0456897558377206E7	0.3415238534012076
UP,UP,NP	(0,2,activation)(1,2,inhibition)(2,0,activation)	167	6.9473885926864165	115.76728707797548	9.276110568556817E-8
PP,UP,PP	(0,2,inhibition)(2,1,inhibition)	111	1147.4698402390977	1467021.8941007806	0.7823974223325512
PP,UP,PP	(0,2,inhibition)(2,1,activation)	109	706.5944150378781	123650.14272593317	0.987479097503331
UP,PP,PP	(0,2,activation)(1,2,activation)(2,0,activation)	21	11.54185586669566	135.91304678659395	0.1722188629593171
PP,PP,PP	(0,2,activation)(0,1,activation)(1,2,activation)(1,0,inhibition)(2,0,activation)	1	7.139335642807538E-4	7.430096987929598E-4	1.4198485834393537E-5
UP,UP,NP	(0,2,activation)(1,2,activation)(2,0,activation)	1278	93.3510589844043	17605.148744301507	3.487645800070993E-5
UP,PP,NP	(0,2,activation)(1,2,activation)(2,1,activation)(2,0,activation)	48	0.3703081295590738	1.0161897918892575	3.3306690738754696E-16
NP,PP,NP	(0,2,activation)(0,1,activation)(1,0,activation)(2,1,activation)	3	0.5736159393195776	0.8298670151977322	0.014093929950205308
PP,UP,UP	(0,2,activation)(2,1,activation)(2,0,activation)	36	11.8945606746912	171.59926756160405	0.05730190926071754
PP,UP,UP	(0,2,activation)(0,1,activation)(1,2,inhibition)	2	4.904971893253323	46.18430167297211	0.4762219730731836
NP,PP,PP	(0,2,activation)(0,1,activation)(1,2,inhibition)	6	18.634690399898055	218.66274021863558	0.7776282067259895
NP,PP,PP	(0,1,activation)(1,2,activation)(2,0,activation)	37	7.16146672465036	22.70754448475116	2.9589799379725612E-5
UP,NP,PP	(0,2,activation)(0,1,activation)(1,0,activation)(2,1,activation)	2	0.28520975085796696	0.5341044657625217	0.024478798438617222
NP,PP,PP	(0,2,inhibition)(0,1,inhibition)(1,2,activation)	3	0.6693819723023509	0.8320552062425237	0.012597270242913461
PP,NP,NP	(0,2,inhibition)(0,1,inhibition)(1,2,inhibition)	3	112.59115718537703	5839.58806762003	0.9787495777618225
PP,PP,UP	(0,2,inhibition)(1,2,inhibition)(2,1,activation)(2,0,activation)	3	0.03896833456739504	0.04602517018040885	3.3514861319861033E-5
NP,PP,PP	(0,2,inhibition)(1,2,inhibition)	255	453.06841786216205	40261.565672205936	0.8403661052181204
NP,PP,NP	(0,1,activation)(1,0,activation)(2,1,activation)(2,0,activation)	48	2.745509278401966	18.410082205609086	8.913548423472584E-6
UP,PP,NP	(0,2,inhibition)(0,1,inhibition)(1,2,inhibition)	35	222.06622893849993	57551.860624343026	0.7370788215320708
NP,UP,NP	(0,2,inhibition)(1,2,activation)	1029	1144.7203612448916	107554.71948587243	0.6128830765404996
