Motif_Nodes	Motif_edges	Num_occ_input_graph	Mean_analytical	Variance_analytical	Pval_analytical
PP,PP,NP	(0,2,activation)(1,2,activation)(2,1,activation)(2,0,activation)	13	0.09991402279519886	0.15277802116266972	4.929234798112248E-10
NP,NP,PP	(0,2,activation)(0,1,activation)(1,2,activation)	175	399.3755125550925	108957.54611163805	0.7093511902774072
NP,UP,NP	(0,2,activation)(0,1,activation)(1,0,activation)(2,1,activation)	1	2.778252089239798	26.827591219389568	0.34823025643346084
PP,UP,NP	(0,2,inhibition)(2,1,inhibition)	102	530.6399102017215	339732.91083134466	0.7113329022761343
UP,NP,NP	(0,2,inhibition)(2,1,activation)	19160	6077.046700348207	2206432.3439866975	5.915257172972588E-11
UP,NP,NP	(0,2,inhibition)(2,1,inhibition)	3586	1321.7789204513217	1485781.9981141768	0.056388017392628775
UP,NP,NP	(0,2,activation)(1,2,activation)(2,0,activation)	913	43.58407007649699	1087.4597038222248	0.0
NP,NP,UP	(2,1,inhibition)(2,0,activation)	1151	4738.060829512155	1114652.2065284438	0.9999961387902195
UP,NP,NP	(0,2,activation)(1,2,activation)(2,0,inhibition)	10	31.3929109916797	1621.5730070774425	0.5684166509885236
NP,NP,UP	(2,1,inhibition)(2,0,inhibition)	11225	12919.303681252783	6.034889202728385E7	0.5268628716786051
PP,PP,UP	(0,2,activation)(2,1,activation)	1702	531.694531748806	45953.84862836753	3.295179700457673E-5
PP,PP,UP	(0,2,activation)(2,1,inhibition)	1617	224.97060894841414	25415.819095778977	6.165340910024852E-7
PP,NP,UP	(0,2,activation)(2,1,activation)	6829	1578.7054382897204	315938.5291457251	4.5219150646147455E-10
UP,UP,NP	(0,2,activation)(0,1,inhibition)(1,2,activation)	3	69.94331583936727	383.8312735023874	0.9999999493995883
PP,NP,UP	(0,2,activation)(2,1,inhibition)	805	472.07719546956145	102753.25469301504	0.14628915986561275
UP,NP,PP	(0,2,activation)(0,1,inhibition)(1,2,activation)	5	29.969872586658525	656.7239668027128	0.8395545106146203
PP,UP,NP	(0,2,activation)(2,1,activation)	3876	2024.8508872707177	248828.30070983246	7.706146958058602E-4
UP,PP,PP	(0,2,activation)(0,1,activation)(1,2,inhibition)	42	8.138060691313878	152.28634387374598	0.025441248050700138
NP,UP,NP	(0,2,activation)(0,1,activation)(1,2,inhibition)(1,0,inhibition)	4	0.363547341832233	4.0950402340406855	0.028891133035736316
PP,PP,UP	(0,2,activation)(1,2,activation)(2,1,inhibition)(2,0,inhibition)	3	0.042922164263659	0.6391504201563005	0.0036028157145648887
NP,UP,PP	(0,2,inhibition)(1,2,inhibition)(2,0,activation)	36	8.31364809137739	186.36936740254828	0.051349609090672876
NP,NP,UP	(0,1,activation)(1,2,activation)(2,0,activation)	134	12.8389086019436	56.041276298655816	3.6637359812630166E-15
PP,UP,NP	(0,2,activation)(1,2,activation)(2,0,inhibition)	46	20.501141972524596	1173.0805979052911	0.16274617154270388
NP,UP,PP	(0,2,inhibition)(1,2,inhibition)(2,0,inhibition)	57	3.02478629686706	98.97962026818338	0.006781179064622611
UP,NP,NP	(0,2,activation)(0,1,inhibition)(1,2,inhibition)	2	3.554134740298952	18.100963619423712	0.4663908903179713
NP,PP,UP	(0,2,inhibition)(2,1,inhibition)(2,0,inhibition)	2	5.603161228950484	265.4277209200816	0.1918768997941479
NP,PP,PP	(0,2,activation)(2,1,inhibition)	431	474.6225484989434	411889.49675927014	0.3755192158966103
NP,NP,UP	(0,2,inhibition)(2,1,activation)(2,0,activation)	16	33.504548987936914	1114.9114455024128	0.610608044345903
NP,NP,UP	(0,2,inhibition)(2,1,activation)(2,0,inhibition)	16	2.1560155388458617	31.5613149072639	0.03617597958029228
NP,UP,UP	(0,1,activation)(1,2,activation)(2,0,activation)	20	4.888430557544381	18.285902491251676	0.005214403985123628
NP,PP,UP	(0,2,activation)(0,1,activation)(1,0,activation)(2,1,activation)	54	0.4359548211521355	1.8209402949057585	4.329092639920873E-12
NP,UP,NP	(0,2,inhibition)(1,2,inhibition)	4384	8312.963039689474	1.1365895261946231E7	0.8907407191701862
NP,NP,NP	(0,1,activation)(1,0,inhibition)(2,1,activation)(2,0,activation)	16	0.554494330401562	1.6683690570597205	1.9294886319132232E-5
UP,NP,PP	(0,2,inhibition)(2,1,inhibition)	570	875.9112335229589	868808.9351430796	0.5179597432157326
PP,NP,UP	(0,2,inhibition)(2,1,inhibition)	8	568.7922075500979	85460.28029919625	0.9989712001412164
UP,UP,NP	(0,2,activation)(1,2,activation)(2,0,activation)	1403	90.59175760334692	4459.381093984301	0.0
UP,UP,PP	(0,2,inhibition)(1,2,inhibition)(2,0,activation)	51	4.351897412081518	86.40097667517416	0.004983445489673888
NP,UP,UP	(0,2,activation)(1,2,inhibition)	4627	1800.2957523164166	366434.995424306	1.2901522658859133E-4
UP,NP,UP	(0,2,activation)(0,1,activation)(1,2,activation)(1,0,activation)(2,0,activation)	3	0.12842541768791912	0.542961016266565	0.011801287672275729
UP,UP,PP	(0,1,inhibition)(1,2,inhibition)(2,0,inhibition)	1	0.6909329737830702	1.4820358697227498	0.17550125076967948
NP,UP,NP	(0,2,inhibition)(2,1,activation)	291	1038.5305779409032	217850.6481645573	0.9737088287685903
NP,UP,UP	(0,2,activation)(2,1,activation)	4234	1818.0021122409025	620997.0887200041	0.005946221419630637
NP,UP,PP	(0,1,activation)(1,2,activation)(2,0,activation)	94	3.594519934779037	8.522519700096343	6.661338147750939E-16
UP,PP,NP	(0,2,activation)(1,2,activation)(2,0,inhibition)	6	13.312867050408236	312.6863517545142	0.4995294632179411
UP,PP,NP	(0,2,activation)(1,2,activation)(2,0,activation)	475	18.48280112022307	204.26736254905063	3.9968028886505635E-15
NP,UP,NP	(0,2,activation)(1,2,activation)(2,0,activation)	2207	237.92897991846752	22250.61600908044	1.8731904916080566E-11
NP,UP,NP	(0,2,activation)(0,1,activation)(1,2,inhibition)	12	24.79233527377509	387.4349078998233	0.6867431454068911
NP,NP,PP	(0,1,activation)(1,2,activation)(2,0,inhibition)	5	3.434809165264065	29.436025735268423	0.2331231452653918
NP,PP,NP	(0,2,activation)(1,2,activation)(2,1,activation)(2,0,activation)	54	0.7137459410411773	1.8583701958838885	5.551115123125783E-16
NP,PP,NP	(0,2,activation)(0,1,activation)(1,2,activation)(1,0,inhibition)	7	0.2158730420596153	1.1469341201740475	0.00511235024212342
PP,PP,PP	(0,2,activation)(1,2,activation)(2,1,activation)(2,0,activation)	660	0.028650416325949835	0.06766507480659655	2.220446049250313E-16
NP,PP,UP	(0,1,inhibition)(1,0,inhibition)(2,1,inhibition)(2,0,inhibition)	13	0.2789557142593959	1.8050491050846156	0.0014848273362448872
PP,UP,UP	(0,2,activation)(0,1,activation)(1,2,inhibition)	2	1.9885839874264473	7.95968750793145	0.2959406966958188
PP,NP,UP	(0,2,activation)(2,1,activation)(2,0,activation)	10	13.023051589341664	303.5567822313022	0.40427940478095736
PP,NP,UP	(0,2,activation)(1,2,activation)(2,0,inhibition)	22	14.777589827420206	2349.8480369916974	0.13109574503459398
PP,PP,PP	(0,2,activation)(2,1,activation)	2222	390.9611829576936	31808.803163867764	4.1070302714274476E-10
UP,UP,NP	(0,2,activation)(0,1,inhibition)(1,2,inhibition)(1,0,inhibition)	1	0.05480497605757887	0.11253517298659761	0.012576765672560386
NP,UP,UP	(0,2,inhibition)(0,1,activation)(1,2,inhibition)	30	3.0820263147011024	27.652844147298502	0.002911715777805024
NP,PP,PP	(0,2,activation)(0,1,activation)(1,0,activation)(2,1,inhibition)	3	0.020007106317495534	0.02333247585207412	1.1222542511180045E-5
NP,UP,PP	(0,2,inhibition)(1,2,inhibition)	2312	2899.8326030756743	1489505.8285608087	0.6540311751540417
NP,UP,PP	(0,2,inhibition)(1,2,activation)	1025	1390.6967839498125	452816.47048990685	0.6743784816262793
UP,PP,NP	(0,2,activation)(0,1,inhibition)(1,2,inhibition)	3	2.3552399696456683	11.299601796920356	0.2551402459485169
UP,PP,NP	(0,2,activation)(0,1,inhibition)(1,2,activation)	10	21.975146564866137	83.51382348973976	0.9125196035165601
UP,UP,PP	(0,2,activation)(2,1,activation)(2,0,activation)	3	7.237470494804359	93.63681147890301	0.49854022056988323
PP,UP,PP	(0,2,activation)(2,1,activation)	1698	566.8991894021109	52100.59933871229	1.0502638412501764E-4
PP,UP,PP	(0,2,activation)(2,1,inhibition)	2192	683.0404952682751	898423.3961029742	0.07908645924283664
PP,UP,UP	(0,2,inhibition)(2,1,activation)	3408	928.9129257019796	209266.48940753948	7.056957815088083E-5
PP,UP,NP	(0,2,inhibition)(1,2,activation)(2,0,activation)	60	7.139429584414936	263.1350387450739	0.020846841139128935
PP,UP,NP	(0,2,inhibition)(1,2,activation)(2,0,inhibition)	23	2.197259929736651	70.01736097118383	0.03250283380311214
NP,PP,PP	(0,2,activation)(0,1,activation)(1,2,activation)	870	111.8134948888533	12091.812160029602	7.7172718866092E-5
NP,UP,NP	(0,2,inhibition)(0,1,activation)(1,2,inhibition)	17	5.2517409963086354	78.43810522197333	0.09419068887792792
PP,UP,UP	(0,2,inhibition)(2,1,inhibition)	52	919.865814870677	219551.52423933288	0.9969154022347867
NP,UP,NP	(0,2,inhibition)(0,1,activation)(1,2,activation)	98	2.7925075432903665	13.216333801518903	4.551914400963142E-15
NP,UP,PP	(0,2,inhibition)(1,2,activation)(2,0,activation)	6	3.9870452009216613	163.08030562398616	0.13282971440290203
NP,UP,PP	(0,2,inhibition)(1,2,activation)(2,0,inhibition)	12	1.4506218637333907	73.90646880143571	0.03436317825631241
UP,UP,UP	(0,2,activation)(2,1,activation)	10036	3778.811992212584	2656068.351754656	0.0013311219890983494
NP,UP,NP	(0,2,inhibition)(2,1,activation)(2,0,activation)	13	23.12936497500847	965.2212472177744	0.46558736052751826
PP,PP,UP	(0,2,activation)(0,1,activation)(1,2,activation)	206	78.32214823126354	2761.6011601000873	0.023221378802094295
UP,PP,UP	(0,2,activation)(0,1,inhibition)(1,2,activation)	2	30.715989425899302	387.86015077209174	0.9730551851768324
UP,NP,PP	(0,2,activation)(0,1,activation)(1,2,activation)	84	465.7327584844069	126713.93756930981	0.8848698052788081
UP,NP,PP	(0,2,activation)(0,1,activation)(1,2,inhibition)	63	17.376860842829863	203.02658852806468	0.00882828005794023
PP,NP,UP	(0,2,activation)(0,1,activation)(1,2,activation)(1,0,activation)(2,0,inhibition)	2	0.0030895871169129147	0.003907230285926382	3.797999625065884E-5
NP,UP,UP	(0,1,activation)(1,2,activation)(2,0,inhibition)	4	1.461777816103114	3.7809184153630127	0.08054999600225066
NP,UP,PP	(0,1,inhibition)(1,2,activation)(2,0,inhibition)	2	0.9419931844860001	5.044187164989841	0.13642158181345676
NP,UP,PP	(0,2,inhibition)(0,1,activation)(1,2,activation)	37	0.8785771425704096	2.1163332447745096	1.2740919430598296E-12
PP,NP,PP	(0,2,activation)(0,1,activation)(1,2,activation)	78	108.13260149848897	7407.915747585614	0.5592656097406854
UP,PP,UP	(0,2,inhibition)(1,2,inhibition)	1422	3460.7140058396176	2600633.5730357375	0.9183365018030036
PP,NP,NP	(0,2,activation)(1,2,inhibition)(2,0,activation)	15	2.053363326781169	12.792771818201112	0.011354686810813419
UP,PP,NP	(0,2,inhibition)(1,2,inhibition)	1612	5897.020909352623	8593780.389438435	0.9597051511583601
UP,PP,PP	(2,1,inhibition)(2,0,activation)	220	291.85058562537074	104028.99435393879	0.4674140716884463
PP,UP,UP	(0,2,activation)(2,1,inhibition)	100	763.4557371361745	259405.6352855591	0.9485038572524047
NP,NP,UP	(0,2,activation)(1,2,activation)(2,1,activation)(2,0,activation)	94	0.7793563993985322	5.320488720576321	1.5673018438633335E-12
NP,UP,PP	(0,2,inhibition)(0,1,activation)(1,2,inhibition)	3	1.8319785245398834	10.99778069560189	0.19397371086029724
NP,UP,PP	(0,2,activation)(0,1,activation)(1,2,activation)	211	152.06272745128152	19199.069892259176	0.2708659971997385
PP,PP,NP	(0,2,activation)(2,1,activation)(2,0,inhibition)	4	0.9785399558621265	10.798010997276092	0.07719498547828851
PP,PP,NP	(0,2,activation)(2,1,activation)(2,0,activation)	533	20.532321450684933	478.5868383588369	1.7763568394002505E-15
NP,PP,NP	(0,2,inhibition)(2,1,activation)	1133	716.2210687189969	102533.89426144463	0.10485520074934696
NP,PP,NP	(0,2,inhibition)(2,1,inhibition)	314	220.4271134720318	64142.89564520413	0.2689105806805875
PP,PP,UP	(0,2,activation)(0,1,activation)(1,2,activation)(1,0,activation)	66	0.36762667114040987	1.191674632378565	3.3306690738754696E-16
UP,NP,PP	(0,2,inhibition)(1,2,activation)(2,0,activation)	9	1.0041006994925763	19.50701891173041	0.038814988720306975
UP,NP,PP	(0,2,inhibition)(0,1,activation)(1,2,inhibition)	29	7.797367348030996	58.66966857038557	0.01771312294253158
NP,UP,UP	(0,2,activation)(2,1,inhibition)(2,0,activation)	24	4.840819880782822	156.89520791632205	0.0700928654119578
NP,PP,UP	(0,2,activation)(2,1,activation)	2164	1253.782453227552	234974.86255383585	0.04378426254367096
UP,UP,UP	(0,2,activation)(1,2,inhibition)(2,0,activation)	35	1.8431482427723447	15.093922929372503	2.6630083804257687E-4
UP,UP,UP	(0,2,activation)(1,2,inhibition)(2,0,inhibition)	4	1.8251969731005606	16.193938668246297	0.14803249286376263
NP,PP,UP	(0,2,inhibition)(2,1,activation)(2,0,activation)	6	11.284046443074857	135.69152395052163	0.5598121042367381
NP,UP,UP	(0,2,activation)(2,1,inhibition)(2,0,inhibition)	122	26.398995013543747	15294.783503106093	0.05815506224970801
UP,PP,PP	(0,1,inhibition)(1,2,activation)(2,0,activation)	3	0.42581139165811877	0.6309875742791446	0.008611317621707415
UP,UP,UP	(0,2,inhibition)(2,1,inhibition)	955	3705.5632583821516	830723.7104279064	0.9999552030811735
NP,PP,UP	(0,2,inhibition)(2,1,activation)(2,0,inhibition)	2	0.7261276515343368	4.084335556586411	0.1048336134241058
UP,NP,NP	(0,2,inhibition)(0,1,activation)(1,2,inhibition)	14	22.352747707682653	429.1641606268599	0.5592255504558039
NP,NP,PP	(0,2,inhibition)(1,2,inhibition)(2,1,inhibition)(2,0,inhibition)	3	0.053635784878972026	0.16296737901940403	0.0035033655723109014
PP,UP,NP	(0,2,inhibition)(0,1,activation)(1,2,inhibition)	1	3.096933059602048	44.542411399397004	0.2964550830938555
UP,UP,UP	(0,2,activation)(1,2,activation)	228636	100217.59331212664	2.392057020710516E9	0.014222677593619726
UP,UP,UP	(0,2,activation)(2,1,inhibition)	347	3742.0084017378704	5796260.362083288	0.9692602787842193
NP,PP,NP	(0,2,activation)(1,2,inhibition)	807	1508.560811201368	555141.6028030007	0.8266408647082257
NP,PP,NP	(0,2,activation)(1,2,activation)	12573	14075.357651624245	5551159.76839602	0.7298371600284637
PP,PP,NP	(0,2,inhibition)(2,1,inhibition)	95	156.3658217806019	30316.917587880318	0.5202998050771481
PP,PP,PP	(0,2,activation)(0,1,activation)(1,2,activation)	1397	30.27397450488865	950.1222013795466	6.661338147750939E-16
