Motif_Nodes	Motif_edges	Num_occ_input_graph	Mean_analytical	Variance_analytical	Pval_analytical
PP,PP,NP	(0,2,activation)(1,2,activation)(2,1,activation)(2,0,activation)	9	0.05444237864772791	0.07321001110265492	3.941794002315646E-9
NP,NP,PP	(0,2,activation)(0,1,activation)(1,2,activation)	240	459.10771737932697	156316.08592994954	0.6470065488063292
NP,UP,NP	(0,2,activation)(0,1,activation)(1,0,activation)(2,1,activation)	1	3.350062460356383	34.97263732168725	0.38627910547607947
PP,UP,NP	(0,2,inhibition)(2,1,inhibition)	112	641.6012146244367	473972.4607569496	0.7329903201378254
UP,NP,NP	(0,2,inhibition)(2,1,activation)	20781	6629.934077979684	2183568.269108467	0.0
UP,NP,NP	(0,2,inhibition)(2,1,inhibition)	3540	1447.7177229873096	1765742.4473911535	0.0785050515113096
UP,NP,NP	(0,2,activation)(1,2,activation)(2,0,activation)	1119	52.37047933092	1457.6484467496075	0.0
NP,NP,UP	(2,1,inhibition)(2,0,activation)	1409	4957.066382459586	732961.5996171646	0.9999999552541264
NP,NP,UP	(0,2,activation)(1,2,activation)(2,1,activation)(2,0,activation)	94	0.9338827670351918	7.060343092922273	2.4620860905599784E-11
NP,NP,UP	(2,1,inhibition)(2,0,inhibition)	12458	6281.409916218894	1596439.483348444	2.0463418981542247E-5
PP,PP,UP	(0,2,activation)(2,1,activation)	1565	320.55113255080266	18502.190267043436	3.903548706496451E-9
PP,PP,UP	(0,2,activation)(2,1,inhibition)	1201	132.08116149860336	5607.183826030894	4.048983370807946E-13
PP,NP,UP	(0,2,activation)(2,1,activation)	5162	1188.130895410229	185716.174071986	7.64454499702083E-10
UP,UP,NP	(0,2,activation)(0,1,inhibition)(1,2,activation)	7	67.38589749557217	268.95152698681704	0.9999999362644995
PP,NP,UP	(0,2,activation)(2,1,inhibition)	781	334.17999101825717	29224.029365227194	0.014906058152251878
UP,NP,PP	(0,2,activation)(0,1,inhibition)(1,2,activation)	7	28.941776572406408	642.692600708826	0.7872824859930335
PP,UP,NP	(0,2,activation)(2,1,activation)	2743	1589.0909874546173	155210.03371739015	0.004845308065485998
UP,PP,PP	(0,2,activation)(0,1,activation)(1,2,inhibition)	18	7.645873674453686	136.41644392391882	0.14506753219763302
NP,UP,NP	(0,2,activation)(0,1,activation)(1,0,inhibition)(2,1,activation)	2	0.9422563180851848	7.764810245568871	0.11949064604558968
NP,UP,NP	(0,2,activation)(1,2,activation)(2,1,inhibition)(2,0,inhibition)	3	3.5575755299897516	49.252482414339035	0.272713739210248
PP,PP,UP	(0,1,activation)(1,0,activation)(2,1,inhibition)(2,0,inhibition)	264	0.0024423174195598745	0.0031786076011639562	0.0
NP,UP,PP	(0,2,inhibition)(1,2,inhibition)(2,0,activation)	27	6.614454583472139	138.38682621360215	0.06651764495462698
NP,NP,UP	(0,2,activation)(0,1,activation)(1,2,activation)	559	1270.5796647061393	538118.2961005317	0.8378547148537878
PP,UP,NP	(0,2,activation)(1,2,activation)(2,0,inhibition)	44	16.350702357395104	863.1898256264872	0.13283712096385947
UP,NP,NP	(0,2,activation)(1,2,inhibition)(2,0,activation)	1	3.367686408844452	23.894099595920267	0.4753808843515972
UP,NP,NP	(0,2,activation)(2,1,inhibition)(2,0,inhibition)	3	297.09070492854283	115205.2124299463	0.7779929981680528
NP,PP,UP	(0,2,inhibition)(2,1,inhibition)(2,0,inhibition)	1	2.3434916504818175	17.645505923310086	0.34838569719649637
NP,NP,UP	(0,2,inhibition)(2,1,activation)(2,0,activation)	19	38.32418886227657	1391.1124530410602	0.6114157639649669
NP,NP,UP	(0,2,inhibition)(2,1,activation)(2,0,inhibition)	12	2.339594423278207	35.46527755402963	0.06443984609293651
NP,UP,UP	(0,1,activation)(1,2,activation)(2,0,activation)	19	5.2997932260211575	20.89857602869523	0.01088662559681075
NP,PP,UP	(0,1,activation)(1,0,inhibition)(2,1,inhibition)(2,0,inhibition)	2	0.09551164799692344	0.2501689337298794	0.010962922257038099
NP,UP,NP	(0,2,inhibition)(1,2,inhibition)	3999	8942.946980445528	1.2736772626534358E7	0.9379470089750691
NP,NP,NP	(0,1,activation)(1,0,inhibition)(2,1,activation)(2,0,activation)	8	0.7250857444039507	2.416613900551867	0.005000952425680771
UP,NP,PP	(0,2,inhibition)(2,1,inhibition)	872	984.4129042208331	943149.0999791231	0.4409778222039755
PP,NP,UP	(0,2,inhibition)(2,1,inhibition)	60	617.9056623708641	78276.10024991917	0.9977356368960384
UP,UP,NP	(0,2,activation)(1,2,activation)(2,0,activation)	1475	96.99739787618665	4781.877437289906	0.0
UP,UP,PP	(0,2,inhibition)(1,2,inhibition)(2,0,activation)	10	2.927773490808787	52.1943930690894	0.10302875176344928
NP,UP,UP	(0,2,activation)(1,2,inhibition)	4429	1867.6751068556796	387390.7062716256	4.702499301507679E-4
UP,NP,UP	(0,2,activation)(0,1,activation)(1,2,activation)(1,0,activation)(2,0,activation)	3	0.13941845332558148	0.6196557852850682	0.013206965184718089
UP,UP,PP	(0,1,inhibition)(1,2,inhibition)(2,0,inhibition)	1	0.6793816789083301	1.2968611605764138	0.17188085023444288
NP,UP,NP	(0,2,inhibition)(1,2,activation)	2092	5147.160813766966	3952886.404121928	0.9604008363654457
NP,UP,UP	(0,2,activation)(1,2,activation)	19885	108005.36669786774	2.7632143440102444E9	0.9846831800258596
NP,UP,PP	(0,1,activation)(1,2,activation)(2,0,activation)	62	2.7927570969633098	6.277047691018986	1.1102230246251565E-16
UP,PP,NP	(0,2,activation)(1,2,activation)(2,0,inhibition)	3	10.26316449840912	192.92955314745006	0.5393552250578864
UP,PP,NP	(0,2,activation)(1,2,activation)(2,0,activation)	197	14.227524893291099	118.19483926524589	2.2570834090629432E-13
NP,UP,NP	(0,2,activation)(1,2,activation)(2,0,activation)	2309	282.265709110578	26809.919017043867	4.082800764138028E-11
NP,UP,NP	(0,2,activation)(0,1,activation)(1,2,inhibition)	14	26.802032970941216	292.76733811533495	0.73859599621379
NP,NP,PP	(0,1,activation)(1,2,activation)(2,0,inhibition)	3	4.548787814269317	46.2240433282529	0.3834378641093025
NP,PP,NP	(0,2,activation)(1,2,activation)(2,1,activation)(2,0,activation)	56	0.6012995608121032	1.4467270085051698	3.3306690738754696E-16
NP,PP,NP	(0,2,activation)(0,1,activation)(1,2,activation)(1,0,inhibition)	6	0.2258907972009209	1.1122541372305172	0.006939164564459532
PP,PP,PP	(0,2,activation)(1,2,activation)(2,1,activation)(2,0,activation)	660	0.00962141283423202	0.017685832932258103	2.220446049250313E-16
PP,NP,UP	(0,2,activation)(2,1,activation)(2,0,activation)	10	9.620490980949237	222.7267258462552	0.3112424595610005
PP,NP,UP	(0,2,activation)(1,2,activation)(2,0,inhibition)	12	11.47209063536102	1518.6187736988102	0.13385885085703275
PP,PP,PP	(0,2,activation)(2,1,activation)	1817	168.91629771053772	8177.710960048291	0.0
UP,UP,NP	(0,2,activation)(0,1,inhibition)(1,2,inhibition)(1,0,inhibition)	1	0.022859918009806565	0.02660333310360719	0.001785804412800296
