Motif_Nodes	Motif_edges	Num_occ_input_graph	Mean_analytical	Variance_analytical	Pval_analytical
PP,PP,NP	(0,2,activation)(1,2,activation)(2,1,activation)(2,0,activation)	20	0.08547379859364443	0.1253890904632684	1.9984014443252818E-15
NP,NP,PP	(0,2,activation)(0,1,activation)(1,2,activation)	207	415.1268730802767	122110.65877732259	0.6683368704194803
NP,UP,NP	(0,2,activation)(0,1,activation)(1,0,activation)(2,1,activation)	1	2.9838236108737455	29.749843024663434	0.3620025452720005
PP,UP,NP	(0,2,inhibition)(2,1,inhibition)	107	495.77240306696785	299701.93873664783	0.6969479988447216
UP,NP,NP	(0,2,inhibition)(2,1,activation)	18850	5880.382223973626	1966863.6870803311	3.4352631850254056E-11
UP,NP,NP	(0,2,inhibition)(2,1,inhibition)	2978	1117.0606024372544	1074215.781887167	0.060753010997999346
UP,NP,NP	(0,2,activation)(1,2,activation)(2,0,activation)	1110	46.220418962262826	1186.7014245999671	0.0
NP,NP,UP	(2,1,inhibition)(2,0,activation)	937	4511.176860389016	1003729.3788745999	0.9999992811672685
UP,NP,NP	(0,2,activation)(1,2,activation)(2,0,inhibition)	10	31.567005835466738	1687.0097612220002	0.5619323915020331
NP,NP,UP	(2,1,inhibition)(2,0,inhibition)	9964	11330.19936218045	4.632590360445306E7	0.519712115276483
PP,PP,UP	(0,2,activation)(2,1,activation)	2021	471.6943519304286	36952.780855123885	5.144372638987704E-8
PP,PP,UP	(0,2,activation)(2,1,inhibition)	1573	237.9809055897448	28251.87643971752	2.5977357055451122E-6
PP,NP,UP	(0,2,activation)(2,1,activation)	6310	1498.1924318827407	285387.70157578355	1.236472479959616E-9
UP,UP,NP	(0,2,activation)(0,1,inhibition)(1,2,activation)	3	70.98000792786709	392.5951178934156	0.9999999573190979
PP,NP,UP	(0,2,activation)(2,1,inhibition)	798	412.6565456531537	79185.09951481759	0.09800779663027848
UP,NP,PP	(0,2,activation)(0,1,inhibition)(1,2,activation)	5	27.741315473356014	587.9691548342769	0.8219340462670897
PP,UP,NP	(0,2,activation)(2,1,activation)	3456	1952.9148196099256	229628.55812739627	0.0030163381969359193
UP,PP,PP	(0,2,activation)(0,1,activation)(1,2,inhibition)	54	9.036297340251293	184.69600917399023	0.014637919373037378
NP,UP,NP	(0,2,activation)(0,1,activation)(1,2,inhibition)(1,0,inhibition)	4	0.32755060693074833	3.38667421248443	0.026468391277651993
PP,PP,UP	(0,2,activation)(1,2,activation)(2,1,inhibition)(2,0,inhibition)	3	0.0503194982817526	0.8430824459819436	0.003953511050780567
NP,UP,PP	(0,2,inhibition)(1,2,inhibition)(2,0,activation)	36	11.60143628628011	427.3862140283914	0.10827024966785359
NP,NP,UP	(0,1,activation)(1,2,activation)(2,0,activation)	124	13.707417068340032	62.03693681562325	5.135891711915974E-13
PP,UP,NP	(0,2,activation)(1,2,activation)(2,0,inhibition)	46	21.707744091169456	1289.3471307643772	0.17353423366759035
NP,UP,PP	(0,2,inhibition)(1,2,inhibition)(2,0,inhibition)	38	4.312323109478206	272.6544720681129	0.040875836449484004
UP,NP,NP	(0,2,activation)(0,1,inhibition)(1,2,inhibition)	2	3.0183740240712513	13.859556689875376	0.4194877184430831
NP,PP,UP	(0,2,inhibition)(2,1,inhibition)(2,0,inhibition)	2	5.730488494472256	299.81958857567633	0.18062713797645003
NP,PP,PP	(0,2,activation)(2,1,inhibition)	563	557.0285545312229	556130.165191019	0.3528493679788358
NP,NP,UP	(0,2,inhibition)(2,1,activation)(2,0,activation)	16	33.37361439931084	1137.7500712679332	0.6044343652639214
NP,NP,UP	(0,2,inhibition)(2,1,activation)(2,0,inhibition)	14	1.9781561796805982	29.0376867704355	0.04183864877179755
NP,UP,UP	(0,1,activation)(1,2,activation)(2,0,activation)	22	5.0510679404473615	19.29202618103359	0.003291503895114456
NP,PP,UP	(0,2,activation)(0,1,activation)(1,0,activation)(2,1,activation)	72	0.4210521639346688	1.76010676021622	7.771561172376096E-16
NP,UP,NP	(0,2,inhibition)(1,2,inhibition)	3374	6717.191912546583	7213759.069430366	0.9094575707886285
NP,NP,NP	(0,1,activation)(1,0,inhibition)(2,1,activation)(2,0,activation)	16	0.536435022829759	1.6233821056442814	1.888277066142141E-5
